,Concept_ID,hy,en
0,Auge::N,աչք,eye
1,Ohr::N,ականջ,ear
2,Nase::N,քիթ,nose
3,Mund::N,բերան,mouth
4,Zahn::N,ատամ,tooth
5,Zunge::N,լեզու,tongue
6,Lippe::N,շրթունք,lip
7,Wange::N,այտ,cheek
8,Wange::N,թուշ,cheek
9,Gesicht::N,դեմք,face
10,Stirn::N,ճակատ,forehead
11,Haar::N,մազ,hair
12,Schnurrbart::N,բեղ,moustache
13,Bart::N,մորուք,beard
14,Kinn::N,կզակ,chin
15,Kiefer[Anatomie]::N,ծնոտ,jaw
16,Kehle::N,կոկորդ,throat
17,Hals::N,վիզ,neck
18,Hals::N,պարանոց,neck
19,Genick::N,ծոծրակ,nape
20,Kopf::N,գլուխ,head
21,Rücken::N,մեջք,back
22,Rücken::N,մեջք,spine
23,Bauch::N,փոր,belly
24,Bauch::N,որովայն,belly
25,Nabel::N,պորտ,navel
26,Busen::N,ծոց,bosom
27,Brust::N,կուրծք,chest
28,Brust::N,կուրծք,breast
29,Schulter::N,ուս,shoulder
30,Arm::N,թեւ,arm
31,Arm::N,բազուկ,arm
32,Ellenbogen::N,արմունկ,elbow
33,Hand::N,ձեռք,hand
34,Handfläche::N,ափ,palm
35,Finger::N,մատ,finger
36,Fingernagel::N,եղունգ,fingernail
37,Nagel[Anatomie]::N,եղունգ,nail
38,Zeh::N,ոտքի մատ,toe
39,Fuß::N,ոտք,foot
40,Ferse::N,գարշապար,heel
41,Knie::N,ծունկ,knee
42,Oberschenkel::N,ազդր,thigh
43,Bein::N,ոտք,leg
44,Körper::N,մարմին,body
45,Haut::N,մաշկ,skin
46,Blut::N,արյուն,blood
47,Ader::N,երակ,vein
48,Sehne::N,ջիղ,sinew
49,Sehne::N,ձգտան,sinew
50,Knochen::N,ոսկոր,bone
51,Gehirn::N,խելք,brain
52,Herz::N,սիրտ,heart
53,Magen::N,ստամոքս,stomach
54,Leber::N,լյարդ,liver
55,Atem::N,շունչ,breath
56,Hunger::N,քաղց,hunger
57,Träne::N,արտասուք,tear
58,Geschmack::N,համ,flavour
59,Geschmack::N,համ,flavor
60,Geschmack::N,բուրմունք,flavour
61,Geschmack::N,բուրմունք,flavor
62,Geruch::N,հոտ,odour
63,Geruch::N,հոտ,odor
64,Geruch::N,բուրում,odour
65,Geruch::N,բուրում,odor
66,Schlaf::N,քուն,sleep
67,Traum::N,երազ,dream
68,Himmel::N,երկինք,sky
69,Sonne::N,արեւ,sun
70,Mond::N,լուսին,moon
71,Stern::N,աստղ,star
72,Luft::N,օդ,air
73,Wind::N,քամի,wind
74,Welle::N,ալիք,wave
75,Wasser::N,ջուր,water
76,Stein::N,քար,stone
77,Boden::N,գետին,soil
78,Boden::N,գետին,ground
79,Erde::N,հող,earth
80,Staub::N,փոշի,dust
81,Rauch::N,ծուխ,smoke
82,Funke::N,կայծ,spark
83,Feuer::N,կրակ,fire
84,Feuer::N,հրդեհ,fire
85,Licht::N,լույս,light
86,Schatten::N,ստվեր,shadow
87,Wetter::N,եղանակ,weather
88,Nebel::N,մեգ,fog
89,Nebel::N,մառախուղ,fog
90,Wolke::N,ամպ,cloud
91,Regen::N,անձրև,rain
92,Schnee::N,ձյուն,snow
93,Eis::N,սառույց,ice
94,Frost::N,սառնամանիք,frost
95,Kälte::N,դող,chill
96,Hitze::N,շոգ,heat
97,Raureif::N,ցօղեղեամ,hoarfrost
98,Regenbogen::N,ծիածան,rainbow
99,Donner::N,որոտ,thunder
100,Strömung::N,հոսանք,current
101,Tropfen::N,կաթիլ,drop
102,Schaum::N,փրփուր,foam
103,Schmutz::N,կեղտ,dirt
104,See::N,լիճ,lake
105,Sumpf::N,ճահիճ,swamp
106,Moor::N,ճահիճ,moor
107,Wiese::N,մարգագետին,meadow
108,Wald::N,անտառ,forest
109,Hügel::N,բլուր,hill
110,Anhöhe::N,բարձունք,elevation
111,Berg::N,լեռ,mountain
112,Gipfel::N,գագաթ,summit
113,Gipfel::N,կատար,summit
114,Höhle::N,քարայր,cave
115,Abhang::N,լանջ,slope
116,Abhang::N,զառիվայր,slope
117,Quelle::N,աղբյուր,source
118,Bach::N,վտակ,brook
119,Fluss::N,գետ,river
120,Ufer::N,ծովափ,shore
121,Küste::N,ափ,coast
122,Küste::N,ծովափ,coast
123,Festland::N,ցամաք,land
124,Meer::N,ծով,sea
125,Bucht::N,հաչիւն,cove
126,Insel::N,վղզի,island
127,Blume::N,ծաղիկ,flower
128,Gras::N,խոտ,grass
129,Wurzel::N,արմատ,root
130,Baum::N,ծառ,tree
131,Stamm::N,իրան,trunk
132,Rinde::N,կեղեւ,bark
133,Rinde::N,հաչոց,bark
134,Ast::N,ճյուղ,limb
135,Zweig::N,ճյուղ,branch
136,Blatt::N,տերեւ,leaf
137,Birke::N,ցարասի,birch
138,Kiefer[Baum]::N,սոճի,pine
139,Weide[Baum]::N,ուռենի,willow
140,Tanne::N,եղեւին,fir
141,Feder::N,փետուր,feather
142,Fell::N,մորթի,fur
143,Flügel::N,թեւ,wing
144,Klaue::N,չանչ,claw
145,Kralle::N,ճանկ,claw
146,Schwanz::N,պոչ,tail
147,Ei::N,ձու,egg
148,Nest::N,բույն,nest
149,Bau::N,որջ,lair
150,Bau::N,բայոց,lair
151,Tier::N,կենդանի,animal
152,Herde::N,հոտ,flock
153,Kuh::N,կով,cow
154,Bulle::N,ցուլ,bull
155,Pferd::N,ձի,horse
156,Schaf::N,ոչխար,sheep
157,Schwein::N,խոզ,pig
158,Hund::N,շուն,dog
159,Katze::N,կատու,cat
160,Bär::N,արջ,bear
161,Eichhörnchen::N,սկյուռ,squirrel
162,Elch::N,հիւսիսային եղջերու,elk
163,Fuchs::N,աղվես,fox
164,Hase::N,նապաստակ,hare
165,Maus::N,մուկ,mouse
