,Concept_ID,cv,cs
0,Auge::N,куҫ,oko
1,Ohr::N,хӑлха,ucho
2,Nase::N,сӑмса,nos
3,Mund::N,ҫӑвар,pusa
4,Zahn::N,шӑл,zub
5,Zunge::N,чӗлхе,jazyk
6,Lippe::N,тута,ret
7,Wange::N,пит ҫӑмарти,tvář
8,Gesicht::N,пит,obličej
9,Gesicht::N,пит-куҫ,obličej
10,Stirn::N,ҫамка,čelo
11,Haar::N,ҫӳҫ,vlas
12,Haar::N,ҫӳҫ,vlasy
13,Schnurrbart::N,усси,kníry
14,Bart::N,сухал,vousy
15,Kinn::N,янах,brada
16,Kiefer[Anatomie]::N,янах,čelist
17,Kehle::N,пыр,hrdlo
18,Kehle::N,карланкӑ,hrdlo
19,Hals::N,пыр,krk
20,Genick::N,ӗнсе,týl
21,Kopf::N,пуҫ,hlava
22,Rücken::N,ҫурӑм,záda
23,Rücken::N,ҫурӑм,hřbet
24,Nabel::N,кӑвапа,pupek
25,Busen::N,кӑкӑр,ňadra
26,Brust::N,умӗ,prsa
27,Schulter::N,хул пуҫҫи,plece
28,Schulter::N,хул пуҫҫи,rameno
29,Arm::N,алӑ,ruka
30,Ellenbogen::N,чавса,loket
31,Hand::N,алӑ сыппи,ruka
32,Handfläche::N,ал лаппи,dlaň
33,Finger::N,пӳрне,prst
34,Fingernagel::N,чӗрне,nehet
35,Nagel[Anatomie]::N,чӗрне,nehet
36,Zeh::N,пӳрне,prst u nohy
37,Fuß::N,ура лаппи,noha
38,Ferse::N,кӗле,pata
39,Knie::N,чӗркуҫҫи,koleno
40,Oberschenkel::N,пӗҫӗ,stehno
41,Bein::N,ура,noha
42,Körper::N,ӳт,tělo
43,Körper::N,ӳт-пӳ,tělo
44,Haut::N,тир,kůže
45,Blut::N,юн,krev
46,Ader::N,вена,céva
47,Sehne::N,шӑнӑр,šlacha
48,Knochen::N,шӑмӑ,kost
49,Gehirn::N,миме,mozek
50,Herz::N,чӗре,srdce
51,Magen::N,хырӑмлӑх,žaludek
52,Leber::N,пӗвер,játra
53,Atem::N,сывлав,dech
54,Hunger::N,выҫлӑх,hlad
55,Träne::N,куҫҫуль,slza
56,Geschmack::N,техӗм,vkus
57,Geruch::N,шӑршӑ,vůně
58,Geruch::N,шӑршӑ,zápach
59,Schlaf::N,ыйхӑ,spánek
60,Traum::N,тӗлӗк,sen
61,Himmel::N,пӗлӗт,nebe
62,Sonne::N,хӗвел,slunce
63,Mond::N,уйӑх,měsíc
64,Stern::N,ҫӑлтӑр,hvězda
65,Luft::N,сывлӑш,vzduch
66,Wind::N,ҫил,vítr
