,Concept_ID,fa,fa
0,Auge::N,چشم,چشم
1,Ohr::N,گوش,گوش
2,Nase::N,بینی,بینی
3,Mund::N,دهان,دهان
4,Zahn::N,دندان,دندان
5,Zunge::N,زبان,زبان
6,Lippe::N,لب,لب
7,Wange::N,لپ,لپ
8,Gesicht::N,رو,رو
9,Gesicht::N,رو,چهره
10,Gesicht::N,چهره,رو
11,Gesicht::N,چهره,چهره
12,Stirn::N,پیشانی,پیشانی
13,Haar::N,مو,مو
14,Schnurrbart::N,سبیل,سبیل
15,Bart::N,ریش,ریش
16,Kinn::N,چانه,چانه
17,Kiefer[Anatomie]::N,فک,فک
18,Kiefer[Anatomie]::N,فک,آرواره
19,Kiefer[Anatomie]::N,آرواره,فک
20,Kiefer[Anatomie]::N,آرواره,آرواره
21,Kehle::N,حلق,حلق
22,Hals::N,گردن,گردن
23,Genick::N,پشت گردن,پشت گردن
24,Kopf::N,سر,سر
25,Kopf::N,سر,کله
26,Kopf::N,کله,سر
27,Kopf::N,کله,کله
28,Rücken::N,پشت,پشت
29,Bauch::N,شکم,شکم
30,Nabel::N,ناف,ناف
31,Busen::N,پستان,پستان
32,Brust::N,سینه,سینه
33,Schulter::N,دوش,دوش
34,Schulter::N,دوش,شانه
35,Schulter::N,شانه,دوش
36,Schulter::N,شانه,شانه
37,Arm::N,بازو,بازو
38,Ellenbogen::N,آرنج,آرنج
39,Hand::N,دست,دست
40,Handfläche::N,کف دست,کف دست
41,Finger::N,انگشت,انگشت
42,Fingernagel::N,ناخن دست,ناخن دست
43,Nagel[Anatomie]::N,ناخن,ناخن
44,Zeh::N,انگشت پا,انگشت پا
45,Fuß::N,پا,پا
46,Ferse::N,پاشنه,پاشنه
47,Knie::N,زانو,زانو
48,Oberschenkel::N,ران,ران
49,Bein::N,پا,پا
50,Bein::N,پا,لنگ
51,Bein::N,لنگ,پا
52,Bein::N,لنگ,لنگ
53,Körper::N,تن,تن
54,Körper::N,تن,بدن
55,Körper::N,بدن,تن
56,Körper::N,بدن,بدن
57,Haut::N,پوست,پوست
58,Blut::N,خون,خون
59,Ader::N,رگ,رگ
60,Sehne::N,زردپی,زردپی
61,Knochen::N,استخوان,استخوان
62,Gehirn::N,مخ,مخ
63,Gehirn::N,مخ,مغز
64,Gehirn::N,مغز,مخ
65,Gehirn::N,مغز,مغز
66,Herz::N,دل,دل
67,Herz::N,دل,قلب
68,Herz::N,قلب,دل
69,Herz::N,قلب,قلب
70,Magen::N,معده,معده
71,Leber::N,کبد,کبد
72,Atem::N,نفس,نفس
73,Hunger::N,گرسنگی,گرسنگی
74,Träne::N,اشک,اشک
75,Geschmack::N,مزه,مزه
76,Geruch::N,بو,بو
77,Schlaf::N,خواب,خواب
78,Traum::N,رؤیا,رؤیا
79,Himmel::N,فلک,فلک
80,Himmel::N,فلک,آسمان
81,Himmel::N,آسمان,فلک
82,Himmel::N,آسمان,آسمان
83,Sonne::N,آفتاب,آفتاب
84,Sonne::N,آفتاب,خورشید
85,Sonne::N,خورشید,آفتاب
86,Sonne::N,خورشید,خورشید
87,Mond::N,ماه,ماه
88,Stern::N,ستاره,ستاره
89,Luft::N,هوا,هوا
90,Wind::N,باد,باد
91,Welle::N,موج,موج
92,Wasser::N,آب,آب
93,Stein::N,سنگ,سنگ
94,Boden::N,زمین,زمین
95,Erde::N,خاک,خاک
96,Erde::N,خاک,زمین
97,Erde::N,زمین,خاک
98,Erde::N,زمین,زمین
99,Staub::N,گرد,گرد
100,Staub::N,گرد,غبار
101,Staub::N,غبار,گرد
102,Staub::N,غبار,غبار
103,Rauch::N,دود,دود
104,Funke::N,جرقه,جرقه
105,Feuer::N,آتش,آتش
106,Licht::N,نور,نور
107,Licht::N,نور,روشنی
108,Licht::N,روشنی,نور
109,Licht::N,روشنی,روشنی
110,Schatten::N,سایه,سایه
111,Wetter::N,هوا,هوا
112,Nebel::N,مه,مه
113,Wolke::N,ابر,ابر
114,Regen::N,باران,باران
115,Schnee::N,برف,برف
116,Eis::N,یخ,یخ
117,Frost::N,یخبندان,یخبندان
118,Kälte::N,سرما,سرما
119,Hitze::N,گرما,گرما
120,Hitze::N,گرما,حرارت
121,Hitze::N,حرارت,گرما
122,Hitze::N,حرارت,حرارت
123,Raureif::N,برف ریزه,برف ریزه
124,Regenbogen::N,رنگین‌کمان,رنگین‌کمان
125,Donner::N,رعد,رعد
126,Strömung::N,جریان,جریان
127,Tropfen::N,قطره,قطره
128,Schaum::N,کف,کف
129,Schmutz::N,گل,گل
130,Schmutz::N,گل,کثافت
131,Schmutz::N,کثافت,گل
132,Schmutz::N,کثافت,کثافت
