,Concept_ID,kl,hu
0,Auge::N,isi,szem
1,Ohr::N,siut,fül
2,Mund::N,paaq,száj
3,Mund::N,qaneq,száj
4,Zahn::N,kigut,fog
5,Zunge::N,oqaq,nyelv
6,Lippe::N,qarloq,ajak
7,Wange::N,ersaq,orca
8,Gesicht::N,kiinaq,arc
9,Stirn::N,qaaq,homlok
10,Haar::N,meqqoq,haj
11,Bart::N,umik,szakáll
12,Kinn::N,talloq,áll
13,Kiefer[Anatomie]::N,alleroq,állkapocs
14,Kehle::N,malaq,gége
15,Kehle::N,malaq,torok
16,Hals::N,qungaseq,nyak
17,Genick::N,pukusuk,tarkó
18,Kopf::N,niaqoq,fő
19,Kopf::N,niaqoq,fej
20,Rücken::N,qimerlut,hát
21,Bauch::N,naaq,has
22,Nabel::N,qalaseq,köldök
23,Busen::N,iviangeq,mell
24,Busen::N,iviangeq,kebel
25,Brust::N,iviangeq,mell
26,Schulter::N,ersik,váll
27,Schulter::N,assaqqoq,váll
28,Arm::N,taleq,kar
29,Ellenbogen::N,ikusik,könyök
30,Hand::N,assak,kéz
31,Handfläche::N,itumak,tenyér
32,Finger::N,inuak,ujj
33,Fingernagel::N,kikiak,köröm
34,Nagel[Anatomie]::N,kukik,köröm
35,Zeh::N,isigak,lábujj
36,Ferse::N,kimmik,sarok
37,Knie::N,seeqqoq,térd
38,Oberschenkel::N,uppat,comb
39,Oberschenkel::N,quttoraq,comb
40,Bein::N,isigak,láb
41,Bein::N,isigak,lábszár
42,Körper::N,timi,test
43,Haut::N,mattak,bőr
44,Blut::N,aak,vér
45,Ader::N,taqaq,ér
46,Sehne::N,ujalu,ín
47,Sehne::N,ujaloq,ín
48,Knochen::N,saanikut,csont
49,Gehirn::N,qarasaq,agy
50,Gehirn::N,qarasaq,agyvelő
51,Herz::N,uummat,szív
52,Magen::N,aqajaroq,gyomor
53,Leber::N,tinguk,máj
54,Atem::N,anerneq,lehelet
55,Atem::N,anerneq,lélegzet
56,Hunger::N,kaanneq,éhség
57,Träne::N,qia,könny
58,Träne::N,qiak,könny
59,Geschmack::N,qilanaartuut,íz
60,Geruch::N,tipi,szag
61,Geruch::N,tipik,szag
62,Traum::N,sinnattoq,álom
63,Traum::N,sinnattugaq,álom
64,Himmel::N,qilak,ég
65,Himmel::N,qilak,menny
66,Sonne::N,seqineq,nap
67,Mond::N,qaammat,hold
68,Stern::N,ulloriaq,csillag
69,Luft::N,silaannaq,levegő
70,Wind::N,anori,szél
71,Wind::N,anorsarik,szél
72,Welle::N,aalappaa,hullám
73,Wasser::N,imeq,víz
74,Stein::N,ujarak,kő
75,Boden::N,nateq,föld
76,Boden::N,nateq,talaj
77,Erde::N,issoq,föld
78,Staub::N,pujualanerit,por
79,Staub::N,pujoralanerit,por
80,Rauch::N,iseq,füst
81,Rauch::N,pujoq,füst
82,Funke::N,illoorneq,szikra
83,Feuer::N,inneq,tűz
84,Licht::N,qaamaneq,fény
85,Schatten::N,tarraq,árnyék
86,Wetter::N,sila,idő
87,Wetter::N,sila,időjárás
88,Nebel::N,pujoq,köd
89,Wolke::N,nuia,felhő
90,Regen::N,sialuk,eső
91,Schnee::N,aput,hó
92,Eis::N,siku,jég
93,Frost::N,issi,fagy
94,Frost::N,issik,fagy
95,Kälte::N,issi,hideg
96,Hitze::N,kianneq,hő
97,Hitze::N,kianneq,hőség
98,Hitze::N,kiassuseq,hő
99,Hitze::N,kiassuseq,hőség
100,Raureif::N,kaneq,zúzmara
101,Regenbogen::N,neriusaaq,szivárvány
102,Donner::N,kalleq,dörgés
103,Donner::N,kalleq,mennydörgés
104,Tropfen::N,kuseriarneq,csepp
105,Schaum::N,qapuk,hab
106,Schaum::N,qapuk,tajték
107,Schmutz::N,minguk,piszok
108,See::N,taseq,tó
109,Sumpf::N,maqulluk,mocsár
110,Wiese::N,masarsuk,rét
111,Wiese::N,masarsuk,mező
112,Hügel::N,qattuneq,domb
113,Hügel::N,majuariaq,domb
114,Hügel::N,majorajaaq,domb
115,Hügel::N,qaqqannguaq,domb
116,Berg::N,qaqqaq,hegy
117,Höhle::N,qaarusuk,barlang
118,Abhang::N,ippik,lejtő
119,Abhang::N,sivinganeq,lejtő
120,Abhang::N,sivingajaaq,lejtő
121,Abhang::N,kussangajaaq,lejtő
122,Bach::N,kuunnguaq,patak
123,Fluss::N,kuuk,folyó
124,Ufer::N,sissap sinaa,part
125,Küste::N,sineriak,tengerpart
126,Meer::N,imaq,tenger
127,Bucht::N,ikeq,öböl
128,Bucht::N,kangerluk,öböl
129,Bucht::N,kangerliumaneq,öböl
130,Insel::N,qeqertaq,sziget
131,Blume::N,naasoq,virág
132,Gras::N,ivigaq,fű
133,Wurzel::N,niulutaq,gyökér
134,Baum::N,orpik,fa
135,Stamm::N,kanaartaq,tő
136,Stamm::N,kanaartaq,törzs
137,Rinde::N,ameraq,kéreg
138,Ast::N,avalequt,ág
139,Zweig::N,avalequt,gally
140,Blatt::N,pilutaq,levél
141,Birke::N,patitsit,nyír
