,Concept_ID,no,ko
0,Auge::N,øye,눈
1,Ohr::N,øre,귀
2,Nase::N,nese,코
3,Mund::N,munn,입
4,Zahn::N,tann,이
5,Zunge::N,tunge,혀
6,Lippe::N,leppe,입술
7,Wange::N,kinn,뺨
8,Gesicht::N,fjes,얼굴
9,Gesicht::N,ansikt,얼굴
10,Stirn::N,panne,이마
11,Haar::N,hår,털
12,Schnurrbart::N,bart,윗수몀
13,Schnurrbart::N,bart,코밑수염
14,Bart::N,skjegg,수엄
15,Kinn::N,hake,아래턱
16,Kiefer[Anatomie]::N,kjeve,턱
17,Kehle::N,strupe,인후
18,Hals::N,hals,목
19,Genick::N,nakke,먹덜이
20,Kopf::N,hode,머리
21,Rücken::N,rygg,든
22,Bauch::N,buk,배
23,Bauch::N,mage,배
24,Nabel::N,navle,배꼽
25,Busen::N,barm,가슴속
26,Brust::N,bryst,가슴
27,Schulter::N,skulder,어깨
28,Arm::N,arm,팔
29,Ellenbogen::N,albue,팔쿰치
30,Hand::N,hånd,손
31,Handfläche::N,håndflate,손바닥
32,Finger::N,finger,속가락
33,Fingernagel::N,fingernegl,손톱
34,Nagel[Anatomie]::N,negl,손톱
35,Zeh::N,tå,발가락
36,Fuß::N,fot,발
37,Ferse::N,hæl,발꿈치
38,Knie::N,kne,무릎
39,Oberschenkel::N,lår,허벅다리
40,Bein::N,bein,다리
41,Körper::N,kropp,구간
42,Körper::N,legeme,구간
43,Haut::N,hud,살갗
44,Haut::N,skinn,살갗
45,Blut::N,blod,피
46,Ader::N,åre,정맥
47,Sehne::N,sene,현
48,Knochen::N,bein,뼈
49,Knochen::N,knokkel,뼈
50,Gehirn::N,hjerne,뇌
51,Gehirn::N,hjerne,뇌수
52,Herz::N,hjerte,염통
53,Magen::N,mage,위
54,Leber::N,lever,간
55,Atem::N,pust,기식
56,Hunger::N,sult,공복
57,Träne::N,tåre,눈물
58,Geschmack::N,smak,기호
59,Geruch::N,lukt,냄새
60,Schlaf::N,søvn,수면
61,Traum::N,drøm,쿰
62,Himmel::N,himmel,하늘
63,Sonne::N,sol,해
64,Mond::N,måne,달
65,Stern::N,stjerne,별
66,Luft::N,luft,동준
67,Luft::N,luft,가스채
68,Wind::N,vind,바람
69,Welle::N,bølge,물결
70,Wasser::N,vann,물
71,Stein::N,stein,돌
72,Boden::N,bakke,바닥
73,Erde::N,jord,흙
74,Staub::N,støv,먼지
75,Rauch::N,røyk,연기
76,Funke::N,gnist,불티
77,Feuer::N,ild,불
78,Licht::N,lys,불
79,Schatten::N,skygge,어스레함
80,Wetter::N,vær,기상
81,Nebel::N,tåke,안개
82,Wolke::N,sky,구름
83,Regen::N,regn,비
84,Schnee::N,snø,눈
85,Eis::N,is,얼음
86,Frost::N,frost,혹한
87,Kälte::N,kulde,추위
88,Kälte::N,kulde,차가움
89,Hitze::N,hete,고온
90,Hitze::N,hete,더위
91,Raureif::N,rimfrost,
92,Regenbogen::N,regnbue,무지개
93,Donner::N,torden,뇌명
94,Strömung::N,strømning,유동
95,Tropfen::N,dråpe,물방울
96,Schaum::N,skum,포말
97,Schmutz::N,søl,때
98,Schmutz::N,skitt,때
99,See::N,sjø,호수
100,Sumpf::N,sump,습지
101,Sumpf::N,myrlende,습지
102,Moor::N,myr,저습지
103,Moor::N,myrhei,저습지
104,Wiese::N,eng,목초지
105,Wald::N,skog,숲
106,Hügel::N,haug,언덕
107,Hügel::N,bakke,언덕
108,Anhöhe::N,haug,언덕
109,Anhöhe::N,bakke,언덕
110,Berg::N,berg,산
111,Berg::N,fjell,산
112,Gipfel::N,topp,졀졍
113,Höhle::N,hule,공동
114,Abhang::N,li,몰매
115,Abhang::N,skråning,몰매
116,Quelle::N,kilde,근원
117,Bach::N,bekk,내
118,Fluss::N,elv,강
119,Ufer::N,bredd,강변
120,Ufer::N,bredd,바닷가
121,Küste::N,kyst,해변
122,Küste::N,kyst,해변가
123,Festland::N,fastland,본토
124,Meer::N,hav,바다
125,Bucht::N,bukt,협만
126,Insel::N,øy,섬
127,Blume::N,blomst,꽃
