,Concept_ID,ab,es
0,Auge::N,ала,ojo
1,Ohr::N,алымҳа,oreja
2,Nase::N,аҧынҵа,nariz
3,Mund::N,аҧышə,boca
4,Zahn::N,ахаҧыц,diente
5,Zunge::N,абз,lengua
6,Lippe::N,ақьышə,labio
7,Wange::N,аӡамҩа,mejilla
8,Gesicht::N,аҿы,cara
9,Stirn::N,алахь,frente
10,Haar::N,ахəыц,cabello
11,Schnurrbart::N,аҧаҵа,bigote
12,Bart::N,ажакьа,barba
13,Kinn::N,ацламкəыгə,barbilla
14,Kiefer[Anatomie]::N,ацламҳəа,mandíbula
15,Kehle::N,ахəда,garganta
16,Hals::N,ахəда,cuello
17,Genick::N,ахəдаџьал,nuca
18,Genick::N,ахəдаџьал,cerviz
19,Kopf::N,ахы,cabeza
20,Rücken::N,азқəа,espalda
21,Bauch::N,амгəа,vientre
22,Nabel::N,аҷапан,ombligo
23,Busen::N,агəыҧҳəы,pecho
24,Brust::N,агəышҧы,pecho
25,Schulter::N,ажəҩахыр,hombro
26,Arm::N,амахəар,brazo
27,Ellenbogen::N,амашьхəылҵ,codo
28,Hand::N,анапы,mano
29,Handfläche::N,анапсаргəыҵа,palma
30,Finger::N,анацəа,dedo
31,Fingernagel::N,анапхыц,uña
32,Nagel[Anatomie]::N,ашьапхыц,uña
33,Zeh::N,ашьацəа,dedo del pie
34,Fuß::N,ашьапсыргəыҵа,pie
35,Ferse::N,ашьхəа,talón
36,Knie::N,ашьамхы,rodilla
37,Oberschenkel::N,ауаҭəа,muslo
38,Bein::N,ашьапы,pierna
39,Körper::N,ацəеижь,cuerpo
40,Haut::N,ацəа,piel
41,Blut::N,ашьа,sangre
42,Ader::N,ада,vena
43,Sehne::N,адаш,tendón
44,Knochen::N,абаҩ,hueso
45,Gehirn::N,ахшлыбаҩ,cerebro
46,Gehirn::N,ахшлыбаҩ,encéfalo
47,Gehirn::N,ахшыбаҩ,cerebro
48,Gehirn::N,ахшыбаҩ,encéfalo
49,Herz::N,агəы,corazón
50,Magen::N,аца,estómago
51,Magen::N,ацар,estómago
52,Leber::N,агəаҵəа,hígado
53,Atem::N,аҧсыҧлагаҩгара,aliento
54,Hunger::N,амла,hambre
55,Träne::N,алабжыш,lágrima
56,Geschmack::N,агьама,gusto
57,Geruch::N,афҩы,olor
58,Schlaf::N,ацəа,sueño
59,Traum::N,аҧхыӡ,sueño
60,Traum::N,аҧхыӡ,ensueño
61,Himmel::N,ажəҩан,cielo
62,Sonne::N,амра,sol
63,Mond::N,амза,luna
64,Stern::N,аеҵəа,estrella
65,Luft::N,аҳаир,aire
66,Wind::N,аҧша,viento
67,Welle::N,ацəқəырҧа,ola
68,Welle::N,ацəқəырҧа,onda
69,Wasser::N,аӡы,agua
70,Stein::N,ахаҳə,piedra
71,Boden::N,адгьыл,suelo
72,Erde::N,адгьыл,tierra
73,Staub::N,асаба,polvo
74,Rauch::N,алҩа,humo
75,Funke::N,акəиц,chispa
76,Funke::N,ацҧхь,chispa
77,Feuer::N,амца,fuego
78,Licht::N,алашара,luz
79,Schatten::N,ашəшьыра,sombra
80,Wetter::N,амш,tiempo
81,Nebel::N,анаҟəа,niebla
82,Wolke::N,аҧсҭҳəа,nube
83,Regen::N,ақəа,lluvia
84,Schnee::N,асы,nieve
85,Eis::N,аҵаа,hielo
86,Frost::N,аҵаа,helada
87,Kälte::N,ахьҭа,frío
88,Hitze::N,ашоура,calor
89,Raureif::N,аҵааҧшқа,escarcha
90,Regenbogen::N,ацəаҟəа,arco iris
91,Donner::N,адыд,trueno
92,Strömung::N,аиасра,corriente
93,Strömung::N,амҩасра,corriente
94,Tropfen::N,ацəыкəбар,gota
95,Schaum::N,ашəах,espuma
96,Schmutz::N,алымт,suciedad
97,See::N,аӡиа,lago
98,Sumpf::N,аӡмах,pantano
99,Wiese::N,адəы,prado
100,Wiese::N,адəы,pradera
101,Wald::N,абна,bosque
102,Hügel::N,ахəы,colina
103,Anhöhe::N,аҳаракыра,cerro
104,Berg::N,ашьха,monte
105,Berg::N,ашьха,montaña
106,Gipfel::N,ацəқəа,cima
107,Gipfel::N,ацəқəа,cumbre
108,Höhle::N,аҳаҧы,cueva
109,Höhle::N,аҳаҧы,caverna
110,Abhang::N,анаара,cuesta
111,Abhang::N,анаара,declive
112,Quelle::N,аҵҵырҭа,fuente
113,Quelle::N,аҵҵырҭа,manantial
114,Bach::N,акəараҷҷа,arroyo
115,Fluss::N,аӡиас,río
116,Ufer::N,ахықə,orilla
117,Küste::N,ахықə,costa
118,Festland::N,абарра,tierra firme
119,Meer::N,амшын,mar
120,Bucht::N,аӡбжьахала,cala
121,Bucht::N,аӡбжьахала,bahía
122,Insel::N,адгьылбжьаха,isla
123,Blume::N,ашəҭ,flor
124,Gras::N,аҳасакьын,hierba
125,Wurzel::N,адац,raíz
126,Baum::N,аҵла,árbol
127,Stamm::N,ашьапы,tronco
128,Rinde::N,ацəа,corteza
129,Ast::N,амахə,rama
130,Ast::N,амахəҭа,rama
131,Zweig::N,амахə,ramo
132,Zweig::N,амахəҭа,ramo
133,Blatt::N,абҕьы,hoja
134,Birke::N,аҵааҵла,abedul
135,Kiefer[Baum]::N,амза,pino
136,Weide[Baum]::N,аҧслыш,sauce
137,Tanne::N,аҧсаӡ,abeto
138,Horn::N,атəыҩа,asta
