,Concept_ID,bn,av
0,Auge::N,চক্ষু,
1,Ohr::N,কর্ণ,гӏин
2,Nase::N,নাক,мегӏер
3,Mund::N,মুখ,кӏал
4,Zahn::N,দাঁত,гӏус
5,Zunge::N,জিহবা,мацӏ
6,Lippe::N,অধর,кӏветӏ
7,Wange::N,গণ্ড,гӏоно
8,Gesicht::N,মুখমণ্ডল,гьумер
9,Stirn::N,কপাল,нодо
10,Haar::N,চুল,рас
11,Schnurrbart::N,গোঁফ,михъ
12,Bart::N,শ্মশ্রু,мегеж
13,Kinn::N,চিবুক,нилъу
14,Kiefer[Anatomie]::N,চোয়াল,чанагъ
15,Kehle::N,কণ্ঠ,щекъер
16,Hals::N,গল,габур
17,Genick::N,ঘাড়,гъванща
18,Kopf::N,মাথা,бетӏер
19,Rücken::N,পৃষ্ঠ,мугъ
20,Bauch::N,উদর,чехь
21,Nabel::N,নাভি,цӏину
22,Busen::N,স্তন,керен
23,Brust::N,বুক,керен
24,Schulter::N,স্কন্ধ,гъажазубетӏер
25,Arm::N,বাহু,гъеж
26,Ellenbogen::N,কনুই,гӏункӏрукь
27,Hand::N,হাত,квер
28,Handfläche::N,করতল,огъохъат
29,Handfläche::N,করতল,жанисахъат
30,Finger::N,আঙ্গুল,килищ
31,Fingernagel::N,হাতের নখ,малъ
32,Nagel[Anatomie]::N,নখ,малъ
33,Zeh::N,আঙ্গুল,килищ
34,Fuß::N,পা,хӏетӏ
35,Fuß::N,পা,хӏетӏе
36,Ferse::N,গোড়ালি,эгъе
37,Knie::N,হাঁটু,наку
38,Oberschenkel::N,ঊরু,мачӏ
39,Bein::N,পা,бох
40,Körper::N,দেহ,къаркъала
41,Haut::N,ত্বক,тӏом
42,Blut::N,রক্ত,би
43,Ader::N,শিরা,бидурихь
44,Sehne::N,কণ্ডরা,
45,Knochen::N,অস্থি,ракьа
46,Gehirn::N,মস্তিষ্ক,гӏадалнах
47,Herz::N,হৃৎপিণ্ড,ракӏ
48,Magen::N,পাকস্থলী,кванирукъ
49,Leber::N,যকৃৎ,тӏул
50,Atem::N,শ্বাস,хӏухь
51,Hunger::N,ক্ষুধা,ракъи
52,Träne::N,অশ্রু,магӏу
53,Geschmack::N,স্বাদ,тату
54,Geruch::N,গন্ধ,махӏ
55,Schlaf::N,ঘুম,макьу
56,Traum::N,স্বপ্ন,макьу
57,Himmel::N,আকাশ,зоб
58,Sonne::N,সূর্য,бакъ
59,Mond::N,চন্দ্র,моцӏ
60,Stern::N,নক্ষত্র,цӏва
61,Luft::N,বায়ু,гьава
62,Wind::N,বাতাস,гьури
63,Welle::N,ঢেউ,карачел
64,Welle::N,তরঙ্গ,карачел
65,Wasser::N,জল,лъим
66,Stein::N,ঢিল,гьецӏо
67,Stein::N,প্রস্তর,гьецӏо
68,Boden::N,ভূতল,ракь
69,Erde::N,ভূমি,ракь
70,Erde::N,ভূমি,дуниял
71,Staub::N,ধুলা,хӏур
72,Rauch::N,ধোঁয়া,кӏкӏуй
73,Funke::N,স্ফুলিঙ্গ,
74,Feuer::N,অগ্নি,цӏа
75,Licht::N,আলো,канлъи
76,Schatten::N,ছায়া,рагӏад
77,Wetter::N,আবহাওয়া,гьава-бакъ
78,Nebel::N,কুহেলিকা,гӏодобнакӏкӏ
79,Wolke::N,মেঘ,накӏкӏ
80,Regen::N,বৃষ্টি,цӏад
81,Schnee::N,তুষার,гӏазу
82,Eis::N,বরফ,цӏер
83,Frost::N,তুষার,замгьари
84,Kälte::N,শৈত্য,квач
85,Hitze::N,তাপ,багӏари
86,Raureif::N,তুহিন,мартӏ
87,Regenbogen::N,রামধনু,нур
88,Regenbogen::N,রামধনু,чамбара
89,Donner::N,বজ্রধ্বনি,гъугъай
90,Donner::N,বজ্রধ্বনি,гъугъади
91,Strömung::N,স্রোত,чвахи
92,Tropfen::N,ফোঁটা,резел
93,Tropfen::N,ফোঁটা,тӏинкӏ
94,Tropfen::N,ফোঁটা,къатӏра
95,Tropfen::N,ফোঁটা,тӏенкӏел
96,Schaum::N,ফেনা,полоп
97,Schmutz::N,ধুলা,чороклъи
98,See::N,হ্রদ,хӏор
99,Sumpf::N,জলা,хьуцӏ
100,Moor::N,মাঠ,
101,Wiese::N,তৃণভূমি,мегъ
102,Wiese::N,তৃণভূমি,гӏурдаллъи
103,Wald::N,বন,рохь
104,Hügel::N,পাহাড়,гохӏ
105,Anhöhe::N,টিলা,сийитма
106,Berg::N,পর্বত,мегӏер
107,Gipfel::N,শীর্ষ,тӏогь
108,Höhle::N,গুহা,нохъо
109,Abhang::N,ঢাল,лабаллъи
110,Quelle::N,উৎস,ицц
111,Bach::N,ক্ষুদ্র নদী,лъар
112,Fluss::N,নদী,гӏор
113,Ufer::N,উপকূল,рагӏал
114,Küste::N,তীর,рагӏал
115,Festland::N,ভূমি,ракь
116,Festland::N,ভূমি,ракъдаллъи
117,Meer::N,সমুদ্র,ралъад
118,Bucht::N,উপসাগর,кӏветӏ
119,Insel::N,দ্বীপ,чӏинкӏиллъи
120,Blume::N,ফুল,тӏегь
121,Gras::N,ঘাস,хер
122,Wurzel::N,শিকড়,кьибил
123,Baum::N,গাছ,гъветӏ
124,Stamm::N,স্কন্ধ,рохти
125,Rinde::N,বল্কল,макъар
126,Ast::N,শাখা,ноцӏ
127,Zweig::N,ডাল,гӏаркьел
128,Blatt::N,পর্ণ,тӏамах
129,Birke::N,ভুর্জ,мах
130,Birke::N,ভুর্জ,махигъветӏ
131,Kiefer[Baum]::N,পাইন গাছ,накӏкӏигъветӏ
132,Weide[Baum]::N,উইলো,рицӏцӏ
133,Weide[Baum]::N,উইলো,рицӏцӏигъветӏ
134,Tanne::N,দেবদারূ গাছ,ёлка
135,Horn::N,শিং,лълъар
136,Feder::N,পালক,хӏули
137,Fell::N,রোম,тӏом
138,Fell::N,রোম,цӏоко
139,Flügel::N,ডানা,кваркьи
140,Klaue::N,নখর,галъ
141,Kralle::N,নখর,квачӏ
142,Kralle::N,নখর,катиквачӏ
143,Schwanz::N,লেজ,рачӏ
144,Ei::N,ডিম,хоно
145,Nest::N,কুলায়,бусен
146,Bau::N,ডেরা,каратӏ
147,Tier::N,জন্তু,хӏайван
148,Herde::N,ঝাঁক,рехъен
149,Herde::N,ঝাঁক,рехъед
150,Kuh::N,গোরু,гӏака
151,Bulle::N,বৃষ,оц
152,Pferd::N,ঘোড়া,чу
153,Schaf::N,ভেড়া,чахъу
154,Schwein::N,শূকর,болъон
155,Hund::N,কুকুর,гьой
156,Katze::N,বেড়াল,кету
157,Bär::N,ভল্লুক,ци
158,Eichhörnchen::N,কাঠবিড়াল,гвангва
159,Elch::N,হরিণবিশেষ,
160,Fuchs::N,পাঁতিশিয়াল,цер
161,Hase::N,শশক,гӏанкӏ
162,Maus::N,নেংটি ইঁদুর,гӏункӏкӏ
163,Wolf::N,নেকড়ে,бацӏ
164,Vogel::N,পক্ষী,хӏинчӏ
165,Schwarm::N,ঝাঁক,тӏел
166,Huhn::N,মোরগ,гӏанкӏу
167,Hahn::N,কুক্কুট,хӏелеко
168,Gans::N,হংসী,хъаз
169,Adler::N,ইগল,цӏум
170,Ente::N,হংসী,ордек
171,Eule::N,পেচক,беццаруз
172,Kranich::N,সারস,къункъра
173,Krähe::N,কাক,гъеду
174,Kuckuck::N,কোকিল,гагу
175,Schwan::N,মরাল,хӏанкъва
176,Fisch::N,মাছ,ччугӏа
177,Barsch::N,মৎন্যবিশেষ,окунь
178,Hecht::N,বানমাছ,щука
179,Schlange[Tier]::N,সর্প,борохь
180,Wurm::N,কীট,хӏапара
181,Spinne::N,মাকড়সা,хъанхъра
182,Ameise::N,পিপীলিকা,цӏунцӏра
183,Laus::N,উকুন,нацӏ
184,Mücke::N,মশা,кӏкӏара
185,Fliege::N,মাছি,тӏутӏ
186,Schmetterling::N,প্রজাপতি,кӏалкӏучӏ
187,Beere::N,বেরি,
188,Apfel::N,আপেল,гӏеч
189,Pilz::N,ছত্রক,гӏурдахӏан
190,Zwiebel::N,পিয়াজ,кӏочӏопер
191,Saat::N,বীজ,хьон
192,Korn::N,শস্য,мугь
193,Heu::N,খড়,хер
194,Schale::N,খোসা,хъал
195,Grube::N,গর্ত,гвенд
196,Falle::N,ফাঁদ,къор
197,Falle::N,ফাঁদ,къотен
198,Schlinge::N,পাশ,кӏичӏ
199,Spur::N,চিহ্ন,лъалкӏ
200,Asche::N,ভস্ম,рахъу
201,Dreck::N,ময়লা,гъиз
202,Dreck::N,ময়লা,хӏарщ
203,Eisen::N,লোহা,махх
204,Gold::N,স্বর্ণ,месед
205,Silber::N,রৌপ্য,гӏарац
206,Kohle::N,অঙ্গার,тӏурччи
207,Glas::N,কাচ,цӏер
208,Lehm::N,মৃত্তিকা,хӏатӏ
209,Sand::N,বালি,сали
210,Mensch::N,নর,чи
