,Concept_ID,ta,sv
0,Auge::N,கண்,öga
1,Ohr::N,காது,öra
2,Nase::N,மூக்கு,näsa
3,Mund::N,வாய்,mun
4,Zahn::N,பல்,tand
5,Zunge::N,நாக்கு,tunga
6,Lippe::N,உதடு,läpp
7,Wange::N,கன்னம்,kind
8,Gesicht::N,முகம்,syn
9,Gesicht::N,முகம்,ansikte
10,Stirn::N,முன்னெற்றி,panna
11,Haar::N,முடி,hår
12,Schnurrbart::N,மீசை,mustasch
13,Bart::N,தாடி,skägg
14,Kinn::N,கீழதாடை,haka
15,Kiefer[Anatomie]::N,தாடை,käke
16,Kehle::N,தொண்டை,strupe
17,Hals::N,கழுத்து,hals
18,Genick::N,கழுத்து,nacke
19,Kopf::N,தலை,huvud
20,Rücken::N,முதுகு,rygg
21,Bauch::N,வயிறு,buk
22,Bauch::N,வயிறு,mage
23,Nabel::N,தொப்புள்,navel
24,Busen::N,மார்பகம்,barm
25,Brust::N, மார்பு,bröst
26,Schulter::N,தோள்பட்டை,skuldra
27,Arm::N,கரம்,arm
28,Ellenbogen::N,முழங்கை,armbåge
29,Hand::N,கை,hand
30,Handfläche::N,உள்ளங்கை,handflata
31,Finger::N,விரல்,finger
32,Fingernagel::N,விரல் நகம்,fingernagel
33,Nagel[Anatomie]::N,நகம்,nagel
34,Zeh::N,கால்விரல்,tå
35,Fuß::N,கால்,fot
36,Ferse::N,குதிகால்,häl
37,Knie::N,முழங்கால்,knä
38,Oberschenkel::N,தொடை,lår
39,Bein::N,கால்,ben
40,Körper::N,உடல்,kropp
41,Haut::N,சருமம்,hud
42,Haut::N,சருமம்,skinn
43,Blut::N,இரத்தம்,blod
44,Ader::N,நாளம்,åder
45,Sehne::N,தசைநார்,sena
46,Knochen::N,எலுமபு,ben
47,Gehirn::N,மூனை,hjärna
48,Herz::N,இதயம,hjärta
49,Magen::N,வயிறு,mage
50,Leber::N,கல்லீரல்,lever
51,Atem::N,மூச்சு,anda
52,Atem::N,மூச்சு,andedräkt
53,Hunger::N,பசி,svält
54,Hunger::N,பசி,hunger
55,Träne::N,கண்ணீர்,tår
56,Geschmack::N,நறுமணம்,smak
57,Geruch::N,துர்நாற்றம்,lukt
58,Schlaf::N,தூக்கம்,sömn
59,Traum::N,கனவு,dröm
60,Himmel::N,வானம்,himmel
61,Sonne::N,சூரியன்,sol
62,Mond::N,சந்திரன்,måne
63,Stern::N,நட்சத்திரம்,stjärna
64,Luft::N,காறறு,luft
65,Wind::N,காற்று,vind
66,Welle::N,அலை,våg
67,Welle::N,அலை,bölja
68,Wasser::N,நீர்,vatten
69,Stein::N,கல்,sten
70,Boden::N,தரை,mark
71,Erde::N,மண்,jord
72,Staub::N,தூசி,damm
73,Rauch::N,புகை,rök
74,Funke::N,தீப்பொறி,gnista
75,Feuer::N,தீ,eld
76,Licht::N,வெளிச்சம்,ljus
77,Schatten::N,நிழல்,skugga
78,Wetter::N,வானிலை,väder
79,Nebel::N,பனிமூட்டம்,dimma
80,Nebel::N,பனிமூட்டம்,töcken
81,Wolke::N,மேகம்,sky
82,Wolke::N,மேகம்,moln
83,Regen::N,மழை,regn
84,Schnee::N,உறைபனி,snö
85,Eis::N,பனிக்கட்டி,is
86,Frost::N,உறைபனி,frost
87,Kälte::N,குளிர்ந்த,köld
88,Hitze::N,சூடு,hetta
89,Raureif::N,உறைபனி வெண்திரை,rimfrost
90,Regenbogen::N,வானவில்,regnbåge
91,Donner::N,இடி,åska
92,Donner::N,இடி,dunder
93,Strömung::N,நீரோட்டம்,strömning
94,Tropfen::N,துளி,dropper
95,Schaum::N,நுரை,skum
96,Schmutz::N,அழுக்கு,lort
97,Schmutz::N,அழுக்கு,smuts
98,See::N,ஏரி,sjö
99,Sumpf::N,சதுப்பு நிலம்,träsk
100,Moor::N,முட்புதற்காடு,myr
101,Moor::N,முட்புதற்காடு,mosse
102,Wiese::N,பசும் புல்தரை,äng
103,Wald::N,காடு,skog
104,Hügel::N,குன்று,höjd
105,Hügel::N,குன்று,kulle
106,Anhöhe::N,பதுக்கை,höjd
107,Anhöhe::N,பதுக்கை,backe
108,Berg::N,மலை,berg
109,Berg::N,மலை,fjäll
110,Gipfel::N,உச்சி மாநாடு,topp
111,Höhle::N,குகை,håla
112,Höhle::N,குகை,grotta
113,Abhang::N,சரிவு,slänt
114,Abhang::N,சரிவு,sluttning
115,Quelle::N,மூலம்,källa
116,Bach::N,ஓடை,bäck
117,Fluss::N,ஆறு,älv
118,Fluss::N,ஆறு,flod
119,Ufer::N,நீர்க்கரை,strand
120,Küste::N,கடற்கரை,kust
121,Festland::N,நிலம்,fastland
122,Meer::N,கடல்,hav
123,Bucht::N,சிறுகுடா,vik
124,Bucht::N,சிறுகுடா,bukt
125,Insel::N,தீவு,ö
126,Blume::N,பூ,blomma
127,Blume::N,பூ,blomster
128,Gras::N,புல்தரை,gräs
129,Wurzel::N,வேர்,rot
130,Baum::N,மரம்,träd
131,Stamm::N,அடிமரம்,stam
132,Rinde::N,பட்டை,bark
133,Rinde::N,மரப்பட்டை,bark
134,Ast::N,கினை,gren
135,Zweig::N,குச்சி,kvist
136,Blatt::N,இலை,löv
137,Blatt::N,இலை,blad
138,Birke::N,பிர்ச் மரம்,björk
139,Kiefer[Baum]::N,தேவதாரு மரம்,tall
140,Weide[Baum]::N,மர வகைகளுள் ஒன்று,pil
141,Weide[Baum]::N,மர வகைகளுள் ஒன்று,vide
142,Tanne::N,சாதிக்கய்,gran
143,Horn::N,கொம்பு,horn
144,Feder::N,இறகு,fjäder
145,Fell::N,மென்முடி,fäll
146,Fell::N,மென்முடி,skinn
147,Flügel::N,இறக்கை,vinge
148,Klaue::N,நகம்,klöv
149,Kralle::N,நகம்,klo
