,Concept_ID,sk,he
0,Auge::N,oko,עין
1,Ohr::N,ucho,אזן
2,Nase::N,nos,אף
3,Nase::N,nos,חטם
4,Mund::N,ústa,פה
5,Zahn::N,zub,שן
6,Zunge::N,jazyk,לשון
7,Lippe::N,pera,שפה
8,Wange::N,líce,לחי
9,Gesicht::N,tvár,פנים
10,Gesicht::N,obličaj,פנים
11,Stirn::N,čelo,מצח
12,Haar::N,vlas,שערה
13,Schnurrbart::N,fúzy,שפם
14,Bart::N,brada,זקן
15,Kinn::N,brada,סנטר
16,Kiefer[Anatomie]::N,čeľusť,לסת
17,Kehle::N,hrdlo,גרון
18,Hals::N,krk,צואר
19,Genick::N,väzy,ערף
20,Kopf::N,hlava,ראש
21,Rücken::N,chrbát,גב
22,Bauch::N,brucho,בטן
23,Nabel::N,pupok,טבור
24,Busen::N,prsia,שד
25,Brust::N,hruď,חזה
26,Schulter::N,plece,כתף
27,Arm::N,rameno,זרוע
28,Ellenbogen::N,lakeť,מרפק
29,Hand::N,ruka,יד
30,Handfläche::N,dlaň,כף יד
31,Finger::N,prst,אצבע
32,Fingernagel::N,necht,צפרן
33,Nagel[Anatomie]::N,necht,צפרן
34,Zeh::N,prst na nohe,אצבע
35,Fuß::N,noha,רגל
36,Ferse::N,päta,עקב
37,Knie::N,koleno,ברך
38,Oberschenkel::N,stehno,ירך
39,Bein::N,noha,רגל
40,Körper::N,telo,גוף
41,Haut::N,koža,עור
42,Blut::N,krv,דם
43,Ader::N,žila,וריד
44,Sehne::N,šľacha,גיד
45,Knochen::N,kosť,עצם
46,Gehirn::N,mozog,מוח
47,Herz::N,srdce,לב
48,Magen::N,žalúdok,קבה
49,Leber::N,pečeň,כבד
50,Atem::N,dych,נשימה
51,Hunger::N,hlad,רעב
52,Träne::N,slza,דמעה
53,Geschmack::N,chuť,טעם
54,Geruch::N,pach,ריח
55,Schlaf::N,spánok,שנה
56,Traum::N,sen,חלום
57,Himmel::N,nebo,שמים
58,Sonne::N,slnko,שמש
59,Mond::N,mesiac,ירח
60,Stern::N,hviezda,כוכב
61,Luft::N,vzduch,אויר
62,Wind::N,vietor,רוח
63,Welle::N,vlna,גל
64,Wasser::N,voda,מים
65,Stein::N,kameň,אבן
66,Boden::N,zem,קרקע
67,Boden::N,pôda,קרקע
68,Erde::N,zem,אדמה
69,Staub::N,prach,אבק
70,Rauch::N,dym,עשן
71,Funke::N,iskra,ניצוץ
72,Feuer::N,oheň,אש
73,Licht::N,svetlo,אור
74,Schatten::N,tieň,צל
75,Wetter::N,počasie,מזג אויר
76,Nebel::N,hmla,ערפל
77,Wolke::N,oblak,ענן
78,Wolke::N,mračno,ענן
79,Regen::N,dážď,גשם
80,Schnee::N,sneh,שלג
81,Eis::N,ľad,קרח
82,Frost::N,mráz,צנה
83,Kälte::N,zima,קר
84,Kälte::N,chlad,קר
85,Hitze::N,horúčava,חם
86,Raureif::N,srieň,כפור
87,Raureif::N,inovať,כפור
88,Regenbogen::N,dúha,קשת
89,Donner::N,hrom,רעם
90,Strömung::N,prúdenie,זרימה
91,Tropfen::N,kvapka,טפה
92,Schaum::N,pena,קצף
93,Schmutz::N,špina,לכלוך
94,Schmutz::N,nečistota,לכלוך
95,See::N,jazero,אגם
96,Sumpf::N,bahno,בצה
97,Moor::N,močiar,בצה
98,Wiese::N,lúka,מרעה
99,Wald::N,les,יער
100,Wald::N,hora,יער
101,Hügel::N,vŕšok,תל
102,Anhöhe::N,výšina,מעלה
103,Anhöhe::N,vyvýšenina,מעלה
104,Berg::N,hora,הר
105,Gipfel::N,vrchol,פסגה
106,Höhle::N,jaskyňa,מערה
107,Abhang::N,úbočie,מדרון
108,Abhang::N,úbočie,שפוע
109,Quelle::N,prameň,מעין
110,Bach::N,potok,נחל
111,Fluss::N,rieka,נהר
