,Concept_ID,,lv
0,Auge::N,,син
1,Auge::N,,acs
2,Ohr::N,,пель
3,Ohr::N,,auss
4,Nase::N,,ныр
5,Nase::N,,deguns
6,Mund::N,,вом
7,Mund::N,,mute
8,Zahn::N,,пинь
9,Zahn::N,,zobs
10,Zunge::N,,кыв
11,Zunge::N,,mēle
12,Lippe::N,,вом дор
13,Lippe::N,,lūpa
14,Wange::N,,бан
15,Wange::N,,vaigs
16,Gesicht::N,,чужӧм
17,Gesicht::N,,seja
18,Gesicht::N,,ģīmis
19,Stirn::N,,плеш
20,Stirn::N,,кымӧс
21,Stirn::N,,piere
22,Haar::N,,си
23,Haar::N,,юрси
24,Haar::N,,mats
25,Schnurrbart::N,,ус
26,Schnurrbart::N,,пыртсим
27,Schnurrbart::N,,ūsas
28,Bart::N,,тош
29,Bart::N,,bārda
30,Kinn::N,,тшӧка
31,Kinn::N,,zods
32,Kinn::N,,smakrs
33,Kiefer[Anatomie]::N,,черлы
34,Kiefer[Anatomie]::N,,алака лы
35,Kiefer[Anatomie]::N,,вомкӧтш лы
36,Kiefer[Anatomie]::N,,žoklis
37,Kehle::N,,голя
38,Kehle::N,,rīkle
39,Hals::N,,сьылі
40,Hals::N,,kakls
41,Genick::N,,юрбӧр
42,Genick::N,,балябӧж
43,Genick::N,,sprands
44,Kopf::N,,юр
45,Kopf::N,,galva
46,Rücken::N,,мыш
47,Rücken::N,,mugura
48,Bauch::N,,рушку
49,Bauch::N,,vēders
50,Nabel::N,,гӧг
51,Nabel::N,,naba
52,Busen::N,,морӧс
53,Busen::N,,krūts
54,Brust::N,,морӧс
55,Brust::N,,krūts
56,Schulter::N,,пельпом
57,Schulter::N,,plecs
58,Arm::N,,ки
59,Arm::N,,roka
60,Arm::N,,delms
61,Ellenbogen::N,,гырддза
62,Ellenbogen::N,,elkonis
63,Hand::N,,ки
64,Hand::N,,roka
65,Hand::N,,plauksta
66,Handfläche::N,,ки пыдӧс
67,Handfläche::N,,delna
68,Handfläche::N,,plauksta
69,Finger::N,,чунь
70,Finger::N,,pirksts
71,Fingernagel::N,,гыж
72,Fingernagel::N,,nags
73,Nagel[Anatomie]::N,,гыж
74,Nagel[Anatomie]::N,,nags
75,Zeh::N,,кок чунь
76,Zeh::N,,pirksts
77,Fuß::N,,кок
78,Fuß::N,,kāja
79,Ferse::N,,кокбӧр
80,Ferse::N,,papēdis
81,Knie::N,,пидзӧс
82,Knie::N,,celis
83,Oberschenkel::N,,лядьвей
84,Oberschenkel::N,,бек
85,Oberschenkel::N,,ciska
86,Oberschenkel::N,,augšstilbs
87,Bein::N,,кок
88,Bein::N,,kāja
89,Körper::N,,туша
90,Körper::N,,вывтыр
91,Körper::N,,miesa
92,Körper::N,,ķermenis
93,Haut::N,,ку
94,Haut::N,,āda
95,Blut::N,,вир
96,Blut::N,,asins
97,Ader::N,,сӧн
98,Ader::N,,asinsvads
99,Sehne::N,,вез
100,Sehne::N,,dzīsla
101,Knochen::N,,лы
102,Knochen::N,,kauls
