,Concept_ID,se,cv
0,Auge::N,tjelmie,куҫ
1,Auge::N,tjalmme,куҫ
2,Auge::N,čalbmi,куҫ
3,Auge::N,čalme,куҫ
4,Auge::N,čâ´lmm,куҫ
5,Auge::N,ча̄лльм,куҫ
6,Ohr::N,bieljie,хӑлха
7,Ohr::N,biellje,хӑлха
8,Ohr::N,beallji,хӑлха
9,Ohr::N,pelji,хӑлха
10,Ohr::N,pe´llj,хӑлха
11,Ohr::N,пе̄лльй,хӑлха
12,Nase::N,njuenie,сӑмса
13,Nase::N,njunnje,сӑмса
14,Nase::N,njunni,сӑмса
15,Nase::N,njuṇe,сӑмса
16,Nase::N,njuu´nn,сӑмса
17,Nase::N,нюннҍ,сӑмса
18,Mund::N,njaelmie,ҫӑвар
19,Mund::N,njálmme,ҫӑвар
20,Mund::N,njálbmi,ҫӑвар
21,Mund::N,njälmi,ҫӑвар
22,Mund::N,njä´lmm,ҫӑвар
23,Mund::N,ня̄лльм,ҫӑвар
24,Zahn::N,baenie,шӑл
25,Zahn::N,bádne,шӑл
26,Zahn::N,bátni,шӑл
27,Zahn::N,pääṇi,шӑл
28,Zahn::N,pää´nn,шӑл
29,Zahn::N,па̄ннҍ,шӑл
30,Zunge::N,njoektjeme,чӗлхе
31,Zunge::N,njuovtjav,чӗлхе
32,Zunge::N,njuovčča,чӗлхе
33,Zunge::N,njuovčâ,чӗлхе
34,Zunge::N,njuhččâm,чӗлхе
35,Zunge::N,нюхчем,чӗлхе
36,Lippe::N,bangseme,тута
37,Lippe::N,njálmmerabdda,тута
38,Lippe::N,bavssa,тута
39,Lippe::N,poovsâ,тута
40,Lippe::N,põõus,тута
41,Lippe::N,пэ̄кс,тута
42,Wange::N,skiehrie,пит ҫӑмарти
43,Wange::N,nierra,пит ҫӑмарти
44,Wange::N,muohtu,пит ҫӑмарти
45,Wange::N,nieṛâ,пит ҫӑмарти
46,Wange::N,njiõrr,пит ҫӑмарти
47,Wange::N,нӣрр,пит ҫӑмарти
48,Gesicht::N,ååredæjja,пит
49,Gesicht::N,ååredæjja,пит-куҫ
50,Gesicht::N,muohto,пит
51,Gesicht::N,muohto,пит-куҫ
52,Gesicht::N,muođut,пит
53,Gesicht::N,muođut,пит-куҫ
54,Gesicht::N,ámadadju,пит
55,Gesicht::N,ámadadju,пит-куҫ
56,Gesicht::N,muáđuh,пит
57,Gesicht::N,muáđuh,пит-куҫ
58,Gesicht::N,muâđ,пит
59,Gesicht::N,muâđ,пит-куҫ
60,Gesicht::N,ка̄ссв,пит
61,Gesicht::N,ка̄ссв,пит-куҫ
62,Stirn::N,gaalloe,ҫамка
63,Stirn::N,gállo,ҫамка
64,Stirn::N,gállu,ҫамка
65,Stirn::N,kállu,ҫамка
66,Stirn::N,käll,ҫамка
67,Stirn::N,вуэххьц,ҫамка
68,Haar::N,voepte,ҫӳҫ
69,Haar::N,vuoppta,ҫӳҫ
70,Haar::N,vuokta,ҫӳҫ
71,Haar::N,vuop'tâ,ҫӳҫ
72,Haar::N,vuõpt,ҫӳҫ
73,Haar::N,вӯппт,ҫӳҫ
74,Schnurrbart::N,bijjie-skaavtjoe,усси
75,Schnurrbart::N,njunjevuolskávttjá,усси
76,Schnurrbart::N,seamu,усси
77,Schnurrbart::N,siämu,усси
78,Schnurrbart::N,ää´bben,усси
79,Schnurrbart::N,о̄а̄бпан,усси
80,Bart::N,skaavtja,сухал
81,Bart::N,skaavtjoe,сухал
82,Bart::N,skávttjá,сухал
83,Bart::N,seamu,сухал
84,Bart::N,siämu,сухал
85,Bart::N,seäm,сухал
86,Bart::N,ся̄м,сухал
87,Kinn::N,gaejpie,янах
88,Kinn::N,gájbbe,янах
89,Kinn::N,gáibi,янах
90,Kinn::N,käibi,янах
91,Kinn::N,käi´bb,янах
92,Kinn::N,ка̄ййп,янах
93,Kiefer[Anatomie]::N,gaejpie,янах
94,Kiefer[Anatomie]::N,oalol,янах
95,Kiefer[Anatomie]::N,oaloldákte,янах
96,Kiefer[Anatomie]::N,gáibi,янах
97,Kiefer[Anatomie]::N,uá'lultähti,янах
98,Kiefer[Anatomie]::N,vuâl'lõš,янах
99,Kiefer[Anatomie]::N,вуаллнешш,янах
100,Kehle::N,gealoe,пыр
101,Kehle::N,gealoe,карланкӑ
102,Kehle::N,tjåttå,пыр
103,Kehle::N,tjåttå,карланкӑ
104,Kehle::N,njiello,пыр
105,Kehle::N,njiello,карланкӑ
106,Kehle::N,čotta,пыр
107,Kehle::N,čotta,карланкӑ
108,Kehle::N,čuudâ,пыр
109,Kehle::N,čuudâ,карланкӑ
110,Kehle::N,čoodd,пыр
111,Kehle::N,čoodd,карланкӑ
112,Kehle::N,чонт,пыр
113,Kehle::N,чонт,карланкӑ
114,Kehle::N,кэ̄ҏс,пыр
115,Kehle::N,кэ̄ҏс,карланкӑ
116,Hals::N,tjeapohke,пыр
117,Hals::N,tjiebet,пыр
118,Hals::N,čeabet,пыр
119,Hals::N,čiäppát,пыр
120,Hals::N,čeäppat,пыр
121,Hals::N,ча̄пэх,пыр
122,Genick::N,tjovrese,ӗнсе
123,Genick::N,nisske,ӗнсе
124,Genick::N,niehkki,ӗнсе
125,Genick::N,niski,ӗнсе
126,Genick::N,niek'ki,ӗнсе
127,Genick::N,nji´šǩǩmaadd,ӗнсе
128,Genick::N,нышшькмоант,ӗнсе
129,Kopf::N,åejjie,пуҫ
130,Kopf::N,oajvve,пуҫ
131,Kopf::N,oaivi,пуҫ
132,Kopf::N,uái'vi,пуҫ
133,Kopf::N,vuei´vv,пуҫ
134,Kopf::N,вуэййв,пуҫ
135,Rücken::N,rudtje,ҫурӑм
136,Rücken::N,hárddo,ҫурӑм
137,Rücken::N,tjavelk,ҫурӑм
138,Rücken::N,sealgi,ҫурӑм
139,Rücken::N,selgi,ҫурӑм
140,Rücken::N,čielgi,ҫурӑм
141,Rücken::N,seä´lǧǧ,ҫурӑм
142,Rücken::N,се̄лльк,ҫурӑм
143,Bauch::N,tjåejjie,
144,Bauch::N,tjoajvve,
145,Bauch::N,čoavji,
146,Bauch::N,čuáv'ji,
147,Bauch::N,čåu´jj,
148,Bauch::N,чо̄ввьй,
149,Nabel::N,naepie,кӑвапа
150,Nabel::N,náhpe,кӑвапа
151,Nabel::N,náhpi,кӑвапа
152,Nabel::N,nääpi,кӑвапа
153,Nabel::N,nää´pp,кӑвапа
154,Nabel::N,на̄бпь,кӑвапа
155,Busen::N,boenge,кӑкӑр
156,Busen::N,bållå,кӑкӑр
157,Busen::N,čižži,кӑкӑр
158,Busen::N,njamma,кӑкӑр
159,Busen::N,njižže,кӑкӑр
160,Busen::N,nje´ǯǯ,кӑкӑр
161,Busen::N,раннҍт,кӑкӑр
162,Brust::N,mïelke,умӗ
163,Brust::N,radde,умӗ
164,Brust::N,mielgga,умӗ
165,Brust::N,raddi,умӗ
166,Brust::N,radde,умӗ
167,Brust::N,râ´dd,умӗ
168,Brust::N,раннҍт,умӗ
169,Schulter::N,åelkie,хул пуҫҫи
170,Schulter::N,oalgge,хул пуҫҫи
171,Schulter::N,hárdu,хул пуҫҫи
172,Schulter::N,ärdee,хул пуҫҫи
173,Schulter::N,uál'gi,хул пуҫҫи
174,Schulter::N,a´rddi,хул пуҫҫи
175,Schulter::N,vuä´lǧǧ,хул пуҫҫи
176,Schulter::N,вуэллык,хул пуҫҫи
177,Arm::N,gïete,алӑ
178,Arm::N,giehta,алӑ
179,Arm::N,giehta,алӑ
180,Arm::N,kietâ,алӑ
181,Arm::N,kie'tâkaaṿâ,алӑ
182,Arm::N,ǩiõtt,алӑ
183,Arm::N,кӣдт,алӑ
184,Ellenbogen::N,gernjere,чавса
185,Ellenbogen::N,garŋŋel,чавса
186,Ellenbogen::N,gargŋil,чавса
187,Ellenbogen::N,käŋŋir,чавса
188,Ellenbogen::N,kõõnjâr,чавса
189,Ellenbogen::N,карьнэль,чавса
190,Hand::N,gïete,алӑ сыппи
191,Hand::N,giehta,алӑ сыппи
192,Hand::N,giehta,алӑ сыппи
193,Hand::N,kietâ,алӑ сыппи
194,Hand::N,ǩiõtt,алӑ сыппи
195,Hand::N,кӣдт,алӑ сыппи
196,Handfläche::N,gïeten-låapoe,ал лаппи
197,Handfläche::N,giehtavuodo,ал лаппи
198,Handfläche::N,tjårmmåvuodo,ал лаппи
199,Handfläche::N,giehtaloahpu,ал лаппи
200,Handfläche::N,kiämád,ал лаппи
201,Handfläche::N,kuámmir,ал лаппи
202,Handfläche::N,kuä´m'mer,ал лаппи
203,Handfläche::N,ǩiõttǩeä´m'men,ал лаппи
204,Handfläche::N,ко̄а̄ллдэгк,ал лаппи
205,Handfläche::N,кӣдткоалдэгк,ал лаппи
206,Finger::N,soerme,пӳрне
207,Finger::N,tjuvdde,пӳрне
208,Finger::N,suorbma,пӳрне
209,Finger::N,čuvde,пӳрне
210,Finger::N,suor'mâ,пӳрне
211,Finger::N,suõrmm,пӳрне
212,Finger::N,це̄ххп,пӳрне
213,Fingernagel::N,gadtse,чӗрне
214,Fingernagel::N,guehpere,чӗрне
215,Fingernagel::N,gadtsa,чӗрне
216,Fingernagel::N,gazza,чӗрне
217,Fingernagel::N,kozzâ,чӗрне
218,Fingernagel::N,kõʒʒ,чӗрне
219,Fingernagel::N,кэ̄ннц,чӗрне
220,Nagel[Anatomie]::N,gadtse,чӗрне
221,Nagel[Anatomie]::N,guehpere,чӗрне
222,Nagel[Anatomie]::N,gadtsa,чӗрне
223,Nagel[Anatomie]::N,gazza,чӗрне
224,Nagel[Anatomie]::N,kozzâ,чӗрне
225,Nagel[Anatomie]::N,kõʒʒ,чӗрне
226,Nagel[Anatomie]::N,кэ̄ннц,чӗрне
227,Zeh::N,tjiehtjere,пӳрне
228,Zeh::N,juolggetjuvdde,пӳрне
229,Zeh::N,juolgesuorbma,пӳрне
230,Zeh::N,jyel'gisuor'mâ,пӳрне
231,Zeh::N,jue´lǧǧsuõrmm,пӳрне
232,Zeh::N,ю̄лльк-це̄һп,пӳрне
233,Fuß::N,juelkie,ура лаппи
234,Fuß::N,juolgge,ура лаппи
235,Fuß::N,juolgi,ура лаппи
236,Fuß::N,jyel'gi,ура лаппи
237,Fuß::N,jue´lǧǧ,ура лаппи
238,Fuß::N,ла̄бпь,ура лаппи
239,Ferse::N,båetskie,кӗле
240,Ferse::N,boasske,кӗле
241,Ferse::N,šušmi,кӗле
242,Ferse::N,šušme,кӗле
243,Ferse::N,jue´lǧǧkädd,кӗле
244,Ferse::N,ка̄ннт,кӗле
245,Knie::N,boelve,чӗркуҫҫи
246,Knie::N,buolvva,чӗркуҫҫи
247,Knie::N,čibbi,чӗркуҫҫи
248,Knie::N,veaŋki,чӗркуҫҫи
249,Knie::N,iidâ,чӗркуҫҫи
250,Knie::N,puõlvv,чӗркуҫҫи
251,Knie::N,пуллв,чӗркуҫҫи
252,Oberschenkel::N,ruaksja,пӗҫӗ
253,Oberschenkel::N,tjibbe,пӗҫӗ
254,Oberschenkel::N,gassaváhkká,пӗҫӗ
255,Oberschenkel::N,badjeváhkáa,пӗҫӗ
256,Oberschenkel::N,čuár'bpeeḷi,пӗҫӗ
257,Oberschenkel::N,če´bb,пӗҫӗ
258,Oberschenkel::N,чуаррбе̄лль,пӗҫӗ
259,Bein::N,juelkie,ура
260,Bein::N,juolgge,ура
261,Bein::N,juolgi,ура
262,Bein::N,jyel'gi,ура
263,Bein::N,jue´lǧǧ,ура
264,Bein::N,ю̄лльк,ура
265,Körper::N,kråahpe,ӳт
266,Körper::N,kråahpe,ӳт-пӳ
267,Körper::N,rumáj,ӳт
268,Körper::N,rumáj,ӳт-пӳ
