,Concept_ID,de,mhr
0,Auge::N,Auge,шинча́
1,Ohr::N,Ohr,пы́лыш
2,Nase::N,Nase,нер
3,Mund::N,Mund,умша́
4,Zahn::N,Zahn,пӱй
5,Zunge::N,Zunge,йы́лме
6,Lippe::N,Lippe,тӱ́рвӧ
7,Wange::N,Wange,шӱ́ргӧ
8,Gesicht::N,Gesicht,чури́й
9,Stirn::N,Stirn,саҥга́
10,Haar::N,Haar,ӱп
11,Schnurrbart::N,Schnurrbart,ӧ́рыш
12,Bart::N,Bart,понда́ш
13,Kinn::N,Kinn,оҥыла́ш
14,Kiefer[Anatomie]::N,Kiefer,пӱйдӱ́ҥ
15,Kiefer[Anatomie]::N,Kiefer,пӱйората́
16,Kehle::N,Kehle,лога́р
17,Hals::N,Hals,шӱй
18,Genick::N,Genick,шӱйло́дыш
19,Kopf::N,Kopf,вуй
20,Rücken::N,Rücken,туп
21,Bauch::N,Bauch,мӱ́шкыр
22,Nabel::N,Nabel,кы́лымде
23,Busen::N,Busen,чы́зе
24,Brust::N,Brust,оҥ
25,Schulter::N,Schulter,ва́че
26,Arm::N,Arm,кид
27,Ellenbogen::N,Ellenbogen,кынерву́й
28,Hand::N,Hand,кид
29,Hand::N,Hand,копа́
30,Handfläche::N,Handfläche,со́во
31,Finger::N,Finger,парня́
32,Fingernagel::N,Fingernagel,кидкӱ́ч
33,Fingernagel::N,Fingernagel,парнягӱ́ч
34,Nagel[Anatomie]::N,Nagel,кӱч
35,Zeh::N,Zeh,йолварня́
36,Fuß::N,Fuß,йол
37,Fuß::N,Fuß,йолкопа́
38,Ferse::N,Ferse,тага́н
39,Knie::N,Knie,пулву́й
40,Oberschenkel::N,Oberschenkel,э́рде
41,Bein::N,Bein,йол
42,Körper::N,Körper,кап
43,Haut::N,Haut,кова́ште
44,Blut::N,Blut,вӱр
45,Ader::N,Ader,шӧн
46,Sehne::N,Sehne,шӧн
47,Sehne::N,Sehne,кӱсе́н
48,Knochen::N,Knochen,лу
49,Gehirn::N,Gehirn,вем
50,Gehirn::N,Gehirn,вуйве́м
51,Herz::N,Herz,шӱм
52,Magen::N,Magen,пага́р
53,Leber::N,Leber,мокш
54,Atem::N,Atem,шӱ́лыш
55,Hunger::N,Hunger,шужыма́ш
56,Träne::N,Träne,шинчавӱ́д
57,Geschmack::N,Geschmack,там
58,Geruch::N,Geruch,пуш
59,Schlaf::N,Schlaf,о́мо
60,Traum::N,Traum,йӱдо́мо
61,Himmel::N,Himmel,кава́
62,Sonne::N,Sonne,ке́че
63,Mond::N,Mond,ты́лзе
64,Stern::N,Stern,шӱ́дыр
65,Luft::N,Luft,юж
66,Wind::N,Wind,марде́ж
67,Welle::N,Welle,то́лкын
68,Wasser::N,Wasser,вӱд
69,Stein::N,Stein,кӱ
70,Boden::N,Boden,рок
71,Erde::N,Erde,мла́нде
72,Staub::N,Staub,пура́к
73,Rauch::N,Rauch,шикш
74,Funke::N,Funke,сеске́м
75,Funke::N,Funke,тулйы́п
76,Feuer::N,Feuer,тул
77,Licht::N,Licht,со́то
78,Schatten::N,Schatten,ӱ́мыл
79,Wetter::N,Wetter,иге́че
80,Nebel::N,Nebel,тӱтыра́
81,Wolke::N,Wolke,пыл
