,Concept_ID,zh,hi
0,Auge::N,眼睛,आँख
1,Auge::N,眼睛,चक्षु
2,Ohr::N,耳朵,कान
3,Ohr::N,耳朵,कर्ण
4,Nase::N,鼻子,नाक
5,Nase::N,鼻子,नासा
6,Mund::N,嘴,मुख
7,Mund::N,嘴,मुँह
8,Zahn::N,牙齿,दंत
9,Zahn::N,牙齿,दाँत
10,Zunge::N,舌头,जीभ
11,Zunge::N,舌头,ज़बान
12,Zunge::N,舌头,जिह्वा
13,Lippe::N,嘴唇,ओंठ
14,Lippe::N,嘴唇,होंठ
15,Wange::N,面颊,गाल
16,Wange::N,面颊,कपोल
17,Gesicht::N,脸,मुँह
18,Gesicht::N,脸,चेहरा
19,Stirn::N,额,माथा
20,Stirn::N,额,मस्तक
21,Haar::N,头发,बाल
22,Schnurrbart::N,髭须,मूँछें
23,Bart::N,胡子,दाढ़ी
24,Kinn::N,下巴,चिबुक
25,Kiefer[Anatomie]::N,颌,जबड़ा
26,Kehle::N,嗓子,गला
27,Hals::N,颈,गला
28,Hals::N,颈,गरदन
29,Genick::N,后颈,गरदन
30,Genick::N,后颈,ग्रीवा
31,Kopf::N,头,सिर
32,Kopf::N,头,शीर्ष
33,Rücken::N,背,पीठ
34,Bauch::N,肚子,उदर
35,Nabel::N,肚脐,नाभि
36,Nabel::N,肚脐,ढोंढी
37,Busen::N,胸脯,कुच
38,Busen::N,胸脯,स्तन
39,Brust::N,胸,वक्ष
40,Schulter::N,肩膀,कंधा
41,Schulter::N,肩膀,स्कंध
42,Arm::N,臂膀,बाँह
43,Arm::N,臂膀,बाज़ू
44,Ellenbogen::N,肘,कुहनी
45,Hand::N,手,हाथ
46,Hand::N,手,हस्त
47,Handfläche::N,手掌,हथेली
48,Finger::N,手指,उँगली
49,Finger::N,手指,अँगुली
50,Fingernagel::N,指甲,नख
51,Fingernagel::N,指甲,नाख़ून
52,Nagel[Anatomie]::N,指甲,नख
53,Nagel[Anatomie]::N,指甲,नाख़ून
54,Zeh::N,脚趾,उँगली
55,Zeh::N,脚趾,पाँव की उँगली
56,Fuß::N,脚,चरण
57,Fuß::N,脚,पाँव
58,Ferse::N,后跟,एड़ी
59,Knie::N,膝,जानु
60,Knie::N,膝,घुटना
61,Oberschenkel::N,大腿,उरु
62,Bein::N,腿,टाँग
63,Körper::N,身体,तन
64,Körper::N,身体,देह
65,Körper::N,身体,शरीर
66,Haut::N,皮肤,चर्म
67,Haut::N,皮肤,त्वचा
68,Blut::N,血,लहू
69,Blut::N,血,ख़ून
70,Ader::N,血管,रग
71,Ader::N,血管,शिरा
72,Sehne::N,腱,कंडरा
73,Sehne::N,腱,स्नायु
74,Knochen::N,骨,अस्थि
75,Gehirn::N,脑,दिमाग़
76,Gehirn::N,脑,मस्तिष्क
77,Herz::N,心,दिल
