,Concept_ID,se,bg
0,Auge::N,tjelmie,око
1,Auge::N,tjalmme,око
2,Auge::N,čalbmi,око
3,Auge::N,čalme,око
4,Auge::N,čâ´lmm,око
5,Auge::N,ча̄лльм,око
6,Ohr::N,bieljie,ухо
7,Ohr::N,biellje,ухо
8,Ohr::N,beallji,ухо
9,Ohr::N,pelji,ухо
10,Ohr::N,pe´llj,ухо
11,Ohr::N,пе̄лльй,ухо
12,Nase::N,njuenie,нос
13,Nase::N,njunnje,нос
14,Nase::N,njunni,нос
15,Nase::N,njuṇe,нос
16,Nase::N,njuu´nn,нос
17,Nase::N,нюннҍ,нос
18,Mund::N,njaelmie,уста
19,Mund::N,njálmme,уста
20,Mund::N,njálbmi,уста
21,Mund::N,njälmi,уста
22,Mund::N,njä´lmm,уста
23,Mund::N,ня̄лльм,уста
24,Zahn::N,baenie,зъб
25,Zahn::N,bádne,зъб
26,Zahn::N,bátni,зъб
27,Zahn::N,pääṇi,зъб
28,Zahn::N,pää´nn,зъб
29,Zahn::N,па̄ннҍ,зъб
30,Zunge::N,njoektjeme,език
31,Zunge::N,njuovtjav,език
32,Zunge::N,njuovčča,език
33,Zunge::N,njuovčâ,език
34,Zunge::N,njuhččâm,език
35,Zunge::N,нюхчем,език
36,Lippe::N,bangseme,устна
37,Lippe::N,njálmmerabdda,устна
38,Lippe::N,bavssa,устна
39,Lippe::N,poovsâ,устна
40,Lippe::N,põõus,устна
41,Lippe::N,пэ̄кс,устна
42,Wange::N,skiehrie,буза
43,Wange::N,nierra,буза
44,Wange::N,muohtu,буза
45,Wange::N,nieṛâ,буза
46,Wange::N,njiõrr,буза
47,Wange::N,нӣрр,буза
48,Gesicht::N,ååredæjja,лице
49,Gesicht::N,ååredæjja,образ
50,Gesicht::N,muohto,лице
51,Gesicht::N,muohto,образ
52,Gesicht::N,muođut,лице
53,Gesicht::N,muođut,образ
54,Gesicht::N,ámadadju,лице
55,Gesicht::N,ámadadju,образ
56,Gesicht::N,muáđuh,лице
57,Gesicht::N,muáđuh,образ
58,Gesicht::N,muâđ,лице
59,Gesicht::N,muâđ,образ
60,Gesicht::N,ка̄ссв,лице
61,Gesicht::N,ка̄ссв,образ
62,Stirn::N,gaalloe,чело
63,Stirn::N,gállo,чело
64,Stirn::N,gállu,чело
65,Stirn::N,kállu,чело
66,Stirn::N,käll,чело
67,Stirn::N,вуэххьц,чело
68,Haar::N,voepte,коса
69,Haar::N,voepte,косъм
70,Haar::N,vuoppta,коса
71,Haar::N,vuoppta,косъм
72,Haar::N,vuokta,коса
73,Haar::N,vuokta,косъм
74,Haar::N,vuop'tâ,коса
75,Haar::N,vuop'tâ,косъм
76,Haar::N,vuõpt,коса
77,Haar::N,vuõpt,косъм
78,Haar::N,вӯппт,коса
79,Haar::N,вӯппт,косъм
80,Schnurrbart::N,bijjie-skaavtjoe,мустаци
81,Schnurrbart::N,njunjevuolskávttjá,мустаци
82,Schnurrbart::N,seamu,мустаци
83,Schnurrbart::N,siämu,мустаци
84,Schnurrbart::N,ää´bben,мустаци
85,Schnurrbart::N,о̄а̄бпан,мустаци
86,Bart::N,skaavtja,брада
87,Bart::N,skaavtjoe,брада
88,Bart::N,skávttjá,брада
89,Bart::N,seamu,брада
90,Bart::N,siämu,брада
91,Bart::N,seäm,брада
92,Bart::N,ся̄м,брада
93,Kinn::N,gaejpie,брада
94,Kinn::N,gaejpie,брадичка
95,Kinn::N,gájbbe,брада
96,Kinn::N,gájbbe,брадичка
97,Kinn::N,gáibi,брада
98,Kinn::N,gáibi,брадичка
99,Kinn::N,käibi,брада
100,Kinn::N,käibi,брадичка
101,Kinn::N,käi´bb,брада
102,Kinn::N,käi´bb,брадичка
103,Kinn::N,ка̄ййп,брада
104,Kinn::N,ка̄ййп,брадичка
105,Kiefer[Anatomie]::N,gaejpie,челюст
106,Kiefer[Anatomie]::N,oalol,челюст
107,Kiefer[Anatomie]::N,oaloldákte,челюст
108,Kiefer[Anatomie]::N,gáibi,челюст
109,Kiefer[Anatomie]::N,uá'lultähti,челюст
110,Kiefer[Anatomie]::N,vuâl'lõš,челюст
111,Kiefer[Anatomie]::N,вуаллнешш,челюст
112,Kehle::N,gealoe,гърло
113,Kehle::N,tjåttå,гърло
114,Kehle::N,njiello,гърло
115,Kehle::N,čotta,гърло
116,Kehle::N,čuudâ,гърло
117,Kehle::N,čoodd,гърло
118,Kehle::N,чонт,гърло
119,Kehle::N,кэ̄ҏс,гърло
120,Hals::N,tjeapohke,врат
121,Hals::N,tjiebet,врат
122,Hals::N,čeabet,врат
123,Hals::N,čiäppát,врат
124,Hals::N,čeäppat,врат
125,Hals::N,ча̄пэх,врат
126,Genick::N,tjovrese,тил
127,Genick::N,nisske,тил
128,Genick::N,niehkki,тил
129,Genick::N,niski,тил
130,Genick::N,niek'ki,тил
131,Genick::N,nji´šǩǩmaadd,тил
132,Genick::N,нышшькмоант,тил
133,Kopf::N,åejjie,глава
134,Kopf::N,oajvve,глава
135,Kopf::N,oaivi,глава
136,Kopf::N,uái'vi,глава
137,Kopf::N,vuei´vv,глава
138,Kopf::N,вуэййв,глава
139,Rücken::N,rudtje,гръб
140,Rücken::N,hárddo,гръб
141,Rücken::N,tjavelk,гръб
142,Rücken::N,sealgi,гръб
143,Rücken::N,selgi,гръб
144,Rücken::N,čielgi,гръб
145,Rücken::N,seä´lǧǧ,гръб
146,Rücken::N,се̄лльк,гръб
147,Bauch::N,tjåejjie,корем
148,Bauch::N,tjoajvve,корем
149,Bauch::N,čoavji,корем
150,Bauch::N,čuáv'ji,корем
151,Bauch::N,čåu´jj,корем
152,Bauch::N,чо̄ввьй,корем
153,Nabel::N,naepie,пъп
154,Nabel::N,náhpe,пъп
155,Nabel::N,náhpi,пъп
156,Nabel::N,nääpi,пъп
157,Nabel::N,nää´pp,пъп
158,Nabel::N,на̄бпь,пъп
159,Busen::N,boenge,бозка
160,Busen::N,bållå,бозка
161,Busen::N,čižži,бозка
162,Busen::N,njamma,бозка
163,Busen::N,njižže,бозка
164,Busen::N,nje´ǯǯ,бозка
165,Busen::N,раннҍт,бозка
166,Brust::N,mïelke,гръд
167,Brust::N,radde,гръд
168,Brust::N,mielgga,гръд
169,Brust::N,raddi,гръд
170,Brust::N,radde,гръд
171,Brust::N,râ´dd,гръд
172,Brust::N,раннҍт,гръд
173,Schulter::N,åelkie,рамо
174,Schulter::N,åelkie,плещи
175,Schulter::N,oalgge,рамо
176,Schulter::N,oalgge,плещи
177,Schulter::N,hárdu,рамо
178,Schulter::N,hárdu,плещи
179,Schulter::N,ärdee,рамо
180,Schulter::N,ärdee,плещи
181,Schulter::N,uál'gi,рамо
182,Schulter::N,uál'gi,плещи
183,Schulter::N,a´rddi,рамо
184,Schulter::N,a´rddi,плещи
185,Schulter::N,vuä´lǧǧ,рамо
186,Schulter::N,vuä´lǧǧ,плещи
187,Schulter::N,вуэллык,рамо
188,Schulter::N,вуэллык,плещи
189,Arm::N,gïete,ръка
190,Arm::N,giehta,ръка
191,Arm::N,giehta,ръка
192,Arm::N,kietâ,ръка
