,Concept_ID,uz,ko
0,Auge::N,ko'z,눈
1,Ohr::N,quloq,귀
2,Nase::N,burun,코
3,Mund::N,og'iz,입
4,Zahn::N,tish,이
5,Zunge::N,til,혀
6,Lippe::N,dudoq,입술
7,Wange::N,bet,뺨
8,Gesicht::N,yuz,얼굴
9,Stirn::N,manglay,이마
10,Haar::N,soch,털
11,Schnurrbart::N,mo'ylov,윗수몀
12,Schnurrbart::N,mo'ylov,코밑수염
13,Bart::N,soqol,수엄
14,Kinn::N,ängak,아래턱
15,Kiefer[Anatomie]::N,iyak,턱
16,Kehle::N,bo'g'iz,인후
17,Hals::N,bo'yin,목
18,Genick::N,gardan,먹덜이
19,Kopf::N,bosh,머리
20,Rücken::N,orqa,든
21,Bauch::N,qorin,배
22,Nabel::N,kindik,배꼽
23,Busen::N,ämchak,가슴속
24,Brust::N,ko'krak,가슴
25,Schulter::N,elka,어깨
26,Arm::N,bilak,팔
27,Ellenbogen::N,tirsak,팔쿰치
28,Hand::N,qo'l,손
29,Handfläche::N,kaft,손바닥
30,Finger::N,barmoq,속가락
31,Fingernagel::N,tirnoq,손톱
32,Nagel[Anatomie]::N,tirnoq,손톱
33,Zeh::N,oyoq barmog'i,발가락
34,Fuß::N,oyoq,발
35,Ferse::N,tovon,발꿈치
36,Knie::N,tiz,무릎
37,Oberschenkel::N,son,허벅다리
38,Bein::N,oyoq,다리
39,Körper::N,badna,구간
40,Haut::N,teri,살갗
41,Blut::N,qon,피
42,Ader::N,qon tomir,정맥
43,Sehne::N,tomir,현
44,Knochen::N,suyak,뼈
45,Gehirn::N,miya,뇌
46,Gehirn::N,miya,뇌수
47,Herz::N,qalb,염통
48,Magen::N,oshqozon,위
49,Leber::N,bag'ir,간
50,Atem::N,dam,기식
51,Hunger::N,ochlik,공복
52,Träne::N,yosh,눈물
53,Geschmack::N,tam,기호
54,Geruch::N,jid,냄새
55,Schlaf::N,uyqu,수면
56,Traum::N,tush,쿰
57,Himmel::N,osmon,하늘
58,Sonne::N,quyosh,해
59,Mond::N,oy,달
60,Stern::N,yulduz,별
61,Luft::N,havo,동준
62,Luft::N,havo,가스채
63,Wind::N,el,바람
64,Welle::N,to'lqin,물결
65,Wasser::N,suv,물
66,Stein::N,tosh,돌
67,Boden::N,tuproq,바닥
68,Erde::N,er,흙
69,Staub::N,chang,먼지
70,Rauch::N,tutun,연기
71,Funke::N,yalt,불티
72,Feuer::N,o't,불
73,Licht::N,yorug',불
74,Schatten::N,soya,어스레함
75,Wetter::N,havo,기상
