,Concept_ID,cy,he
0,Auge::N,llygad,עין
1,Ohr::N,clust,אזן
2,Nase::N,trwyn,אף
3,Nase::N,trwyn,חטם
4,Mund::N,ceg,פה
5,Zahn::N,dant,שן
6,Zunge::N,tafod,לשון
7,Lippe::N,gwefus,שפה
8,Wange::N,boch,לחי
9,Gesicht::N,wyneb,פנים
10,Stirn::N,talcen,מצח
11,Haar::N,blew,שערה
12,Schnurrbart::N,mwstas,שפם
13,Bart::N,barf,זקן
14,Kinn::N,gên,סנטר
15,Kiefer[Anatomie]::N,gên,לסת
16,Kehle::N,gwddf,גרון
17,Hals::N,gwddf,צואר
18,Genick::N,gwar,ערף
19,Genick::N,gwegil,ערף
20,Kopf::N,pen,ראש
21,Rücken::N,cefn,גב
22,Bauch::N,bol,בטן
23,Nabel::N,bogail,טבור
24,Busen::N,bron,שד
25,Brust::N,brest,חזה
26,Schulter::N,ysgwydd,כתף
27,Arm::N,braich,זרוע
28,Ellenbogen::N,penelin,מרפק
29,Hand::N,llaw,יד
30,Handfläche::N,palf,כף יד
31,Finger::N,bys,אצבע
32,Fingernagel::N,ewin,צפרן
33,Nagel[Anatomie]::N,ewin,צפרן
34,Zeh::N,bys troed,אצבע
35,Fuß::N,troed,רגל
36,Ferse::N,sawdl,עקב
37,Knie::N,glin,ברך
38,Oberschenkel::N,clun,ירך
39,Bein::N,coes,רגל
40,Körper::N,corff,גוף
41,Haut::N,croen,עור
42,Blut::N,gwaed,דם
43,Ader::N,gwythïen,וריד
44,Sehne::N,gewyn,גיד
45,Knochen::N,asgwrn,עצם
46,Gehirn::N,ymennydd,מוח
47,Herz::N,calon,לב
48,Magen::N,cylla,קבה
49,Magen::N,stumog,קבה
50,Leber::N,iau,כבד
51,Atem::N,anadl,נשימה
52,Hunger::N,newyn,רעב
53,Träne::N,deigryn,דמעה
54,Geschmack::N,cyflas,טעם
55,Geruch::N,aroglau,ריח
56,Schlaf::N,cwsg,שנה
57,Traum::N,breuddwyd,חלום
58,Himmel::N,awyr,שמים
59,Sonne::N,haul,שמש
60,Mond::N,lleuad,ירח
61,Stern::N,seren,כוכב
62,Luft::N,awyr,אויר
63,Wind::N,gwynt,רוח
64,Welle::N,ton,גל
65,Wasser::N,dŵr,מים
66,Stein::N,carreg,אבן
67,Boden::N,llawr,קרקע
68,Erde::N,pridd,אדמה
69,Staub::N,llwch,אבק
70,Rauch::N,mwg,עשן
71,Funke::N,gwreichioni,ניצוץ
72,Feuer::N,tân,אש
73,Licht::N,golau,אור
74,Schatten::N,cysgod,צל
75,Wetter::N,tywydd,מזג אויר
76,Nebel::N,niwl,ערפל
77,Wolke::N,cwmwl,ענן
78,Regen::N,glaw,גשם
79,Schnee::N,ôd,שלג
80,Schnee::N,eira,שלג
81,Eis::N,iâ,קרח
82,Frost::N,rhew,צנה
83,Kälte::N,oerni,קר
84,Kälte::N,annwyd,קר
85,Hitze::N,gwres,חם
86,Raureif::N,barrug,כפור
87,Regenbogen::N,enfys,קשת
88,Donner::N,tyrfau,רעם
89,Strömung::N,cerrynt,זרימה
90,Tropfen::N,dafn,טפה
91,Tropfen::N,diferyn,טפה
92,Schaum::N,ewyn,קצף
93,Schmutz::N,baw,לכלוך
94,Schmutz::N,budreddi,לכלוך
95,See::N,llyn,אגם
96,Sumpf::N,cors,בצה
97,Moor::N,rhos,בצה
98,Wiese::N,dôl,מרעה
99,Wald::N,coedwig,יער
100,Hügel::N,bryn,תל
101,Anhöhe::N,bryn,מעלה
102,Berg::N,mynydd,הר
103,Gipfel::N,copa,פסגה
104,Höhle::N,ogof,מערה
105,Abhang::N,llethr,מדרון
106,Abhang::N,llethr,שפוע
107,Quelle::N,tarddiad,מעין
108,Quelle::N,ffynhonnell,מעין
109,Bach::N,nant,נחל
110,Bach::N,afonig,נחל
111,Bach::N,cornant,נחל
112,Fluss::N,afon,נהר
113,Ufer::N,glan,גדה
114,Küste::N,traeth,חוף
115,Küste::N,arfordir,חוף
116,Festland::N,tir,יבשה
117,Meer::N,môr,ים
118,Bucht::N,bae,מפרץ
119,Insel::N,ynys,אי
120,Blume::N,blodyn,פרח
121,Gras::N,glaswellt,דשא
122,Wurzel::N,gwreiddyn,שרש
123,Baum::N,coeden,עץ
124,Stamm::N,colfen,גזע
125,Stamm::N,boncyff,גזע
126,Rinde::N,rhisgl,קלפת עץ
127,Ast::N,cangen,ענף
128,Zweig::N,cainc,ענף
129,Zweig::N,cangen,ענף
130,Blatt::N,deilen,עלה
131,Birke::N,bedwen,שדר
132,Kiefer[Baum]::N,pinwydden,ארן
133,Weide[Baum]::N,helygen,ערבה
134,Tanne::N,ffynidwydden,אשוח
135,Horn::N,corn,קרן
136,Feder::N,plufyn,נוצה
137,Fell::N,ffwr,פרוה
138,Flügel::N,adain,כנף
139,Klaue::N,crafanc,טלף
140,Kralle::N,ewin,טפר
141,Schwanz::N,cwt,זנב
142,Schwanz::N,cynffon,זנב
143,Ei::N,wy,ביצה
144,Nest::N,nyth,קן
145,Bau::N,ffau,מחלה
146,Tier::N,anifail,חיה
147,Herde::N,praidd,עדר
148,Herde::N,diadell,עדר
149,Kuh::N,buwch,פרה
150,Bulle::N,tarw,פר
151,Pferd::N,ceffyl,סוס
152,Schaf::N,dafad,כבשה
153,Schwein::N,mochyn,חזיר
154,Hund::N,ci,כלב
155,Katze::N,cath,חתול
156,Bär::N,arth,דב
157,Eichhörnchen::N,gwiwer,סנאי
158,Elch::N,elc,דישון
159,Fuchs::N,cadno,שועל
160,Hase::N,ysgyfarnog,ארנב
161,Maus::N,llygoden,עכבר
162,Wolf::N,blaidd,זאב
163,Vogel::N,aderyn,צפור
164,Schwarm::N,haid,נחיל
165,Schwarm::N,haid,להקה
166,Huhn::N,cyw,תרנגלת
167,Hahn::N,ceiliog,תרנגול
168,Gans::N,gŵydd,אוז
169,Adler::N,eryr,עיט
170,Ente::N,hwyad,ברוז
171,Eule::N,tylluan,ינשוף
172,Kranich::N,garan,עגור
173,Kranich::N,garan,כרוכיה
174,Kranich::N,crychydd,עגור
175,Kranich::N,crychydd,כרוכיה
176,Krähe::N,brân,עורב
177,Kuckuck::N,cog,קוקיה
178,Kuckuck::N,cwcw,קוקיה
179,Schwan::N,alarch,ברבור
180,Fisch::N,pysgod,דג
181,Barsch::N,draenog,אוקונוס
182,Hecht::N,penhwyad,זאב הים
183,Schlange[Tier]::N,neidr,נחש
184,Wurm::N,abwydyn,תולעת
185,Wurm::N,pryf genwair,תולעת
186,Spinne::N,cor,עכביש
187,Spinne::N,pryf copyn,עכביש
188,Ameise::N,morgrugyn,נמלה
189,Laus::N,lleuen,כנה
190,Mücke::N,gwybedyn,יתוש
191,Fliege::N,cleren,זבוב
192,Schmetterling::N,glöyn byw,פרפר
193,Schmetterling::N,iâr fach yr haf,פרפר
194,Beere::N,aeronen,ענבה
195,Apfel::N,afal,תפוח
196,Pilz::N,madarch,פטריה
197,Zwiebel::N,nionyn,בצל
198,Zwiebel::N,winwnsyn,בצל
199,Saat::N,had,זרעים
200,Korn::N,grawn,גרעין
201,Heu::N,gwair,חציר
202,Schale::N,croen,קלפה
203,Schale::N,plisgyn,קלפה
204,Grube::N,pwll,בור
205,Grube::N,pwll,שוחה
206,Grube::N,pydew,בור
207,Grube::N,pydew,שוחה
208,Falle::N,magl,מלכדת
209,Schlinge::N,cwlwm rhedeg,לולאה
210,Spur::N,ôl,עקבה
211,Asche::N,lludw,אפר
212,Dreck::N,baw,זהמה
213,Dreck::N,budreddi,זהמה
214,Eisen::N,haearn,ברזל
215,Gold::N,aur,זהב
216,Silber::N,arian,כסף
217,Kohle::N,glo,פחם
218,Glas::N,gwydr,זכוכית
219,Lehm::N,clai,חרסית
220,Sand::N,tywod,חול
221,Mensch::N,dyn,אדם
222,Mann::N,dyn,איש
223,Mann::N,dyn,גבר
224,Frau::N,merch,אשה
225,Frau::N,merch,גברת
226,Frau::N,gwraig,אשה
227,Frau::N,gwraig,גברת
228,Kind::N,plentyn,ילד
229,Junge::N,hogyn,ילד
230,Junge::N,bachgen,ילד
231,Mädchen::N,merch,נערה
232,Mädchen::N,geneth,נערה
233,Familie::N,teulu,משפחה
234,Familie::N,tylwyth,משפחה
235,Großvater::N,taid,סבא
236,Großvater::N,tad-cu,סבא
237,Großmutter::N,nain,סבתא
238,Großmutter::N,mam-gu,סבתא
239,Eltern::N,rhieni,הורים
240,Vater::N,tad,אב
241,Mutter::N,mam,אם
242,Sohn::N,mab,בן
243,Tochter::N,merch,בת
244,Bruder::N,brawd,אח
245,Schwester::N,chwaer,אחות
246,Onkel::N,ewythr,דוד
247,Tante::N,modryb,דודה
248,Ehemann::N,gŵr,איש
249,Ehemann::N,gŵr,בעל
250,Ehefrau::N,gwraig,אשה
251,Freude::N,gorfoledd,שמחה
252,Gelächter::N,chwerthin,צחוק
253,Glück::N,hapusrwydd,אשר
254,Kummer::N,galar,יגון
255,Kummer::N,galar,עגמה
256,Wunsch::N,dymuniad,אחול
257,Wunsch::N,dymuniad,משאלה
258,Lust::N,chwant,חשק
259,Lust::N,chwant,תשוקה
