,Concept_ID,te,fa
0,Auge::N,కన్ను,چشم
1,Ohr::N,చెవి,گوش
2,Nase::N,ముక్కు,بینی
3,Mund::N,నోరు,دهان
4,Zahn::N,పల్లు,دندان
5,Zunge::N,నాలుక,زبان
6,Lippe::N,పెదవి,لب
7,Wange::N,చెంప,لپ
8,Gesicht::N,ముఖము,رو
9,Gesicht::N,ముఖము,چهره
10,Stirn::N,నుదురు,پیشانی
11,Haar::N,వెండ్రుక,مو
12,Schnurrbart::N,మీసము,سبیل
13,Bart::N,గడ్డము,ریش
14,Kinn::N,గడ్డము,چانه
15,Kiefer[Anatomie]::N,దౌడ,فک
16,Kiefer[Anatomie]::N,దౌడ,آرواره
17,Kehle::N,గొంతు,حلق
18,Hals::N,మెడ,گردن
19,Genick::N,మూపు,پشت گردن
20,Kopf::N,తల,سر
21,Kopf::N,తల,کله
22,Rücken::N,వెన్ను,پشت
23,Bauch::N,కడుపు,شکم
24,Nabel::N,బొడ్డు,ناف
25,Busen::N,స్తనము,پستان
26,Brust::N,ఱొమ్ము,سینه
27,Schulter::N,భుజము,دوش
28,Schulter::N,భుజము,شانه
29,Arm::N,చేయి,بازو
30,Ellenbogen::N,మోచేయి,آرنج
31,Hand::N,చేయి,دست
32,Handfläche::N,అరచేయు,کف دست
33,Finger::N,చేతిప్రేలు,انگشت
34,Fingernagel::N,గోరు,ناخن دست
35,Nagel[Anatomie]::N,గోరు,ناخن
36,Zeh::N,కాలిప్రేలు,انگشت پا
37,Fuß::N,అడుగు,پا
38,Ferse::N,మడమ,پاشنه
39,Knie::N,మోకాలు,زانو
40,Oberschenkel::N,తొడ,ران
41,Bein::N,కాలు,پا
42,Bein::N,కాలు,لنگ
43,Körper::N,కాయము,تن
44,Körper::N,కాయము,بدن
45,Haut::N,చర్మము,پوست
46,Blut::N,రక్తము,خون
47,Ader::N,సిర,رگ
48,Sehne::N,స్నాయువు,زردپی
49,Knochen::N,ఎముక,استخوان
50,Gehirn::N,మెదడు,مخ
51,Gehirn::N,మెదడు,مغز
52,Herz::N,హృదయము,دل
53,Herz::N,హృదయము,قلب
54,Magen::N,కడుపు,معده
55,Leber::N,కాలేయము,کبد
56,Atem::N,ఉపిరి,نفس
57,Hunger::N,ఆకలి,گرسنگی
58,Träne::N,కన్నీటిచుక్క,اشک
59,Geschmack::N,రుచి,مزه
60,Geruch::N,వాసన,بو
61,Schlaf::N,నిద్ర,خواب
62,Traum::N,కల,رؤیا
63,Himmel::N,ఆకాశము,فلک
64,Himmel::N,ఆకాశము,آسمان
65,Sonne::N,సూర్యుడు,آفتاب
66,Sonne::N,సూర్యుడు,خورشید
67,Mond::N,చంద్రుడు,ماه
68,Stern::N,నక్షత్రము,ستاره
69,Luft::N,గాలి,هوا
70,Wind::N,వీచుచున్నగాలి,باد
71,Welle::N,అల,موج
