,Concept_ID,mhr,da
0,Auge::N,шинча́,øje
1,Ohr::N,пы́лыш,øre
2,Nase::N,нер,næse
3,Mund::N,умша́,mund
4,Zahn::N,пӱй,tand
5,Zunge::N,йы́лме,tunge
6,Lippe::N,тӱ́рвӧ,læbe
7,Wange::N,шӱ́ргӧ,kind
8,Gesicht::N,чури́й,ansigt
9,Stirn::N,саҥга́,pande
10,Haar::N,ӱп,hår
11,Schnurrbart::N,ӧ́рыш,overskæg
12,Bart::N,понда́ш,skæg
13,Kinn::N,оҥыла́ш,hage
14,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,kæbe
15,Kiefer[Anatomie]::N,пӱйората́,kæbe
16,Kehle::N,лога́р,strube
17,Hals::N,шӱй,hals
18,Genick::N,шӱйло́дыш,nakke
19,Kopf::N,вуй,hoved
20,Rücken::N,туп,ryg
21,Bauch::N,мӱ́шкыр,mave
22,Nabel::N,кы́лымде,navle
23,Busen::N,чы́зе,barm
24,Brust::N,оҥ,bryst
25,Schulter::N,ва́че,skulder
26,Arm::N,кид,arm
27,Ellenbogen::N,кынерву́й,albue
28,Hand::N,кид,hånd
29,Hand::N,копа́,hånd
30,Handfläche::N,со́во,håndflade
31,Finger::N,парня́,finger
32,Fingernagel::N,кидкӱ́ч,fingernegl
33,Fingernagel::N,парнягӱ́ч,fingernegl
34,Nagel[Anatomie]::N,кӱч,negl
35,Zeh::N,йолварня́,tå
36,Fuß::N,йол,fod
37,Fuß::N,йолкопа́,fod
38,Ferse::N,тага́н,hæl
39,Knie::N,пулву́й,knæ
40,Oberschenkel::N,э́рде,lår
41,Bein::N,йол,ben
42,Körper::N,кап,krop
43,Körper::N,кап,legeme
44,Haut::N,кова́ште,hud
45,Blut::N,вӱр,blod
46,Ader::N,шӧн,åre
47,Sehne::N,шӧн,sene
48,Sehne::N,кӱсе́н,sene
49,Knochen::N,лу,ben
50,Gehirn::N,вем,hjerne
51,Gehirn::N,вуйве́м,hjerne
52,Herz::N,шӱм,hjerte
53,Magen::N,пага́р,mave
54,Leber::N,мокш,lever
55,Atem::N,шӱ́лыш,ånde
56,Hunger::N,шужыма́ш,sult
57,Träne::N,шинчавӱ́д,tåre
58,Geschmack::N,там,smag
59,Geruch::N,пуш,lugt
60,Schlaf::N,о́мо,søvn
61,Traum::N,йӱдо́мо,drøm
62,Himmel::N,кава́,himmel
63,Sonne::N,ке́че,sol
64,Mond::N,ты́лзе,måne
65,Stern::N,шӱ́дыр,stjerne
66,Luft::N,юж,luft
67,Wind::N,марде́ж,vind
68,Welle::N,то́лкын,bølge
69,Wasser::N,вӱд,vand
70,Stein::N,кӱ,sten
71,Boden::N,рок,jord
72,Erde::N,мла́нде,jord
73,Staub::N,пура́к,støv
74,Rauch::N,шикш,røg
75,Funke::N,сеске́м,gnist
76,Funke::N,тулйы́п,gnist
77,Feuer::N,тул,ild
78,Licht::N,со́то,lys
79,Schatten::N,ӱ́мыл,skygge
80,Wetter::N,иге́че,vejr
81,Nebel::N,тӱтыра́,tåge
82,Wolke::N,пыл,sky
83,Regen::N,йӱр,regn
84,Schnee::N,лум,sne
85,Eis::N,ий,is
86,Frost::N,чатлама́,frost
87,Kälte::N,йӱ́штӧ,kulde
88,Hitze::N,шо́кшо,hede
89,Raureif::N,пӧрш,rimfrost
90,Raureif::N,по́кшым,rimfrost
