,Concept_ID,az,de
0,Auge::N,göz,Auge
1,Ohr::N,qulaq,Ohr
2,Nase::N,burun,Nase
3,Mund::N,ağız,Mund
4,Zahn::N,diş,Zahn
5,Zunge::N,dil,Zunge
6,Lippe::N,dodaq,Lippe
7,Wange::N,yanaq,Wange
8,Gesicht::N,üz,Gesicht
9,Stirn::N,alın,Stirn
10,Haar::N,saç,Haar
11,Schnurrbart::N,bığ,Schnurrbart
12,Bart::N,saqqal,Bart
13,Kinn::N,çənə,Kinn
14,Kiefer[Anatomie]::N,çənə,Kiefer
15,Kehle::N,boğaz,Kehle
16,Hals::N,boyun,Hals
17,Genick::N,ənsə,Genick
18,Kopf::N,baş,Kopf
19,Rücken::N,bel,Rücken
20,Bauch::N,qarın,Bauch
21,Nabel::N,göbək,Nabel
22,Busen::N,məmə,Busen
23,Brust::N,döş,Brust
24,Schulter::N,çiyin,Schulter
25,Arm::N,qol,Arm
26,Ellenbogen::N,dirsək,Ellenbogen
27,Hand::N,əl,Hand
28,Handfläche::N,ovuc,Handfläche
29,Finger::N,barmaq,Finger
30,Fingernagel::N,barmaq dırnağı,Fingernagel
31,Nagel[Anatomie]::N,dırnak,Nagel
32,Zeh::N,ayaq barmağı,Zeh
33,Fuß::N,ayaq,Fuß
34,Ferse::N,daban,Ferse
35,Knie::N,diz,Knie
36,Oberschenkel::N,bud,Oberschenkel
37,Bein::N,qıç,Bein
38,Körper::N,əndam,Körper
39,Haut::N,dəri,Haut
40,Blut::N,qan,Blut
41,Ader::N,damar,Ader
42,Sehne::N,vətər,Sehne
43,Knochen::N,sümük,Knochen
44,Gehirn::N,beyin,Gehirn
45,Herz::N,ürək,Herz
46,Magen::N,mədə,Magen
47,Leber::N,qara ciyər,Leber
48,Atem::N,nəfəs,Atem
49,Hunger::N,aclıq,Hunger
50,Träne::N,göz yaşı,Träne
51,Geschmack::N,tam,Geschmack
52,Geschmack::N,ləzzət,Geschmack
53,Geruch::N,qoxu,Geruch
54,Schlaf::N,yuxu,Schlaf
55,Traum::N,röya,Traum
56,Himmel::N,göy,Himmel
57,Himmel::N,səma,Himmel
58,Sonne::N,günəş,Sonne
59,Mond::N,ay,Mond
60,Stern::N,ulduz,Stern
61,Luft::N,hava,Luft
62,Wind::N,yel,Wind
63,Wind::N,külək,Wind
64,Welle::N,dalğa,Welle
65,Wasser::N,su,Wasser
66,Stein::N,daş,Stein
67,Boden::N,yer,Boden
68,Boden::N,zəmin,Boden
69,Erde::N,yer torpaq,Erde
70,Staub::N,toz,Staub
71,Rauch::N,tüstü,Rauch
72,Funke::N,qığılcım,Funke
73,Feuer::N,od,Feuer
74,Licht::N,işıq,Licht
75,Schatten::N,kölgə,Schatten
76,Wetter::N,hava,Wetter
77,Nebel::N,duman,Nebel
78,Wolke::N,bulud,Wolke
79,Regen::N,yağış,Regen
80,Regen::N,yağmur,Regen
81,Schnee::N,qar,Schnee
82,Eis::N,buz,Eis
83,Frost::N,ayaz,Frost
84,Kälte::N,soyuq,Kälte
85,Hitze::N,coşğunluq,Hitze
86,Raureif::N,qırov,Raureif
87,Regenbogen::N,göy qurşağı,Regenbogen
88,Donner::N,göy gurultusu,Donner
89,Strömung::N,axın,Strömung
90,Tropfen::N,damcı,Tropfen
91,Schaum::N,köpük,Schaum
92,Schmutz::N,çamır,Schmutz
93,See::N,göl,See
94,Sumpf::N,bataqlıq,Sumpf
95,Moor::N,bataqlıq,Moor
96,Wiese::N,çəmən,Wiese
97,Wald::N,meşə,Wald
98,Hügel::N,təpə,Hügel
99,Anhöhe::N,təpə,Anhöhe
100,Berg::N,dağ,Berg
101,Gipfel::N,zirvə,Gipfel
102,Höhle::N,mağara,Höhle
103,Abhang::N,yamac,Abhang
104,Quelle::N,bulaq,Quelle
105,Bach::N,kiçik çay,Bach
106,Fluss::N,çay,Fluss
107,Ufer::N,kənar,Ufer
108,Küste::N,sahil,Küste
109,Festland::N,materik,Festland
110,Meer::N,dəniz,Meer
111,Bucht::N,körfəz,Bucht
112,Insel::N,ada,Insel
113,Blume::N,çiçək,Blume
114,Gras::N,ot,Gras
115,Wurzel::N,kök,Wurzel
116,Baum::N,ağac,Baum
117,Stamm::N,gövdə,Stamm
118,Rinde::N,qabıq,Rinde
119,Ast::N,şax,Ast
120,Zweig::N,budaq,Zweig
121,Blatt::N,yarpaq,Blatt
122,Birke::N,tozağacı,Birke
123,Kiefer[Baum]::N,şam,Kiefer
124,Weide[Baum]::N,söyüd,Weide
125,Tanne::N,küknar,Tanne
126,Horn::N,buynuz,Horn
127,Feder::N,tük,Feder
128,Feder::N,lələk,Feder
129,Fell::N,xəz,Fell
130,Flügel::N,qanad,Flügel
131,Klaue::N,pəncə,Klaue
132,Kralle::N,dırnaq,Kralle
133,Schwanz::N,quyruq,Schwanz
134,Ei::N,yumurta,Ei
135,Nest::N,yuva,Nest
136,Bau::N,yuva,Bau
137,Tier::N,heyvan,Tier
138,Herde::N,sürü,Herde
139,Kuh::N,inək,Kuh
140,Bulle::N,öküz,Bulle
141,Pferd::N,at,Pferd
142,Schaf::N,qoyun,Schaf
143,Schwein::N,donuz,Schwein
144,Hund::N,it,Hund
145,Hund::N,köpək,Hund
146,Katze::N,pişik,Katze
147,Bär::N,ayı,Bär
148,Eichhörnchen::N,dələ,Eichhörnchen
149,Elch::N,sığın,Elch
150,Fuchs::N,tülkü,Fuchs
151,Hase::N,dovşan,Hase
152,Maus::N,siçan,Maus
153,Wolf::N,qurd,Wolf
154,Vogel::N,quş,Vogel
155,Schwarm::N,sürü,Schwarm
156,Huhn::N,toyuq,Huhn
157,Hahn::N,xoruz,Hahn
158,Gans::N,qaz,Gans
159,Adler::N,qartal,Adler
160,Adler::N,qaraquş,Adler
161,Ente::N,ördək,Ente
162,Eule::N,bayquş,Eule
163,Kranich::N,durna,Kranich
164,Krähe::N,qarğa,Krähe
165,Kuckuck::N,ququ,Kuckuck
166,Schwan::N,qu quşu,Schwan
167,Fisch::N,balıq,Fisch
168,Barsch::N,tar,Barsch
169,Hecht::N,durnabalığı,Hecht
170,Schlange[Tier]::N,ilan,Schlange
171,Wurm::N,qurd,Wurm
172,Spinne::N,hörümçək,Spinne
173,Ameise::N,qarışqa,Ameise
174,Laus::N,bit,Laus
175,Mücke::N,ağcaqanad,Mücke
176,Fliege::N,milçək,Fliege
177,Schmetterling::N,kəpənək,Schmetterling
178,Beere::N,gilə,Beere
179,Apfel::N,alma,Apfel
180,Pilz::N,göbələk,Pilz
181,Zwiebel::N,soğan,Zwiebel
182,Saat::N,əkin,Saat
183,Korn::N,taxıl,Korn
184,Heu::N,quru ot,Heu
185,Schale::N,qabıq,Schale
186,Grube::N,çuxur,Grube
187,Falle::N,tələ,Falle
188,Falle::N,duzaq,Falle
189,Schlinge::N,ilmək,Schlinge
190,Spur::N,iz,Spur
191,Asche::N,kül,Asche
192,Dreck::N,kir,Dreck
193,Eisen::N,dəmir,Eisen
194,Gold::N,altun,Gold
195,Silber::N,gümüş,Silber
196,Kohle::N,kömür,Kohle
197,Glas::N,şüşə,Glas
198,Lehm::N,gil,Lehm
199,Lehm::N,palçıq,Lehm
200,Sand::N,qum,Sand
201,Mensch::N,adam,Mensch
202,Mensch::N,insan,Mensch
203,Mann::N,kişi,Mann
204,Frau::N,qadın,Frau
205,Kind::N,uşaq,Kind
206,Junge::N,oğlan,Junge
207,Mädchen::N,qız,Mädchen
208,Familie::N,ailə,Familie
209,Großvater::N,baba,Großvater
210,Großmutter::N,nənə,Großmutter
211,Eltern::N,valideyn,Eltern
212,Vater::N,ata,Vater
213,Mutter::N,ana,Mutter
214,Sohn::N,oğul,Sohn
215,Tochter::N,qız,Tochter
216,Bruder::N,qardaş,Bruder
217,Schwester::N,bacı,Schwester
218,Onkel::N,əmi,Onkel
219,Onkel::N,dayı,Onkel
220,Tante::N,bibi,Tante
221,Ehemann::N,ər,Ehemann
222,Ehefrau::N,arvad,Ehefrau
223,Freude::N,nəşə,Freude
224,Freude::N,sevinc,Freude
225,Gelächter::N,gülüş,Gelächter
226,Gelächter::N,qəhqəhə,Gelächter
227,Glück::N,səadət,Glück
228,Glück::N,xoşbəxtlik,Glück
229,Kummer::N,qəm,Kummer
230,Kummer::N,kədər,Kummer
231,Wunsch::N,arzu,Wunsch
232,Lust::N,həvəs,Lust
233,Geist::N,ruh,Geist
234,Gedanke::N,fikir,Gedanke
235,Gedanke::N,düşüncə,Gedanke
236,Gedächtnis::N,xatir,Gedächtnis
237,Gedächtnis::N,hafizə,Gedächtnis
238,Verstand::N,ağıl,Verstand
239,Sinn::N,məna,Sinn
240,Grund::N,səbəb,Grund
241,Wahrheit::N,haqq,Wahrheit
242,Wahrheit::N,doğruluq,Wahrheit
243,Gespräch::N,söhbət,Gespräch
244,Gespräch::N,qonuşma,Gespräch
245,Märchen::N,nağıl,Märchen
246,Erzählung::N,hekayə,Erzählung
247,Nachricht::N,xəbər,Nachricht
248,Neuigkeit::N,xəbər,Neuigkeit
249,Neuigkeit::N,yenilik,Neuigkeit
250,Name::N,ad,Name
251,Rätsel::N,tapmaca,Rätsel
252,Rede::N,nitq,Rede
253,Sprache::N,dil,Sprache
254,Stimme::N,səs,Stimme
255,Wort::N,söz,Wort
256,Wort::N,kəlmə,Wort
257,Zeichen::N,nişan,Zeichen
258,Ruf::N,çığırtı,Ruf
259,Lärm::N,gurultu,Lärm
260,Laut::N,səs,Laut
261,Ton::N,ton,Ton
262,Lied::N,mahnı,Lied
263,Ruhe::N,sakitlik,Ruhe
264,Leute::N,xalq,Leute
265,Volk::N,millət,Volk
266,Arbeit::N,iş,Arbeit
267,Arbeit::N,əmək,Arbeit
268,Gast::N,qonaq,Gast
269,Gast::N,müsafir,Gast
270,Geschenk::N,hədiyyə,Geschenk
271,Spiel::N,oyun,Spiel
272,Spiel::N,tamaşa,Spiel
273,Gesellschaft::N,cəmiyyet,Gesellschaft
274,Hilfe::N,kömək,Hilfe
275,Hilfe::N,yardım,Hilfe
276,Freund::N,dost,Freund
277,Kamerad::N,yoldaş,Kamerad
278,Angelegenheit::N,iş,Angelegenheit
279,Anzahl::N,say,Anzahl
280,Art::N,çeşid,Art
281,Stück::N,dənə,Stück
282,Stück::N,parça,Stück
283,Teil::N,qisim,Teil
284,Hälfte::N,yarım,Hälfte
285,Kreis::N,dairə,Kreis
286,Kreuz::N,xaç,Kreuz
287,Linie::N,xətt,Linie
288,Strich::N,cızıq,Strich
289,Abstand::N,məsafə,Abstand
290,Entfernung::N,məsafə,Entfernung
291,Entfernung::N,uzaqlıq,Entfernung
292,Gegend::N,bölgə,Gegend
293,Platz::N,yer,Platz
294,Ort::N,yer,Ort
295,Seite::N,yan,Seite
296,Seite::N,tərəf,Seite
297,Mitte::N,orta,Mitte
298,Gegenstand::N,şey,Gegenstand
299,Sache::N,şey,Sache
300,Rand::N,kənar,Rand
301,Kante::N,tiyə,Kante
302,Kante::N,kənar,Kante
303,Ecke::N,bucaq,Ecke
304,Spitze::N,uc,Spitze
305,Ende::N,son,Ende
306,Ende::N,axır,Ende
307,Loch::N,deşik,Loch
308,Winkel::N,guşə,Winkel
309,Muster::N,ülgü,Muster
310,Größe::N,böyüklük,Größe
311,Länge::N,uzunluq,Länge
312,Höhe::N,yüksəklik,Höhe
313,Gewicht::N,çəki,Gewicht
314,Gewicht::N,ağırlıq,Gewicht
315,Menge::N,miqdar,Menge
316,Haufen::N,yığın,Haufen
317,Reihe::N,səf,Reihe
318,Reihe::N,sıra,Reihe
319,Boot::N,qayıq,Boot
320,Ruder::N,kürək,Ruder
321,Schlitten::N,kirşə,Schlitten
322,Ski::N,xizək,Ski
323,Lagerfeuer::N,düşərgə tonqalı,Lagerfeuer
324,Last::N,yük,Last
325,Gang::N,yeriş,Gang
326,Schritt::N,addım,Schritt
327,Norden::N,şimal,Norden
328,Süden::N,cənub,Süden
329,Westen::N,qərb,Westen
330,Osten::N,şərq,Osten
331,Holz::N,ağac,Holz
332,Holz::N,taxta,Holz
333,Brett::N,taxta,Brett
334,Platte::N,lövhə,Platte
335,Stütze::N,dayaq,Stütze
336,Stütze::N,dəstək,Stütze
337,Stange::N,şüvül,Stange
338,Stock::N,dəyənək,Stock
339,Stab::N,əsa,Stab
340,Stab::N,şüvül,Stab
341,Rohr::N,boru,Rohr
342,Rohr::N,truba,Rohr
343,Haus::N,ev,Haus
344,Heim::N,ev,Heim
345,Ofen::N,peç,Ofen
346,Ofen::N,soba,Ofen
347,Fußboden::N,döşəmə,Fußboden
348,Tisch::N,masa,Tisch
349,Stuhl::N,stul,Stuhl
350,Wiege::N,beşik,Wiege
351,Bett::N,yataq,Bett
352,Regal::N,rəf,Regal
353,Kiste::N,yeşik,Kiste
354,Kiste::N,sandıq,Kiste
355,Fenster::N,pəncərə,Fenster
356,Tür::N,qapı,Tür
357,Tor::N,darvaza,Tor
358,Zaun::N,çəpər,Zaun
359,Dach::N,dam,Dach
360,Leiter::N,nərdivan,Leiter
361,Besen::N,süpürgə,Besen
362,Spaten::N,kürək,Spaten
363,Schaufel::N,kürək,Schaufel
364,Gabel::N,çəngəl,Gabel
365,Löffel::N,qaşıq,Löffel
366,Messer::N,bıçaq,Messer
367,Nagel::N,mıx,Nagel
368,Netz::N,tor,Netz
369,Haken::N,çəngəl,Haken
370,Griff::N,qulp,Griff
371,Griff::N,tutacaq,Griff
372,Schloss::N,qıfıl,Schloss
373,Bild::N,rəsm,Bild
374,Figur::N,şəkil,Figur
375,Figur::N,heykəl,Figur
376,Puppe::N,kukla,Puppe
377,Puppe::N,gəlincik,Puppe
378,Beutel::N,kisə,Beutel
379,Beutel::N,torba,Beutel
380,Bündel::N,bağlama,Bündel
381,Tasche::N,çanta,Tasche
382,Eimer::N,vedrə,Eimer
383,Eimer::N,çəllək,Eimer
384,Deckel::N,qapaq,Deckel
385,Geschirr::N,qab-qazan,Geschirr
386,Sack::N,çuval,Sack
387,Tasse::N,fincan,Tasse
388,Topf::N,qazan,Topf
389,Kessel::N,qazan,Kessel
390,Essen::N,yemək,Essen
391,Nahrung::N,qida,Nahrung
392,Speise::N,xörək,Speise
393,Fleisch::N,ət,Fleisch
394,Getreide::N,taxıl,Getreide
395,Brei::N,aş,Brei
396,Brei::N,sıyıq,Brei
397,Brot::N,çörək,Brot
398,Scheibe::N,dilim,Scheibe
399,Fett::N,yağ,Fett
400,Butter::N,kərə yağı,Butter
401,Öl::N,yağ,Öl
402,Salz::N,duz,Salz
403,Suppe::N,şorba,Suppe
404,Honig::N,bal,Honig
405,Milch::N,süd,Milch
406,Tee::N,çay,Tee
407,Leder::N,dəri,Leder
408,Wolle::N,yun,Wolle
409,Stoff::N,qumaş,Stoff
410,Nadel::N,iynə,Nadel
411,Faden::N,sap,Faden
412,Knopf::N,düymə,Knopf
413,Knoten::N,düyün,Knoten
414,Farbe::N,boya,Farbe
415,Kleidung::N,geyim,Kleidung
416,Hemd::N,köynək,Hemd
417,Kragen::N,yaxa,Kragen
418,Ärmel::N,qol,Ärmel
419,Hose::N,şalvar,Hose
420,Gürtel::N,kəmər,Gürtel
421,Mütze::N,şapka,Mütze
422,Schuh::N,tufli,Schuh
423,Schuh::N,ayaqqabı,Schuh
424,Stiefel::N,çəkmə,Stiefel
425,Ring::N,üzük,Ring
426,Band::N,lent,Band
427,Kamm::N,daraq,Kamm
428,Spiegel::N,güzgü,Spiegel
429,Riemen::N,qayış,Riemen
430,Schnur::N,ip,Schnur
431,Leine::N,kəmsik,Leine
432,Decke::N,ədyal,Decke
433,Decke::N,yorğan,Decke
434,Kissen::N,yastıq,Kissen
435,Tuch::N,şarf,Tuch
436,Tuch::N,kaşne,Tuch
437,Handtuch::N,dəsmal,Handtuch
438,Kraft::N,güc,Kraft
439,Stärke::N,qüvvət,Stärke
440,Gesundheit::N,sağlamlıq,Gesundheit
441,Krankheit::N,xəstəlik,Krankheit
442,Schmerz::N,ağrı,Schmerz
443,Schmerz::N,sancı,Schmerz
444,Wunde::N,yara,Wunde
445,Fieber::N,isitmə,Fieber
446,Fieber::N,qızdırma,Fieber
447,Arznei::N,ilaç,Arznei
448,Arznei::N,dərman,Arznei
449,Brücke::N,körpü,Brücke
450,Brunnen::N,quyu,Brunnen
451,Weide::N,otlaq,Weide
452,Pfad::N,cığır,Pfad
453,Weg::N,yol,Weg
454,Straße::N,küçə,Straße
455,Dorf::N,kənd,Dorf
456,Stadt::N,şəhər,Stadt
457,Brief::N,məktub,Brief
458,Buch::N,kitab,Buch
459,Buchstabe::N,hərf,Buchstabe
460,Zeitung::N,qəzet,Zeitung
461,Leben::N,həyat,Leben
462,Tod::N,ölüm,Tod
463,Grab::N,qəbir,Grab
464,Kirche::N,kilsə,Kirche
465,Sünde::N,günah,Sünde
466,Gott::N,tanrı,Gott
467,Arbeiter::N,işçi,Arbeiter
468,Chef::N,şef,Chef
469,Chef::N,rəis,Chef
470,Meister::N,usta,Meister
471,Arzt::N,həkim,Arzt
472,Arzt::N,doktor,Arzt
473,Lehrer::N,müəllim,Lehrer
474,Geld::N,pul,Geld
475,Geschäft::N,ticarət,Geschäft
476,Laden::N,dükan,Laden
477,Preis::N,qiymət,Preis
478,Ware::N,mal,Ware
479,Nutzen::N,fayda,Nutzen
480,Reichtum::N,zənginlik,Reichtum
481,Welt::N,aləm,Welt
482,Welt::N,dünya,Welt
483,Land::N,ölkə,Land
484,Staat::N,dövlət,Staat
485,König::N,kral,König
486,König::N,məlik,König
487,Macht::N,qüdrət,Macht
488,Grenze::N,hüdud,Grenze
489,Grenze::N,sərhət,Grenze
490,Krieg::N,hərb,Krieg
491,Krieg::N,müharibə,Krieg
492,Feind::N,düşmən,Feind
493,Gewalt::N,cəbr,Gewalt
494,Kampf::N,savaş,Kampf
495,Bogen[Waffe]::N,yay,Bogen
496,Pfeil::N,ox,Pfeil
497,Gewehr::N,tüfəng,Gewehr
498,Fehler::N,xəta,Fehler
499,Lüge::N,yalan,Lüge
500,Schaden::N,ziyan,Schaden
501,Unglück::N,bəla,Unglück
502,Schuld::N,təqsir,Schuld
503,Alter::N,yaş,Alter
504,Schluss::N,son,Schluss
505,Zeit::N,vaxt,Zeit
506,Zeit::N,zaman,Zeit
507,Tag::N,gün,Tag
508,Morgen::N,sabah,Morgen
509,Mittag::N,günorta,Mittag
510,Abend::N,axşam,Abend
511,Nacht::N,gecə,Nacht
