,Concept_ID,xal,no
0,Auge::N,нүдн,øye
1,Ohr::N,чикн,øre
2,Nase::N,хамр,nese
3,Mund::N,амн,munn
4,Zahn::N,шүдн,tann
5,Zunge::N,келн,tunge
6,Lippe::N,урл,leppe
7,Wange::N,халх,kinn
8,Gesicht::N,нүр,fjes
9,Gesicht::N,нүр,ansikt
10,Stirn::N,маңна,panne
11,Haar::N,үсн,hår
12,Schnurrbart::N,сахл,bart
13,Bart::N,сахл,skjegg
14,Bart::N,өргнә сахл,skjegg
15,Kinn::N,өргн,hake
16,Kiefer[Anatomie]::N,өргн,kjeve
17,Kehle::N,хол,strupe
18,Hals::N,күзүн,hals
19,Genick::N,гиҗг,nakke
20,Kopf::N,толһа,hode
21,Rücken::N,нурһн,rygg
22,Bauch::N,гесн,buk
23,Bauch::N,гесн,mage
24,Nabel::N,киисн,navle
25,Busen::N,көкн,barm
26,Brust::N,чееҗ,bryst
27,Schulter::N,ээм,skulder
28,Arm::N,һар,arm
29,Ellenbogen::N,тоха,albue
30,Hand::N,баһлцг,hånd
31,Handfläche::N,альхн,håndflate
32,Finger::N,хурһн,finger
33,Finger::N,һарин хурһн,finger
34,Fingernagel::N,хумсн,fingernegl
35,Nagel[Anatomie]::N,хумсн,negl
36,Zeh::N,хурһн,tå
37,Zeh::N,көлин хурһн,tå
38,Fuß::N,тавг,fot
39,Ferse::N,өскә,hæl
40,Knie::N,өвдг,kne
41,Oberschenkel::N,һуй,lår
42,Bein::N,көл,bein
43,Körper::N,махмуд,kropp
44,Körper::N,махмуд,legeme
45,Haut::N,арсн,hud
46,Haut::N,арсн,skinn
47,Blut::N,цусн,blod
48,Ader::N,судцн,åre
49,Sehne::N,шүрүсн,sene
50,Knochen::N,ясн,bein
51,Knochen::N,ясн,knokkel
52,Gehirn::N,экн,hjerne
53,Herz::N,зүркн,hjerte
54,Magen::N,гесн,mage
55,Leber::N,элкн,lever
56,Atem::N,әмсхл,pust
57,Hunger::N,харһнлһн,sult
58,Träne::N,нульмсн,tåre
59,Geschmack::N,амтн,smak
60,Geruch::N,үнр,lukt
61,Schlaf::N,нөр,søvn
62,Traum::N,зүүдн,drøm
63,Himmel::N,теңгр,himmel
64,Sonne::N,нарн,sol
65,Mond::N,сар,måne
66,Stern::N,одн,stjerne
67,Luft::N,аһар,luft
68,Wind::N,салькн,vind
69,Welle::N,дольган,bølge
70,Wasser::N,усн,vann
71,Stein::N,чолун,stein
72,Boden::N,Һазр,bakke
73,Erde::N,Һазр,jord
74,Staub::N,тоосн,støv
75,Rauch::N,утан,røyk
76,Funke::N,очн,gnist
77,Feuer::N,һал,ild
78,Licht::N,герл,lys
79,Schatten::N,сүүдр,skygge
80,Wetter::N,теңгр,vær
81,Nebel::N,будн,tåke
82,Wolke::N,үүлн,sky
