,Concept_ID,fr,ro
0,Auge::N,œil,ochi
1,Ohr::N,oreille,ureche
2,Nase::N,nez,nas
3,Mund::N,bouche,gură
4,Zahn::N,dent,dinte
5,Zunge::N,langue,limbă
6,Lippe::N,lèvre,buză
7,Wange::N,joue,bucă
8,Wange::N,joue,obraz
9,Gesicht::N,face,față
10,Gesicht::N,face,figură
11,Gesicht::N,visage,față
12,Gesicht::N,visage,figură
13,Stirn::N,front,frunte
14,Haar::N,cheveu,păr
15,Schnurrbart::N,moustache,mustață
16,Bart::N,barbe,barbă
17,Kinn::N,menton,bărbie
18,Kiefer[Anatomie]::N,mâchoire,falcă
19,Kehle::N,gorge,beregată
20,Hals::N,cou,gât
21,Genick::N,nuque,ceafă
22,Kopf::N,tête,cap
23,Rücken::N,dos,dos
24,Rücken::N,dos,spate
25,Rücken::N,dos,spinare
26,Bauch::N,ventre,burtă
27,Bauch::N,ventre,pântece
28,Nabel::N,nombril,buric
29,Busen::N,sein,sân
30,Brust::N,poitrine,piept
31,Schulter::N,épaule,umăr
32,Schulter::N,épaule,spate
33,Arm::N,bras,braț
34,Ellenbogen::N,coude,cot
35,Hand::N,main,mână
36,Handfläche::N,paume,palmă
37,Finger::N,doigt,deget
38,Fingernagel::N,ongle,unghie
39,Nagel[Anatomie]::N,ongle,unghie
40,Zeh::N,orteil,deget de la picior
41,Zeh::N,doigt de pied,deget de la picior
42,Fuß::N,pied,picior
43,Ferse::N,talon,călcâi
44,Knie::N,genou,genunchi
45,Oberschenkel::N,cuisse,coapsă
46,Bein::N,jambe,picior
47,Körper::N,corps,corp
48,Haut::N,peau,piele
49,Blut::N,sang,sânge
50,Ader::N,veine,vână
51,Ader::N,veine,arteră
52,Sehne::N,tendon,tendon
53,Knochen::N,os,os
54,Gehirn::N,cerveau,creier
55,Herz::N,cœur,inimă
56,Magen::N,estomac,stomac
57,Leber::N,foie,ficat
58,Atem::N,haleine,răsuflare
59,Atem::N,haleine,respirație
60,Hunger::N,faim,foame
61,Träne::N,larme,lacrimă
62,Geschmack::N,goût,gust
63,Geschmack::N,saveur,gust
64,Geruch::N,odeur,miros
65,Schlaf::N,sommeil,somn
66,Traum::N,songe,vis
67,Himmel::N,ciel,cer
68,Sonne::N,soleil,soare
69,Mond::N,lune,lună
70,Stern::N,étoile,stea
71,Luft::N,air,aer
72,Wind::N,vent,vânt
73,Welle::N,vague,val
74,Welle::N,vague,undă
75,Wasser::N,eau,apă
76,Stein::N,pierre,piatră
77,Boden::N,sol,sol
78,Boden::N,sol,pământ
79,Boden::N,terrain,sol
80,Boden::N,terrain,pământ
81,Erde::N,terre,pământ
82,Staub::N,poussière,praf
83,Rauch::N,fumée,fum
84,Funke::N,étincelle,scânteie
85,Feuer::N,feu,foc
86,Licht::N,lumière,lumină
87,Schatten::N,ombre,umbră
88,Wetter::N,temps,timp
89,Wetter::N,temps,vreme
90,Nebel::N,brume,ceață
91,Nebel::N,brume,negură
92,Nebel::N,brouillard,ceață
93,Nebel::N,brouillard,negură
94,Wolke::N,nuage,nor
95,Regen::N,pluie,ploaie
96,Schnee::N,neige,zăpadă
97,Eis::N,glace,gheață
98,Frost::N,gel,ger
99,Frost::N,gelée,ger
100,Kälte::N,froid,frig
101,Hitze::N,chaleur,arșiță
102,Hitze::N,chaleur,căldură
103,Raureif::N,givre,chiciură
104,Regenbogen::N,arc-en-ciel,curcubeu
105,Donner::N,tonnerre,tunet
106,Strömung::N,courant,curent
107,Tropfen::N,goutte,picătură
108,Schaum::N,écume,spumă
109,Schaum::N,mousse,spumă
110,Schmutz::N,boue,murdărie
111,Schmutz::N,saleté,murdărie
112,See::N,lac,lac
113,Sumpf::N,marais,mlaștină
114,Sumpf::N,marécage,mlaștină
115,Moor::N,tourbière,bărăgan
116,Wiese::N,pré,fânaț
117,Wiese::N,pré,livadă
118,Wald::N,bois,codru
119,Wald::N,bois,pădure
120,Wald::N,forêt,codru
121,Wald::N,forêt,pădure
122,Hügel::N,coteau,deal
123,Hügel::N,coteau,movilă
124,Hügel::N,colline,deal
125,Hügel::N,colline,movilă
126,Anhöhe::N,éminence,deal
127,Anhöhe::N,éminence,ridicătură
128,Anhöhe::N,élévation,deal
129,Anhöhe::N,élévation,ridicătură
130,Berg::N,mont,munte
131,Berg::N,montagne,munte
132,Gipfel::N,cime,pisc
133,Gipfel::N,sommet,pisc
134,Höhle::N,caverne,peșteră
135,Abhang::N,pente,pantă
136,Abhang::N,pente,versant
137,Abhang::N,versant,pantă
138,Abhang::N,versant,versant
139,Quelle::N,source,izvor
140,Quelle::N,fontaine,izvor
141,Bach::N,ruisseau,gârlă
142,Fluss::N,fleuve,râu
143,Fluss::N,fleuve,fluviu
144,Fluss::N,rivière,râu
145,Fluss::N,rivière,fluviu
146,Ufer::N,bord,mal
147,Ufer::N,bord,țărm
148,Ufer::N,rivage,mal
149,Ufer::N,rivage,țărm
150,Küste::N,côte,coastă
151,Festland::N,terre ferme,uscat
