,Concept_ID,hr,ro
0,Auge::N,oko,ochi
1,Ohr::N,uho,ureche
2,Nase::N,nos,nas
3,Mund::N,usta,gură
4,Zahn::N,zub,dinte
5,Zunge::N,jezik,limbă
6,Lippe::N,usna,buză
7,Wange::N,obraz,bucă
8,Wange::N,obraz,obraz
9,Gesicht::N,lice,față
10,Gesicht::N,lice,figură
11,Stirn::N,čelo,frunte
12,Haar::N,kosa,păr
13,Schnurrbart::N,brkovi,mustață
14,Bart::N,brada,barbă
15,Kinn::N,brada,bărbie
16,Kinn::N,podbradak,bărbie
17,Kiefer[Anatomie]::N,čeljust,falcă
18,Kehle::N,grlo,beregată
19,Hals::N,vrat,gât
20,Genick::N,zatiljak,ceafă
21,Kopf::N,glava,cap
22,Rücken::N,leđa,dos
23,Rücken::N,leđa,spate
24,Rücken::N,leđa,spinare
25,Rücken::N,hrbat,dos
26,Rücken::N,hrbat,spate
27,Rücken::N,hrbat,spinare
28,Bauch::N,trbuh,burtă
29,Bauch::N,trbuh,pântece
30,Nabel::N,pupak,buric
31,Busen::N,sisa,sân
32,Busen::N,njedra,sân
33,Brust::N,prsa,piept
34,Schulter::N,rame,umăr
35,Schulter::N,rame,spate
36,Schulter::N,pleći,umăr
37,Schulter::N,pleći,spate
38,Arm::N,ruka,braț
39,Ellenbogen::N,lakat,cot
40,Hand::N,ruka,mână
41,Handfläche::N,dlan,palmă
42,Finger::N,prst,deget
43,Fingernagel::N,nokat,unghie
44,Nagel[Anatomie]::N,nokat,unghie
45,Zeh::N,nozni prst,deget de la picior
46,Fuß::N,noga,picior
47,Fuß::N,stopalo,picior
48,Ferse::N,peta,călcâi
49,Knie::N,koljeno,genunchi
50,Oberschenkel::N,bedro,coapsă
51,Bein::N,noga,picior
52,Körper::N,tijelo,corp
53,Haut::N,put,piele
54,Haut::N,koža,piele
55,Blut::N,krv,sânge
56,Ader::N,žila,vână
57,Ader::N,žila,arteră
58,Sehne::N,tetiva,tendon
59,Knochen::N,kost,os
60,Herz::N,srce,inimă
61,Magen::N,stomak,stomac
62,Magen::N,želudac,stomac
63,Leber::N,jetra,ficat
64,Atem::N,dah,răsuflare
65,Atem::N,dah,respirație
66,Hunger::N,glad,foame
67,Träne::N,suza,lacrimă
68,Geschmack::N,ukus,gust
69,Geruch::N,njuh,miros
70,Geruch::N,miris,miros
71,Schlaf::N,san,somn
72,Traum::N,san,vis
73,Himmel::N,nebo,cer
74,Sonne::N,sunce,soare
75,Mond::N,mjesec,lună
76,Stern::N,zvijezda,stea
77,Luft::N,zrak,aer
78,Wind::N,vjetar,vânt
79,Welle::N,val,val
80,Welle::N,val,undă
81,Welle::N,talas,val
82,Welle::N,talas,undă
83,Wasser::N,voda,apă
84,Stein::N,kamen,piatră
85,Boden::N,tlo,sol
86,Boden::N,tlo,pământ
87,Boden::N,zemlja,sol
88,Boden::N,zemlja,pământ
89,Erde::N,zemlja,pământ
90,Staub::N,prah,praf
91,Staub::N,prašina,praf
92,Rauch::N,dim,fum
93,Funke::N,iskra,scânteie
94,Funke::N,varnica,scânteie
95,Feuer::N,vatra,foc
96,Licht::N,svjetlo,lumină
97,Schatten::N,hlad,umbră
98,Schatten::N,sjena,umbră
99,Wetter::N,vrijeme,timp
100,Wetter::N,vrijeme,vreme
101,Nebel::N,magla,ceață
102,Nebel::N,magla,negură
103,Wolke::N,oblak,nor
104,Regen::N,kiša,ploaie
105,Schnee::N,snijeg,zăpadă
106,Eis::N,led,gheață
107,Frost::N,mraz,ger
108,Kälte::N,studen,frig
109,Kälte::N,hladnoća,frig
110,Hitze::N,vrućina,arșiță
111,Hitze::N,vrućina,căldură
112,Raureif::N,inje,chiciură
113,Regenbogen::N,duga,curcubeu
114,Donner::N,grom,tunet
115,Donner::N,grmljavina,tunet
116,Strömung::N,struja,curent
117,Strömung::N,strujanje,curent
118,Tropfen::N,kap,picătură
119,Tropfen::N,kaplja,picătură
120,Schaum::N,pjena,spumă
121,Schmutz::N,nečistoća,murdărie
122,Schmutz::N,prljavština,murdărie
123,See::N,jezero,lac
124,Sumpf::N,bara,mlaștină
125,Moor::N,močvara,bărăgan
126,Wiese::N,livada,fânaț
127,Wiese::N,livada,livadă
128,Wald::N,šuma,codru
129,Wald::N,šuma,pădure
130,Hügel::N,brijeg,deal
131,Hügel::N,brijeg,movilă
132,Hügel::N,brežuljak,deal
133,Hügel::N,brežuljak,movilă
134,Anhöhe::N,uzvišica,deal
135,Anhöhe::N,uzvišica,ridicătură
136,Berg::N,brdo,munte
137,Gipfel::N,vrh,pisc
138,Höhle::N,pećina,peșteră
139,Höhle::N,spilja,peșteră
140,Abhang::N,obronak,pantă
141,Abhang::N,obronak,versant
142,Abhang::N,nizbrdica,pantă
143,Abhang::N,nizbrdica,versant
144,Quelle::N,izvor,izvor
145,Quelle::N,vrelo,izvor
146,Bach::N,potok,gârlă
147,Fluss::N,rijeka,râu
148,Fluss::N,rijeka,fluviu
149,Ufer::N,obala,mal
150,Ufer::N,obala,țărm
151,Küste::N,obala,coastă
152,Küste::N,morska obala,coastă
153,Festland::N,kopno,uscat
154,Meer::N,more,mare
155,Bucht::N,zaliv,golf
156,Insel::N,ada,insulă
157,Insel::N,otok,insulă
158,Blume::N,cvijet,floare
159,Gras::N,trava,iarbă
160,Wurzel::N,korijen,rădăcină
161,Baum::N,drvo,copac
162,Baum::N,drvo,arbore
163,Baum::N,stablo,copac
164,Baum::N,stablo,arbore
165,Stamm::N,deblo,tulpină
166,Stamm::N,stablo,tulpină
167,Rinde::N,kora,scoarță
168,Ast::N,grana,cracă
169,Ast::N,grana,creangă
170,Zweig::N,grana,ramură
171,Zweig::N,grana,creangă
172,Blatt::N,list,frunză
173,Birke::N,breza,mesteacăn
174,Kiefer[Baum]::N,bor,pin
175,Weide[Baum]::N,iva,salcie
176,Weide[Baum]::N,iva,răchită
177,Weide[Baum]::N,vŕba,salcie
178,Weide[Baum]::N,vŕba,răchită
179,Tanne::N,jela,brad
180,Horn::N,rog,corn
181,Feder::N,pero,pană
182,Fell::N,koža,piele
183,Flügel::N,krilo,aripă
184,Klaue::N,papak,gheară
185,Kralle::N,pandža,labă
186,Kralle::N,pandža,gheară
187,Schwanz::N,rep,coadă
188,Ei::N,jaje,ou
189,Nest::N,gnijezdo,cuib
190,Bau::N,jazbina,bârlog
191,Bau::N,jazbina,vizuină
192,Tier::N,životinja,animal
193,Herde::N,krdo,turmă
194,Herde::N,krdo,cireadă
195,Herde::N,stado,turmă
196,Herde::N,stado,cireadă
197,Kuh::N,krava,vacă
198,Bulle::N,bik,taur
199,Pferd::N,konj,cal
200,Schaf::N,ovca,oaie
201,Schwein::N,svinja,porc
202,Hund::N,pas,câine
203,Hund::N,pseto,câine
204,Katze::N,mačka,pisică
205,Bär::N,medvjed,urs
206,Eichhörnchen::N,vjeverica,veveriță
207,Elch::N,los,elan
208,Fuchs::N,lisica,vulpe
209,Hase::N,zec,iepure
210,Maus::N,miš,șoarece
211,Wolf::N,vuk,lup
212,Wolf::N,kurjak,lup
213,Vogel::N,ptica,pasăre
214,Schwarm::N,roj,cârd
215,Schwarm::N,jato,cârd
216,Huhn::N,kokoš,găină
217,Hahn::N,kokot,cocoș
218,Hahn::N,pijevac,cocoș
219,Gans::N,guska,gâscă
220,Adler::N,orao,vultur
221,Ente::N,patka,rață
222,Eule::N,sova,bufniță
223,Kranich::N,ždral,cocor
224,Krähe::N,vrana,cioară
225,Kuckuck::N,kukavica,cuc
226,Schwan::N,labud,lebădă
227,Fisch::N,riba,pește
228,Barsch::N,grgeč,biban
229,Hecht::N,štuka,știucă
230,Schlange[Tier]::N,guja,șarpe
231,Schlange[Tier]::N,zmija,șarpe
232,Wurm::N,crv,vierme
233,Spinne::N,pauk,păianjen
234,Ameise::N,mrav,furnică
235,Laus::N,uš,păduche
236,Mücke::N,komarac,țânțar
237,Fliege::N,muha,muscă
238,Schmetterling::N,leptir,fluture
239,Beere::N,boba,boabă
240,Beere::N,bobica,boabă
241,Apfel::N,jabuka,măr
242,Pilz::N,pečurka,burete
