,Concept_ID,ka,cy
0,Auge::N,თვალი,llygad
1,Ohr::N,ყური,clust
2,Nase::N,ცხვირი,trwyn
3,Mund::N,პირი,ceg
4,Zahn::N,კბილი,dant
5,Zunge::N,ენა,tafod
6,Lippe::N,ბაგე,gwefus
7,Wange::N,ლოყა,boch
8,Gesicht::N,სახე,wyneb
9,Stirn::N,შუბლი,talcen
10,Haar::N,თმა,blew
11,Schnurrbart::N,ულვაში,mwstas
12,Bart::N,წვერი,barf
13,Kinn::N,ნიკაპი,gên
14,Kiefer[Anatomie]::N,ყბა,gên
15,Kehle::N,ყელი,gwddf
16,Hals::N,ყელი,gwddf
17,Hals::N,კისერი,gwddf
18,Genick::N,კეფა,gwar
19,Genick::N,კეფა,gwegil
20,Kopf::N,თავი,pen
21,Rücken::N,ზურგი,cefn
22,Bauch::N,მუცელი,bol
23,Nabel::N,ჭიპი,bogail
24,Busen::N,ძუძუ,bron
25,Brust::N,მკერდი,brest
26,Schulter::N,მხარი,ysgwydd
27,Schulter::N,მკლავი,ysgwydd
28,Arm::N,ხელი,braich
29,Ellenbogen::N,იდაყვი,penelin
30,Hand::N,ხელი,llaw
31,Handfläche::N,ნები,palf
32,Handfläche::N,ხელისგული,palf
33,Finger::N,თითი,bys
34,Fingernagel::N,ფრჩხილი,ewin
35,Nagel[Anatomie]::N,ფრჩხილი,ewin
36,Zeh::N,ფეხის თითი,bys troed
37,Fuß::N,ტერფი,troed
38,Fuß::N,ფეხისგული,troed
39,Ferse::N,ქუსლი,sawdl
40,Knie::N,მუხლი,glin
41,Oberschenkel::N,ბარძაყი,clun
42,Bein::N,ფეხი,coes
43,Körper::N,ტანი,corff
44,Körper::N,სხეული,corff
45,Haut::N,კანი,croen
46,Blut::N,სისხლი,gwaed
47,Ader::N,ძარღვი,gwythïen
48,Sehne::N,მყესი,gewyn
49,Knochen::N,ძვალი,asgwrn
50,Gehirn::N,ტვინი,ymennydd
51,Herz::N,გული,calon
52,Magen::N,კუჭი,cylla
53,Magen::N,კუჭი,stumog
54,Leber::N,ღვიძლი,iau
55,Atem::N,სუნთქვა,anadl
56,Hunger::N,შიმშილი,newyn
57,Träne::N,ცრემლი,deigryn
