,Concept_ID,cv,hr
0,Auge::N,куҫ,oko
1,Ohr::N,хӑлха,uho
2,Nase::N,сӑмса,nos
3,Mund::N,ҫӑвар,usta
4,Zahn::N,шӑл,zub
5,Zunge::N,чӗлхе,jezik
6,Lippe::N,тута,usna
7,Wange::N,пит ҫӑмарти,obraz
8,Gesicht::N,пит,lice
9,Gesicht::N,пит-куҫ,lice
10,Stirn::N,ҫамка,čelo
11,Haar::N,ҫӳҫ,kosa
12,Schnurrbart::N,усси,brkovi
13,Bart::N,сухал,brada
14,Kinn::N,янах,brada
15,Kinn::N,янах,podbradak
16,Kiefer[Anatomie]::N,янах,čeljust
17,Kehle::N,пыр,grlo
18,Kehle::N,карланкӑ,grlo
19,Hals::N,пыр,vrat
20,Genick::N,ӗнсе,zatiljak
21,Kopf::N,пуҫ,glava
22,Rücken::N,ҫурӑм,leđa
23,Rücken::N,ҫурӑм,hrbat
24,Nabel::N,кӑвапа,pupak
25,Busen::N,кӑкӑр,sisa
26,Busen::N,кӑкӑр,njedra
27,Brust::N,умӗ,prsa
28,Schulter::N,хул пуҫҫи,rame
29,Schulter::N,хул пуҫҫи,pleći
30,Arm::N,алӑ,ruka
31,Ellenbogen::N,чавса,lakat
32,Hand::N,алӑ сыппи,ruka
33,Handfläche::N,ал лаппи,dlan
34,Finger::N,пӳрне,prst
35,Fingernagel::N,чӗрне,nokat
36,Nagel[Anatomie]::N,чӗрне,nokat
37,Zeh::N,пӳрне,nozni prst
38,Fuß::N,ура лаппи,noga
39,Fuß::N,ура лаппи,stopalo
40,Ferse::N,кӗле,peta
41,Knie::N,чӗркуҫҫи,koljeno
42,Oberschenkel::N,пӗҫӗ,bedro
43,Bein::N,ура,noga
44,Körper::N,ӳт,tijelo
45,Körper::N,ӳт-пӳ,tijelo
46,Haut::N,тир,put
47,Haut::N,тир,koža
48,Blut::N,юн,krv
49,Ader::N,вена,žila
50,Sehne::N,шӑнӑр,tetiva
51,Knochen::N,шӑмӑ,kost
52,Gehirn::N,миме,
53,Herz::N,чӗре,srce
54,Magen::N,хырӑмлӑх,stomak
55,Magen::N,хырӑмлӑх,želudac
56,Leber::N,пӗвер,jetra
57,Atem::N,сывлав,dah
58,Hunger::N,выҫлӑх,glad
59,Träne::N,куҫҫуль,suza
60,Geschmack::N,техӗм,ukus
61,Geruch::N,шӑршӑ,njuh
62,Geruch::N,шӑршӑ,miris
63,Schlaf::N,ыйхӑ,san
64,Traum::N,тӗлӗк,san
65,Himmel::N,пӗлӗт,nebo
66,Sonne::N,хӗвел,sunce
67,Mond::N,уйӑх,mjesec
68,Stern::N,ҫӑлтӑр,zvijezda
69,Luft::N,сывлӑш,zrak
70,Wind::N,ҫил,vjetar
71,Welle::N,хум,val
72,Welle::N,хум,talas
73,Wasser::N,шыв,voda
74,Wasser::N,шыв-шур,voda
75,Stein::N,чул,kamen
76,Boden::N,тӑпра,tlo
77,Boden::N,тӑпра,zemlja
78,Erde::N,ҫӗр,zemlja
79,Staub::N,тусан,prah
80,Staub::N,тусан,prašina
81,Rauch::N,тӗтӗм,dim
82,Funke::N,хӗм,iskra
83,Funke::N,хӗм,varnica
84,Feuer::N,вут,vatra
85,Feuer::N,ҫулӑм,vatra
86,Licht::N,ҫутӑ,svjetlo
87,Schatten::N,сулхӑн,hlad
88,Schatten::N,сулхӑн,sjena
89,Wetter::N,ҫанталӑк,vrijeme
90,Nebel::N,тӗтре,magla
91,Wolke::N,пӗлӗт,oblak
92,Regen::N,ҫумӑр,kiša
