,Concept_ID,bg,lez
0,Auge::N,око,вил
1,Ohr::N,ухо,яб
2,Nase::N,нос,нер
3,Mund::N,уста,сив
4,Zahn::N,зъб,сас
5,Zahn::N,зъб,свах
6,Zunge::N,език,мез
7,Lippe::N,устна,пӏуз
8,Wange::N,буза,хъвехъ
9,Gesicht::N,лице,ччин
10,Gesicht::N,образ,ччин
11,Stirn::N,чело,пел
12,Haar::N,коса,чӏар
13,Haar::N,косъм,чӏар
14,Schnurrbart::N,мустаци,спел
15,Schnurrbart::N,мустаци,спелар
16,Bart::N,брада,ччуру
17,Kinn::N,брада,чене
18,Kinn::N,брадичка,чене
19,Kiefer[Anatomie]::N,челюст,чене
20,Kehle::N,гърло,туьд
21,Hals::N,врат,гардан
22,Genick::N,тил,кьам
23,Kopf::N,глава,кьил
24,Rücken::N,гръб,далу
25,Bauch::N,корем,руфун
26,Nabel::N,пъп,пицӏ
27,Busen::N,бозка,мам
28,Brust::N,гръд,хур
29,Schulter::N,рамо,къуьн
30,Schulter::N,плещи,къуьн
31,Arm::N,ръка,гъил
32,Ellenbogen::N,лакът,кьуьнт
33,Hand::N,ръка,капаш
34,Hand::N,китка,капаш
35,Handfläche::N,длан,капан юкь
36,Finger::N,пръст,тӏуб
37,Fingernagel::N,нокът,кек
38,Nagel[Anatomie]::N,нокът,кек
39,Zeh::N,пръст на крак,кул
40,Fuß::N,крак,кӏвач
41,Fuß::N,нога,кӏвач
42,Ferse::N,пета,дабан
43,Knie::N,коляно,мет
44,Oberschenkel::N,бедро,
45,Bein::N,крак,кӏвач
46,Bein::N,нога,кӏвач
47,Körper::N,тяло,беден
48,Haut::N,кожа,хам
49,Blut::N,кръв,иви
50,Ader::N,вена,дамар
51,Ader::N,артерия,дамар
52,Sehne::N,жила,кьуру дамар
53,Sehne::N,сухожилие,кьуру дамар
54,Knochen::N,кост,кӏараб
55,Gehirn::N,мозък,мефт
56,Herz::N,сърце,рикӏ
57,Magen::N,стомах,хук
58,Leber::N,черен дроб,лекь
59,Atem::N,дишане,ял
60,Atem::N,дишане,нефес
61,Hunger::N,глад,каш
62,Träne::N,сълза,вилин нагъв
63,Geschmack::N,вкус,дад
64,Geschmack::N,вкус,тӏям
65,Geruch::N,миризма,ни
66,Schlaf::N,сън,ахвар
67,Traum::N,сън,ахвар
68,Himmel::N,небе,цав
69,Sonne::N,слънце,рагъ
70,Mond::N,луна,варз
71,Mond::N,месец,варз
72,Stern::N,звезда,гъед
73,Luft::N,въздух,гьава
74,Wind::N,вятър,гар
75,Welle::N,вълна,лепе
76,Wasser::N,вода,яд
77,Stein::N,камък,къван
78,Boden::N,земя,накьв
79,Boden::N,почва,накьв
80,Erde::N,земя,ччил
81,Erde::N,почва,ччил
82,Staub::N,прах,руг
83,Rauch::N,дим,гум
84,Rauch::N,пушек,гум
85,Funke::N,искра,цӏелхем
86,Feuer::N,огън,цӏай
87,Licht::N,светлина,экв
88,Schatten::N,сянка,серин
89,Wetter::N,време,гьава
90,Nebel::N,мъгла,ччилин циф
91,Wolke::N,облак,циф
92,Regen::N,дъжд,марф
93,Schnee::N,сняг,жив
94,Eis::N,лед,мурк
95,Frost::N,мраз,аяз
96,Kälte::N,студ,мекь
97,Kälte::N,студ,мекьивал
98,Hitze::N,жега,зегьем
99,Hitze::N,горещина,зегьем
100,Raureif::N,скреж,къирав
101,Raureif::N,слана,къирав
102,Regenbogen::N,дъга,яргъируш
103,Donner::N,гръм,цавун ван
104,Strömung::N,течение,
105,Tropfen::N,капка,стӏал
106,Schaum::N,пяна,каф
107,Schmutz::N,кал,чирк
108,Schmutz::N,кал,кьуруш
109,Schmutz::N,мръсотия,чирк
110,Schmutz::N,мръсотия,кьуруш
111,See::N,езеро,вир
112,Sumpf::N,блато,уьлен
113,Moor::N,мочурище,
114,Wiese::N,ливада,векь
115,Wald::N,гора,там
116,Hügel::N,рид,кӏунтӏ
117,Hügel::N,хълм,кӏунтӏ
118,Anhöhe::N,могила,тепе
119,Anhöhe::N,могила,гьуьндуьрвал
120,Anhöhe::N,възвишение,тепе
121,Anhöhe::N,възвишение,гьуьндуьрвал
122,Berg::N,планина,дагъ
123,Gipfel::N,връх,кӏукӏ
124,Höhle::N,пещера,кьветӏ
125,Abhang::N,склон,гуьне
126,Abhang::N,стръмнина,гуьне
127,Quelle::N,извор,чешме
128,Bach::N,поток,булах
129,Fluss::N,река,вацӏ
130,Ufer::N,бряг,къерех
131,Küste::N,бряг,къерех
132,Küste::N,крайбрежие,къерех
133,Festland::N,суша,кьурамат
134,Meer::N,море,гьуьл
135,Bucht::N,залив,бухта
136,Insel::N,остров,остров
137,Blume::N,цвете,цуьк
138,Gras::N,трева,хъач
139,Wurzel::N,корен,дувул
140,Baum::N,дърво,ттар
141,Stamm::N,стъбло,тан
142,Rinde::N,кора,чкал
143,Ast::N,клон,тӏур
144,Zweig::N,клон,хел
145,Blatt::N,лист,пеш
146,Birke::N,бреза,верх
147,Kiefer[Baum]::N,бор,шамагъаж
148,Weide[Baum]::N,върба,цӏвелин ттар
149,Tanne::N,ела,ель
150,Horn::N,рог,карч
151,Feder::N,перо,цӏакул
152,Fell::N,кожа,хам
153,Flügel::N,крило,лув
154,Klaue::N,нокът,къармах
155,Kralle::N,нокът,пац
156,Kralle::N,нокът,тапас
157,Schwanz::N,опашка,ттум
158,Ei::N,яйце,кака
159,Nest::N,гнездо,муг
160,Bau::N,дупка,тӏеквен
161,Tier::N,животно,гьайван
162,Herde::N,стадо,суьруь
163,Kuh::N,крава,ккал
164,Bulle::N,бик,яц
165,Bulle::N,бик,бугъа
166,Pferd::N,кон,балкӏан
