,Concept_ID,ce,ta
0,Auge::N,бӏаьрг,கண்
1,Ohr::N,лерг,காது
2,Nase::N,мара,மூக்கு
3,Mund::N,бага,வாய்
4,Zahn::N,церг,பல்
5,Zunge::N,мотт,நாக்கு
6,Lippe::N,балда,உதடு
7,Wange::N,бесни,கன்னம்
8,Gesicht::N,юьхь,முகம்
9,Stirn::N,хьаж,முன்னெற்றி
10,Haar::N,мас,முடி
11,Schnurrbart::N,мекх,மீசை
12,Bart::N,маж,தாடி
13,Kinn::N,чӏениг,கீழதாடை
14,Kiefer[Anatomie]::N,мочхал,தாடை
15,Kehle::N,къамкъарг,தொண்டை
16,Hals::N,ворта,கழுத்து
17,Genick::N,кӏесаркӏаг,கழுத்து
18,Kopf::N,корта,தலை
19,Rücken::N,букъ,முதுகு
20,Bauch::N,кийра,வயிறு
21,Nabel::N,цӏонга,தொப்புள்
22,Busen::N,зударийн накха,மார்பகம்
23,Brust::N,накха, மார்பு
24,Schulter::N,белш,தோள்பட்டை
25,Arm::N,пхьарс,கரம்
26,Ellenbogen::N,пхьаьрсан гола,முழங்கை
27,Hand::N,куьг,கை
28,Handfläche::N,кераюкъ,உள்ளங்கை
29,Finger::N,пӏелг,விரல்
30,Fingernagel::N,мӏара,விரல் நகம்
31,Nagel[Anatomie]::N,мӏара,நகம்
32,Zeh::N,кога пӏелг,கால்விரல்
33,Fuß::N,ког,கால்
34,Ferse::N,кӏажа,குதிகால்
35,Knie::N,гола,முழங்கால்
36,Oberschenkel::N,варе,தொடை
37,Bein::N,ког,கால்
38,Körper::N,хӏума,உடல்
39,Haut::N,чкъор,சருமம்
40,Blut::N,цӏий,இரத்தம்
41,Ader::N,пха,நாளம்
42,Sehne::N,хьорзам,தசைநார்
43,Knochen::N,даьӏахк,எலுமபு
44,Gehirn::N,хье,மூனை
45,Herz::N,дог,இதயம
46,Magen::N,зорх,வயிறு
47,Leber::N,доӏах,கல்லீரல்
48,Atem::N,садеӏар,மூச்சு
49,Hunger::N,мацалла,பசி
50,Träne::N,бӏаьрхи,கண்ணீர்
51,Geschmack::N,чам,நறுமணம்
52,Geruch::N,хьожа,துர்நாற்றம்
53,Schlaf::N,наб,தூக்கம்
54,Traum::N,гӏан,கனவு
