,Concept_ID,lv,ko
0,Auge::N,син,눈
1,Auge::N,acs,눈
2,Ohr::N,пель,귀
3,Ohr::N,auss,귀
4,Nase::N,ныр,코
5,Nase::N,deguns,코
6,Mund::N,вом,입
7,Mund::N,mute,입
8,Zahn::N,пинь,이
9,Zahn::N,zobs,이
10,Zunge::N,кыв,혀
11,Zunge::N,mēle,혀
12,Lippe::N,вом дор,입술
13,Lippe::N,lūpa,입술
14,Wange::N,бан,뺨
15,Wange::N,vaigs,뺨
16,Gesicht::N,чужӧм,얼굴
17,Gesicht::N,seja,얼굴
18,Gesicht::N,ģīmis,얼굴
19,Stirn::N,плеш,이마
20,Stirn::N,кымӧс,이마
21,Stirn::N,piere,이마
22,Haar::N,си,털
23,Haar::N,юрси,털
24,Haar::N,mats,털
25,Schnurrbart::N,ус,윗수몀
26,Schnurrbart::N,ус,코밑수염
27,Schnurrbart::N,пыртсим,윗수몀
28,Schnurrbart::N,пыртсим,코밑수염
29,Schnurrbart::N,ūsas,윗수몀
30,Schnurrbart::N,ūsas,코밑수염
31,Bart::N,тош,수엄
32,Bart::N,bārda,수엄
33,Kinn::N,тшӧка,아래턱
34,Kinn::N,zods,아래턱
35,Kinn::N,smakrs,아래턱
36,Kiefer[Anatomie]::N,черлы,턱
37,Kiefer[Anatomie]::N,алака лы,턱
38,Kiefer[Anatomie]::N,вомкӧтш лы,턱
39,Kiefer[Anatomie]::N,žoklis,턱
40,Kehle::N,голя,인후
41,Kehle::N,rīkle,인후
42,Hals::N,сьылі,목
43,Hals::N,kakls,목
44,Genick::N,юрбӧр,먹덜이
45,Genick::N,балябӧж,먹덜이
46,Genick::N,sprands,먹덜이
47,Kopf::N,юр,머리
48,Kopf::N,galva,머리
49,Rücken::N,мыш,든
50,Rücken::N,mugura,든
51,Bauch::N,рушку,배
52,Bauch::N,vēders,배
53,Nabel::N,гӧг,배꼽
54,Nabel::N,naba,배꼽
55,Busen::N,морӧс,가슴속
56,Busen::N,krūts,가슴속
57,Brust::N,морӧс,가슴
58,Brust::N,krūts,가슴
59,Schulter::N,пельпом,어깨
60,Schulter::N,plecs,어깨
61,Arm::N,ки,팔
62,Arm::N,roka,팔
63,Arm::N,delms,팔
64,Ellenbogen::N,гырддза,팔쿰치
65,Ellenbogen::N,elkonis,팔쿰치
66,Hand::N,ки,손
67,Hand::N,roka,손
68,Hand::N,plauksta,손
69,Handfläche::N,ки пыдӧс,손바닥
70,Handfläche::N,delna,손바닥
71,Handfläche::N,plauksta,손바닥
72,Finger::N,чунь,속가락
73,Finger::N,pirksts,속가락
74,Fingernagel::N,гыж,손톱
75,Fingernagel::N,nags,손톱
76,Nagel[Anatomie]::N,гыж,손톱
77,Nagel[Anatomie]::N,nags,손톱
78,Zeh::N,кок чунь,발가락
79,Zeh::N,pirksts,발가락
80,Fuß::N,кок,발
81,Fuß::N,kāja,발
82,Ferse::N,кокбӧр,발꿈치
83,Ferse::N,papēdis,발꿈치
84,Knie::N,пидзӧс,무릎
85,Knie::N,celis,무릎
86,Oberschenkel::N,лядьвей,허벅다리
87,Oberschenkel::N,бек,허벅다리
88,Oberschenkel::N,ciska,허벅다리
89,Oberschenkel::N,augšstilbs,허벅다리
90,Bein::N,кок,다리
91,Bein::N,kāja,다리
92,Körper::N,туша,구간
93,Körper::N,вывтыр,구간
94,Körper::N,miesa,구간
95,Körper::N,ķermenis,구간
96,Haut::N,ку,살갗
97,Haut::N,āda,살갗
98,Blut::N,вир,피
99,Blut::N,asins,피
100,Ader::N,сӧн,정맥
101,Ader::N,asinsvads,정맥
102,Sehne::N,вез,현
103,Sehne::N,dzīsla,현
104,Knochen::N,лы,뼈
105,Knochen::N,kauls,뼈
106,Gehirn::N,вем,뇌
107,Gehirn::N,вем,뇌수
108,Gehirn::N,smadzenes,뇌
109,Gehirn::N,smadzenes,뇌수
110,Herz::N,сьӧлӧм,염통
111,Herz::N,sirds,염통
112,Magen::N,кынӧм,위
113,Magen::N,kuņģis,위
114,Leber::N,мус,간
115,Leber::N,aknas,간
116,Atem::N,лов,기식
117,Atem::N,elpa,기식
118,Hunger::N,тшыг,공복
119,Hunger::N,bads,공복
120,Hunger::N,izsalkums,공복
121,Träne::N,синва,눈물
122,Träne::N,asara,눈물
123,Geschmack::N,кӧр,기호
124,Geschmack::N,чӧсмӧс,기호
125,Geschmack::N,garša,기호
126,Geruch::N,зын,냄새
127,Geruch::N,дук,냄새
128,Geruch::N,smaka,냄새
129,Schlaf::N,узьӧм,수면
130,Schlaf::N,miegs,수면
131,Traum::N,вӧт,쿰
132,Traum::N,вӧтасьӧм,쿰
133,Traum::N,sapnis,쿰
134,Himmel::N,енэж,하늘
135,Himmel::N,debess,하늘
136,Sonne::N,шонді,해
137,Sonne::N,saule,해
138,Mond::N,тӧлысь,달
139,Mond::N,mēness,달
140,Stern::N,кодзув,별
141,Stern::N,zvaigzne,별
142,Luft::N,сынӧд,동준
143,Luft::N,сынӧд,가스채
144,Luft::N,gaiss,동준
145,Luft::N,gaiss,가스채
146,Wind::N,тӧв,바람
147,Wind::N,vējš,바람
148,Welle::N,гы,물결
149,Welle::N,vilnis,물결
150,Wasser::N,ва,물
151,Wasser::N,ūdens,물
152,Stein::N,из,돌
153,Stein::N,akmens,돌
154,Boden::N,му,바닥
155,Boden::N,augsne,바닥
156,Erde::N,му,흙
157,Erde::N,му-ва,흙
158,Erde::N,zeme,흙
159,Staub::N,бус,먼지
160,Staub::N,putekļi,먼지
161,Rauch::N,тшын,연기
162,Rauch::N,dūmi,연기
163,Funke::N,кинь,불티
164,Funke::N,би кинь,불티
165,Funke::N,dzirkstele,불티
166,Feuer::N,би,불
167,Feuer::N,uguns,불
168,Licht::N,югӧр,불
169,Licht::N,gaisma,불
170,Schatten::N,вуджӧр,어스레함
171,Schatten::N,ēna,어스레함
172,Wetter::N,поводдя,기상
173,Wetter::N,laiks,기상
174,Nebel::N,ру,안개
175,Nebel::N,онь,안개
176,Nebel::N,migla,안개
177,Wolke::N,кымӧр,구름
178,Wolke::N,mākonis,구름
179,Regen::N,зэр,비
180,Regen::N,lietus,비
181,Schnee::N,лым,눈
182,Schnee::N,sniegs,눈
183,Eis::N,йи,얼음
184,Eis::N,ledus,얼음
185,Frost::N,кӧдзыд,혹한
186,Frost::N,sals,혹한
187,Kälte::N,кӧдзыд,추위
188,Kälte::N,кӧдзыд,차가움
189,Kälte::N,saltums,추위
190,Kälte::N,saltums,차가움
191,Kälte::N,aukstums,추위
192,Kälte::N,aukstums,차가움
193,Hitze::N,пӧсь,고온
194,Hitze::N,пӧсь,더위
195,Hitze::N,гожӧд,고온
196,Hitze::N,гожӧд,더위
197,Hitze::N,karstums,고온
198,Hitze::N,karstums,더위
199,Raureif::N,пуж,
200,Raureif::N,гыӧр,
201,Raureif::N,sarma,
202,Regenbogen::N,ӧшкамӧшка,무지개
203,Regenbogen::N,varavīksne,무지개
204,Donner::N,гым,뇌명
205,Donner::N,pērkons,뇌명
206,Strömung::N,ва ныр,유동
207,Strömung::N,визувтӧм,유동
208,Strömung::N,straume,유동
209,Strömung::N,strāvojums,유동
210,Tropfen::N,войт,물방울
211,Tropfen::N,lāse,물방울
212,Schaum::N,быг,포말
213,Schaum::N,быгзьӧм,포말
214,Schaum::N,putas,포말
215,Schmutz::N,няйт,때
216,Schmutz::N,dubļi,때
217,See::N,ты,호수
218,See::N,ezers,호수
219,Sumpf::N,гыбад,습지
220,Sumpf::N,кад,습지
221,Sumpf::N,dumbrājs,습지
222,Sumpf::N,staignājs,습지
223,Moor::N,нюр,저습지
224,Moor::N,purvs,저습지
225,Moor::N,muklājs,저습지
226,Wiese::N,видз,목초지
227,Wiese::N,pļava,목초지
228,Wald::N,вӧр,숲
229,Wald::N,mežs,숲
230,Hügel::N,дзиб,언덕
231,Hügel::N,мыльк,언덕
232,Hügel::N,нӧрыс,언덕
233,Hügel::N,paugurs,언덕
234,Anhöhe::N,мыльк,언덕
235,Anhöhe::N,нӧрыс,언덕
236,Anhöhe::N,paugurs,언덕
237,Berg::N,чой,산
238,Berg::N,керӧс,산
239,Berg::N,kalns,산
240,Gipfel::N,чук,졀졍
241,Gipfel::N,virsotne,졀졍
242,Höhle::N,рудӧг,공동
243,Höhle::N,ala,공동
244,Abhang::N,ньывк,몰매
245,Abhang::N,бокша,몰매
246,Abhang::N,nogāze,몰매
247,Quelle::N,ӧшмӧс,근원
248,Quelle::N,avots,근원
249,Bach::N,шор,내
250,Bach::N,urga,내
251,Bach::N,strauts,내
252,Fluss::N,ю,강
253,Fluss::N,upe,강
254,Ufer::N,вадор,강변
255,Ufer::N,вадор,바닷가
256,Ufer::N,krasts,강변
257,Ufer::N,krasts,바닷가
258,Küste::N,вадор,해변
259,Küste::N,вадор,해변가
260,Küste::N,piekraste,해변
261,Küste::N,piekraste,해변가
262,Festland::N,му,본토
263,Festland::N,sauszeme,본토
264,Meer::N,саридз,바다
265,Meer::N,jūra,바다
266,Bucht::N,куръя,협만
267,Bucht::N,līcis,협만
268,Insel::N,ді,섬
269,Insel::N,sala,섬
270,Blume::N,дзоридз,꽃
271,Blume::N,puķe,꽃
272,Blume::N,zieds,꽃
273,Gras::N,турун,풀
274,Gras::N,zāle,풀
275,Wurzel::N,вуж,뿌리
276,Wurzel::N,sakne,뿌리
277,Baum::N,пу,나무
278,Baum::N,koks,나무
279,Stamm::N,пучер,대
280,Stamm::N,stumbrs,대
281,Rinde::N,кырсь,나무껍질
282,Rinde::N,miza,나무껍질
283,Ast::N,ув,가지
284,Ast::N,zars,가지
285,Zweig::N,вож,가지
286,Zweig::N,nozare,가지
287,Blatt::N,кор,잎
288,Blatt::N,lapa,잎
289,Birke::N,кыдз,자작나무
290,Birke::N,bērzs,자작나무
291,Kiefer[Baum]::N,пожӧм,소나무
292,Kiefer[Baum]::N,priede,소나무
293,Weide[Baum]::N,бадь,쉬양버들
294,Weide[Baum]::N,kārkls,쉬양버들
295,Tanne::N,коз,전나무
296,Tanne::N,egle,전나무
297,Horn::N,сюр,뿔
298,Horn::N,rags,뿔
299,Feder::N,гӧн,깃털
300,Feder::N,тывборд,깃털
301,Feder::N,spalva,깃털
302,Fell::N,ку,피혁모피
303,Fell::N,āda,피혁모피
304,Flügel::N,борд,날개
305,Flügel::N,spārns,날개
306,Klaue::N,гыж,갈고리 발톺
307,Klaue::N,nags,갈고리 발톺
308,Kralle::N,гыж,발툭
309,Kralle::N,nags,발툭
310,Schwanz::N,бӧж,꼬리
311,Schwanz::N,ļipa,꼬리
312,Ei::N,кольк,알
313,Ei::N,ola,알
314,Nest::N,поз,보금자리
315,Nest::N,ligzda,보금자리
316,Bau::N,горс,굴
317,Bau::N,пырмӧс,굴
318,Bau::N,гу,굴
319,Bau::N,ala,굴
320,Tier::N,пемӧс,짐승
321,Tier::N,dzīvnieks,짐승
322,Herde::N,стада,가축의떼
323,Herde::N,кельӧб,가축의떼
324,Herde::N,ganāmpulks,가축의떼
325,Kuh::N,мӧс,암소
326,Kuh::N,govs,암소
327,Bulle::N,ӧш,황소
328,Bulle::N,bullis,황소
329,Pferd::N,вӧв,말
330,Pferd::N,zirgs,말
331,Schaf::N,ыж,양
332,Schaf::N,aita,양
333,Schwein::N,порсь,돼지
334,Schwein::N,cūka,돼지
335,Hund::N,пон,개
