,Concept_ID,mn,ady
0,Auge::N,нүд,нэ
1,Ohr::N,чих,тхьакӏу́м
2,Nase::N,хамар,пэ
3,Mund::N,ам,жэ
4,Zahn::N,шүд,цэ
5,Zunge::N,хэл,бзэгу
6,Lippe::N,уруул,ӏупшӏэ́
7,Wange::N,хацар,нэкӏу́шъу
8,Gesicht::N,царай,нэ́гу
9,Gesicht::N,нүүр,нэ́гу
10,Stirn::N,дух,натӏэ́
11,Haar::N,үс,шъхьацы́
12,Schnurrbart::N,дээд сахал,
13,Schnurrbart::N,живэр сахал,
14,Bart::N,сахал,жакӏэ́
15,Kinn::N,эрүү,жэкӏэпэпкъ
16,Kiefer[Anatomie]::N,эрүү,жэпкъы́
17,Kehle::N,хоолой,чый
18,Hals::N,хүзүү,пшъэ
19,Genick::N,шил,шъхьэпхэтыку
20,Genick::N,хүзүү,шъхьэпхэтыку
21,Kopf::N,толгой,шъхьэ́
22,Rücken::N,ар,кӏыбы́
23,Rücken::N,нуруу,кӏыбы́
24,Bauch::N,хэвлий,ныбэ́
25,Bauch::N,гэдэс,ныбэ́
26,Nabel::N,хүйс,
27,Busen::N,хөх,бгъэ́
28,Brust::N,цээж,бгъэ́
29,Schulter::N,мөр,блыпкъ
30,Schulter::N,бугалга,блыпкъ
31,Arm::N,гар,ӏэ
32,Ellenbogen::N,тохой,ӏэнтэ́гъу
33,Hand::N,гар,ӏэтхьэцу
34,Hand::N,алга,ӏэтхьэцу
35,Handfläche::N,алга,ӏэ́гу
36,Finger::N,хуруу,ӏэхъуа́мб
37,Fingernagel::N,хурууны хумс,ӏэбжъа́н
38,Nagel[Anatomie]::N,хумс,ӏэбжъа́н
39,Zeh::N,хуруу,ӏэхъуа́мб
40,Fuß::N,хөл,лъэгу
41,Ferse::N,өсгий,лъэдакъэ
42,Knie::N,өвдөг,лъагуа́ндж
43,Oberschenkel::N,гуя,ко
44,Bein::N,хөл,лъакъо́
45,Körper::N,бие,пкъышъол
46,Haut::N,арьс,кӏы́шъу
47,Blut::N,цус,лъы
48,Ader::N,судас,льытф
49,Sehne::N,бүлх,фэ
50,Sehne::N,шандас,фэ
51,Knochen::N,яс,къупшъхьэ́
52,Gehirn::N,тархи,куцӏы
53,Herz::N,зүрх,гу
54,Magen::N,ходоод,мышкӏу
55,Leber::N,элэг,шӏу
56,Atem::N,амьсгаа,къэщэныр
57,Hunger::N,өлсгөлөн,гъаблэ́
58,Träne::N,нулимс,нэпсы
59,Geschmack::N,амт,ӏэшӏугъа́кӏ
60,Geruch::N,үнэр,мэ
61,Schlaf::N,нойр,пчыхьы́пӏ
62,Traum::N,зүүд,пчыхьы́пӏ
63,Himmel::N,тэнгэр,уашъо́
64,Himmel::N,огторгуй,уашъо́
65,Sonne::N,нар,тыгъэ
66,Mond::N,сар,мазэ
67,Stern::N,од,жъуагъо́
68,Luft::N,агаар,жьы
69,Wind::N,салхи,жьыбгъэ́
70,Welle::N,долгио,ор
71,Welle::N,долгио,оры
72,Welle::N,давалгаа,ор
73,Welle::N,давалгаа,оры
74,Wasser::N,ус,псы
75,Stein::N,чулуу,мыжъо́
76,Boden::N,хөрс,чӏ́ыгу
77,Erde::N,газар,чӏ́ыгу
78,Erde::N,шороо,чӏ́ыгу
79,Staub::N,тоос,сап
80,Rauch::N,утаа,ӏугъо́
81,Funke::N,оч,мэшӏуа́ч
82,Feuer::N,гал,машӏо́
83,Licht::N,гэрэл,нэфы
84,Licht::N,гэрэл,нэфын
85,Licht::N,гэгээ,нэфы
86,Licht::N,гэгээ,нэфын
87,Schatten::N,сүүдэр,жьау́
88,Schatten::N,сүүдэр,ныбжьыкъу
89,Wetter::N,тэнгэр,
90,Wetter::N,цаг уур,
91,Nebel::N,будан,пща́гъу
92,Wolke::N,үүл,ошъуапщэ
93,Regen::N,бороо,ощхы
94,Schnee::N,цас,осы́
95,Eis::N,мөс,мылы
96,Frost::N,хүйт,
97,Kälte::N,хүйт,чъыӏэ́
98,Hitze::N,халуун,фэба́е
99,Raureif::N,цан,
100,Raureif::N,хяруу,
101,Regenbogen::N,солонго, лэгъупэкъо́пс
102,Donner::N,тэнгэрийн дуу,шыблэ́
103,Strömung::N,урсгал,ток
104,Tropfen::N,дусал,ткӏопс
105,Tropfen::N,дусал,гъуаткӏу
106,Schaum::N,хөөс,тхъурбэ
107,Schmutz::N,хир,псынжъы
108,Schmutz::N,шавхай,псынжъы
109,See::N,нуур,хыку́м
110,See::N,нуур,псыхъура́й
111,Sumpf::N,намаг,орыжъ
112,Sumpf::N,балчиг,орыжъ
113,Moor::N,хүлрийн намаг,орыжъ
114,Wiese::N,нуга,хъупӏэ́
115,Wiese::N,нуга,мэкъупӏ
116,Wald::N,ой,мэзы́
117,Hügel::N,болдог,ӏуашъхь
118,Anhöhe::N,гүвээ,чӏыӏэтыгъ
119,Berg::N,уул,къушъхьэ́
120,Gipfel::N,орой,шыгу
121,Gipfel::N,оргил,шыгу
122,Höhle::N,агуй,гъочӏэгъ
123,Abhang::N,хүр,чапэ
124,Quelle::N,булаг,псынэчэ́чъ
125,Bach::N,горхи,псышкуашку
126,Fluss::N,гол,псыхъо́
