,Concept_ID,cv,el
0,Auge::N,куҫ,μάτι
1,Auge::N,куҫ,οφθαλμός
2,Ohr::N,хӑлха,αυτί
3,Nase::N,сӑмса,μύτη
4,Mund::N,ҫӑвар,στόμα
5,Zahn::N,шӑл,δόντι
6,Zunge::N,чӗлхе,γλώσσα
7,Lippe::N,тута,χείλος
8,Wange::N,пит ҫӑмарти,παρειά
9,Wange::N,пит ҫӑмарти,μάγουλο
10,Gesicht::N,пит,πρόσωπο
11,Gesicht::N,пит-куҫ,πρόσωπο
12,Stirn::N,ҫамка,μέτωπο
13,Haar::N,ҫӳҫ,μαλλιά
14,Schnurrbart::N,усси,μουστάκι
15,Bart::N,сухал,γένια
16,Kinn::N,янах,πιγούνι
17,Kiefer[Anatomie]::N,янах,σαγόνι
18,Kehle::N,пыр,λαρύγγι
19,Kehle::N,карланкӑ,λαρύγγι
20,Hals::N,пыр,λαιμός
21,Genick::N,ӗнсе,σβέρκος
22,Kopf::N,пуҫ,κεφάλι
23,Rücken::N,ҫурӑм,ράχη
24,Nabel::N,кӑвапа,αφαλός
25,Busen::N,кӑкӑр,στήθος
26,Brust::N,умӗ,στήθος
27,Schulter::N,хул пуҫҫи,ώμος
28,Arm::N,алӑ,χέρι
29,Arm::N,алӑ,μπράτςο
30,Ellenbogen::N,чавса,αγκώνας
31,Hand::N,алӑ сыппи,χέρι
32,Handfläche::N,ал лаппи,παλάμη
33,Finger::N,пӳрне,δάχτυλο
34,Fingernagel::N,чӗрне,νύχι
35,Nagel[Anatomie]::N,чӗрне,νύχι
36,Zeh::N,пӳрне,δάχτυλο του ποδιού
37,Fuß::N,ура лаппи,πόδι
38,Ferse::N,кӗле,φτέρνα
39,Knie::N,чӗркуҫҫи,γόνατο
40,Oberschenkel::N,пӗҫӗ,μηρός
41,Bein::N,ура,πόδι
42,Körper::N,ӳт,σώμα
43,Körper::N,ӳт,κορμί
44,Körper::N,ӳт-пӳ,σώμα
45,Körper::N,ӳт-пӳ,κορμί
46,Haut::N,тир,πετσί
47,Blut::N,юн,αίμα
48,Ader::N,вена,φλέβα
49,Sehne::N,шӑнӑр,νεύρο
50,Sehne::N,шӑнӑр,τένοντας
51,Knochen::N,шӑмӑ,οστό
52,Knochen::N,шӑмӑ,κόκκαλο
53,Gehirn::N,миме,μυαλό
54,Gehirn::N,миме,εγκέφαλος
55,Herz::N,чӗре,καρδιά
56,Magen::N,хырӑмлӑх,στομάχι
57,Leber::N,пӗвер,ήπαρ
58,Leber::N,пӗвер,συκωτί
59,Atem::N,сывлав,αναπνοή
60,Hunger::N,выҫлӑх,πείνα
61,Träne::N,куҫҫуль,δάκρυ
62,Geschmack::N,техӗм,γεύση
63,Geruch::N,шӑршӑ,οσμή
64,Geruch::N,шӑршӑ,μυρωδία
65,Schlaf::N,ыйхӑ,ύπνος
66,Traum::N,тӗлӗк,όνειρο
67,Himmel::N,пӗлӗт,ουρανός
68,Sonne::N,хӗвел,ήλιος
69,Mond::N,уйӑх,σελήνη
70,Mond::N,уйӑх,φεγγάρι
71,Stern::N,ҫӑлтӑр,άστρο
72,Stern::N,ҫӑлтӑр,αστέρι
73,Luft::N,сывлӑш,αέρας
74,Wind::N,ҫил,αέρας
75,Wind::N,ҫил,άνεμος
76,Welle::N,хум,κύμα
77,Wasser::N,шыв,νερό
78,Wasser::N,шыв-шур,νερό
79,Stein::N,чул,πέτρα
80,Boden::N,тӑпра,χώμα
81,Erde::N,ҫӗр,γη
82,Staub::N,тусан,σκόνη
83,Rauch::N,тӗтӗм,καπνός
84,Funke::N,хӗм,σπίθα
85,Funke::N,хӗм,σπινθήρας
86,Feuer::N,вут,φωτιά
87,Feuer::N,ҫулӑм,φωτιά
88,Licht::N,ҫутӑ,φως
89,Schatten::N,сулхӑн,σκιά
90,Schatten::N,сулхӑн,ίσκιος
91,Wetter::N,ҫанталӑк,καιρός
92,Nebel::N,тӗтре,ομίχλη
93,Wolke::N,пӗлӗт,σύννεφο
94,Regen::N,ҫумӑр,βροχή
95,Schnee::N,юр,χιόνι
96,Eis::N,пӑр,πάγος
97,Frost::N,сивӗ,παγωνία
98,Kälte::N,сивӗ,κρύο
99,Kälte::N,сивӗ,ψύχος
100,Hitze::N,вӗри,ζέστη
101,Hitze::N,шӑрӑх,ζέστη
102,Raureif::N,пас,πάχνη
103,Regenbogen::N,асамат кӗперӗ,ουράνιο τόξο
104,Donner::N,аслати,βροντή
105,Strömung::N,юхӑ,ρεύμα
106,Tropfen::N,тумлам,στάλα
107,Schaum::N,кӑпӑк,αφρός
108,Schmutz::N,пылчӑк,βρωμιά
109,See::N,кӳлӗ,λίμνη
110,Sumpf::N,шур,βάλτος
111,Sumpf::N,шурлӑх,βάλτος
112,Moor::N,торфлӑ шурлӑх,έλος
113,Wiese::N,улӑх,λιβάδι
114,Wiese::N,ҫаран,λιβάδι
115,Wald::N,вӑрман,δάσος
116,Hügel::N,сӑрт,λόφος
117,Hügel::N,тӗмеске,λόφος
118,Anhöhe::N,сӑрт,ύψωμα
119,Berg::N,ту,όρος
120,Berg::N,ту,βουνό
121,Gipfel::N,тӳпе,κορυφή
122,Höhle::N,ҫӗр хӑвӑлӗ,σπηλιά
123,Abhang::N,тӑвайкки,πλαγιά
124,Quelle::N,ҫӑл куҫ,πηγή
125,Quelle::N,ҫӑл куҫ,βρύση
126,Bach::N,пӗчӗк шыв,ρυάκι
127,Fluss::N,юхан шыв,ποτάμι
128,Fluss::N,юхан шыв,ποταμός
129,Ufer::N,ҫыран,όχθη
130,Küste::N,тинӗс ҫыранӗ,ακτή
131,Küste::N,тинӗс ҫыранӗ,ακρογιαλιά
132,Festland::N,тип ҫӗр,στεριά
133,Meer::N,тинӗс,θάλασσα
134,Bucht::N,тинӗс кукӑрӗ,κόλπος
135,Insel::N,утрав,νησί
136,Insel::N,утрав,νήσος
137,Blume::N,чечек,άνθος
138,Blume::N,чечек,λουλούδι
139,Gras::N,курӑк,χόρτο
140,Gras::N,курӑк,χορτάρι
141,Wurzel::N,тымар,ρίζα
142,Baum::N,йывӑҫ,δέντρο
143,Stamm::N,вулӑ,κορμός
144,Rinde::N,хуйӑр,φλούδα
145,Ast::N,турат,κλαδί
146,Zweig::N,турат,κλαδί
147,Zweig::N,турат,κλάδος
148,Blatt::N,ҫулҫӑ,φύλλο
149,Birke::N,хурӑн,σημύδα
150,Kiefer[Baum]::N,хыр,πεύκο
151,Weide[Baum]::N,хӑва,ιτιά
152,Tanne::N,чӑрӑш,έλατο
153,Horn::N,мӑйрака,κέρας
154,Horn::N,мӑйрака,κέρατο
155,Feder::N,тӗк,φτερό
156,Fell::N,ҫӑм,δέρμα
157,Fell::N,ҫӑм,τομάρι
158,Flügel::N,ҫунат,πτερύγιο
159,Klaue::N,чӗрне,κουλό
160,Kralle::N,ура,νύχι
161,Schwanz::N,хӳре,ουρά
162,Ei::N,ҫӑмарта,αβγό
163,Nest::N,йӑва,φωλιά
164,Bau::N,йӗнӗ,φωλιά
165,Tier::N,выльӑх,ζώο
166,Herde::N,кӗтӳ,κοπάδι
167,Kuh::N,ӗне,αγελάδα
168,Bulle::N,вӑкӑр,ταύρος
169,Pferd::N,лаша,άλογο
170,Schaf::N,сурӑх,πρόβατο
171,Schwein::N,сысна,γουρούνι
172,Hund::N,йытӑ,σκυλί
173,Hund::N,йытӑ,σκύλος
174,Katze::N,кушак,γάτα
175,Bär::N,упа,άρκτος
176,Bär::N,упа,αρκούδα
177,Eichhörnchen::N,пакша,βερβερίτσα
