,Concept_ID,cs,ja
0,Auge::N,oko,目
1,Ohr::N,ucho,耳
2,Nase::N,nos,鼻
3,Mund::N,pusa,口
4,Zahn::N,zub,歯
5,Zunge::N,jazyk,舌
6,Lippe::N,ret,唇
7,Wange::N,tvář,頬
8,Gesicht::N,obličej,顔
9,Stirn::N,čelo,額
10,Haar::N,vlas,髪
11,Haar::N,vlasy,髪
12,Schnurrbart::N,kníry,口髭
13,Bart::N,vousy,髭
14,Kinn::N,brada,顎
15,Kiefer[Anatomie]::N,čelist,顎
16,Kehle::N,hrdlo,喉
17,Hals::N,krk,首
18,Genick::N,týl,首
19,Kopf::N,hlava,頭
20,Rücken::N,záda,背中
21,Rücken::N,hřbet,背中
22,Bauch::N,břicho,腹
23,Bauch::N,břicho,お腹
24,Nabel::N,pupek,へそ
25,Busen::N,ňadra,乳房
26,Brust::N,prsa,胸
27,Schulter::N,plece,肩
28,Schulter::N,rameno,肩
29,Arm::N,ruka,腕
30,Ellenbogen::N,loket,肘
31,Hand::N,ruka,手
32,Handfläche::N,dlaň,手のひら
33,Finger::N,prst,指
34,Fingernagel::N,nehet,爪
35,Nagel[Anatomie]::N,nehet,爪
36,Zeh::N,prst u nohy,足の指
37,Fuß::N,noha,足
38,Ferse::N,pata,かかと
39,Knie::N,koleno,膝
40,Oberschenkel::N,stehno,上腿
41,Bein::N,noha,足
42,Körper::N,tělo,体
43,Haut::N,kůže,皮膚
44,Blut::N,krev,血
45,Ader::N,céva,血管
46,Sehne::N,šlacha,腱
47,Knochen::N,kost,骨
48,Gehirn::N,mozek,脳
49,Herz::N,srdce,心
50,Herz::N,srdce,心臓
51,Magen::N,žaludek,胃
52,Leber::N,játra,肝臓
53,Atem::N,dech,息
54,Atem::N,dech,呼吸
55,Hunger::N,hlad,空腹
56,Träne::N,slza,涙
57,Geschmack::N,vkus,味
58,Geruch::N,vůně,匂い
59,Geruch::N,zápach,匂い
60,Schlaf::N,spánek,睡眠
61,Traum::N,sen,夢
62,Himmel::N,nebe,空
63,Sonne::N,slunce,太陽
64,Mond::N,měsíc,月
65,Stern::N,hvězda,星
66,Luft::N,vzduch,空気
67,Wind::N,vítr,風
68,Welle::N,vlna,波
69,Wasser::N,voda,水
70,Stein::N,kámen,石
71,Boden::N,půda,土地
72,Erde::N,země,土
73,Staub::N,prach,埃
74,Rauch::N,dým,煙
75,Rauch::N,kouř,煙
76,Funke::N,jiskra,火花
77,Feuer::N,oheň,火
78,Licht::N,světlo,光
79,Schatten::N,stín,陰
80,Wetter::N,počasí,天気
81,Nebel::N,mlha,霧
82,Wolke::N,mrak,雲
83,Wolke::N,oblak,雲
84,Regen::N,déšť,雨
85,Schnee::N,sníh,雪
86,Eis::N,led,氷
87,Frost::N,mráz,霜
88,Kälte::N,chlad,寒さ
89,Hitze::N,horko,暑さ
90,Raureif::N,jinovatka,霧氷
91,Regenbogen::N,duha,虹
92,Donner::N,hrom,雷
93,Strömung::N,proudění,流れ
94,Tropfen::N,kapka,滴
95,Schaum::N,pěna,泡
96,Schmutz::N,špína,汚れ
97,See::N,jezero,湖
98,Sumpf::N,močál,沼
99,Sumpf::N,bažina,沼
100,Moor::N,bažina,湿原
101,Moor::N,slatina,湿原
102,Wiese::N,louka,草原
103,Wald::N,les,森
104,Hügel::N,kopec,丘
105,Anhöhe::N,pahorek,高み
106,Berg::N,hora,山
107,Gipfel::N,vrchol,頂上
108,Höhle::N,jeskyně,洞窟
109,Abhang::N,svah,斜面
110,Abhang::N,stráň,斜面
111,Quelle::N,pramen,泉
112,Bach::N,potok,小川
113,Fluss::N,řeka,川
114,Ufer::N,břeh,岸
115,Küste::N,pobřeží,海岸
116,Festland::N,souš,陸
117,Festland::N,pevnina,陸
118,Meer::N,moře,海
119,Bucht::N,záliv,湾
120,Bucht::N,zátoka,湾
121,Insel::N,ostrov,島
122,Blume::N,květina,花
123,Gras::N,tráva,草
124,Wurzel::N,kořen,根
125,Baum::N,strom,木
126,Stamm::N,kmen,幹
127,Rinde::N,kůra,皮層
128,Ast::N,větev,枝
129,Zweig::N,větev,小枝
130,Blatt::N,lupen,葉
131,Birke::N,bříza,樺
132,Kiefer[Baum]::N,sosna,松
133,Kiefer[Baum]::N,borovice,松
134,Weide[Baum]::N,vrba,柳
135,Tanne::N,jedle,樅
136,Horn::N,roh,角
137,Feder::N,pero,羽根
138,Fell::N,srst,毛皮
139,Flügel::N,křídlo,羽
140,Klaue::N,dráp,鉤爪
141,Klaue::N,pazneht,鉤爪
142,Kralle::N,dráp,爪
143,Schwanz::N,ocas,尻尾
144,Ei::N,vejce,卵
145,Nest::N,hnízdo,巣
146,Bau::N,nora,穴
147,Tier::N,zvíře,動物
148,Herde::N,stádo,群れ
149,Kuh::N,kráva,牛
150,Bulle::N,býk,雄牛
151,Pferd::N,kůň,馬
152,Schaf::N,ovce,羊
153,Schwein::N,vepř,豚
154,Schwein::N,prase,豚
155,Hund::N,pes,犬
156,Katze::N,kočka,猫
157,Bär::N,medvěd,熊
158,Eichhörnchen::N,veverka,栗鼠
159,Elch::N,los,ヘラジカ
160,Fuchs::N,liška,狐
161,Hase::N,zajíc,兎
162,Maus::N,myš,鼠
163,Wolf::N,vlk,狼
164,Vogel::N,pták,鳥
165,Schwarm::N,roj,群れ
166,Schwarm::N,hejno,群れ
167,Huhn::N,kuře,鶏
168,Huhn::N,slepice,鶏
169,Hahn::N,kohout,雄鶏
170,Gans::N,husa,ガチョウ
171,Adler::N,orel,鷲
172,Ente::N,kachna,鴨
173,Eule::N,sova,フクロウ
174,Kranich::N,jeřáb,鶴
175,Krähe::N,vrána,烏
176,Kuckuck::N,kukačka,郭公
177,Schwan::N,labuť,白鳥
178,Fisch::N,ryba,魚
179,Barsch::N,okoun,鱸
180,Hecht::N,štika,川魳
181,Schlange[Tier]::N,had,蛇
182,Wurm::N,červ,虫
183,Spinne::N,pavouk,蜘蛛
184,Ameise::N,mravenec,蟻
185,Laus::N,veš,虱
186,Mücke::N,komár,蚊
187,Fliege::N,moucha,蝿
188,Schmetterling::N,motýl,蝶
189,Beere::N,bobule,漿果
190,Apfel::N,jablko,林檎
191,Pilz::N,houba,茸
192,Zwiebel::N,cibule,玉葱
193,Saat::N,osivo,種
194,Korn::N,zrno,粒
195,Heu::N,seno,干し草
196,Schale::N,slupka,皮
197,Schale::N,skořápka,皮
198,Grube::N,jáma,穴
199,Falle::N,past,わな
200,Falle::N,léčka,わな
201,Schlinge::N,smyčka,輪
202,Spur::N,stopa,跡
203,Asche::N,popel,灰
204,Dreck::N,špína,泥
205,Eisen::N,železo,鉄
206,Gold::N,zlato,金
207,Silber::N,stříbro,銀
