,Concept_ID,ps,nl
0,Auge::N,سترګه,oog
1,Ohr::N,غوږ,oor
2,Nase::N,پوزه,neus
3,Mund::N,خوله,mond
4,Zahn::N,غاښ,tand
5,Zunge::N,جبه,tong
6,Lippe::N,شونډه,lip
7,Wange::N,باړخو,wang
8,Gesicht::N,مخ,gelaat
9,Gesicht::N,مخ,gezicht
10,Stirn::N,تندی,voorhoofd
11,Stirn::N,وچولی,voorhoofd
12,Haar::N,وېښته,haar
13,Schnurrbart::N,برېت,snor
14,Bart::N,ږیره,baard
15,Kinn::N,زنه,kin
16,Kiefer[Anatomie]::N,جامه,kaak
17,Kehle::N,غاړه,keel
18,Kehle::N,غاړه,strot
19,Hals::N,غاړه,hals
20,Genick::N,ورمېږ,nek
21,Kopf::N,سر,hoofd
22,Rücken::N,شا,rug
23,Bauch::N,نس,buik
24,Bauch::N,ګېډه,buik
25,Nabel::N,نوم,navel
26,Busen::N,تی,boezem
27,Brust::N,سینه,borst
28,Schulter::N,اوږه,schouder
29,Arm::N,لاس,arm
30,Ellenbogen::N,څنګل,elleboog
31,Hand::N,لاس,hand
32,Handfläche::N,ورغوی,handpalm
33,Finger::N,ګوته,vinger
34,Fingernagel::N,نوک,nagel
35,Nagel[Anatomie]::N,نوک,nagel
36,Zeh::N,ګوته,teen
37,Fuß::N,پښه,voet
38,Ferse::N,پونده,hak
39,Ferse::N,پونده,hiel
40,Knie::N,زنګون,knie
41,Oberschenkel::N,پتون,dij
42,Bein::N,پښه,been
43,Körper::N,ځان,lichaam
44,Haut::N,پوټکی,huid
45,Blut::N,وینه,bloed
46,Ader::N,رګ,ader
47,Sehne::N,پله,pees
48,Knochen::N,هډوکی,bot
49,Knochen::N,هډوکی,been
50,Knochen::N,هډوکی,knook
51,Gehirn::N,ماغزه,hersenen
52,Herz::N,زړه,hart
53,Magen::N,معده,maag
54,Leber::N,ينه,lever
55,Leber::N,ځیګر,lever
56,Atem::N,نفس,adem
57,Hunger::N,ولږه,honger
58,Träne::N,اوښکه,traan
59,Geschmack::N,مزه,smaak
60,Geschmack::N,خوند,smaak
61,Geruch::N,بوی,geur
62,Schlaf::N,خوب,slaap
63,Traum::N,خوب,droom
64,Himmel::N,اسمان,hemel
65,Sonne::N,لمر,zon
66,Mond::N,سپوږمۍ,maan
67,Stern::N,ستوری,ster
68,Luft::N,هوا,lucht
69,Wind::N,ورښ,wind
70,Welle::N,موج,golf
71,Wasser::N,اوبه,water
72,Stein::N,ډبره,steen
73,Boden::N,مځکه,grond
74,Erde::N,خاوره,aarde
75,Staub::N,ګرد,stof
76,Staub::N,خاوره,stof
77,Rauch::N,دود,rook
78,Rauch::N,لوګی,rook
79,Funke::N,سپرغۍ,vonk
80,Feuer::N,اور,vuur
81,Licht::N,رڼا,licht
82,Schatten::N,سیوری,schaduw
83,Wetter::N,هوا,weer
84,Nebel::N,لړه,mist
85,Nebel::N,لړه,nevel
86,Wolke::N,ورېځ,wolk
87,Regen::N,وریا,regen
88,Regen::N,باران,regen
89,Schnee::N,واوره,sneeuw
90,Eis::N,یخ,ijs
91,Eis::N,کنګل,ijs
92,Frost::N,یخ,vorst
93,Kälte::N,ساړه,kou
94,Kälte::N,ساړه,koude
95,Hitze::N,تودوخي,hitte
96,Raureif::N,سپینه پرخه,rijp
97,Regenbogen::N,بوډۍ ټال,regenboog
98,Regenbogen::N,سره زرغونه,regenboog
99,Donner::N,تالنده,donder
100,Strömung::N,بهېدنه,stroming
101,Tropfen::N,قطره,druppel
102,Tropfen::N,څاڅکی,druppel
103,Schaum::N,ځګ,schuim
104,Schmutz::N,ناپاکي,vuil
105,See::N,جهیل,meer
106,Sumpf::N,جبه,moeras
107,Moor::N,جبه,veen
108,Wiese::N,چمن,wei
109,Wiese::N,چمن,weide
110,Wiese::N,شنېلی,wei
111,Wiese::N,شنېلی,weide
112,Wald::N,ځنګل,bos
113,Hügel::N,تپه,heuvel
114,Anhöhe::N,غونډۍ,hoogte
115,Berg::N,غ‍‍‍‍‍ر,berg
116,Gipfel::N,څوکه,top
117,Höhle::N,کاز,hol
118,Abhang::N,لمن,helling
119,Quelle::N,چینه,bron
120,Bach::N,واله,beek
121,Fluss::N,سیند,stroom
122,Ufer::N,غاړه,wal
123,Ufer::N,غاړه,oever
124,Küste::N,ساحل,kust
125,Festland::N,وچه,vasteland
126,Meer::N,بحر,zee
127,Meer::N,سمندر,zee
128,Bucht::N,کارۍ,baai
129,Bucht::N,کارۍ,inham
130,Insel::N,ټاپو,eiland
131,Insel::N,جزيره,eiland
132,Blume::N,ګل,bloem
133,Gras::N,واښه,gras
134,Wurzel::N,ریښه,wortel
135,Baum::N,ونه,boom
136,Stamm::N,ډډ,stam
137,Rinde::N,پوستکی,schors
138,Ast::N,ښاخ,tak
139,Zweig::N,څانګه,twijg
140,Blatt::N,پاڼه,blad
141,Birke::N,توس,berk
142,Kiefer[Baum]::N,نښتر,den
143,Weide[Baum]::N,وله,wilg
144,Tanne::N,ناجو,spar
145,Horn::N,ښکر,hoorn
146,Feder::N,بڼکه,veer
147,Feder::N,بڼکه,pluim
148,Fell::N,پوستکی,vel
149,Flügel::N,وزر,vleugel
150,Klaue::N,پنجه,klauw
151,Klaue::N,منګول,klauw
152,Kralle::N,پنجه,klauw
153,Kralle::N,منګول,klauw
154,Schwanz::N,لکۍ,staart
155,Ei::N,وۍ,ei
156,Ei::N,هګۍ,ei
157,Nest::N,جاله,nest
158,Bau::N,کاز,hol
159,Tier::N,ژوی,dier
160,Tier::N,حیوان,dier
161,Herde::N,رمه,kudde
162,Herde::N,غېله,kudde
163,Kuh::N,غوا,koe
164,Bulle::N,غوئی,stier
165,Pferd::N,آس,paard
166,Schaf::N,پسه,schaap
167,Schwein::N,سرکوزی,varken
168,Hund::N,سپی,hond
169,Katze::N,پشه,kat
170,Bär::N,خرس,beer
171,Eichhörnchen::N,خړ لمی,eekhoorntje
172,Elch::N,ګوزن,eland
173,Fuchs::N,سپلم,vos
174,Hase::N,سوی,haas
175,Maus::N,مږک,muis
176,Wolf::N,لېوه,wolf
177,Vogel::N,مرغه,vogel
178,Schwarm::N,سېل,zwerm
179,Huhn::N,چرګه,kip
180,Huhn::N,چرګه,hoen
181,Hahn::N,چرګ,haan
182,Gans::N,بته,gans
183,Adler::N,عقاب,arend
184,Ente::N,ایلۍ,eend
185,Eule::N,ګونګی,uil
186,Kranich::N,کلنګ,kraanvogel
187,Krähe::N,کارغه,kraai
188,Kuckuck::N,فاخته,koekoek
189,Schwan::N,قو,zwaan
190,Fisch::N,کب,vis
191,Fisch::N,ماهی,vis
192,Schlange[Tier]::N,مار,slang
193,Wurm::N,چینجی,worm
194,Spinne::N,غڼه,spin
195,Spinne::N,تارکښ,spin
196,Ameise::N,مېږی,mier
197,Laus::N,سپږه,luis
198,Mücke::N,ماشی,mug
199,Fliege::N,مچ,vlieg
200,Schmetterling::N,پتنګ,vlinder
201,Beere::N,مېوۍ,bes
202,Apfel::N,مڼه,appel
203,Pilz::N,خرېړی,paddestoel
204,Zwiebel::N,پیاز,ui
205,Saat::N,تخم,zaad
206,Korn::N,تخم,graan
207,Korn::N,تخم,korrel
208,Korn::N,دانه,graan
209,Korn::N,دانه,korrel
210,Heu::N,بوس,hooi
211,Heu::N,پروړه,hooi
212,Schale::N,پوستکی,schil
213,Grube::N,کنده,kuil
