,Concept_ID,udm,ml
0,Auge::N,син,കണ്ണ്
1,Ohr::N,пель,ചെവി
2,Nase::N,ныр,മൂക്ക്
3,Mund::N,ым,വായ
4,Zahn::N,пинь,പല്ല്
5,Zunge::N,кыл,നാക്ക്
6,Lippe::N,ымдур,ചുണ്ട്
7,Wange::N,бам,കവിൾത്തടം
8,Gesicht::N,ымныр,മുഖം
9,Stirn::N,кымес,നെറ്റി
10,Haar::N,йырси,തലമുടി
11,Schnurrbart::N,мыйык,മീശ
12,Bart::N,туш,താടിരോമം
13,Kinn::N,ангес,താടി
14,Kiefer[Anatomie]::N,ан,താടിയെല്ല്
15,Kiefer[Anatomie]::N,анлы,താടിയെല്ല്
16,Kehle::N,гульым,കണ്ഠനാളം
17,Hals::N,чырты,കഴുത്ത്
18,Genick::N,йырбер,പിടലി
19,Kopf::N,йыр,തല
20,Rücken::N,мыш,മുതുക്
21,Bauch::N,кӧт,നയറ്
22,Nabel::N,гогы,നാഭി
23,Busen::N,ноны,സ്തനം
24,Brust::N,мӧля,സ്തനം
25,Schulter::N,пельпум,തോൾ
26,Arm::N,суй,കൈ
27,Ellenbogen::N,гырпум,കൈമുട്ട്
28,Hand::N,ки,കൈ
29,Handfläche::N,ки пыдэс,ഉള്ളം കൈ
30,Handfläche::N,кырым пыдэс,ഉള്ളം കൈ
31,Finger::N,чиньы,വിരൽ
32,Fingernagel::N,гижы,നഖം
33,Fingernagel::N,гиждӥнь,നഖം
34,Nagel[Anatomie]::N,гижы,നഖം
35,Zeh::N,пыдчиньы,കാൽവിരൽ
36,Fuß::N,пыд,കാൽപ്പാദം
37,Ferse::N,пыдбер,ഉപ്പൂറ്റി
38,Knie::N,пыдес,കാൽമുട്ട്
39,Oberschenkel::N,макес,തുട
40,Bein::N,пыд,കാൽ
41,Körper::N,мугор,ശരീരം
42,Körper::N,вылтыр,ശരീരം
43,Haut::N,ку,ചർമ്മം
44,Blut::N,вир,രക്തം
45,Ader::N,вирсэр,ഞരമ്പ്
46,Sehne::N,вуж,സ്നായു
47,Knochen::N,лы,അസ്ഥി
48,Gehirn::N,вим,തലച്ചോറ്
49,Herz::N,сюлэм,ഹൃദയം
50,Magen::N,ӝуш,വയർ
51,Leber::N,мус,കരൾ
52,Atem::N,лул,ശ്വാസം
53,Atem::N,шокан,ശ്വാസം
54,Hunger::N,кӧтсюман,വിശപ്പ്
55,Träne::N,синкыли,കണ്ണീർ
56,Geschmack::N,шӧм,രുചി
57,Geruch::N,зын,ഗന്ധം
58,Schlaf::N,вӧт,ഉറകും
59,Traum::N,уйвӧт,സ്വപ്നം
60,Himmel::N,ин,ആകാശം
61,Sonne::N,шунды,സൂര്യൻ
62,Mond::N,толэзь,ചന്ദ്രൻ
63,Stern::N,кизили,നക്ഷത്രം
64,Luft::N,омыр,കാറ്റ്
65,Wind::N,тӧл,കാറ്റ്
66,Welle::N,тулкым,തിരമാല
67,Wasser::N,ву,വെള്ളം
68,Stein::N,из,ശില
69,Stein::N,из,കല്ല്
70,Boden::N,музъем,തറ
71,Boden::N,музъем,നിലം
72,Erde::N,му,മണ്ണ്
73,Staub::N,пыль,പൊടി
74,Rauch::N,ӵын,പുക
75,Funke::N,гизьы,തീപ്പൊരി
76,Feuer::N,тыл,തീ
77,Licht::N,тыл,വിളക്ക്
78,Licht::N,тыл,സൂര്യപ്രകാശം
79,Schatten::N,вужер,തണൽ
80,Wetter::N,куазь,കാലാവസ്ഥ
81,Nebel::N,бус,മൂടൽമഞ്ഞ്
82,Wolke::N,пилем,മേഘം
83,Regen::N,зор,മഴ
84,Schnee::N,лымы,മഞ്ഞ്
85,Eis::N,йӧ,ഐസ്
86,Frost::N,кезьыт,മൂടൽമഞ്ഞ്
87,Kälte::N,кезьыт,തണുപ്പ്
88,Hitze::N,пӧсь,ചൂട്
89,Raureif::N,гӧр,കോടമഞ്ഞ്
90,Regenbogen::N,вуюись,മഴവില്ല്
91,Donner::N,гудыри,ഇടി
92,Strömung::N,бызён,പ്രവാഹം
93,Tropfen::N,шапык,തുള്ളി
94,Schaum::N,шукы,നുര
95,Schmutz::N,нӧд,അഴുക്ക്
96,Schmutz::N,дэри,അഴുക്ക്
97,See::N,ты,തടാകം
98,Sumpf::N,нюр,ചതുപ്പുനിലം
99,Moor::N,нюр,പാഴ്നിലം
100,Wiese::N,возь,പുൽത്തകിടി
101,Wiese::N,возьвыл,പുൽത്തകിടി
102,Wald::N,сик,വനം
103,Wald::N,сик,കാട്
104,Wald::N,нюлэс,വനം
105,Wald::N,нюлэс,കാട്
106,Hügel::N,выр,കുന്ന്
107,Hügel::N,вырйыл,കുന്ന്
108,Anhöhe::N,выр,ഉയർന്ന ഭൂമി
109,Anhöhe::N,вырйыл,ഉയർന്ന ഭൂമി
110,Berg::N,гурезь,പർവ്വതം
111,Gipfel::N,йыл,ഉച്ചകോടി
112,Höhle::N,гу,ഗുഹ
113,Abhang::N,бам,ചരിവ്
114,Quelle::N,ошмес,ഉറവിടം
115,Bach::N,пичи шур,അരുവി
116,Fluss::N,шур,നദി
117,Ufer::N,ярдур,തീരം
118,Küste::N,вудур,കടൽത്തീരം
119,Festland::N,мувыр,കര
120,Meer::N,зарезь,കടൽ
121,Bucht::N,вукож,ഉൾക്കടല്
122,Insel::N,вумуӵ,ദ്വീപ്
123,Insel::N,шормуӵ,ദ്വീപ്
124,Blume::N,сяська,പൂവ്
