,Concept_ID,fi,sk
0,Auge::N,silmä,oko
1,Ohr::N,korva,ucho
2,Nase::N,nenä,nos
3,Mund::N,suu,ústa
4,Zahn::N,hammas,zub
5,Zunge::N,kieli,jazyk
6,Lippe::N,huuli,pera
7,Wange::N,poski,líce
8,Gesicht::N,naama,tvár
9,Gesicht::N,naama,obličaj
10,Gesicht::N,kasvot,tvár
11,Gesicht::N,kasvot,obličaj
12,Stirn::N,otsa,čelo
13,Haar::N,hius,vlas
14,Haar::N,tukka,vlas
15,Schnurrbart::N,viikset,fúzy
16,Bart::N,parta,brada
17,Kinn::N,leuka,brada
18,Kiefer[Anatomie]::N,leukaluu,čeľusť
19,Kehle::N,kurkku,hrdlo
20,Hals::N,kaula,krk
21,Genick::N,niska,väzy
22,Kopf::N,pää,hlava
23,Rücken::N,selkä,chrbát
24,Bauch::N,maha,brucho
25,Bauch::N,vatsa,brucho
26,Nabel::N,napa,pupok
27,Busen::N,rinta,prsia
28,Brust::N,rinta,hruď
29,Schulter::N,olka,plece
30,Schulter::N,hartia,plece
31,Schulter::N,olkapää,plece
32,Arm::N,käsivarsi,rameno
33,Ellenbogen::N,kyynärpää,lakeť
34,Hand::N,käsi,ruka
35,Handfläche::N,kämmen,dlaň
36,Finger::N,sormi,prst
37,Fingernagel::N,kynsi,necht
38,Nagel[Anatomie]::N,kynsi,necht
39,Zeh::N,varvas,prst na nohe
40,Fuß::N,jalka,noha
41,Ferse::N,kantapää,päta
42,Knie::N,polvi,koleno
43,Oberschenkel::N,reisi,stehno
44,Bein::N,jalka,noha
45,Körper::N,keho,telo
46,Körper::N,ruumis,telo
47,Haut::N,iho,koža
48,Blut::N,veri,krv
49,Ader::N,suoni,žila
50,Sehne::N,jänne,šľacha
51,Knochen::N,luu,kosť
52,Gehirn::N,aivot,mozog
53,Herz::N,sydän,srdce
54,Magen::N,maha,žalúdok
55,Magen::N,vatsa,žalúdok
56,Leber::N,maksa,pečeň
57,Atem::N,henki,dych
58,Atem::N,hengitys,dych
59,Hunger::N,nälkä,hlad
60,Träne::N,kyynel,slza
61,Geschmack::N,maku,chuť
62,Geruch::N,haju,pach
63,Schlaf::N,uni,spánok
64,Traum::N,uni,sen
65,Himmel::N,taivas,nebo
66,Sonne::N,aurinko,slnko
67,Mond::N,kuu,mesiac
68,Stern::N,tähti,hviezda
69,Luft::N,ilma,vzduch
70,Wind::N,tuuli,vietor
71,Welle::N,aalto,vlna
72,Wasser::N,vesi,voda
73,Stein::N,kivi,kameň
74,Boden::N,maa,zem
75,Boden::N,maa,pôda
76,Boden::N,maaperä,zem
77,Boden::N,maaperä,pôda
78,Erde::N,maa,zem
79,Staub::N,pöly,prach
80,Rauch::N,savu,dym
81,Funke::N,kipinä,iskra
82,Feuer::N,tuli,oheň
83,Licht::N,valo,svetlo
84,Schatten::N,varjo,tieň
85,Wetter::N,sää,počasie
86,Nebel::N,sumu,hmla
87,Wolke::N,pilvi,oblak
88,Wolke::N,pilvi,mračno
89,Regen::N,sade,dážď
90,Schnee::N,lumi,sneh
91,Eis::N,jää,ľad
92,Frost::N,halla,mráz
93,Frost::N,pakkanen,mráz
94,Kälte::N,vilu,zima
95,Kälte::N,vilu,chlad
96,Kälte::N,kylmyys,zima
97,Kälte::N,kylmyys,chlad
98,Hitze::N,helle,horúčava
99,Hitze::N,kuumuus,horúčava
100,Raureif::N,huurre,srieň
101,Raureif::N,huurre,inovať
102,Regenbogen::N,sateenkaari,dúha
103,Donner::N,jyrinä,hrom
104,Strömung::N,virtaus,prúdenie
105,Tropfen::N,tippa,kvapka
106,Tropfen::N,pisara,kvapka
107,Schaum::N,vaahto,pena
108,Schmutz::N,loka,špina
109,Schmutz::N,loka,nečistota
110,See::N,järvi,jazero
111,Sumpf::N,suo,bahno
112,Moor::N,räme,močiar
113,Wiese::N,niitty,lúka
114,Wald::N,metsä,les
115,Wald::N,metsä,hora
116,Hügel::N,mäki,vŕšok
117,Hügel::N,kumpu,vŕšok
118,Hügel::N,kukkula,vŕšok
119,Anhöhe::N,mäki,výšina
120,Anhöhe::N,mäki,vyvýšenina
121,Anhöhe::N,kumpare,výšina
122,Anhöhe::N,kumpare,vyvýšenina
123,Berg::N,mäki,hora
124,Berg::N,vuori,hora
125,Gipfel::N,laki,vrchol
126,Gipfel::N,huippu,vrchol
127,Höhle::N,luola,jaskyňa
128,Abhang::N,rinne,úbočie
129,Quelle::N,lähde,prameň
130,Bach::N,puro,potok
131,Fluss::N,joki,rieka
132,Ufer::N,ranta,breh
133,Küste::N,rannikko,pobrežie
134,Festland::N,manner,pevnina
135,Meer::N,meri,more
136,Bucht::N,lahti,záliv
137,Bucht::N,lahti,zátoka
138,Insel::N,saari,ostrov
139,Blume::N,kukka,kvet
140,Blume::N,kukka,kvetina
141,Gras::N,ruoho,tráva
142,Wurzel::N,juuri,koreň
143,Baum::N,puu,strom
144,Stamm::N,runko,kmeň
145,Rinde::N,kuori,kôra
146,Rinde::N,parkki,kôra
147,Ast::N,oksa,konár
148,Zweig::N,haara,vetva
149,Blatt::N,lehti,list
150,Birke::N,koivu,breza
151,Kiefer[Baum]::N,mänty,sosna
152,Kiefer[Baum]::N,mänty,borovica
153,Kiefer[Baum]::N,petäjä,sosna
154,Kiefer[Baum]::N,petäjä,borovica
155,Weide[Baum]::N,paju,vŕba
156,Tanne::N,kuusi,jedľa
157,Horn::N,sarvi,roh
158,Feder::N,sulka,pero
159,Feder::N,höyhen,pero
160,Fell::N,talja,koža
161,Fell::N,talja,kožušina
162,Flügel::N,siipi,krídlo
163,Klaue::N,kynsi,paznecht
164,Kralle::N,kynsi,pazúr
165,Schwanz::N,häntä,chvost
166,Schwanz::N,pyrstö,chvost
167,Ei::N,muna,vajce
168,Ei::N,muna,vajíčko
169,Nest::N,pesä,hniezdo
170,Bau::N,pesä,nora
171,Tier::N,eläin,zviera
172,Herde::N,lauma,stádo
173,Kuh::N,lehmä,krava
174,Bulle::N,sonni,býk
175,Pferd::N,hevonen,kôň
176,Schaf::N,lammas,ovca
177,Schwein::N,sika,sviňa
178,Hund::N,koira,pes
179,Katze::N,kissa,mačka
180,Bär::N,karhu,medveď
181,Eichhörnchen::N,orava,veverička
182,Elch::N,hirvi,los
183,Fuchs::N,kettu,líška
184,Hase::N,jänis,zajac
185,Maus::N,hiiri,myš
186,Wolf::N,susi,vlk
187,Vogel::N,lintu,vták
188,Schwarm::N,parvi,roj
189,Huhn::N,kana,kurča
190,Huhn::N,kana,sliepka
191,Hahn::N,kukko,kohút
192,Gans::N,hanhi,hus
193,Adler::N,kotka,orol
194,Ente::N,ankka,kačka
195,Ente::N,ankka,kačica
196,Eule::N,pöllö,sova
197,Kranich::N,kurki,žeriav
198,Krähe::N,varis,vrana
199,Kuckuck::N,käki,kukučka
200,Schwan::N,joutsen,labuť
201,Fisch::N,kala,ryba
202,Barsch::N,ahven,ostriež
203,Hecht::N,hauki,šťuka
204,Schlange[Tier]::N,käärme,had
205,Wurm::N,mato,červ
206,Spinne::N,hämähäkki,pavúk
207,Ameise::N,muurahainen,mravec
208,Laus::N,täi,voš
209,Mücke::N,sääski,komár
