,Concept_ID,,av
0,Ohr::N,,гӏин
1,Nase::N,,мегӏер
2,Mund::N,,кӏал
3,Zahn::N,,гӏус
4,Zunge::N,,мацӏ
5,Lippe::N,,кӏветӏ
6,Wange::N,,гӏоно
7,Gesicht::N,,гьумер
8,Stirn::N,,нодо
9,Haar::N,,рас
10,Schnurrbart::N,,михъ
11,Bart::N,,мегеж
12,Kinn::N,,нилъу
13,Kiefer[Anatomie]::N,,чанагъ
14,Kehle::N,,щекъер
15,Hals::N,,габур
16,Genick::N,,гъванща
17,Kopf::N,,бетӏер
18,Rücken::N,,мугъ
19,Bauch::N,,чехь
20,Nabel::N,,цӏину
21,Busen::N,,керен
22,Brust::N,,керен
23,Schulter::N,,гъажазубетӏер
24,Arm::N,,гъеж
25,Ellenbogen::N,,гӏункӏрукь
26,Hand::N,,квер
27,Handfläche::N,,огъохъат
28,Handfläche::N,,жанисахъат
29,Finger::N,,килищ
30,Fingernagel::N,,малъ
31,Nagel[Anatomie]::N,,малъ
32,Zeh::N,,килищ
33,Fuß::N,,хӏетӏ
34,Fuß::N,,хӏетӏе
35,Ferse::N,,эгъе
36,Knie::N,,наку
37,Oberschenkel::N,,мачӏ
38,Bein::N,,бох
39,Körper::N,,къаркъала
40,Haut::N,,тӏом
41,Blut::N,,би
42,Ader::N,,бидурихь
43,Knochen::N,,ракьа
44,Gehirn::N,,гӏадалнах
45,Herz::N,,ракӏ
46,Magen::N,,кванирукъ
47,Leber::N,,тӏул
48,Atem::N,,хӏухь
49,Hunger::N,,ракъи
50,Träne::N,,магӏу
51,Geschmack::N,,тату
52,Geruch::N,,махӏ
53,Schlaf::N,,макьу
54,Traum::N,,макьу
55,Himmel::N,,зоб
56,Sonne::N,,бакъ
57,Mond::N,,моцӏ
58,Stern::N,,цӏва
59,Luft::N,,гьава
60,Wind::N,,гьури
61,Welle::N,,карачел
62,Wasser::N,,лъим
63,Stein::N,,гьецӏо
64,Boden::N,,ракь
65,Erde::N,,ракь
66,Erde::N,,дуниял
67,Staub::N,,хӏур
