,Concept_ID,kl,mn
0,Auge::N,isi,нүд
1,Ohr::N,siut,чих
2,Mund::N,paaq,ам
3,Mund::N,qaneq,ам
4,Zahn::N,kigut,шүд
5,Zunge::N,oqaq,хэл
6,Lippe::N,qarloq,уруул
7,Wange::N,ersaq,хацар
8,Gesicht::N,kiinaq,царай
9,Gesicht::N,kiinaq,нүүр
10,Stirn::N,qaaq,дух
11,Haar::N,meqqoq,үс
12,Bart::N,umik,сахал
13,Kinn::N,talloq,эрүү
14,Kiefer[Anatomie]::N,alleroq,эрүү
15,Kehle::N,malaq,хоолой
16,Hals::N,qungaseq,хүзүү
17,Genick::N,pukusuk,шил
18,Genick::N,pukusuk,хүзүү
19,Kopf::N,niaqoq,толгой
20,Rücken::N,qimerlut,ар
21,Rücken::N,qimerlut,нуруу
22,Bauch::N,naaq,хэвлий
23,Bauch::N,naaq,гэдэс
24,Nabel::N,qalaseq,хүйс
25,Busen::N,iviangeq,хөх
26,Brust::N,iviangeq,цээж
27,Schulter::N,ersik,мөр
28,Schulter::N,ersik,бугалга
29,Schulter::N,assaqqoq,мөр
30,Schulter::N,assaqqoq,бугалга
31,Arm::N,taleq,гар
32,Ellenbogen::N,ikusik,тохой
33,Hand::N,assak,гар
34,Hand::N,assak,алга
35,Handfläche::N,itumak,алга
36,Finger::N,inuak,хуруу
37,Fingernagel::N,kikiak,хурууны хумс
38,Nagel[Anatomie]::N,kukik,хумс
39,Zeh::N,isigak,хуруу
40,Ferse::N,kimmik,өсгий
41,Knie::N,seeqqoq,өвдөг
42,Oberschenkel::N,uppat,гуя
43,Oberschenkel::N,quttoraq,гуя
44,Bein::N,isigak,хөл
45,Körper::N,timi,бие
46,Haut::N,mattak,арьс
47,Blut::N,aak,цус
48,Ader::N,taqaq,судас
49,Sehne::N,ujalu,бүлх
50,Sehne::N,ujalu,шандас
51,Sehne::N,ujaloq,бүлх
52,Sehne::N,ujaloq,шандас
53,Knochen::N,saanikut,яс
54,Gehirn::N,qarasaq,тархи
55,Herz::N,uummat,зүрх
56,Magen::N,aqajaroq,ходоод
57,Leber::N,tinguk,элэг
58,Atem::N,anerneq,амьсгаа
59,Hunger::N,kaanneq,өлсгөлөн
60,Träne::N,qia,нулимс
61,Träne::N,qiak,нулимс
62,Geschmack::N,qilanaartuut,амт
63,Geruch::N,tipi,үнэр
64,Geruch::N,tipik,үнэр
65,Traum::N,sinnattoq,зүүд
66,Traum::N,sinnattugaq,зүүд
67,Himmel::N,qilak,тэнгэр
68,Himmel::N,qilak,огторгуй
69,Sonne::N,seqineq,нар
70,Mond::N,qaammat,сар
71,Stern::N,ulloriaq,од
72,Luft::N,silaannaq,агаар
73,Wind::N,anori,салхи
74,Wind::N,anorsarik,салхи
75,Welle::N,aalappaa,долгио
76,Welle::N,aalappaa,давалгаа
77,Wasser::N,imeq,ус
78,Stein::N,ujarak,чулуу
79,Boden::N,nateq,хөрс
80,Erde::N,issoq,газар
81,Erde::N,issoq,шороо
82,Staub::N,pujualanerit,тоос
83,Staub::N,pujoralanerit,тоос
84,Rauch::N,iseq,утаа
85,Rauch::N,pujoq,утаа
86,Funke::N,illoorneq,оч
87,Feuer::N,inneq,гал
88,Licht::N,qaamaneq,гэрэл
89,Licht::N,qaamaneq,гэгээ
90,Schatten::N,tarraq,сүүдэр
91,Wetter::N,sila,тэнгэр
92,Wetter::N,sila,цаг уур
93,Nebel::N,pujoq,будан
94,Wolke::N,nuia,үүл
95,Regen::N,sialuk,бороо
96,Schnee::N,aput,цас
97,Eis::N,siku,мөс
98,Frost::N,issi,хүйт
99,Frost::N,issik,хүйт
100,Kälte::N,issi,хүйт
101,Hitze::N,kianneq,халуун
102,Hitze::N,kiassuseq,халуун
103,Raureif::N,kaneq,цан
104,Raureif::N,kaneq,хяруу
105,Regenbogen::N,neriusaaq,солонго
106,Donner::N,kalleq,тэнгэрийн дуу
107,Tropfen::N,kuseriarneq,дусал
108,Schaum::N,qapuk,хөөс
109,Schmutz::N,minguk,хир
110,Schmutz::N,minguk,шавхай
111,See::N,taseq,нуур
112,Sumpf::N,maqulluk,намаг
113,Sumpf::N,maqulluk,балчиг
114,Wiese::N,masarsuk,нуга
115,Hügel::N,qattuneq,болдог
116,Hügel::N,majuariaq,болдог
117,Hügel::N,majorajaaq,болдог
118,Hügel::N,qaqqannguaq,болдог
119,Berg::N,qaqqaq,уул
120,Höhle::N,qaarusuk,агуй
121,Abhang::N,ippik,хүр
122,Abhang::N,sivinganeq,хүр
123,Abhang::N,sivingajaaq,хүр
124,Abhang::N,kussangajaaq,хүр
125,Bach::N,kuunnguaq,горхи
126,Fluss::N,kuuk,гол
127,Fluss::N,kuuk,мөрөн
128,Ufer::N,sissap sinaa,эрэг
129,Küste::N,sineriak,эрэг
130,Meer::N,imaq,далай
131,Meer::N,imaq,тэнгис
132,Bucht::N,ikeq,булан
133,Bucht::N,ikeq,далайн тохой
134,Bucht::N,kangerluk,булан
135,Bucht::N,kangerluk,далайн тохой
136,Bucht::N,kangerliumaneq,булан
137,Bucht::N,kangerliumaneq,далайн тохой
138,Insel::N,qeqertaq,арал
139,Blume::N,naasoq,цэцэг
140,Gras::N,ivigaq,өвс
141,Gras::N,ivigaq,ногоо
142,Wurzel::N,niulutaq,үндэс
143,Baum::N,orpik,мод
144,Stamm::N,kanaartaq,иш
