,Concept_ID,vep,he
0,Auge::N,sil'm,עין
1,Ohr::N,korv,אזן
2,Nase::N,nena,אף
3,Nase::N,nena,חטם
4,Mund::N,su,פה
5,Zahn::N,pi,שן
6,Zahn::N,hambaz,שן
7,Zunge::N,kel',לשון
8,Lippe::N,hul',שפה
9,Wange::N,modpolišk,לחי
10,Gesicht::N,mod,פנים
11,Stirn::N,oc,מצח
12,Haar::N,tuk,שערה
13,Haar::N,hibuz,שערה
14,Schnurrbart::N,habinod,שפם
15,Bart::N,bard,זקן
16,Kinn::N,löug,סנטר
17,Kiefer[Anatomie]::N,hambazlu,לסת
18,Kehle::N,kurk,גרון
19,Hals::N,kagl,צואר
20,Genick::N,tagarai,ערף
21,Kopf::N,pä,ראש
22,Rücken::N,sel'g,גב
23,Bauch::N,vac,בטן
24,Bauch::N,koht,בטן
25,Nabel::N,naba,טבור
26,Busen::N,niža,שד
27,Brust::N,rind,חזה
28,Schulter::N,oug,כתף
29,Arm::N,käzi,זרוע
30,Ellenbogen::N,künambruz,מרפק
31,Hand::N,käzi,יד
32,Hand::N,käzitera,יד
33,Handfläche::N,kämen,כף יד
34,Finger::N,sor'm,אצבע
35,Fingernagel::N,künz',צפרן
36,Nagel[Anatomie]::N,künz',צפרן
37,Zeh::N,barbaz,אצבע
38,Fuß::N,jaug,רגל
39,Ferse::N,kand,עקב
40,Knie::N,komb,ברך
41,Knie::N,pol'v,ברך
42,Oberschenkel::N,riiže,ירך
43,Bein::N,jaug,רגל
44,Körper::N,hibj,גוף
45,Haut::N,nahk,עור
46,Blut::N,čak,דם
47,Blut::N,veri,דם
48,Ader::N,son',וריד
49,Sehne::N,jände,גיד
50,Knochen::N,lu,עצם
51,Gehirn::N,aivod,מוח
52,Herz::N,südäin,לב
53,Magen::N,südäikoht,קבה
54,Leber::N,maks,כבד
55,Atem::N,hengaiduz,נשימה
56,Hunger::N,näl'g,רעב
57,Träne::N,kündal',דמעה
58,Geschmack::N,magu,טעם
59,Geruch::N,haju,ריח
60,Schlaf::N,uni,שנה
61,Traum::N,unikuva,חלום
62,Himmel::N,taivaz,שמים
63,Sonne::N,päiväine,שמש
64,Mond::N,kudmaine,ירח
65,Stern::N,tähtaz,כוכב
66,Luft::N,il'm,אויר
67,Wind::N,döl,רוח
68,Wind::N,tullei,רוח
69,Welle::N,ald,גל
70,Welle::N,laineh,גל
71,Wasser::N,vezi,מים
72,Stein::N,kivi,אבן
73,Boden::N,ma,קרקע
74,Boden::N,pohj,קרקע
75,Erde::N,ma,אדמה
76,Staub::N,pölü,אבק
77,Rauch::N,savu,עשן
78,Funke::N,kibin,ניצוץ
79,Feuer::N,lämoi,אש
80,Licht::N,vauktuz,אור
81,Schatten::N,pil'vez,צל
82,Schatten::N,kuvahaine,צל
83,Wetter::N,sä,מזג אויר
