,Concept_ID,ab,te
0,Auge::N,ала,కన్ను
1,Ohr::N,алымҳа,చెవి
2,Nase::N,аҧынҵа,ముక్కు
3,Mund::N,аҧышə,నోరు
4,Zahn::N,ахаҧыц,పల్లు
5,Zunge::N,абз,నాలుక
6,Lippe::N,ақьышə,పెదవి
7,Wange::N,аӡамҩа,చెంప
8,Gesicht::N,аҿы,ముఖము
9,Stirn::N,алахь,నుదురు
10,Haar::N,ахəыц,వెండ్రుక
11,Schnurrbart::N,аҧаҵа,మీసము
12,Bart::N,ажакьа,గడ్డము
13,Kinn::N,ацламкəыгə,గడ్డము
14,Kiefer[Anatomie]::N,ацламҳəа,దౌడ
15,Kehle::N,ахəда,గొంతు
16,Hals::N,ахəда,మెడ
17,Genick::N,ахəдаџьал,మూపు
18,Kopf::N,ахы,తల
19,Rücken::N,азқəа,వెన్ను
20,Bauch::N,амгəа,కడుపు
21,Nabel::N,аҷапан,బొడ్డు
22,Busen::N,агəыҧҳəы,స్తనము
23,Brust::N,агəышҧы,ఱొమ్ము
24,Schulter::N,ажəҩахыр,భుజము
25,Arm::N,амахəар,చేయి
26,Ellenbogen::N,амашьхəылҵ,మోచేయి
27,Hand::N,анапы,చేయి
28,Handfläche::N,анапсаргəыҵа,అరచేయు
29,Finger::N,анацəа,చేతిప్రేలు
30,Fingernagel::N,анапхыц,గోరు
31,Nagel[Anatomie]::N,ашьапхыц,గోరు
32,Zeh::N,ашьацəа,కాలిప్రేలు
33,Fuß::N,ашьапсыргəыҵа,అడుగు
34,Ferse::N,ашьхəа,మడమ
35,Knie::N,ашьамхы,మోకాలు
36,Oberschenkel::N,ауаҭəа,తొడ
37,Bein::N,ашьапы,కాలు
38,Körper::N,ацəеижь,కాయము
39,Haut::N,ацəа,చర్మము
40,Blut::N,ашьа,రక్తము
41,Ader::N,ада,సిర
42,Sehne::N,адаш,స్నాయువు
43,Knochen::N,абаҩ,ఎముక
44,Gehirn::N,ахшлыбаҩ,మెదడు
45,Gehirn::N,ахшыбаҩ,మెదడు
46,Herz::N,агəы,హృదయము
47,Magen::N,аца,కడుపు
48,Magen::N,ацар,కడుపు
49,Leber::N,агəаҵəа,కాలేయము
50,Atem::N,аҧсыҧлагаҩгара,ఉపిరి
51,Hunger::N,амла,ఆకలి
52,Träne::N,алабжыш,కన్నీటిచుక్క
53,Geschmack::N,агьама,రుచి
54,Geruch::N,афҩы,వాసన
55,Schlaf::N,ацəа,నిద్ర
56,Traum::N,аҧхыӡ,కల
57,Himmel::N,ажəҩан,ఆకాశము
58,Sonne::N,амра,సూర్యుడు
59,Mond::N,амза,చంద్రుడు
60,Stern::N,аеҵəа,నక్షత్రము
61,Luft::N,аҳаир,గాలి
62,Wind::N,аҧша,వీచుచున్నగాలి
63,Welle::N,ацəқəырҧа,అల
64,Wasser::N,аӡы,నీరు
65,Stein::N,ахаҳə,ఱాయి
66,Boden::N,адгьыл,నేల
67,Erde::N,адгьыл,మన్ను
68,Staub::N,асаба,దుమ్ము
69,Rauch::N,алҩа,పొగ
70,Funke::N,акəиц,అగ్నికణము
71,Funke::N,ацҧхь,అగ్నికణము
72,Feuer::N,амца,అగ్ని
73,Licht::N,алашара,కాంతి
74,Schatten::N,ашəшьыра,నీడ
75,Wetter::N,амш,వాతావరణ స్థితి
76,Nebel::N,анаҟəа,పొగమంచు
77,Wolke::N,аҧсҭҳəа,మేఘము
78,Regen::N,ақəа,వాన
79,Schnee::N,асы,హిమము
80,Eis::N,аҵаа,మంచుగడ్డ
