,Concept_ID,el,ku
0,Auge::N,μάτι,çav
1,Auge::N,οφθαλμός,çav
2,Ohr::N,αυτί,guh
3,Nase::N,μύτη,bêvil
4,Mund::N,στόμα,dev
5,Zahn::N,δόντι,didan
6,Zunge::N,γλώσσα,ziman
7,Lippe::N,χείλος,lêv
8,Wange::N,παρειά,dêm
9,Wange::N,παρειά,hinarik
10,Wange::N,μάγουλο,dêm
11,Wange::N,μάγουλο,hinarik
12,Gesicht::N,πρόσωπο,rû
13,Stirn::N,μέτωπο,enî
14,Haar::N,μαλλιά,por
15,Schnurrbart::N,μουστάκι,simbêl
16,Bart::N,γένια,rih
17,Kinn::N,πιγούνι,zenî
18,Kiefer[Anatomie]::N,σαγόνι,arguşk
19,Kehle::N,λαρύγγι,qirik
20,Hals::N,λαιμός,stû
21,Hals::N,λαιμός,qirik
22,Genick::N,σβέρκος,stû
23,Kopf::N,κεφάλι,serî
24,Rücken::N,ράχη,pişt
25,Bauch::N,κοιλιά,ûr
26,Bauch::N,κοιλιά,zik
27,Nabel::N,αφαλός,navik
28,Busen::N,στήθος,sîng
29,Brust::N,στήθος,sîng
30,Schulter::N,ώμος,mil
31,Arm::N,χέρι,çepil
32,Arm::N,μπράτςο,çepil
33,Ellenbogen::N,αγκώνας,enîşk
34,Hand::N,χέρι,dest
35,Handfläche::N,παλάμη,kefadest
36,Finger::N,δάχτυλο,tilî
37,Fingernagel::N,νύχι,neynuk
38,Nagel[Anatomie]::N,νύχι,bizmar
39,Zeh::N,δάχτυλο του ποδιού,tilî linga
40,Fuß::N,πόδι,ling
41,Ferse::N,φτέρνα,pahnî
42,Knie::N,γόνατο,kabok
43,Oberschenkel::N,μηρός,rahn
44,Bein::N,πόδι,çip
45,Körper::N,σώμα,laş
46,Körper::N,σώμα,gowde
47,Körper::N,κορμί,laş
48,Körper::N,κορμί,gowde
49,Haut::N,πετσί,çerm
50,Blut::N,αίμα,xwîn
51,Ader::N,φλέβα,reh
52,Sehne::N,νεύρο,reh
53,Sehne::N,τένοντας,reh
54,Knochen::N,οστό,hestî
55,Knochen::N,κόκκαλο,hestî
56,Gehirn::N,μυαλό,mêjî
57,Gehirn::N,εγκέφαλος,mêjî
58,Herz::N,καρδιά,dil
59,Magen::N,στομάχι,navêş
60,Leber::N,ήπαρ,kezeb
61,Leber::N,συκωτί,kezeb
62,Atem::N,αναπνοή,hilm
63,Hunger::N,πείνα,birçîtî
64,Träne::N,δάκρυ,hêstir
65,Geschmack::N,γεύση,tam
66,Geruch::N,οσμή,bêhn
67,Geruch::N,μυρωδία,bêhn
68,Schlaf::N,ύπνος,xew
69,Traum::N,όνειρο,xewn
70,Himmel::N,ουρανός,ezman
71,Sonne::N,ήλιος,roj
72,Mond::N,σελήνη,heyv
73,Mond::N,φεγγάρι,heyv
74,Stern::N,άστρο,stêrk
75,Stern::N,αστέρι,stêrk
76,Luft::N,αέρας,ba
77,Wind::N,αέρας,ba
78,Wind::N,άνεμος,ba
79,Welle::N,κύμα,şewl
80,Wasser::N,νερό,av
81,Stein::N,πέτρα,kevir
82,Boden::N,χώμα,herd
83,Erde::N,γη,ax
84,Staub::N,σκόνη,toz
85,Rauch::N,καπνός,dû
86,Funke::N,σπίθα,çirûşk
87,Funke::N,σπινθήρας,çirûşk
88,Feuer::N,φωτιά,agir
89,Licht::N,φως,ronahî
90,Schatten::N,σκιά,sî
91,Schatten::N,ίσκιος,sî
92,Wetter::N,καιρός,hewa
93,Nebel::N,ομίχλη,mij
94,Wolke::N,σύννεφο,ewr
95,Regen::N,βροχή,baran
96,Schnee::N,χιόνι,berf
97,Eis::N,πάγος,qeşa
98,Frost::N,παγωνία,xûsik
99,Kälte::N,κρύο,serma
100,Kälte::N,ψύχος,serma
101,Hitze::N,ζέστη,germayî
102,Raureif::N,πάχνη,şext
103,Regenbogen::N,ουράνιο τόξο,heftreng
104,Donner::N,βροντή,gire-gir
105,Strömung::N,ρεύμα,şewl
106,Tropfen::N,στάλα,dilop
107,Schaum::N,αφρός,kef
108,Schmutz::N,βρωμιά,gemar
109,See::N,λίμνη,gol
