,Concept_ID,sah,av
0,Auge::N,харах,
1,Ohr::N,кулгаах,гӏин
2,Nase::N,мурун,мегӏер
3,Mund::N,айах,кӏал
4,Zahn::N,тиис,гӏус
5,Zunge::N,тыл,мацӏ
6,Lippe::N,уос,кӏветӏ
7,Wange::N,иэдэс,гӏоно
8,Gesicht::N,сирэй,гьумер
9,Stirn::N,сүүс,нодо
10,Haar::N,баттах,рас
11,Schnurrbart::N,уос бытыга,михъ
12,Bart::N,сэҥийэ бытыга,мегеж
13,Kinn::N,сэҥийэ,нилъу
14,Kiefer[Anatomie]::N,сыҥаах,чанагъ
15,Kehle::N,тамах,щекъер
16,Kehle::N,күөмэй,щекъер
17,Hals::N,моой,габур
18,Genick::N,кэтэх,гъванща
19,Kopf::N,бас,бетӏер
20,Rücken::N,көҕүс,мугъ
21,Bauch::N,ис,чехь
22,Nabel::N,киин,цӏину
23,Busen::N,эмиий,керен
24,Brust::N,түөс,керен
25,Schulter::N,сарын,гъажазубетӏер
26,Arm::N,илии,гъеж
27,Ellenbogen::N,тоҕонох,гӏункӏрукь
28,Hand::N,илии,квер
29,Handfläche::N,ытыс,огъохъат
30,Handfläche::N,ытыс,жанисахъат
31,Finger::N,тарбах,килищ
32,Fingernagel::N,тыҥырах,малъ
33,Nagel[Anatomie]::N,тыҥырах,малъ
34,Zeh::N,тарбах,килищ
35,Fuß::N,уллуҥах,хӏетӏ
36,Fuß::N,уллуҥах,хӏетӏе
37,Ferse::N,тилэх,эгъе
38,Knie::N,тобук,наку
39,Knie::N,дьилбэк,наку
40,Oberschenkel::N,уллук,мачӏ
41,Oberschenkel::N,өттүк,мачӏ
42,Bein::N,атах,бох
43,Körper::N,бэйэ,къаркъала
44,Haut::N,тирии,тӏом
45,Blut::N,хаан,би
46,Ader::N,вена,бидурихь
47,Ader::N,күөх_тымыр,бидурихь
48,Sehne::N,иҥиир,
49,Knochen::N,уҥуох,ракьа
50,Knochen::N,уҥгуох,ракьа
51,Gehirn::N,мэйии,гӏадалнах
52,Herz::N,сүрэх,ракӏ
53,Magen::N,куртах,кванирукъ
54,Leber::N,быар,тӏул
55,Atem::N,тыын,хӏухь
56,Hunger::N,аас,ракъи
57,Träne::N,харах уута,магӏу
58,Geschmack::N,амтан,тату
59,Geruch::N,сыт,махӏ
60,Schlaf::N,утуйуу,макьу
61,Traum::N,түүл,макьу
62,Himmel::N,халлаан,зоб
63,Sonne::N,күн,бакъ
64,Mond::N,ый,моцӏ
65,Stern::N,сулус,цӏва
66,Luft::N,салгын,гьава
67,Wind::N,тыал,гьури
68,Welle::N,долгун,карачел
69,Welle::N,балхаан,карачел
70,Wasser::N,уу,лъим
71,Stein::N,таас,гьецӏо
72,Boden::N,сир,ракь
73,Erde::N,буор,ракь
74,Erde::N,буор,дуниял
75,Staub::N,быыл,хӏур
76,Rauch::N,буруо,кӏкӏуй
77,Funke::N,кыым,
78,Feuer::N,уот,цӏа
79,Licht::N,уот,канлъи
80,Schatten::N,күлүк,рагӏад
81,Wetter::N,күн-дьыл,гьава-бакъ
82,Nebel::N,туман,гӏодобнакӏкӏ
83,Wolke::N,былыт,накӏкӏ
84,Regen::N,самыыр,цӏад
85,Schnee::N,хаар,гӏазу
86,Eis::N,муус,цӏер
87,Frost::N,тымныы,замгьари
88,Kälte::N,тымныы,квач
89,Hitze::N,куйаас,багӏари
90,Raureif::N,кырыа,мартӏ
91,Regenbogen::N,кустук,нур
92,Regenbogen::N,кустук,чамбара
93,Donner::N,этиҥ,гъугъай
94,Donner::N,этиҥ,гъугъади
95,Strömung::N,сүүрүк,чвахи
96,Tropfen::N,таммах,резел
97,Tropfen::N,таммах,тӏинкӏ
98,Tropfen::N,таммах,къатӏра
99,Tropfen::N,таммах,тӏенкӏел
100,Tropfen::N,хааппыла,резел
101,Tropfen::N,хааппыла,тӏинкӏ
102,Tropfen::N,хааппыла,къатӏра
