,Concept_ID,vep,uz
0,Auge::N,sil'm,ko'z
1,Ohr::N,korv,quloq
2,Nase::N,nena,burun
3,Mund::N,su,og'iz
4,Zahn::N,pi,tish
5,Zahn::N,hambaz,tish
6,Zunge::N,kel',til
7,Lippe::N,hul',dudoq
8,Wange::N,modpolišk,bet
9,Gesicht::N,mod,yuz
10,Stirn::N,oc,manglay
11,Haar::N,tuk,soch
12,Haar::N,hibuz,soch
13,Schnurrbart::N,habinod,mo'ylov
14,Bart::N,bard,soqol
15,Kinn::N,löug,ängak
16,Kiefer[Anatomie]::N,hambazlu,iyak
17,Kehle::N,kurk,bo'g'iz
18,Hals::N,kagl,bo'yin
19,Genick::N,tagarai,gardan
20,Kopf::N,pä,bosh
21,Rücken::N,sel'g,orqa
22,Bauch::N,vac,qorin
23,Bauch::N,koht,qorin
24,Nabel::N,naba,kindik
25,Busen::N,niža,ämchak
26,Brust::N,rind,ko'krak
27,Schulter::N,oug,elka
28,Arm::N,käzi,bilak
29,Ellenbogen::N,künambruz,tirsak
30,Hand::N,käzi,qo'l
31,Hand::N,käzitera,qo'l
32,Handfläche::N,kämen,kaft
33,Finger::N,sor'm,barmoq
34,Fingernagel::N,künz',tirnoq
35,Nagel[Anatomie]::N,künz',tirnoq
36,Zeh::N,barbaz,oyoq barmog'i
37,Fuß::N,jaug,oyoq
38,Ferse::N,kand,tovon
39,Knie::N,komb,tiz
40,Knie::N,pol'v,tiz
41,Oberschenkel::N,riiže,son
42,Bein::N,jaug,oyoq
43,Körper::N,hibj,badna
44,Haut::N,nahk,teri
45,Blut::N,čak,qon
46,Blut::N,veri,qon
47,Ader::N,son',qon tomir
48,Sehne::N,jände,tomir
49,Knochen::N,lu,suyak
50,Gehirn::N,aivod,miya
51,Herz::N,südäin,qalb
52,Magen::N,südäikoht,oshqozon
53,Leber::N,maks,bag'ir
54,Atem::N,hengaiduz,dam
55,Hunger::N,näl'g,ochlik
56,Träne::N,kündal',yosh
57,Geschmack::N,magu,tam
58,Geruch::N,haju,jid
59,Schlaf::N,uni,uyqu
60,Traum::N,unikuva,tush
61,Himmel::N,taivaz,osmon
62,Sonne::N,päiväine,quyosh
63,Mond::N,kudmaine,oy
64,Stern::N,tähtaz,yulduz
65,Luft::N,il'm,havo
66,Wind::N,döl,el
67,Wind::N,tullei,el
68,Welle::N,ald,to'lqin
69,Welle::N,laineh,to'lqin
70,Wasser::N,vezi,suv
71,Stein::N,kivi,tosh
72,Boden::N,ma,tuproq
73,Boden::N,pohj,tuproq
74,Erde::N,ma,er
75,Staub::N,pölü,chang
76,Rauch::N,savu,tutun
77,Funke::N,kibin,yalt
78,Feuer::N,lämoi,o't
79,Licht::N,vauktuz,yorug'
80,Schatten::N,pil'vez,soya
81,Schatten::N,kuvahaine,soya
82,Wetter::N,sä,havo
83,Nebel::N,sumeg,tuman
84,Wolke::N,pil'v,bulut
85,Regen::N,vihm,yomg'ir
86,Schnee::N,lumi,qor
87,Eis::N,jä,muz
88,Frost::N,hala,ajoz
89,Frost::N,pakaine,ajoz
90,Kälte::N,vilu,ajoz
91,Hitze::N,räk,issiq
92,Raureif::N,hüde,qirov
93,Regenbogen::N,jumalanbembel',kamalak
94,Donner::N,juru,guldur
95,Donner::N,jumalanjuru,guldur
96,Strömung::N,joksmuz,oqim
97,Tropfen::N,tilkuine,tomchi
98,Schaum::N,vaht,ko'pik
99,Schmutz::N,redu,gard
100,Schmutz::N,pačak,gard
101,See::N,järv,ko'l
102,Sumpf::N,so,botqoq
103,Moor::N,so,qir-adir
104,Wiese::N,nit,o'tzor
105,Wald::N,mec,o'rmon
106,Hügel::N,kukaz,tepa
107,Anhöhe::N,kukaz,adir
108,Berg::N,mägi,tog'
109,Gipfel::N,ladv,cho'qqi
110,Höhle::N,mägionduz,kavak
111,Abhang::N,paute,to'sh
112,Quelle::N,lähte,buloq
113,Bach::N,oja,o'zan
114,Fluss::N,jogi,daryo
115,Ufer::N,rand,sohil
116,Küste::N,randišt,qirg'oq
117,Festland::N,kuivma,materik
118,Meer::N,meri,dengiz
119,Bucht::N,laht,qo'ltiq
120,Insel::N,sar',orol
121,Blume::N,änik,gul
122,Gras::N,hein,sabza
123,Wurzel::N,jur',tub
124,Wurzel::N,jur',tomir
125,Baum::N,pu,daraxt
126,Stamm::N,tüvi,o'simta
127,Rinde::N,kor',qobiq
128,Ast::N,oks,shox
129,Zweig::N,oks,butoq
130,Zweig::N,barb,butoq
131,Blatt::N,lehtez,barg
132,Birke::N,koiv,qayin
133,Kiefer[Baum]::N,pedai,qarag'ay
134,Weide[Baum]::N,raid,shum
135,Tanne::N,kuz',archa
136,Horn::N,sar'v,mugiz
137,Feder::N,höuneh,par
138,Fell::N,nahk,mo'yna
139,Flügel::N,suug,qanot
140,Klaue::N,künz',tirnoq
141,Kralle::N,künz',tirnoq
142,Schwanz::N,händ,quyruq
143,Ei::N,muna,tuxum
144,Nest::N,peza,oshyon
145,Bau::N,uru,o'pqon
146,Tier::N,živat,hayvon
147,Herde::N,kogo,gala
148,Kuh::N,lehm,inak
149,Bulle::N,härg,ho'kiz
150,Pferd::N,hebo,ot
151,Schaf::N,lambaz,qo'y
152,Schwein::N,siga,cho'chqa
153,Hund::N,koir,it
154,Katze::N,kaži,mushuk
155,Bär::N,kondi,ayiq
156,Eichhörnchen::N,orav,tiyin
157,Elch::N,hirb',los
158,Fuchs::N,reboi,tulki
159,Hase::N,jäniš,kuyon
160,Maus::N,hir',sichqon
161,Wolf::N,händikaz,bo'ri
162,Vogel::N,lind,qush
163,Schwarm::N,parveh,to'da
164,Huhn::N,kana,tovuq
165,Hahn::N,kukoi,xo'roz
166,Gans::N,hanh',g'oz
167,Adler::N,orl,burgut
168,Ente::N,sorz,o'rdak
169,Eule::N,hir'pulo,boyo'g'li
170,Kranich::N,kurg,turna
171,Krähe::N,variš,qarg'a
172,Kuckuck::N,kägi,kakku
173,Schwan::N,joucen,oqkush
174,Fisch::N,kala,baliq
175,Barsch::N,ahven,olabug'a
176,Hecht::N,haug',cho'rtan
177,Schlange[Tier]::N,kü,ilon
178,Schlange[Tier]::N,mado,ilon
179,Wurm::N,mado,qurt
180,Spinne::N,hämähouk,o'rgimchak
181,Ameise::N,murahaine,chumoli
182,Laus::N,täi,bit
183,Mücke::N,säs'k,chivin
184,Fliege::N,kärbhaine,pashsha
185,Schmetterling::N,lipkaine,kapalak
186,Beere::N,marj,meva
187,Apfel::N,jablok,olma
188,Pilz::N,sen',qo'ziqorin
189,Pilz::N,babuk,qo'ziqorin
190,Zwiebel::N,lauk,piyoz
191,Saat::N,semned,äkin
192,Korn::N,jüvä,zarra
193,Korn::N,vill',zarra
194,Heu::N,hein,xashak
195,Schale::N,kor',po'choq
196,Grube::N,kop,co'ra
197,Falle::N,rida,qopqon
198,Schlinge::N,rihm,sirtmoq
199,Spur::N,jäl'g,iz
200,Asche::N,tuhk,kul
201,Dreck::N,redu,kir
202,Dreck::N,pačak,kir
203,Eisen::N,raud,temir
204,Gold::N,kuld,tilla
205,Silber::N,hobed,kumush
206,Kohle::N,hil',ko'mir
207,Glas::N,stökol,oyna
208,Lehm::N,savi,loy
209,Sand::N,lete,qum
210,Mensch::N,mez',odam
211,Mensch::N,ristit,odam
212,Mann::N,mez',ärkak
213,Frau::N,naine,ayol
214,Kind::N,laps',bola
215,Kind::N,laps',kichkintoy
216,Junge::N,poig,bola
217,Junge::N,prihaine,bola
218,Mädchen::N,neičukaine,qiz
219,Familie::N,kanz,oila
220,Familie::N,pereh,oila
221,Großvater::N,ded,buva
222,Großvater::N,ded,katta ota
223,Großmutter::N,bab,buvi
224,Großmutter::N,bab,katta oyi
225,Eltern::N,vanhembad,ota-ona
226,Eltern::N,kazvatajad,ota-ona
227,Vater::N,tat,ota
228,Mutter::N,mam,ona
229,Sohn::N,poig,o'g'il
230,Tochter::N,tütär,qiz
231,Bruder::N,veik,og'a
232,Bruder::N,veik,uka
233,Bruder::N,vell',og'a
234,Bruder::N,vell',uka
235,Schwester::N,čiža,opa
236,Schwester::N,čiža,singil
237,Schwester::N,sizar,opa
238,Schwester::N,sizar,singil
239,Onkel::N,däd',amaki
240,Tante::N,tädi,amma
241,Tante::N,tädi,xola
242,Ehemann::N,mužik,är
243,Ehefrau::N,ak,rafiqa
244,Freude::N,ilo,ayish
245,Freude::N,ihastuz,ayish
246,Gelächter::N,nagr,kulgi
247,Glück::N,oza,saodat
248,Kummer::N,gor'a,g'am
249,Wunsch::N,taht,orzu
250,Lust::N,himo,rag'bat
251,Geist::N,heng,ruh
252,Gedanke::N,meletuz,fikr
253,Gedächtnis::N,mušt,äs
254,Verstand::N,mel',aql
255,Sinn::N,jüvä,ma'ni
256,Grund::N,sü,sabab
257,Wahrheit::N,tozi,haq
258,Gespräch::N,lodu,gap
259,Gespräch::N,pagin,gap
260,Märchen::N,sarn,ärtak
261,Erzählung::N,sanutez,rivoyat
262,Nachricht::N,tedotuz,xabar
