,Concept_ID,av,hy
0,Ohr::N,гӏин,ականջ
1,Nase::N,мегӏер,քիթ
2,Mund::N,кӏал,բերան
3,Zahn::N,гӏус,ատամ
4,Zunge::N,мацӏ,լեզու
5,Lippe::N,кӏветӏ,շրթունք
6,Wange::N,гӏоно,այտ
7,Wange::N,гӏоно,թուշ
8,Gesicht::N,гьумер,դեմք
9,Stirn::N,нодо,ճակատ
10,Haar::N,рас,մազ
11,Schnurrbart::N,михъ,բեղ
12,Bart::N,мегеж,մորուք
13,Kinn::N,нилъу,կզակ
14,Kiefer[Anatomie]::N,чанагъ,ծնոտ
15,Kehle::N,щекъер,կոկորդ
16,Hals::N,габур,վիզ
17,Hals::N,габур,պարանոց
18,Genick::N,гъванща,ծոծրակ
19,Kopf::N,бетӏер,գլուխ
20,Rücken::N,мугъ,մեջք
21,Bauch::N,чехь,փոր
22,Bauch::N,чехь,որովայն
23,Nabel::N,цӏину,պորտ
24,Busen::N,керен,ծոց
25,Brust::N,керен,կուրծք
26,Schulter::N,гъажазубетӏер,ուս
27,Arm::N,гъеж,թեւ
28,Arm::N,гъеж,բազուկ
29,Ellenbogen::N,гӏункӏрукь,արմունկ
30,Hand::N,квер,ձեռք
31,Handfläche::N,огъохъат,ափ
32,Handfläche::N,жанисахъат,ափ
33,Finger::N,килищ,մատ
34,Fingernagel::N,малъ,եղունգ
35,Nagel[Anatomie]::N,малъ,եղունգ
36,Zeh::N,килищ,ոտքի մատ
37,Fuß::N,хӏетӏ,ոտք
38,Fuß::N,хӏетӏе,ոտք
39,Ferse::N,эгъе,գարշապար
40,Knie::N,наку,ծունկ
41,Oberschenkel::N,мачӏ,ազդր
42,Bein::N,бох,ոտք
43,Körper::N,къаркъала,մարմին
44,Haut::N,тӏом,մաշկ
45,Blut::N,би,արյուն
46,Ader::N,бидурихь,երակ
47,Knochen::N,ракьа,ոսկոր
48,Gehirn::N,гӏадалнах,խելք
49,Herz::N,ракӏ,սիրտ
50,Magen::N,кванирукъ,ստամոքս
51,Leber::N,тӏул,լյարդ
52,Atem::N,хӏухь,շունչ
53,Hunger::N,ракъи,քաղց
54,Träne::N,магӏу,արտասուք
55,Geschmack::N,тату,համ
56,Geschmack::N,тату,բուրմունք
57,Geruch::N,махӏ,հոտ
58,Geruch::N,махӏ,բուրում
59,Schlaf::N,макьу,քուն
60,Traum::N,макьу,երազ
61,Himmel::N,зоб,երկինք
62,Sonne::N,бакъ,արեւ
63,Mond::N,моцӏ,լուսին
64,Stern::N,цӏва,աստղ
65,Luft::N,гьава,օդ
66,Wind::N,гьури,քամի
67,Welle::N,карачел,ալիք
68,Wasser::N,лъим,ջուր
69,Stein::N,гьецӏо,քար
70,Boden::N,ракь,գետին
71,Erde::N,ракь,հող
72,Erde::N,дуниял,հող
73,Staub::N,хӏур,փոշի
74,Rauch::N,кӏкӏуй,ծուխ
75,Feuer::N,цӏа,կրակ
76,Feuer::N,цӏа,հրդեհ
77,Licht::N,канлъи,լույս
78,Schatten::N,рагӏад,ստվեր
79,Wetter::N,гьава-бакъ,եղանակ
80,Nebel::N,гӏодобнакӏкӏ,մեգ
81,Nebel::N,гӏодобнакӏкӏ,մառախուղ
82,Wolke::N,накӏкӏ,ամպ
83,Regen::N,цӏад,անձրև
84,Schnee::N,гӏазу,ձյուն
85,Eis::N,цӏер,սառույց
86,Frost::N,замгьари,սառնամանիք
87,Kälte::N,квач,դող
88,Hitze::N,багӏари,շոգ
89,Raureif::N,мартӏ,ցօղեղեամ
90,Regenbogen::N,нур,ծիածան
91,Regenbogen::N,чамбара,ծիածան
92,Donner::N,гъугъай,որոտ
93,Donner::N,гъугъади,որոտ
94,Strömung::N,чвахи,հոսանք
95,Tropfen::N,резел,կաթիլ
96,Tropfen::N,тӏинкӏ,կաթիլ
97,Tropfen::N,къатӏра,կաթիլ
98,Tropfen::N,тӏенкӏел,կաթիլ
99,Schaum::N,полоп,փրփուր
100,Schmutz::N,чороклъи,կեղտ
101,See::N,хӏор,լիճ
102,Sumpf::N,хьуцӏ,ճահիճ
103,Wiese::N,мегъ,մարգագետին
104,Wiese::N,гӏурдаллъи,մարգագետին
105,Wald::N,рохь,անտառ
106,Hügel::N,гохӏ,բլուր
107,Anhöhe::N,сийитма,բարձունք
108,Berg::N,мегӏер,լեռ
109,Gipfel::N,тӏогь,գագաթ
110,Gipfel::N,тӏогь,կատար
111,Höhle::N,нохъо,քարայր
112,Abhang::N,лабаллъи,լանջ
113,Abhang::N,лабаллъи,զառիվայր
114,Quelle::N,ицц,աղբյուր
115,Bach::N,лъар,վտակ
116,Fluss::N,гӏор,գետ
117,Ufer::N,рагӏал,ծովափ
118,Küste::N,рагӏал,ափ
119,Küste::N,рагӏал,ծովափ
120,Festland::N,ракь,ցամաք
121,Festland::N,ракъдаллъи,ցամաք
122,Meer::N,ралъад,ծով
123,Bucht::N,кӏветӏ,հաչիւն
124,Insel::N,чӏинкӏиллъи,վղզի
125,Blume::N,тӏегь,ծաղիկ
126,Gras::N,хер,խոտ
127,Wurzel::N,кьибил,արմատ
128,Baum::N,гъветӏ,ծառ
129,Stamm::N,рохти,իրան
130,Rinde::N,макъар,կեղեւ
131,Rinde::N,макъар,հաչոց
132,Ast::N,ноцӏ,ճյուղ
133,Zweig::N,гӏаркьел,ճյուղ
134,Blatt::N,тӏамах,տերեւ
135,Birke::N,мах,ցարասի
136,Birke::N,махигъветӏ,ցարասի
137,Kiefer[Baum]::N,накӏкӏигъветӏ,սոճի
138,Weide[Baum]::N,рицӏцӏ,ուռենի
139,Weide[Baum]::N,рицӏцӏигъветӏ,ուռենի
140,Tanne::N,ёлка,եղեւին
141,Horn::N,лълъар,
142,Feder::N,хӏули,փետուր
143,Fell::N,тӏом,մորթի
144,Fell::N,цӏоко,մորթի
145,Flügel::N,кваркьи,թեւ
146,Klaue::N,галъ,չանչ
147,Kralle::N,квачӏ,ճանկ
148,Kralle::N,катиквачӏ,ճանկ
149,Schwanz::N,рачӏ,պոչ
150,Ei::N,хоно,ձու
151,Nest::N,бусен,բույն
152,Bau::N,каратӏ,որջ
153,Bau::N,каратӏ,բայոց
154,Tier::N,хӏайван,կենդանի
155,Herde::N,рехъен,հոտ
156,Herde::N,рехъед,հոտ
157,Kuh::N,гӏака,կով
158,Bulle::N,оц,ցուլ
159,Pferd::N,чу,ձի
160,Schaf::N,чахъу,ոչխար
161,Schwein::N,болъон,խոզ
162,Hund::N,гьой,շուն
163,Katze::N,кету,կատու
164,Bär::N,ци,արջ
165,Eichhörnchen::N,гвангва,սկյուռ
166,Fuchs::N,цер,աղվես
167,Hase::N,гӏанкӏ,նապաստակ
168,Maus::N,гӏункӏкӏ,մուկ
169,Wolf::N,бацӏ,գայլ
170,Vogel::N,хӏинчӏ,թռչուն
171,Schwarm::N,тӏел,երամ
172,Huhn::N,гӏанкӏу,հավ
173,Hahn::N,хӏелеко,աքաղաղ
174,Gans::N,хъаз,սագ
175,Adler::N,цӏум,արծիվ
176,Ente::N,ордек,բադ
177,Eule::N,беццаруз,բու
178,Kranich::N,къункъра,կռունկ
179,Krähe::N,гъеду,ագռավ
180,Kuckuck::N,гагу,կուկու
181,Schwan::N,хӏанкъва,կարապ
182,Fisch::N,ччугӏа,ձուկ
183,Barsch::N,окунь,պերկես
184,Hecht::N,щука,գայլաձուկ
185,Schlange[Tier]::N,борохь,օձ
186,Wurm::N,хӏапара,որդ
187,Wurm::N,хӏапара,ճիճու
188,Spinne::N,хъанхъра,սարդ
189,Ameise::N,цӏунцӏра,միջյուն
190,Laus::N,нацӏ,ոջիլ
191,Mücke::N,кӏкӏара,մժղուկ
192,Fliege::N,тӏутӏ,ճանճ
193,Schmetterling::N,кӏалкӏучӏ,թիթեռ
194,Apfel::N,гӏеч,խնձոր
195,Pilz::N,гӏурдахӏан,սունկ
196,Zwiebel::N,кӏочӏопер,սոխ
197,Saat::N,хьон,սերմ
198,Korn::N,мугь,հատիկ
199,Heu::N,хер,խոտ
200,Schale::N,хъал,կեղեւ
201,Grube::N,гвенд,փոս
202,Falle::N,къор,ծուղակ
203,Falle::N,къотен,ծուղակ
204,Schlinge::N,кӏичӏ,խեղդան
205,Spur::N,лъалкӏ,հետք
206,Asche::N,рахъу,մոխիր
207,Dreck::N,гъиз,աղտ
208,Dreck::N,хӏарщ,աղտ
209,Eisen::N,махх,երկաթ
210,Gold::N,месед,ոսկի
211,Silber::N,гӏарац,արծաթ
212,Kohle::N,тӏурччи,քարածուխ
213,Glas::N,цӏер,ապակի
214,Lehm::N,хӏатӏ,կավ
215,Sand::N,сали,ավազ
216,Mensch::N,чи,մարդ
217,Mann::N,бихьинчи,մարդ
218,Mann::N,бихьинчи,տղամարդ
219,Frau::N,гӏадан,կին
220,Kind::N,лъимер,զավակ
221,Junge::N,вас,տղա
222,Mädchen::N,яс,աղջիկ
223,Familie::N,хъизан,ընտանիք
224,Großvater::N,кӏудада,պապ
225,Großmutter::N,кӏодо,տատ
226,Eltern::N,эбел-эмен,ծնողներ
227,Vater::N,эмен,հայր
