,Concept_ID,sah,cv
0,Auge::N,харах,куҫ
1,Ohr::N,кулгаах,хӑлха
2,Nase::N,мурун,сӑмса
3,Mund::N,айах,ҫӑвар
4,Zahn::N,тиис,шӑл
5,Zunge::N,тыл,чӗлхе
6,Lippe::N,уос,тута
7,Wange::N,иэдэс,пит ҫӑмарти
8,Gesicht::N,сирэй,пит
9,Gesicht::N,сирэй,пит-куҫ
10,Stirn::N,сүүс,ҫамка
11,Haar::N,баттах,ҫӳҫ
12,Schnurrbart::N,уос бытыга,усси
13,Bart::N,сэҥийэ бытыга,сухал
14,Kinn::N,сэҥийэ,янах
15,Kiefer[Anatomie]::N,сыҥаах,янах
16,Kehle::N,тамах,пыр
17,Kehle::N,тамах,карланкӑ
18,Kehle::N,күөмэй,пыр
19,Kehle::N,күөмэй,карланкӑ
20,Hals::N,моой,пыр
21,Genick::N,кэтэх,ӗнсе
22,Kopf::N,бас,пуҫ
23,Rücken::N,көҕүс,ҫурӑм
24,Bauch::N,ис,
25,Nabel::N,киин,кӑвапа
26,Busen::N,эмиий,кӑкӑр
27,Brust::N,түөс,умӗ
28,Schulter::N,сарын,хул пуҫҫи
29,Arm::N,илии,алӑ
30,Ellenbogen::N,тоҕонох,чавса
31,Hand::N,илии,алӑ сыппи
32,Handfläche::N,ытыс,ал лаппи
33,Finger::N,тарбах,пӳрне
34,Fingernagel::N,тыҥырах,чӗрне
35,Nagel[Anatomie]::N,тыҥырах,чӗрне
36,Zeh::N,тарбах,пӳрне
37,Fuß::N,уллуҥах,ура лаппи
38,Ferse::N,тилэх,кӗле
39,Knie::N,тобук,чӗркуҫҫи
40,Knie::N,дьилбэк,чӗркуҫҫи
41,Oberschenkel::N,уллук,пӗҫӗ
42,Oberschenkel::N,өттүк,пӗҫӗ
43,Bein::N,атах,ура
44,Körper::N,бэйэ,ӳт
45,Körper::N,бэйэ,ӳт-пӳ
46,Haut::N,тирии,тир
47,Blut::N,хаан,юн
48,Ader::N,вена,вена
49,Ader::N,күөх_тымыр,вена
50,Sehne::N,иҥиир,шӑнӑр
51,Knochen::N,уҥуох,шӑмӑ
52,Knochen::N,уҥгуох,шӑмӑ
53,Gehirn::N,мэйии,миме
54,Herz::N,сүрэх,чӗре
55,Magen::N,куртах,хырӑмлӑх
56,Leber::N,быар,пӗвер
57,Atem::N,тыын,сывлав
58,Hunger::N,аас,выҫлӑх
59,Träne::N,харах уута,куҫҫуль
60,Geschmack::N,амтан,техӗм
61,Geruch::N,сыт,шӑршӑ
62,Schlaf::N,утуйуу,ыйхӑ
63,Traum::N,түүл,тӗлӗк
64,Himmel::N,халлаан,пӗлӗт
65,Sonne::N,күн,хӗвел
66,Mond::N,ый,уйӑх
67,Stern::N,сулус,ҫӑлтӑр
68,Luft::N,салгын,сывлӑш
69,Wind::N,тыал,ҫил
70,Welle::N,долгун,хум
71,Welle::N,балхаан,хум
72,Wasser::N,уу,шыв
73,Wasser::N,уу,шыв-шур
74,Stein::N,таас,чул
75,Boden::N,сир,тӑпра
76,Erde::N,буор,ҫӗр
77,Staub::N,быыл,тусан
78,Rauch::N,буруо,тӗтӗм
79,Funke::N,кыым,хӗм
80,Feuer::N,уот,вут
81,Feuer::N,уот,ҫулӑм
82,Licht::N,уот,ҫутӑ
83,Schatten::N,күлүк,сулхӑн
84,Wetter::N,күн-дьыл,ҫанталӑк
85,Nebel::N,туман,тӗтре
86,Wolke::N,былыт,пӗлӗт
87,Regen::N,самыыр,ҫумӑр
88,Schnee::N,хаар,юр
89,Eis::N,муус,пӑр
90,Frost::N,тымныы,сивӗ
91,Kälte::N,тымныы,сивӗ
92,Hitze::N,куйаас,вӗри
93,Hitze::N,куйаас,шӑрӑх
94,Raureif::N,кырыа,пас
95,Regenbogen::N,кустук,асамат кӗперӗ
96,Donner::N,этиҥ,аслати
97,Strömung::N,сүүрүк,юхӑ
98,Tropfen::N,таммах,тумлам
99,Tropfen::N,хааппыла,тумлам
100,Schaum::N,күүгэн,кӑпӑк
101,Schmutz::N,кир,пылчӑк
102,See::N,күөл,кӳлӗ
103,Sumpf::N,бадараан,шур
104,Sumpf::N,бадараан,шурлӑх
105,Moor::N,дьэбэрэ,торфлӑ шурлӑх
106,Wiese::N,ходуһа,улӑх
107,Wiese::N,ходуһа,ҫаран
108,Wald::N,ойуур,вӑрман
109,Hügel::N,булгунньах,сӑрт
110,Hügel::N,булгунньах,тӗмеске
111,Anhöhe::N,үрдэл,сӑрт
112,Berg::N,хайа,ту
113,Gipfel::N,чыпчаал,тӳпе
114,Höhle::N,хайа_хаспаҕа,ҫӗр хӑвӑлӗ
115,Höhle::N,көҥүс,ҫӗр хӑвӑлӗ
116,Abhang::N,эниэ,тӑвайкки
117,Quelle::N,дьүүктэ,ҫӑл куҫ
118,Bach::N,үрүйэ,пӗчӗк шыв
119,Fluss::N,өрүс,юхан шыв
120,Ufer::N,биэрэк,ҫыран
121,Küste::N,кытыл,тинӗс ҫыранӗ
122,Festland::N,кураанах сир,тип ҫӗр
123,Meer::N,муора,тинӗс
124,Bucht::N,хомо,тинӗс кукӑрӗ
125,Bucht::N,бухта,тинӗс кукӑрӗ
126,Insel::N,арыы,утрав
127,Blume::N,сибэкки,чечек
128,Gras::N,от,курӑк
129,Wurzel::N,силис,тымар
130,Baum::N,мас,йывӑҫ
131,Stamm::N,умнас,вулӑ
132,Rinde::N,хатырык,хуйӑр
133,Ast::N,мутук,турат
134,Zweig::N,лабаа,турат
135,Blatt::N,сэбирдэх,ҫулҫӑ
136,Birke::N,хатыҥ,хурӑн
137,Kiefer[Baum]::N,бэс,хыр
138,Weide[Baum]::N,үөт,хӑва
139,Weide[Baum]::N,талах,хӑва
140,Tanne::N,харыйа,чӑрӑш
141,Horn::N,муос,мӑйрака
142,Feder::N,куорсун,тӗк
143,Fell::N,тирии,ҫӑм
144,Flügel::N,кынат,ҫунат
145,Klaue::N,тыҥырах,чӗрне
146,Kralle::N,баппаҕай,ура
147,Schwanz::N,кутурук,хӳре
148,Ei::N,сымыыт,ҫӑмарта
149,Nest::N,уйа,йӑва
150,Bau::N,хороон,йӗнӗ
151,Tier::N,кыыл,выльӑх
152,Tier::N,харамай,выльӑх
153,Herde::N,үөр,кӗтӳ
154,Kuh::N,ынах,ӗне
155,Bulle::N,оҕус,вӑкӑр
156,Pferd::N,сылгы,лаша
157,Schaf::N,овца,сурӑх
158,Schwein::N,сибиинньэ,сысна
159,Hund::N,ыт,йытӑ
160,Katze::N,куоска,кушак
161,Bär::N,эһэ,упа
162,Eichhörnchen::N,тииҥ,пакша
163,Elch::N,тайах,пӑши
164,Fuchs::N,саһыл,тилӗ
165,Hase::N,куобах,куян
166,Hase::N,куобах,мулкач
167,Maus::N,кутуйах,шӑши
168,Wolf::N,бөрө,кашкӑр
169,Vogel::N,көтөр,кайӑк
170,Vogel::N,көтөр,вӗҫен кайӑк
171,Schwarm::N,бөлөх,ушкӑн
172,Huhn::N,куурусса,чӑх
173,Huhn::N,куурусса,чӑхӑ
174,Hahn::N,бөтүүк,автан
175,Gans::N,хаас,хур
176,Adler::N,хотой,ӑмӑрт кайӑк
177,Ente::N,кус,кӑвакал
178,Eule::N,мэкчиргэ,тӑмана
179,Kranich::N,туруйа,тӑрна
180,Krähe::N,тураах,ула курак
181,Kuckuck::N,кэҕэ,куккук
182,Schwan::N,куба,акӑш
183,Fisch::N,балык,пулӑ
184,Barsch::N,алыһар,уланкӑ
185,Hecht::N,сордон,ҫӑрттан
186,Schlange[Tier]::N,моҕой,ҫӗлен
187,Schlange[Tier]::N,эриэн үөн,ҫӗлен
188,Wurm::N,үөн,ӑман
189,Spinne::N,ооҕуй,эрешмен
190,Ameise::N,кымырдаҕас,кӑткӑ
191,Laus::N,быт,пыйтӑ
192,Mücke::N,кумаар,вӑрӑм туна
193,Fliege::N,сахсырҕа,шӑна
194,Schmetterling::N,лыах,лӗпӗш
195,Schmetterling::N,үрүмэччи,лӗпӗш
196,Beere::N,отон,ҫырла
197,Apfel::N,яблоко,улма
198,Apfel::N,яблоко,пан улми
199,Pilz::N,тэллэй,кӑмпа
200,Zwiebel::N,луук,сухан
201,Saat::N,сиэмэ,вӑрӑ
202,Korn::N,сиэмэ,тӗшӗ
203,Korn::N,сиэмэ,пӗрчӗ
204,Heu::N,от,утӑ
205,Schale::N,хах,хупӑ
206,Grube::N,дьаама,шӑтӑк
207,Falle::N,сохсо,тапӑ
208,Falle::N,сохсо,капкӑн
209,Schlinge::N,уктаа,йӑлӑ
210,Spur::N,суол,йӗр
211,Asche::N,күл,кӗл
212,Dreck::N,бадараан,пылчӑк
213,Eisen::N,тимир,тимӗр
214,Gold::N,көмүс,ылтӑн
215,Gold::N,кыһыл көмүс,ылтӑн
216,Silber::N,көмүс,кӗмӗл
217,Silber::N,үрүҥ көмүс,кӗмӗл
218,Kohle::N,чох,кӑмрӑк
219,Glas::N,өстүөкүлэ,кӗленче
220,Lehm::N,туой,тӑм
221,Sand::N,кумах,хӑйӑр
222,Mensch::N,киһи,ҫын
223,Mensch::N,киһи,этем
224,Mann::N,эр,ар
225,Frau::N,дьахтар,хӗрарӑм
226,Kind::N,оҕо,ача
227,Junge::N,уол,ача
228,Junge::N,уол,ар ҫын ача
229,Mädchen::N,кыыс оҕо,хӗр ача
230,Familie::N,кэргэн,ҫемье
231,Familie::N,кэргэн,кил-йыш
232,Großvater::N,эһэ,кукаҫи
233,Großmutter::N,эбэ,кукамай
234,Eltern::N,аҕа-ийэ,аҫа-ама
235,Vater::N,аҕа,атте
236,Mutter::N,ийэ,анне
237,Sohn::N,уол,ывӑл
238,Tochter::N,кыыс,хӗр
239,Bruder::N,убай,ар тӑван
240,Bruder::N,быраат,ар тӑван
241,Schwester::N,аҕас,аппа
242,Schwester::N,аҕас,йӑмӑк
243,Schwester::N,балыс,аппа
244,Schwester::N,балыс,йӑмӑк
245,Onkel::N,таай,мучи
246,Onkel::N,таай,пичче
247,Onkel::N,абаҕа,мучи
248,Onkel::N,абаҕа,пичче
249,Tante::N,эдьиий,аппа
250,Ehemann::N,эр,упӑшка
251,Ehefrau::N,ойох,арӑм
252,Freude::N,үөрүү,савӑнӑҫ
253,Freude::N,үөрүү,хаваслӑх
254,Gelächter::N,күлүү,кулӑ
255,Glück::N,дьол,телей
256,Glück::N,дьол,ӑраскал
257,Glück::N,соргу,телей
258,Glück::N,соргу,ӑраскал
259,Kummer::N,кутурҕан,хурлӑх
260,Wunsch::N,баҕарыы,ӗмӗт
261,Wunsch::N,баҕарыы,кӑмӑл
262,Lust::N,баҕа,кӑмӑл
263,Geist::N,тыын,чун-чӗм
264,Geist::N,тыын,ыр-усал
265,Geist::N,тыын,чун хавалӗ
266,Gedanke::N,санаа,шухӑш
267,Gedächtnis::N,өй,ас
268,Verstand::N,өй,ӑс
269,Verstand::N,өй,ӑс-тӑн
270,Verstand::N,өй,ӑс-хакӑл
271,Sinn::N,суолта,тупсӑм
272,Sinn::N,суолта,пӗлтерӗш
273,Grund::N,төрүөт,сӑлтав
274,Wahrheit::N,кырдьык,чӑнлӑх
275,Gespräch::N,бэсиэдэ,калаҫу
276,Gespräch::N,кэпсэтии,калаҫу
277,Märchen::N,остуоруйа,юмах
278,Erzählung::N,кэпсээн,акалав
279,Erzählung::N,кэпсээн,каласа пани
280,Nachricht::N,биллэриллии,хыпар
281,Neuigkeit::N,сонун,ҫӗнӗ хыпар
282,Name::N,аат,ят
283,Rätsel::N,таабырын,сутмалли юмах
284,Rede::N,этии,сӑмах
285,Sprache::N,тыл,чӗлхе
286,Stimme::N,куолас,сасӑ
287,Wort::N,тыл,сӑмах
288,Zeichen::N,бэлиэ,паллӑ
289,Ruf::N,ыҥырыы,йыхрав
290,Ruf::N,ыҥырыы,чӗнӳ
291,Lärm::N,айдаан,шав
292,Laut::N,тыас,сасӑ
293,Ton::N,дорҕоон,сасӑ
294,Lied::N,ырыа,юрӑ
295,Ruhe::N,уу чуумпу,канӑҫлӑх
296,Ruhe::N,уу чуумпу,лӑпкӑлӑх
297,Leute::N,дьон,ҫамрӑксем
298,Leute::N,дьон,ҫамрӑк ҫынсем
299,Volk::N,дьон,халӑх
300,Volk::N,норуот,халӑх
301,Arbeit::N,үлэ,ӗҫхӗл
302,Arbeit::N,үлэ,ӗҫлев
303,Gast::N,ыалдьыт,хӑна
304,Geschenk::N,бэлэх,парне
305,Geschenk::N,бэлэх,кучченеҫ
306,Spiel::N,оонньуу,вӑйӑ
307,Gesellschaft::N,общество,общество
308,Hilfe::N,көмө,пулӑшу
309,Freund::N,доҕор,тус
310,Kamerad::N,атас,юлташ
311,Kamerad::N,атас,тус
312,Angelegenheit::N,дьыала,ӗҫ
313,Anzahl::N,ахсаан,йыш
314,Anzahl::N,ахсаан,хисеп
315,Art::N,биис,тӗс
