,Concept_ID,cy,vep
0,Auge::N,llygad,sil'm
1,Ohr::N,clust,korv
2,Nase::N,trwyn,nena
3,Mund::N,ceg,su
4,Zahn::N,dant,pi
5,Zahn::N,dant,hambaz
6,Zunge::N,tafod,kel'
7,Lippe::N,gwefus,hul'
8,Wange::N,boch,modpolišk
9,Gesicht::N,wyneb,mod
10,Stirn::N,talcen,oc
11,Haar::N,blew,tuk
12,Haar::N,blew,hibuz
13,Schnurrbart::N,mwstas,habinod
14,Bart::N,barf,bard
15,Kinn::N,gên,löug
16,Kiefer[Anatomie]::N,gên,hambazlu
17,Kehle::N,gwddf,kurk
18,Hals::N,gwddf,kagl
19,Genick::N,gwar,tagarai
20,Genick::N,gwegil,tagarai
21,Kopf::N,pen,pä
22,Rücken::N,cefn,sel'g
23,Bauch::N,bol,vac
24,Bauch::N,bol,koht
25,Nabel::N,bogail,naba
26,Busen::N,bron,niža
27,Brust::N,brest,rind
28,Schulter::N,ysgwydd,oug
29,Arm::N,braich,käzi
30,Ellenbogen::N,penelin,künambruz
31,Hand::N,llaw,käzi
32,Hand::N,llaw,käzitera
33,Handfläche::N,palf,kämen
34,Finger::N,bys,sor'm
35,Fingernagel::N,ewin,künz'
36,Nagel[Anatomie]::N,ewin,künz'
37,Zeh::N,bys troed,barbaz
38,Fuß::N,troed,jaug
39,Ferse::N,sawdl,kand
40,Knie::N,glin,komb
41,Knie::N,glin,pol'v
42,Oberschenkel::N,clun,riiže
43,Bein::N,coes,jaug
44,Körper::N,corff,hibj
45,Haut::N,croen,nahk
46,Blut::N,gwaed,čak
47,Blut::N,gwaed,veri
48,Ader::N,gwythïen,son'
49,Sehne::N,gewyn,jände
50,Knochen::N,asgwrn,lu
51,Gehirn::N,ymennydd,aivod
52,Herz::N,calon,südäin
53,Magen::N,cylla,südäikoht
54,Magen::N,stumog,südäikoht
55,Leber::N,iau,maks
56,Atem::N,anadl,hengaiduz
57,Hunger::N,newyn,näl'g
58,Träne::N,deigryn,kündal'
59,Geschmack::N,cyflas,magu
60,Geruch::N,aroglau,haju
61,Schlaf::N,cwsg,uni
62,Traum::N,breuddwyd,unikuva
63,Himmel::N,awyr,taivaz
64,Sonne::N,haul,päiväine
65,Mond::N,lleuad,kudmaine
66,Stern::N,seren,tähtaz
67,Luft::N,awyr,il'm
68,Wind::N,gwynt,döl
69,Wind::N,gwynt,tullei
70,Welle::N,ton,ald
71,Welle::N,ton,laineh
72,Wasser::N,dŵr,vezi
73,Stein::N,carreg,kivi
74,Boden::N,llawr,ma
75,Boden::N,llawr,pohj
76,Erde::N,pridd,ma
77,Staub::N,llwch,pölü
78,Rauch::N,mwg,savu
79,Funke::N,gwreichioni,kibin
80,Feuer::N,tân,lämoi
81,Licht::N,golau,vauktuz
82,Schatten::N,cysgod,pil'vez
83,Schatten::N,cysgod,kuvahaine
84,Wetter::N,tywydd,sä
85,Nebel::N,niwl,sumeg
86,Wolke::N,cwmwl,pil'v
87,Regen::N,glaw,vihm
88,Schnee::N,ôd,lumi
89,Schnee::N,eira,lumi
90,Eis::N,iâ,jä
91,Frost::N,rhew,hala
92,Frost::N,rhew,pakaine
93,Kälte::N,oerni,vilu
94,Kälte::N,annwyd,vilu
95,Hitze::N,gwres,räk
96,Raureif::N,barrug,hüde
97,Regenbogen::N,enfys,jumalanbembel'
98,Donner::N,tyrfau,juru
99,Donner::N,tyrfau,jumalanjuru
100,Strömung::N,cerrynt,joksmuz
101,Tropfen::N,dafn,tilkuine
102,Tropfen::N,diferyn,tilkuine
103,Schaum::N,ewyn,vaht
104,Schmutz::N,baw,redu
105,Schmutz::N,baw,pačak
106,Schmutz::N,budreddi,redu
107,Schmutz::N,budreddi,pačak
108,See::N,llyn,järv
109,Sumpf::N,cors,so
110,Moor::N,rhos,so
111,Wiese::N,dôl,nit
112,Wald::N,coedwig,mec
113,Hügel::N,bryn,kukaz
114,Anhöhe::N,bryn,kukaz
