,Concept_ID,tt,la
0,Auge::N,күз,oculus
1,Ohr::N,колак,auris
2,Nase::N,борын,nasus
3,Mund::N,авыз,os
4,Mund::N,тамак,os
5,Zahn::N,теш,dens
6,Zunge::N,тел,lingua
7,Lippe::N,ирен,labrum
8,Wange::N,яңак,gena
9,Gesicht::N,йөз,vultus
10,Stirn::N,маңгай,frons
11,Haar::N,чәч,capillus
12,Schnurrbart::N,мыек,barba labri superioris
13,Bart::N,сакал,barba
14,Kinn::N,ияк,mentum
15,Kiefer[Anatomie]::N,казналык,mala
16,Kehle::N,тамак,iugulums
17,Hals::N,бугаз,collum
18,Genick::N,җилкә,cervices
19,Kopf::N,баш,caput
20,Rücken::N,сырт,tergum
21,Bauch::N,корсак,venter
22,Nabel::N,кендек,umbilicus
23,Busen::N,түш,sinus
24,Brust::N,имчәк,pectus
25,Brust::N,күкрәк,pectus
26,Schulter::N,иңбаш,umerus
27,Schulter::N,кулбаш,umerus
28,Arm::N,кул,bracchium
29,Ellenbogen::N,терсәк,cubitum
30,Hand::N,кул,manus
31,Handfläche::N,уч,palma
32,Finger::N,бармак,digitus
33,Fingernagel::N,тырнак,unguiculus
34,Nagel[Anatomie]::N,тырнак,unguis
35,Zeh::N,бармак,digitus
36,Fuß::N,табан,pes
37,Ferse::N,үкчә,calx
38,Knie::N,тез,genu
39,Oberschenkel::N,бот,femur
40,Bein::N,аяк,crus
41,Körper::N,тән,corpus
42,Körper::N,җисем,corpus
43,Haut::N,тире,cutis
44,Haut::N,тире,pellis
45,Blut::N,кан,sanguis
46,Ader::N,тамыр,vena
47,Sehne::N,сеңер,nervus
48,Knochen::N,сөяк,os
49,Gehirn::N,ми,cerebrum
50,Herz::N,йөрәк,cor
51,Herz::N,йөрәк,animus
52,Magen::N,ашказаны,stomachus
53,Leber::N,бавыр,iecur
54,Atem::N,сулыш,spiritus
55,Hunger::N,ачлык,fames
56,Träne::N,яшь,lacrima
57,Geschmack::N,тәм,sapor
58,Geschmack::N,тәм,gustus
59,Geschmack::N,зәвык,sapor
60,Geschmack::N,зәвык,gustus
61,Geruch::N,ис,odor
62,Schlaf::N,йокы,somnus
63,Traum::N,төш,somnium
64,Himmel::N,күк,caelum
65,Sonne::N,кояш,sol
66,Mond::N,ай,luna
67,Stern::N,йолдыз,sidus
68,Stern::N,йолдыз,stella
69,Luft::N,һава,aer
70,Wind::N,җил,ventus
71,Welle::N,дулкын,unda
72,Wasser::N,су,aqua
73,Stein::N,таш,lapis
74,Boden::N,туфрак,solum
75,Erde::N,җир,terra
76,Staub::N,тузан,pulvis
77,Rauch::N,төтен,fumus
78,Funke::N,очкын,scintilla
79,Feuer::N,ут,ignis
80,Licht::N,якты,lux
81,Licht::N,якты,lumen
82,Schatten::N,күләгә,umbra
83,Wetter::N,һава,caelum
84,Wetter::N,һава,tempestas
85,Nebel::N,томан,nebula
86,Wolke::N,болыт,nubes
87,Regen::N,яңгыр,imber
88,Regen::N,яңгыр,pluvia
89,Schnee::N,кар,nix
90,Eis::N,боз,glacies
91,Frost::N,суык,gelu
92,Frost::N,салкын,gelu
93,Kälte::N,суык,frigus
94,Kälte::N,салкын,frigus
95,Hitze::N,эсселек,calor
96,Hitze::N,эсселек,aestus
97,Raureif::N,бәс,pruina
98,Raureif::N,сыкы,pruina
99,Regenbogen::N,салават күпере,arcus
100,Donner::N,күкрәү,tonitrus
101,Strömung::N,агыш'агым,fluctus
102,Tropfen::N,тамчы,gutta
103,Schaum::N,күбек,spuma
104,Schmutz::N,пычрак,sordes
105,Schmutz::N,пычрак,squalor
106,See::N,күл,lacus
107,Sumpf::N,саз,palus
108,Moor::N,торфлык,palus
109,Wiese::N,болын,pratum
110,Wald::N,урман,silva
111,Hügel::N,калку,collis
112,Anhöhe::N,үр,specula
113,Berg::N,тау,mons
114,Gipfel::N,оч,vertex
115,Höhle::N,мәгарә,caverna
116,Höhle::N,мәгарә,spelunca
117,Abhang::N,кабырга,declivum
118,Quelle::N,чишмә,fons
119,Bach::N,елга,rivus
120,Fluss::N,дәрья,flumen
121,Ufer::N,су кырые,ripa
122,Küste::N,яр буе,litus
123,Festland::N,коры җир,continens
124,Meer::N,диңгез,mare
125,Bucht::N,бухта,sinus
126,Bucht::N,култык,sinus
127,Insel::N,атау,insula
128,Insel::N,утрау,insula
129,Blume::N,чәчкә,flos
130,Gras::N,үлән,herba
131,Gras::N,үлән,gramen
132,Wurzel::N,тамыр,radix
133,Baum::N,агач,arbor
134,Stamm::N,кәүсә,truncus
135,Rinde::N,кабык,cortex
136,Ast::N,ботак,ramus
137,Zweig::N,ботак,ramus
138,Zweig::N,тармак,ramus
139,Blatt::N,яфрак,folium
140,Birke::N,каен,betulla
141,Kiefer[Baum]::N,нарат,pinus
142,Weide[Baum]::N,тал,salix
143,Tanne::N,чыршы,abies
144,Horn::N,мөгез,cornu
145,Feder::N,йон,penna
146,Fell::N,тире,pellis
147,Flügel::N,канат,ala
148,Klaue::N,тырнак,unguis
149,Kralle::N,тырнак,unguis
150,Schwanz::N,койрык,cauda
151,Ei::N,күкәй,ovum
152,Ei::N,йомырка,ovum
153,Nest::N,оя,nidus
154,Bau::N,өн,cavum
155,Bau::N,өн,latibulum
156,Tier::N,хайван,bestia
157,Herde::N,көтү,grex
158,Kuh::N,сыер,vacca
159,Bulle::N,үгез,taurus
160,Pferd::N,ат,equus
161,Schaf::N,сарык,ovis
162,Schwein::N,дуңгыз,sus
163,Schwein::N,дуңгыз,porcus
164,Hund::N,эт,canis
165,Katze::N,песи,felis
166,Bär::N,аю,ursus
167,Eichhörnchen::N,тиен,sciurus
168,Elch::N,поши,alces
169,Fuchs::N,төлке,vulpes
170,Hase::N,куян,lepus
171,Maus::N,тычкан,mus
172,Wolf::N,бүре,lupus
173,Vogel::N,кош,avis
174,Schwarm::N,көтү,examen
175,Huhn::N,тавык,gallina
176,Hahn::N,әтәч,gallus
177,Gans::N,каз,anser
178,Adler::N,каракош,aquila
179,Ente::N,үрдәк,anas
180,Eule::N,ябалак,ulula
181,Eule::N,ябалак,noctua
182,Kranich::N,торна,grus
183,Krähe::N,карга,cornix
184,Kuckuck::N,күке,cuculus
185,Kuckuck::N,кәккүк,cuculus
186,Schwan::N,аккош,olor
187,Schwan::N,аккош,cycnus
188,Fisch::N,балык,piscis
189,Barsch::N,алабуга,perca
190,Hecht::N,чуртан,esox
191,Schlange[Tier]::N,елан,serpens
192,Wurm::N,корт,vermis
193,Spinne::N,үрмәкүч,aranea
194,Ameise::N,кырмыска,formica
195,Laus::N,бет,pediculus
196,Mücke::N,черки,culex
197,Mücke::N,озынборын,culex
198,Fliege::N,чебен,musca
199,Schmetterling::N,күбәләк,papilio
200,Beere::N,җиләк,baca
201,Apfel::N,алма,malum
202,Pilz::N,гөмбә,fungus
203,Zwiebel::N,суган,cepa
204,Zwiebel::N,суганбаш,cepa
205,Saat::N,орлык,seges
206,Korn::N,иген,granum
207,Korn::N,орлык,granum
208,Heu::N,печән,faenum
209,Schale::N,кабык,putamen
210,Grube::N,баз,fovea
211,Grube::N,чокыр,fovea
212,Falle::N,тозак,pedica
213,Falle::N,капкын,pedica
214,Schlinge::N,элмәк,laqueus
215,Spur::N,эз,vestigium
216,Asche::N,көл,cinis
217,Dreck::N,пычрак,lutum
218,Eisen::N,тимер,ferrum
219,Gold::N,алтын,aurum
