,Concept_ID,es,ka
0,Auge::N,ojo,თვალი
1,Ohr::N,oreja,ყური
2,Nase::N,nariz,ცხვირი
3,Mund::N,boca,პირი
4,Zahn::N,diente,კბილი
5,Zunge::N,lengua,ენა
6,Lippe::N,labio,ბაგე
7,Wange::N,mejilla,ლოყა
8,Gesicht::N,cara,სახე
9,Stirn::N,frente,შუბლი
10,Haar::N,cabello,თმა
11,Schnurrbart::N,bigote,ულვაში
12,Bart::N,barba,წვერი
13,Kinn::N,barbilla,ნიკაპი
14,Kiefer[Anatomie]::N,mandíbula,ყბა
15,Kehle::N,garganta,ყელი
16,Hals::N,cuello,ყელი
17,Hals::N,cuello,კისერი
18,Genick::N,nuca,კეფა
19,Genick::N,cerviz,კეფა
20,Kopf::N,cabeza,თავი
21,Rücken::N,espalda,ზურგი
22,Bauch::N,vientre,მუცელი
23,Nabel::N,ombligo,ჭიპი
24,Busen::N,pecho,ძუძუ
25,Brust::N,pecho,მკერდი
26,Schulter::N,hombro,მხარი
27,Schulter::N,hombro,მკლავი
28,Arm::N,brazo,ხელი
29,Ellenbogen::N,codo,იდაყვი
30,Hand::N,mano,ხელი
31,Handfläche::N,palma,ნები
32,Handfläche::N,palma,ხელისგული
33,Finger::N,dedo,თითი
34,Fingernagel::N,uña,ფრჩხილი
35,Nagel[Anatomie]::N,uña,ფრჩხილი
36,Zeh::N,dedo del pie,ფეხის თითი
37,Fuß::N,pie,ტერფი
38,Fuß::N,pie,ფეხისგული
39,Ferse::N,talón,ქუსლი
40,Knie::N,rodilla,მუხლი
41,Oberschenkel::N,muslo,ბარძაყი
42,Bein::N,pierna,ფეხი
43,Körper::N,cuerpo,ტანი
44,Körper::N,cuerpo,სხეული
45,Haut::N,piel,კანი
46,Blut::N,sangre,სისხლი
47,Ader::N,vena,ძარღვი
48,Sehne::N,tendón,მყესი
49,Knochen::N,hueso,ძვალი
50,Gehirn::N,cerebro,ტვინი
51,Gehirn::N,encéfalo,ტვინი
52,Herz::N,corazón,გული
53,Magen::N,estómago,კუჭი
54,Leber::N,hígado,ღვიძლი
55,Atem::N,aliento,სუნთქვა
56,Hunger::N,hambre,შიმშილი
57,Träne::N,lágrima,ცრემლი
58,Geschmack::N,gusto,გემო
59,Geruch::N,olor,სუნი
60,Schlaf::N,sueño,ძილი
61,Traum::N,sueño,სიზმარი
62,Traum::N,ensueño,სიზმარი
63,Himmel::N,cielo,ცა
64,Sonne::N,sol,მზე
65,Mond::N,luna,მთვარე
66,Stern::N,estrella,ვარსკვლავი
67,Luft::N,aire,ჰაერი
68,Wind::N,viento,ქარი
69,Welle::N,ola,ტალღა
70,Welle::N,onda,ტალღა
71,Wasser::N,agua,წყალი
72,Stein::N,piedra,ქვა
73,Boden::N,suelo,მიწა
74,Erde::N,tierra,ნიადაგი
75,Staub::N,polvo,მტვერი
76,Rauch::N,humo,ბოლი
77,Rauch::N,humo,კვამლი
78,Funke::N,chispa,ნაკვესი
79,Feuer::N,fuego,ცეცხლი
80,Licht::N,luz,შუქი
81,Licht::N,luz,სინათლე
82,Schatten::N,sombra,ლანდი
83,Schatten::N,sombra,ჩრდილი
84,Wetter::N,tiempo,ამინდი
85,Nebel::N,niebla,ნისლი
86,Wolke::N,nube,ღრუბელი
87,Regen::N,lluvia,წვიმა
88,Schnee::N,nieve,თოვლი
89,Eis::N,hielo,თოში
90,Eis::N,hielo,ყინული
91,Frost::N,helada,ყინვა
92,Kälte::N,frío,სიცივე
93,Hitze::N,calor,სიცხე
94,Raureif::N,escarcha,ჭირხლი
95,Raureif::N,escarcha,თრთვილი
96,Regenbogen::N,arco iris,ცისარტყელა
97,Donner::N,trueno,ქუხილი
98,Strömung::N,corriente,დინება
99,Tropfen::N,gota,წვეთი
100,Schaum::N,espuma,ქაფი
101,Schaum::N,espuma,დორბლი
102,Schmutz::N,suciedad,ჭუჭყი
103,Schmutz::N,suciedad,ტალახი
104,See::N,lago,ტბა
105,Sumpf::N,pantano,ჭაობი
106,Moor::N,turbera,ტორფნარი
107,Wiese::N,prado,ველი
108,Wiese::N,prado,მდელო
109,Wiese::N,pradera,ველი
110,Wiese::N,pradera,მდელო
111,Wald::N,bosque,ტყე
112,Hügel::N,colina,ბორცვი
113,Anhöhe::N,cerro,მაღლობი
114,Berg::N,monte,მთა
115,Berg::N,montaña,მთა
116,Gipfel::N,cima,მწვერვალი
117,Gipfel::N,cumbre,მწვერვალი
118,Höhle::N,cueva,მღვიმე
119,Höhle::N,cueva,გამოქვებული
120,Höhle::N,caverna,მღვიმე
121,Höhle::N,caverna,გამოქვებული
122,Abhang::N,cuesta,ფერდობი
123,Abhang::N,declive,ფერდობი
124,Quelle::N,fuente,წყარო
125,Quelle::N,fuente,სათავე
126,Quelle::N,manantial,წყარო
127,Quelle::N,manantial,სათავე
128,Bach::N,arroyo,რუ
129,Bach::N,arroyo,ნაკადული
130,Fluss::N,río,მდინარე
131,Ufer::N,orilla,კიდე
132,Ufer::N,orilla,ნაპირი
133,Küste::N,costa,ნაპირი
134,Festland::N,tierra firme,ხმელეთი
135,Meer::N,mar,ზღვა
136,Bucht::N,cala,ყურე
137,Bucht::N,bahía,ყურე
138,Insel::N,isla,კუნძული
139,Blume::N,flor,ყვავილი
140,Gras::N,hierba,ბალახი
141,Wurzel::N,raíz,ძირი
142,Wurzel::N,raíz,ფესვი
143,Baum::N,árbol,ხე
144,Stamm::N,tronco,ტანი
145,Rinde::N,corteza,ქერქი
146,Ast::N,rama,ტოტი
147,Zweig::N,ramo,შტო
148,Blatt::N,hoja,ფოთოლი
149,Birke::N,abedul,არყი
150,Kiefer[Baum]::N,pino,ფიჭვი
151,Weide[Baum]::N,sauce,ტირიფი
152,Tanne::N,abeto,ნაძვი
153,Horn::N,asta,რქა
154,Horn::N,cuerno,რქა
155,Feder::N,pluma,ფრთა
156,Fell::N,piel,ტყავი
157,Flügel::N,ala,ფრთა
158,Klaue::N,garra,კლანჭი
159,Kralle::N,uña,ტორი
160,Kralle::N,garra,ტორი
161,Schwanz::N,cola,კუდი
162,Ei::N,huevo,კვერცხი
163,Nest::N,nido,ბუდე
164,Bau::N,madriguera,სორო
165,Tier::N,animal,ნადირი
166,Tier::N,animal,ცხოველი
167,Herde::N,rebaño,ფარა
168,Kuh::N,vaca,ფური
169,Kuh::N,vaca,ძროხა
170,Bulle::N,toro,ხარი
171,Pferd::N,caballo,რაში
172,Pferd::N,caballo,ცხენი
173,Schaf::N,oveja,ცხვარი
174,Schwein::N,cerdo,ღორი
175,Hund::N,perro,ძაღლი
176,Katze::N,gato,კატა
177,Bär::N,oso,დათვი
178,Eichhörnchen::N,ardilla,ციყვი
179,Elch::N,alce,ცხენ-ირემი
180,Fuchs::N,zorro,მელა
181,Hase::N,liebre,კურდღელი
182,Maus::N,ratón,თაგვი
183,Wolf::N,lobo,მგელი
184,Vogel::N,ave,ჩიტი
185,Vogel::N,ave,ფრინველი
186,Vogel::N,pájaro,ჩიტი
187,Vogel::N,pájaro,ფრინველი
188,Schwarm::N,bandada,გუნდი
189,Huhn::N,gallina,დედალი
190,Hahn::N,gallo,მამალი
191,Gans::N,oca,ბატი
192,Gans::N,ganso,ბატი
193,Adler::N,águila,არწივი
194,Ente::N,pato,იხვი
195,Eule::N,lechuza,ბუ
196,Kranich::N,grulla,წერო
197,Krähe::N,corneja,ყვავი
198,Kuckuck::N,cuco,გუგული
199,Schwan::N,cisne,გედი
200,Fisch::N,pez,თევზი
201,Barsch::N,perca,ქორჭილა
202,Hecht::N,lucio,ქარიყლაპია
203,Schlange[Tier]::N,serpiente,გველი
204,Wurm::N,gusano,ჭია
205,Spinne::N,araña,ობობა
206,Ameise::N,hormiga,ჭიანჭველა
207,Laus::N,piojo,ტილი
208,Laus::N,piojo,მკბენარი
209,Mücke::N,mosquito,კოღო
210,Fliege::N,mosca,ბუზი
211,Schmetterling::N,mariposa,პეპელა
212,Beere::N,baya,კენკრა
213,Apfel::N,manzana,ვაშლი
214,Pilz::N,seta,სოკო
215,Pilz::N,hongo,სოკო
216,Zwiebel::N,cebolla,ხახვი
217,Saat::N,siembra,თესლი
218,Korn::N,grano,მარცვალი
219,Heu::N,heno,თივა
220,Schale::N,cáscara,ჩენჩო
221,Grube::N,foso,ორმო
222,Falle::N,trampa,ხაფანგი
223,Schlinge::N,lazo,მახე
224,Spur::N,huella,კვალი
225,Asche::N,ceniza,ფერფლი
226,Dreck::N,suciedad,ტალახი
227,Dreck::N,suciedad,სიბინძურე
228,Eisen::N,hierro,რკინა
229,Gold::N,oro,ოქრო
230,Silber::N,plata,ვერცხლი
231,Kohle::N,carbón,ნახშირი
232,Glas::N,vidrio,მინა
233,Glas::N,cristal,მინა
234,Lehm::N,barro,თიხა
235,Sand::N,arena,ქვიშა
236,Mensch::N,hombre,ადამიანი
237,Mensch::N,ser humano,ადამიანი
238,Mann::N,hombre,კაცი
239,Frau::N,mujer,ქალი
240,Kind::N,niño,ბავშვი
241,Junge::N,chico,ვაჟი
242,Junge::N,muchacho,ვაჟი
243,Mädchen::N,chica,გოგო
244,Mädchen::N,muchacha,გოგო
245,Familie::N,familia,ოჯახი
246,Großvater::N,abuelo,პაპა
247,Großvater::N,abuelo,ბაბუა
248,Großmutter::N,abuela,ბებია
249,Großmutter::N,abuela,დიდედა
250,Eltern::N,padres,მშობლები
251,Vater::N,padre,მამა
252,Mutter::N,madre,დედა
253,Sohn::N,hijo,ვაჟიშვილი
254,Tochter::N,hija,ქალიშვილი
255,Bruder::N,hermano,ძმა
256,Schwester::N,hermana,და
257,Onkel::N,tío,ბიძა
258,Tante::N,tía,დეიდა
259,Tante::N,tía,მამიდა
260,Ehemann::N,esposo,ქმარი
261,Ehefrau::N,esposa,ცოლი
262,Freude::N,placer,სიხარული
263,Freude::N,alegría,სიხარული
264,Gelächter::N,risa,სიცილი
265,Gelächter::N,carcajada,სიცილი
266,Glück::N,felicidad,ბედნიერება
267,Kummer::N,pena,მწუხარება
268,Wunsch::N,deseo,წადილი
269,Wunsch::N,deseo,სურვილი
270,Lust::N,ganas,წადილი
271,Geist::N,mente,სული
272,Geist::N,espíritu,სული
273,Gedanke::N,idea,ფიქრი
274,Gedanke::N,pensamiento,ფიქრი
275,Gedächtnis::N,memoria,მეხსიერება
276,Verstand::N,razón,ჭკუა
277,Verstand::N,razón,გონება
278,Verstand::N,entendimiento,ჭკუა
279,Verstand::N,entendimiento,გონება
280,Sinn::N,sentido,მნიშვნელობა
281,Sinn::N,significado,მნიშვნელობა
282,Grund::N,causa,მიზეზი
283,Wahrheit::N,verdad,სიმართლე
284,Wahrheit::N,verdad,ჭეშმარიტება
285,Gespräch::N,conversación,ბაასი
286,Gespräch::N,conversación,საუბარი
287,Märchen::N,cuento,არაკი
288,Märchen::N,cuento,ზღაპარი
289,Erzählung::N,cuento,თქმულება
290,Erzählung::N,narración,თქმულება
291,Nachricht::N,mensaje,ცნობა
292,Nachricht::N,mensaje,ამბავი
293,Neuigkeit::N,noticia,სიახლე
294,Name::N,nombre,სახელი
295,Rätsel::N,acertijo,გამოცანა
296,Rätsel::N,adivinanza,გამოცანა
297,Rede::N,discurso,სიტყვა
298,Sprache::N,lengua,ენა
299,Stimme::N,voz,ხმა
300,Wort::N,palabra,სიტყვა
301,Zeichen::N,señal,ნიშანი
302,Ruf::N,llamada,ძახილი
303,Lärm::N,ruido,ხმაური
304,Lärm::N,barullo,ხმაური
305,Laut::N,sonido,ხმა
306,Laut::N,sonido,ბგერა
307,Ton::N,tono,ტონი
308,Lied::N,canción,სიმღერა
309,Ruhe::N,calma,სიწყნარე
310,Ruhe::N,silencio,სიწყნარე
311,Leute::N,gente,ადამიანები
312,Volk::N,pueblo,ერი
313,Volk::N,pueblo,ხალხი
314,Arbeit::N,trabajo,მუშაობა
315,Gast::N,huésped,სტუმარი
316,Gast::N,invitado,სტუმარი
317,Geschenk::N,regalo,საჩუქარი
318,Spiel::N,juego,თამაში
319,Gesellschaft::N,compañía,საზოგადოება
320,Hilfe::N,ayuda,შველა
321,Hilfe::N,ayuda,დახმარება
322,Hilfe::N,socorro,შველა
323,Hilfe::N,socorro,დახმარება
324,Freund::N,amigo,მეგობარი
325,Kamerad::N,camarada,ამხანაგი
326,Kamerad::N,compañero,ამხანაგი
327,Angelegenheit::N,asunto,საქმე
328,Anzahl::N,cantidad,ოდენობა
329,Art::N,tipo,სახეობა
330,Art::N,clase,სახეობა
331,Stück::N,pieza,ნატეხი
332,Teil::N,parte,წილი
333,Hälfte::N,mitad,ნახევარი
334,Kreis::N,círculo,წრე
335,Kreuz::N,cruz,ჯვარი
336,Linie::N,línea,ხაზი
337,Strich::N,raya,შტრიხი
338,Strich::N,trazo,შტრიხი
339,Abstand::N,distancia,მანძილი
340,Entfernung::N,distancia,სიშორე
341,Gegend::N,región,არე
342,Gegend::N,región,მხარე
343,Gegend::N,comarca,არე
344,Gegend::N,comarca,მხარე
345,Platz::N,espacio,ფართობი
346,Ort::N,sitio,ადგილი
347,Seite::N,lado,მხარე
348,Seite::N,costado,მხარე
349,Mitte::N,medio,შუა
350,Mitte::N,centro,შუა
351,Gegenstand::N,objeto,საგანი
352,Sache::N,cosa,ნივთი
353,Rand::N,borde,კიდე
354,Kante::N,borde,ნაწიბული
355,Ecke::N,esquina,კუთხე
356,Spitze::N,punta,წვეტი
357,Ende::N,cabo,ბოლო
358,Ende::N,extremo,ბოლო
359,Loch::N,agujero,ხვრელი
360,Loch::N,abertura,ხვრელი
361,Winkel::N,ángulo,კუთხე
362,Muster::N,dibujo,მოხატულობა
363,Größe::N,tamaño,ზომა
364,Größe::N,tamaño,სიდიდე
365,Länge::N,longitud,სიგრძე
366,Höhe::N,altura,სიმაღლე
367,Höhe::N,altitud,სიმაღლე
368,Gewicht::N,peso,წონა
369,Menge::N,cantidad,რაოდენობა
370,Haufen::N,montón,გროვა
371,Reihe::N,fila,რიგი
372,Reihe::N,fila,წყება
373,Boot::N,bote,გემი
374,Boot::N,barca,გემი
375,Ruder::N,remo,ხოფი
376,Ruder::N,remo,ნიჩაბი
377,Schlitten::N,trineo,მარხილი
378,Ski::N,esquí,თხილამური
379,Lagerfeuer::N,hoguera,კოცონი
380,Last::N,carga,ტვირთი
381,Gang::N,marcha,სვლა
382,Schritt::N,paso,ბიჯი
383,Norden::N,norte,ჩრდილოეთი
384,Süden::N,sur,სამხრეთი
385,Westen::N,oeste,დასავლეთი
386,Osten::N,este,აღმოსავლეთი
387,Holz::N,madera,ხე
388,Brett::N,tabla,დაფა
389,Brett::N,tabla,ფიცარი
390,Platte::N,placa,თლილი ქვა
391,Platte::N,plancha,თლილი ქვა
392,Stütze::N,sostén,საყრდენი
393,Stütze::N,soporte,საყრდენი
394,Stange::N,vara,ჭოკი
395,Stange::N,percha,ჭოკი
396,Stock::N,palo,კეტი
397,Stock::N,bastón,კეტი
398,Stab::N,vara,ლატანი
399,Stab::N,bastón,ლატანი
400,Rohr::N,tubo,მილაკი
401,Haus::N,casa,სახლი
402,Heim::N,hogar,ოჯახის კერა
403,Ofen::N,estufa,ღუმელი
404,Fußboden::N,suelo,იატაკი
405,Tisch::N,mesa,სუფრა
406,Tisch::N,mesa,მაგიდა
407,Stuhl::N,silla,სკამი
408,Wiege::N,cuna,აკვანი
409,Bett::N,cama,საწოლი
410,Bett::N,cama,სარეცელი
411,Regal::N,estantería,თაროები
412,Kiste::N,caja,ყუთი
413,Kiste::N,caja,სკივრი
414,Fenster::N,ventana,ფანჯარა
415,Fenster::N,ventana,სარკმელი
416,Tür::N,puerta,ბჭე
417,Tür::N,puerta,კარი
418,Tor::N,puerta,ჭიშკარი
419,Zaun::N,valla,ღობე
420,Zaun::N,valla,გალავანი
421,Zaun::N,cercado,ღობე
422,Zaun::N,cercado,გალავანი
423,Dach::N,techo,სახურავი
424,Dach::N,tejado,სახურავი
425,Leiter::N,escalera,კიბე
426,Besen::N,escoba,ცოცხი
427,Spaten::N,pala,ნიჩაბი
428,Schaufel::N,pala,ბარი
429,Schaufel::N,paleta,ბარი
430,Gabel::N,tenedor,ჩანგალი
431,Löffel::N,cuchara,კოვზი
432,Messer::N,cuchillo,დანა
433,Nagel::N,clavo,ლურსმანი
434,Netz::N,red,ბადე
435,Haken::N,gancho,კავი
436,Haken::N,gancho,კაუჭი
437,Haken::N,corchete,კავი
438,Haken::N,corchete,კაუჭი
439,Griff::N,asa,ტარი
440,Griff::N,mango,ტარი
441,Schloss::N,cerradura,კლიტე
442,Schloss::N,cerradura,საკეტი
443,Bild::N,imagen,სურათი
444,Figur::N,figura,ფიგურა
445,Puppe::N,muñeca,თოჯინა
446,Beutel::N,bolsa,პარკი
447,Bündel::N,haz,გალა
448,Bündel::N,haz,ასხმა
449,Tasche::N,bolso,ჩანთა
450,Eimer::N,cubo,ჩამჩა
451,Deckel::N,tapa,ხუფი
452,Deckel::N,tapa,სარქველი
453,Deckel::N,tapadera,ხუფი
454,Deckel::N,tapadera,სარქველი
455,Geschirr::N,vajilla,ჭურჭელი
456,Sack::N,saco,ტომარა
457,Tasse::N,taza,ფინჯანი
458,Topf::N,olla,ქოთანი
459,Topf::N,marmita,ქოთანი
460,Kessel::N,caldera,ქვაბი
461,Essen::N,comida,ჭამა
462,Nahrung::N,alimento,საზრდო
463,Nahrung::N,alimento,საკვები
464,Speise::N,plato,საჭმელი
465,Fleisch::N,carne,ხორცი
466,Getreide::N,cereales,მარცვლოვანი
467,Brei::N,puré,ფაფა
468,Brei::N,papilla,ფაფა
469,Brot::N,pan,პური
470,Scheibe::N,lonja,ნაჭერი
471,Scheibe::N,rebanada,ნაჭერი
472,Fett::N,grasa,ქონი
473,Fett::N,grasa,ცხიმი
474,Butter::N,mantequilla,კარაქი
475,Öl::N,aceite,ზეთი
476,Salz::N,sal,მარილი
477,Suppe::N,sopa,სუფი
478,Honig::N,miel,თაფლი
479,Milch::N,leche,რძე
480,Tee::N,té,ჩაი
481,Leder::N,cuero,ტყავი
482,Wolle::N,lana,მატყლი
483,Stoff::N,tela,ქსოვილი
484,Stoff::N,tejido,ქსოვილი
485,Nadel::N,aguja,ნემსი
486,Faden::N,hilo,ძაფი
487,Faden::N,hilo,მკედი
488,Knopf::N,botón,ღილი
489,Knoten::N,nudo,ნასკვი
490,Farbe::N,pintura,საღებავი
491,Kleidung::N,ropa,ტანსაცმელი
492,Kleidung::N,vestidos,ტანსაცმელი
493,Hemd::N,camisa,ხალათი
494,Hemd::N,camisa,პერანგი
495,Kragen::N,cuello,საყელო
496,Ärmel::N,manga,სახელო
497,Hose::N,pantalón,შარვალი
498,Gürtel::N,cinturón,ქამარი
499,Mütze::N,gorro,ქუდი
500,Schuh::N,zapato,ფეხსაცმელი
501,Stiefel::N,bota,ჩექმა
502,Ring::N,anillo,ბეჭედი
503,Band::N,cinta,ბაფთი
504,Kamm::N,peine,სავარცხელი
505,Spiegel::N,espejo,სარკე
506,Riemen::N,correa,ღვედი
507,Schnur::N,cuerda,ლარი
508,Leine::N,correa,ჯაჭვი
509,Decke::N,manta,საბანი
510,Kissen::N,almohada,ბალიში
511,Tuch::N,pañuelo,მაუდი
