,Concept_ID,br,av
0,Auge::N,lagad,
1,Ohr::N,skouarn,гӏин
2,Nase::N,fri,мегӏер
3,Mund::N,genoù,кӏал
4,Zahn::N,dant,гӏус
5,Zunge::N,teod,мацӏ
6,Lippe::N,muzell,кӏветӏ
7,Wange::N,chot,гӏоно
8,Gesicht::N,dremm,гьумер
9,Stirn::N,tal,нодо
10,Haar::N,blev,рас
11,Schnurrbart::N,mourenn,михъ
12,Bart::N,barv,мегеж
13,Kinn::N,groñj,нилъу
14,Kiefer[Anatomie]::N,javed,чанагъ
15,Kehle::N,gouzoug,щекъер
16,Hals::N,gouzoug,габур
17,Genick::N,choug,гъванща
18,Kopf::N,penn,бетӏер
19,Rücken::N,kein,мугъ
20,Bauch::N,kof,чехь
21,Nabel::N,begel,цӏину
22,Busen::N,bronn,керен
23,Brust::N,bruched,керен
24,Schulter::N,skoaz,гъажазубетӏер
25,Arm::N,brec'h,гъеж
26,Ellenbogen::N,ilin,гӏункӏрукь
27,Hand::N,dorn,квер
28,Handfläche::N,palv,огъохъат
29,Handfläche::N,palv,жанисахъат
30,Finger::N,biz,килищ
31,Fingernagel::N,ivin,малъ
32,Nagel[Anatomie]::N,ivin,малъ
33,Zeh::N,biz-troad,килищ
34,Fuß::N,troad,хӏетӏ
35,Fuß::N,troad,хӏетӏе
36,Ferse::N,seul,эгъе
37,Knie::N,glin,наку
38,Oberschenkel::N,morzhed,мачӏ
39,Bein::N,gar,бох
40,Körper::N,korf,къаркъала
41,Haut::N,kroc'hen,тӏом
42,Blut::N,gwad,би
43,Ader::N,gwazhi,бидурихь
44,Sehne::N,stir,
45,Knochen::N,askorn,ракьа
46,Gehirn::N,empenn,гӏадалнах
47,Herz::N,kalon,ракӏ
48,Magen::N,stomog,кванирукъ
49,Leber::N,avu,тӏул
50,Atem::N,anal,хӏухь
51,Hunger::N,naon,ракъи
52,Träne::N,daer,магӏу
53,Geschmack::N,blaz,тату
54,Geruch::N,c'hwezh,махӏ
55,Schlaf::N,kousked,макьу
56,Traum::N,hune,макьу
57,Himmel::N,oabl,зоб
58,Sonne::N,heol,бакъ
59,Mond::N,loar,моцӏ
60,Stern::N,steredenn,цӏва
61,Luft::N,aer,гьава
62,Wind::N,avel,гьури
63,Welle::N,houlenn,карачел
64,Wasser::N,dour,лъим
65,Stein::N,maen,гьецӏо
66,Boden::N,tachenn,ракь
67,Erde::N,douar,ракь
68,Erde::N,douar,дуниял
69,Staub::N,poultr,хӏур
70,Rauch::N,moged,кӏкӏуй
71,Funke::N,ful,
72,Feuer::N,tan,цӏа
73,Licht::N,gouloù,канлъи
74,Schatten::N,disheol,рагӏад
75,Wetter::N,amzer,гьава-бакъ
76,Nebel::N,brumenn,гӏодобнакӏкӏ
77,Wolke::N,koumoulenn,накӏкӏ
78,Regen::N,glav,цӏад
79,Schnee::N,erc'h,гӏазу
80,Eis::N,skorn,цӏер
81,Frost::N,rev,замгьари
82,Kälte::N,yen,квач
83,Hitze::N,tommder,багӏари
84,Raureif::N,frim,мартӏ
85,Regenbogen::N,gwareg-ar-glav,нур
86,Regenbogen::N,gwareg-ar-glav,чамбара
87,Donner::N,kurun,гъугъай
88,Donner::N,kurun,гъугъади
89,Strömung::N,red,чвахи
90,Tropfen::N,bannac'h,резел
91,Tropfen::N,bannac'h,тӏинкӏ
92,Tropfen::N,bannac'h,къатӏра
93,Tropfen::N,bannac'h,тӏенкӏел
94,Tropfen::N,takenn,резел
95,Tropfen::N,takenn,тӏинкӏ
96,Tropfen::N,takenn,къатӏра
97,Tropfen::N,takenn,тӏенкӏел
98,Schaum::N,spoum,полоп
99,Schmutz::N,fank,чороклъи
100,See::N,lenn,хӏор
101,Sumpf::N,gwern,хьуцӏ
102,Moor::N,taouarc'heg,
103,Wiese::N,prad,мегъ
104,Wiese::N,prad,гӏурдаллъи
105,Wald::N,koad,рохь
106,Hügel::N,torgenn,гохӏ
107,Anhöhe::N,run,сийитма
108,Berg::N,menez,мегӏер
109,Gipfel::N,barr,тӏогь
110,Höhle::N,kav,нохъо
111,Abhang::N,naou,лабаллъи
112,Quelle::N,feunteun,ицц
113,Bach::N,gwazh,лъар
114,Fluss::N,stêr,гӏор
115,Ufer::N,ribl,рагӏал
116,Küste::N,aod,рагӏал
117,Festland::N,douar,ракь
118,Festland::N,douar,ракъдаллъи
119,Meer::N,mor,ралъад
120,Bucht::N,mor-bihan,кӏветӏ
121,Insel::N,enez,чӏинкӏиллъи
122,Blume::N,bleunienn,тӏегь
123,Gras::N,geot,хер
124,Wurzel::N,gwrizienn,кьибил
125,Baum::N,gwezenn,гъветӏ
126,Stamm::N,kef,рохти
127,Rinde::N,rusk,макъар
128,Ast::N,barr,ноцӏ
129,Zweig::N,bod,гӏаркьел
130,Blatt::N,delienn,тӏамах
131,Birke::N,bezvenn,мах
132,Birke::N,bezvenn,махигъветӏ
133,Kiefer[Baum]::N,pinenn,накӏкӏигъветӏ
134,Weide[Baum]::N,halegenn,рицӏцӏ
135,Weide[Baum]::N,halegenn,рицӏцӏигъветӏ
136,Tanne::N,sapenn,ёлка
137,Horn::N,korn,лълъар
138,Feder::N,pluñv,хӏули
139,Fell::N,kreoñ,тӏом
140,Fell::N,kreoñ,цӏоко
141,Flügel::N,askell,кваркьи
142,Klaue::N,skilf,галъ
143,Kralle::N,skilf,квачӏ
144,Kralle::N,skilf,катиквачӏ
145,Schwanz::N,lost,рачӏ
146,Ei::N,vi,хоно
147,Nest::N,neizh,бусен
148,Bau::N,douarenn,каратӏ
149,Tier::N,loen,хӏайван
150,Herde::N,tropell,рехъен
151,Herde::N,tropell,рехъед
152,Kuh::N,buoc'h,гӏака
153,Bulle::N,tarv,оц
154,Pferd::N,marc'h,чу
155,Schaf::N,dañvad,чахъу
156,Schwein::N,pemoc'h,болъон
157,Hund::N,ki,гьой
158,Katze::N,kazh,кету
159,Bär::N,arzh,ци
160,Eichhörnchen::N,gwiñver,гвангва
161,Elch::N,karv-dour,
162,Fuchs::N,louarn,цер
163,Hase::N,gad,гӏанкӏ
164,Maus::N,logodenn,гӏункӏкӏ
165,Wolf::N,bleiz,бацӏ
166,Vogel::N,labous,хӏинчӏ
167,Schwarm::N,nijad,тӏел
168,Huhn::N,yar,гӏанкӏу
169,Hahn::N,kilhog,хӏелеко
170,Gans::N,gwazenn,хъаз
171,Adler::N,erer,цӏум
172,Ente::N,houad,ордек
173,Eule::N,toud,беццаруз
174,Kranich::N,garan,къункъра
175,Krähe::N,bran,гъеду
176,Kuckuck::N,koukoug,гагу
177,Schwan::N,alarc'h,хӏанкъва
178,Fisch::N,pesk,ччугӏа
179,Barsch::N,brell,окунь
180,Hecht::N,beked,щука
181,Schlange[Tier]::N,naer,борохь
182,Wurm::N,preñv,хӏапара
183,Spinne::N,kevnidenn,хъанхъра
184,Ameise::N,merion,цӏунцӏра
185,Laus::N,laouenn,нацӏ
186,Mücke::N,moustik,кӏкӏара
187,Fliege::N,kelienenn,тӏутӏ
188,Schmetterling::N,balafenn,кӏалкӏучӏ
189,Beere::N,hog,
190,Apfel::N,aval,гӏеч
191,Pilz::N,kabell-touseg,гӏурдахӏан
192,Zwiebel::N,ognonenn,кӏочӏопер
193,Saat::N,had,хьон
194,Korn::N,ed,мугь
195,Heu::N,foenn,хер
196,Schale::N,peliadur,хъал
197,Falle::N,pech,къор
198,Falle::N,pech,къотен
199,Schlinge::N,krouglas,кӏичӏ
200,Asche::N,ludu,рахъу
201,Dreck::N,fank,гъиз
202,Dreck::N,fank,хӏарщ
203,Eisen::N,houarn,махх
204,Gold::N,aour,месед
205,Silber::N,arc'hant,гӏарац
206,Kohle::N,glaou,тӏурччи
207,Glas::N,gwer,цӏер
208,Sand::N,traezh,сали
209,Mensch::N,den,чи
210,Mann::N,den,бихьинчи
211,Frau::N,maouez,гӏадан
212,Kind::N,bugel,лъимер
213,Junge::N,paotr,вас
214,Mädchen::N,plac'h,яс
215,Familie::N,familh,хъизан
216,Großvater::N,tad-kozh,кӏудада
217,Großmutter::N,mamm-gozh,кӏодо
218,Eltern::N,kerent,эбел-эмен
219,Vater::N,tad,эмен
220,Mutter::N,mamm,эбел
221,Sohn::N,mab,вас
222,Tochter::N,merc'h,яс
223,Bruder::N,breur,вац
224,Schwester::N,c'hoar,яц
225,Onkel::N,eontr,даци
226,Tante::N,moereb,ада
227,Ehemann::N,gwaz,рос
228,Ehefrau::N,gwreg,чӏужу
229,Freude::N,levenez,ракӏбохи
230,Gelächter::N,c'hoarzherezh,релъи
231,Glück::N,chañs,талихӏ
232,Glück::N,chañs,талихӏ-рохел
233,Kummer::N,doan,хӏалкъай
234,Wunsch::N,c'hoant,къасд
235,Lust::N,c'hoant,гъира
236,Geist::N,spered,чӏанкӏ
237,Geist::N,spered,рухӏ-жан
238,Gedanke::N,soñj,пикру
239,Gedächtnis::N,eñvor,
240,Verstand::N,skiant,лумалъи
241,Verstand::N,skiant,цӏодорлъи
242,Sinn::N,ster,магӏна
243,Grund::N,kaoz,багьана
244,Wahrheit::N,gwirionez,ритӏухълъи
245,Gespräch::N,kaozeadenn,накъит
246,Märchen::N,kaoz korriganez,маргьа
247,Erzählung::N,kontadenn,къиса
248,Nachricht::N,keloù,хабар
249,Neuigkeit::N,kelaouenn,хабар-гӏазаб
250,Name::N,anv,цӏар
251,Rätsel::N,divinatez,бицанкӏо
252,Rede::N,diskour,речь
253,Rede::N,diskour,калам
254,Sprache::N,yezh,мацӏ
255,Stimme::N,mouezh,гьаракь
256,Wort::N,ger,рагӏи
257,Zeichen::N,sin,ишара
258,Zeichen::N,sin,гӏаламат
259,Ruf::N,galv,ахӏи
260,Lärm::N,trouz,хъуй
261,Lärm::N,trouz,хъуди
262,Ton::N,ton,
263,Lied::N,kanaouenn,кечӏ
264,Ruhe::N,sioulded,рахӏат
265,Leute::N,tud,гӏадамал
266,Volk::N,pobl,халкъ
267,Arbeit::N,labour,хӏалтӏи
268,Gast::N,kouviad,гьобол
269,Geschenk::N,prof,сайигъат
270,Spiel::N,c'hoari,хӏай
271,Spiel::N,c'hoari,расанди
272,Gesellschaft::N,kompagnunezh,жамагӏат
273,Gesellschaft::N,kavandad,жамагӏат
274,Hilfe::N,sikour,кумек
275,Freund::N,mignon,гьудул
276,Kamerad::N,kamarad,гьалмагъ
277,Angelegenheit::N,afer,къваригӏел
278,Anzahl::N,niver,рикӏкӏен
279,Art::N,sort,жинс
280,Stück::N,tamm,кесек
281,Teil::N,pezh,пай
282,Hälfte::N,hanterenn,бащдаб
283,Kreis::N,kelc'h,гор
284,Kreuz::N,kroaz,хъанч
285,Linie::N,linenn,мухъ
286,Strich::N,tenn,хӏучч
287,Abstand::N,distok,манзил
288,Entfernung::N,keid,манзил
289,Entfernung::N,kehid,манзил
290,Gegend::N,korn-bro,рахъ
291,Platz::N,plasenn,бакӏ
292,Ort::N,lec'h,бакӏ
293,Seite::N,tu,рахъ
294,Mitte::N,kreiz,бакьулъбакӏ
295,Gegenstand::N,tra,жо
296,Sache::N,tra,жо
297,Rand::N,kantenn,мицӏир
298,Kante::N,kantenn,рагӏал
299,Kante::N,kantenn,рагӏа-ракьан
300,Ecke::N,korn,цили
301,Spitze::N,begell,тӏогь
302,Ende::N,dibenn,кӏал
303,Loch::N,toull,каратӏ
304,Muster::N,tresadenn,накъиш
305,Größe::N,ment,кӏодо́лъи
306,Länge::N,hirder,халалъи
307,Höhe::N,uhelder,борхалъи
308,Gewicht::N,pouez,бакӏлъи
309,Menge::N,bern,
310,Haufen::N,bern,гъуни
311,Reihe::N,steud,ирга́
312,Boot::N,bag,раса
313,Ruder::N,roeñv,раххан
314,Schlitten::N,trainell,чанагъ
315,Ski::N,ski,лыжаби
316,Last::N,karg,бакӏлъи
317,Gang::N,kerzh,хьвади
318,Gang::N,kerzh,хьвада-чӏвади
319,Schritt::N,paz,гали
320,Norden::N,norzh,шимал
321,Norden::N,hanternoz,шимал
322,Süden::N,su,юг
323,Süden::N,su,къибла
324,Süden::N,kreisteiz,юг
325,Süden::N,kreisteiz,къибла
326,Westen::N,kuzh-heol,гъарб
327,Westen::N,kuzh-heol,магъриб
328,Osten::N,reter,шаркъ
329,Osten::N,reter,машрикъ
330,Osten::N,sav-heol,шаркъ
331,Osten::N,sav-heol,машрикъ
332,Holz::N,koad,цӏул
333,Brett::N,plankenn,хъарщи
334,Platte::N,plakenn,къоно
335,Stütze::N,harp,
336,Stange::N,sparl,гӏер
337,Stock::N,bazh,тӏил
338,Stab::N,bazh,гӏер
339,Rohr::N,tub,турба
340,Rohr::N,korz,турба
