,Concept_ID,is,ady
0,Auge::N,auga,нэ
1,Ohr::N,eyra,тхьакӏу́м
2,Nase::N,nef,пэ
3,Mund::N,munnur,жэ
4,Zahn::N,tönn,цэ
5,Zunge::N,tunga,бзэгу
6,Lippe::N,vör,ӏупшӏэ́
7,Wange::N,kinn,нэкӏу́шъу
8,Wange::N,vangi,нэкӏу́шъу
9,Gesicht::N,andlit,нэ́гу
10,Stirn::N,enni,натӏэ́
11,Haar::N,hár,шъхьацы́
12,Schnurrbart::N,yfirskegg,
13,Bart::N,skegg,жакӏэ́
14,Kinn::N,haka,жэкӏэпэпкъ
15,Kiefer[Anatomie]::N,kjálki,жэпкъы́
16,Kiefer[Anatomie]::N,skoltur,жэпкъы́
17,Kehle::N,kverk,чый
18,Hals::N,háls,пшъэ
19,Genick::N,hnakki,шъхьэпхэтыку
20,Kopf::N,höfuð,шъхьэ́
21,Rücken::N,hryggur,кӏыбы́
22,Bauch::N,kviður,ныбэ́
23,Nabel::N,nafli,
24,Busen::N,barmur,бгъэ́
25,Brust::N,brjóst,бгъэ́
26,Schulter::N,öxl,блыпкъ
27,Arm::N,armur,ӏэ
28,Ellenbogen::N,olnbogi,ӏэнтэ́гъу
29,Hand::N,hönd,ӏэтхьэцу
30,Handfläche::N,lófi,ӏэ́гу
31,Finger::N,fingur,ӏэхъуа́мб
32,Fingernagel::N,fingurnögl,ӏэбжъа́н
33,Nagel[Anatomie]::N,nögl,ӏэбжъа́н
34,Zeh::N,tá,ӏэхъуа́мб
35,Fuß::N,fótur,лъэгу
36,Ferse::N,hæll,лъэдакъэ
37,Knie::N,kné,лъагуа́ндж
38,Oberschenkel::N,læri,ко
39,Bein::N,fótleggur,лъакъо́
40,Körper::N,búkur,пкъышъол
41,Körper::N,líkami,пкъышъол
42,Haut::N,húð,кӏы́шъу
43,Haut::N,skinn,кӏы́шъу
44,Blut::N,blóð,лъы
45,Ader::N,æð,льытф
46,Sehne::N,sin,фэ
47,Knochen::N,bein,къупшъхьэ́
48,Gehirn::N,heili,куцӏы
49,Herz::N,hjarta,гу
50,Magen::N,magi,мышкӏу
51,Leber::N,lifur,шӏу
52,Atem::N,andi,къэщэныр
53,Atem::N,andardráttur,къэщэныр
54,Hunger::N,hungur,гъаблэ́
55,Träne::N,tár,нэпсы
56,Geschmack::N,smekkur,ӏэшӏугъа́кӏ
57,Geruch::N,lykt,мэ
58,Schlaf::N,svefn,пчыхьы́пӏ
59,Traum::N,draumur,пчыхьы́пӏ
60,Himmel::N,himinn,уашъо́
61,Sonne::N,sól,тыгъэ
62,Mond::N,tungl,мазэ
63,Stern::N,stjarna,жъуагъо́
64,Luft::N,loft,жьы
65,Wind::N,vindur,жьыбгъэ́
66,Welle::N,alda,ор
67,Welle::N,alda,оры
68,Welle::N,bylgja,ор
69,Welle::N,bylgja,оры
70,Wasser::N,vatn,псы
71,Stein::N,steinn,мыжъо́
72,Boden::N,botn,чӏ́ыгу
73,Erde::N,jörð,чӏ́ыгу
74,Staub::N,ryk,сап
75,Staub::N,duft,сап
76,Rauch::N,reykur,ӏугъо́
77,Funke::N,neisti,мэшӏуа́ч
78,Feuer::N,eldur,машӏо́
79,Licht::N,ljós,нэфы
80,Licht::N,ljós,нэфын
81,Schatten::N,skuggi,жьау́
82,Schatten::N,skuggi,ныбжьыкъу
83,Wetter::N,veður,
84,Nebel::N,þoka,пща́гъу
85,Wolke::N,ský,ошъуапщэ
86,Regen::N,regn,ощхы
87,Schnee::N,snjór,осы́
88,Eis::N,ís,мылы
89,Frost::N,frost,
90,Kälte::N,kuldi,чъыӏэ́
91,Hitze::N,hiti,фэба́е
92,Raureif::N,hrím,
93,Regenbogen::N,regnbogi, лэгъупэкъо́пс
94,Donner::N,þruma,шыблэ́
95,Strömung::N,straumur,ток
96,Tropfen::N,dropi,ткӏопс
97,Tropfen::N,dropi,гъуаткӏу
98,Schaum::N,froða,тхъурбэ
99,Schmutz::N,óhreinindi,псынжъы
100,See::N,stöðuvatn,хыку́м
101,See::N,stöðuvatn,псыхъура́й
102,Sumpf::N,fen,орыжъ
103,Moor::N,mýri,орыжъ
104,Wiese::N,engi,хъупӏэ́
105,Wiese::N,engi,мэкъупӏ
106,Wald::N,skógur,мэзы́
107,Hügel::N,hæð,ӏуашъхь
108,Hügel::N,hóll,ӏуашъхь
109,Anhöhe::N,hæð,чӏыӏэтыгъ
110,Anhöhe::N,hóll,чӏыӏэтыгъ
111,Berg::N,fell,къушъхьэ́
112,Berg::N,fjall,къушъхьэ́
113,Gipfel::N,tindur,шыгу
114,Höhle::N,hellir,гъочӏэгъ
115,Abhang::N,hlíð,чапэ
116,Abhang::N,brekka,чапэ
117,Quelle::N,lind,псынэчэ́чъ
118,Quelle::N,uppspretta,псынэчэ́чъ
119,Bach::N,lækur,псышкуашку
120,Fluss::N,á,псыхъо́
121,Fluss::N,fljót,псыхъо́
122,Ufer::N,árbakki,нэпкъы
123,Ufer::N,sjávarbakki,нэпкъы
124,Küste::N,strönd,ӏушъо
125,Festland::N,meginland,чӏл́ыгу
126,Meer::N,haf,хы
127,Meer::N,sjór,хы
128,Bucht::N,vík,хыблыгу
129,Insel::N,eyja,хыгъэхъу́н
130,Blume::N,blóm,къэгъа́гь
131,Gras::N,gras,уцы́
132,Wurzel::N,rót,лъапсэ́
133,Baum::N,tré,чъыгы́
134,Stamm::N,stofn,пкъы
135,Rinde::N,börkur,пхъашъо́
