,Concept_ID,fi,cy
0,Auge::N,silmä,llygad
1,Ohr::N,korva,clust
2,Nase::N,nenä,trwyn
3,Mund::N,suu,ceg
4,Zahn::N,hammas,dant
5,Zunge::N,kieli,tafod
6,Lippe::N,huuli,gwefus
7,Wange::N,poski,boch
8,Gesicht::N,naama,wyneb
9,Gesicht::N,kasvot,wyneb
10,Stirn::N,otsa,talcen
11,Haar::N,hius,blew
12,Haar::N,tukka,blew
13,Schnurrbart::N,viikset,mwstas
14,Bart::N,parta,barf
15,Kinn::N,leuka,gên
16,Kiefer[Anatomie]::N,leukaluu,gên
17,Kehle::N,kurkku,gwddf
18,Hals::N,kaula,gwddf
19,Genick::N,niska,gwar
20,Genick::N,niska,gwegil
21,Kopf::N,pää,pen
22,Rücken::N,selkä,cefn
23,Bauch::N,maha,bol
24,Bauch::N,vatsa,bol
25,Nabel::N,napa,bogail
26,Busen::N,rinta,bron
27,Brust::N,rinta,brest
28,Schulter::N,olka,ysgwydd
29,Schulter::N,hartia,ysgwydd
30,Schulter::N,olkapää,ysgwydd
31,Arm::N,käsivarsi,braich
32,Ellenbogen::N,kyynärpää,penelin
33,Hand::N,käsi,llaw
34,Handfläche::N,kämmen,palf
35,Finger::N,sormi,bys
36,Fingernagel::N,kynsi,ewin
37,Nagel[Anatomie]::N,kynsi,ewin
38,Zeh::N,varvas,bys troed
39,Fuß::N,jalka,troed
40,Ferse::N,kantapää,sawdl
41,Knie::N,polvi,glin
42,Oberschenkel::N,reisi,clun
43,Bein::N,jalka,coes
44,Körper::N,keho,corff
45,Körper::N,ruumis,corff
46,Haut::N,iho,croen
47,Blut::N,veri,gwaed
48,Ader::N,suoni,gwythïen
49,Sehne::N,jänne,gewyn
50,Knochen::N,luu,asgwrn
51,Gehirn::N,aivot,ymennydd
52,Herz::N,sydän,calon
53,Magen::N,maha,cylla
54,Magen::N,maha,stumog
55,Magen::N,vatsa,cylla
56,Magen::N,vatsa,stumog
57,Leber::N,maksa,iau
58,Atem::N,henki,anadl
59,Atem::N,hengitys,anadl
60,Hunger::N,nälkä,newyn
61,Träne::N,kyynel,deigryn
62,Geschmack::N,maku,cyflas
63,Geruch::N,haju,aroglau
64,Schlaf::N,uni,cwsg
65,Traum::N,uni,breuddwyd
66,Himmel::N,taivas,awyr
67,Sonne::N,aurinko,haul
68,Mond::N,kuu,lleuad
69,Stern::N,tähti,seren
70,Luft::N,ilma,awyr
71,Wind::N,tuuli,gwynt
72,Welle::N,aalto,ton
73,Wasser::N,vesi,dŵr
74,Stein::N,kivi,carreg
75,Boden::N,maa,llawr
76,Boden::N,maaperä,llawr
77,Erde::N,maa,pridd
78,Staub::N,pöly,llwch
79,Rauch::N,savu,mwg
80,Funke::N,kipinä,gwreichioni
81,Feuer::N,tuli,tân
82,Licht::N,valo,golau
83,Schatten::N,varjo,cysgod
84,Wetter::N,sää,tywydd
85,Nebel::N,sumu,niwl
86,Wolke::N,pilvi,cwmwl
87,Regen::N,sade,glaw
88,Schnee::N,lumi,ôd
89,Schnee::N,lumi,eira
90,Eis::N,jää,iâ
91,Frost::N,halla,rhew
92,Frost::N,pakkanen,rhew
93,Kälte::N,vilu,oerni
94,Kälte::N,vilu,annwyd
95,Kälte::N,kylmyys,oerni
96,Kälte::N,kylmyys,annwyd
97,Hitze::N,helle,gwres
98,Hitze::N,kuumuus,gwres
99,Raureif::N,huurre,barrug
100,Regenbogen::N,sateenkaari,enfys
101,Donner::N,jyrinä,tyrfau
102,Strömung::N,virtaus,cerrynt
103,Tropfen::N,tippa,dafn
104,Tropfen::N,tippa,diferyn
105,Tropfen::N,pisara,dafn
106,Tropfen::N,pisara,diferyn
107,Schaum::N,vaahto,ewyn
108,Schmutz::N,loka,baw
109,Schmutz::N,loka,budreddi
110,See::N,järvi,llyn
111,Sumpf::N,suo,cors
112,Moor::N,räme,rhos
113,Wiese::N,niitty,dôl
114,Wald::N,metsä,coedwig
115,Hügel::N,mäki,bryn
116,Hügel::N,kumpu,bryn
117,Hügel::N,kukkula,bryn
118,Anhöhe::N,mäki,bryn
119,Anhöhe::N,kumpare,bryn
120,Berg::N,mäki,mynydd
121,Berg::N,vuori,mynydd
122,Gipfel::N,laki,copa
123,Gipfel::N,huippu,copa
124,Höhle::N,luola,ogof
125,Abhang::N,rinne,llethr
126,Quelle::N,lähde,tarddiad
127,Quelle::N,lähde,ffynhonnell
128,Bach::N,puro,nant
129,Bach::N,puro,afonig
130,Bach::N,puro,cornant
131,Fluss::N,joki,afon
132,Ufer::N,ranta,glan
133,Küste::N,rannikko,traeth
134,Küste::N,rannikko,arfordir
135,Festland::N,manner,tir
136,Meer::N,meri,môr
137,Bucht::N,lahti,bae
138,Insel::N,saari,ynys
139,Blume::N,kukka,blodyn
140,Gras::N,ruoho,glaswellt
141,Wurzel::N,juuri,gwreiddyn
142,Baum::N,puu,coeden
143,Stamm::N,runko,colfen
144,Stamm::N,runko,boncyff
145,Rinde::N,kuori,rhisgl
146,Rinde::N,parkki,rhisgl
147,Ast::N,oksa,cangen
148,Zweig::N,haara,cainc
149,Zweig::N,haara,cangen
150,Blatt::N,lehti,deilen
151,Birke::N,koivu,bedwen
152,Kiefer[Baum]::N,mänty,pinwydden
153,Kiefer[Baum]::N,petäjä,pinwydden
154,Weide[Baum]::N,paju,helygen
155,Tanne::N,kuusi,ffynidwydden
156,Horn::N,sarvi,corn
157,Feder::N,sulka,plufyn
158,Feder::N,höyhen,plufyn
159,Fell::N,talja,ffwr
160,Flügel::N,siipi,adain
161,Klaue::N,kynsi,crafanc
162,Kralle::N,kynsi,ewin
163,Schwanz::N,häntä,cwt
164,Schwanz::N,häntä,cynffon
165,Schwanz::N,pyrstö,cwt
166,Schwanz::N,pyrstö,cynffon
167,Ei::N,muna,wy
168,Nest::N,pesä,nyth
169,Bau::N,pesä,ffau
170,Tier::N,eläin,anifail
171,Herde::N,lauma,praidd
172,Herde::N,lauma,diadell
173,Kuh::N,lehmä,buwch
174,Bulle::N,sonni,tarw
175,Pferd::N,hevonen,ceffyl
176,Schaf::N,lammas,dafad
177,Schwein::N,sika,mochyn
178,Hund::N,koira,ci
179,Katze::N,kissa,cath
180,Bär::N,karhu,arth
181,Eichhörnchen::N,orava,gwiwer
182,Elch::N,hirvi,elc
183,Fuchs::N,kettu,cadno
184,Hase::N,jänis,ysgyfarnog
185,Maus::N,hiiri,llygoden
186,Wolf::N,susi,blaidd
187,Vogel::N,lintu,aderyn
188,Schwarm::N,parvi,haid
189,Huhn::N,kana,cyw
190,Hahn::N,kukko,ceiliog
191,Gans::N,hanhi,gŵydd
192,Adler::N,kotka,eryr
193,Ente::N,ankka,hwyad
194,Eule::N,pöllö,tylluan
195,Kranich::N,kurki,garan
196,Kranich::N,kurki,crychydd
197,Krähe::N,varis,brân
