,Concept_ID,cv,zh
0,Auge::N,куҫ,眼睛
1,Ohr::N,хӑлха,耳朵
2,Nase::N,сӑмса,鼻子
3,Mund::N,ҫӑвар,嘴
4,Zahn::N,шӑл,牙齿
5,Zunge::N,чӗлхе,舌头
6,Lippe::N,тута,嘴唇
7,Wange::N,пит ҫӑмарти,面颊
8,Gesicht::N,пит,脸
9,Gesicht::N,пит-куҫ,脸
10,Stirn::N,ҫамка,额
11,Haar::N,ҫӳҫ,头发
12,Schnurrbart::N,усси,髭须
13,Bart::N,сухал,胡子
14,Kinn::N,янах,下巴
15,Kiefer[Anatomie]::N,янах,颌
16,Kehle::N,пыр,嗓子
17,Kehle::N,карланкӑ,嗓子
18,Hals::N,пыр,颈
19,Genick::N,ӗнсе,后颈
20,Kopf::N,пуҫ,头
21,Rücken::N,ҫурӑм,背
22,Nabel::N,кӑвапа,肚脐
23,Busen::N,кӑкӑр,胸脯
24,Brust::N,умӗ,胸
25,Schulter::N,хул пуҫҫи,肩膀
26,Arm::N,алӑ,臂膀
27,Ellenbogen::N,чавса,肘
28,Hand::N,алӑ сыппи,手
29,Handfläche::N,ал лаппи,手掌
30,Finger::N,пӳрне,手指
31,Fingernagel::N,чӗрне,指甲
32,Nagel[Anatomie]::N,чӗрне,指甲
33,Zeh::N,пӳрне,脚趾
34,Fuß::N,ура лаппи,脚
35,Ferse::N,кӗле,后跟
36,Knie::N,чӗркуҫҫи,膝
37,Oberschenkel::N,пӗҫӗ,大腿
38,Bein::N,ура,腿
39,Körper::N,ӳт,身体
40,Körper::N,ӳт-пӳ,身体
41,Haut::N,тир,皮肤
42,Blut::N,юн,血
43,Ader::N,вена,血管
44,Sehne::N,шӑнӑр,腱
45,Knochen::N,шӑмӑ,骨
46,Gehirn::N,миме,脑
47,Herz::N,чӗре,心
48,Magen::N,хырӑмлӑх,胃
49,Leber::N,пӗвер,肝
50,Atem::N,сывлав,呼吸
51,Hunger::N,выҫлӑх,饿
52,Träne::N,куҫҫуль,眼泪
53,Geschmack::N,техӗм,味道
54,Geruch::N,шӑршӑ,气味
55,Schlaf::N,ыйхӑ,睡眠
56,Traum::N,тӗлӗк,梦
57,Himmel::N,пӗлӗт,天空
58,Sonne::N,хӗвел,太阳
59,Mond::N,уйӑх,月亮
60,Stern::N,ҫӑлтӑр,星
61,Luft::N,сывлӑш,空气
62,Wind::N,ҫил,风
63,Welle::N,хум,波
64,Wasser::N,шыв,水
65,Wasser::N,шыв-шур,水
66,Stein::N,чул,石头
67,Boden::N,тӑпра,地面
68,Erde::N,ҫӗр,地
69,Staub::N,тусан,灰尘
70,Rauch::N,тӗтӗм,烟
71,Funke::N,хӗм,火花
72,Feuer::N,вут,火
73,Feuer::N,ҫулӑм,火
74,Licht::N,ҫутӑ,光
75,Schatten::N,сулхӑн,影子
76,Wetter::N,ҫанталӑк,天气
77,Nebel::N,тӗтре,雾
78,Wolke::N,пӗлӗт,云
79,Regen::N,ҫумӑр,雨
80,Schnee::N,юр,雪
81,Eis::N,пӑр,冰
82,Frost::N,сивӗ,霜冻
83,Kälte::N,сивӗ,寒冷
84,Hitze::N,вӗри,炎热
85,Hitze::N,шӑрӑх,炎热
86,Raureif::N,пас,霜
87,Regenbogen::N,асамат кӗперӗ,虹
88,Donner::N,аслати,雷
89,Strömung::N,юхӑ,水流
90,Tropfen::N,тумлам,滴
91,Schaum::N,кӑпӑк,泡沫
92,Schmutz::N,пылчӑк,赃物
93,See::N,кӳлӗ,湖
94,Sumpf::N,шур,沼泽
