,Concept_ID,sq,ab
0,Auge::N,sy,ала
1,Ohr::N,vesh,алымҳа
2,Nase::N,hundë,аҧынҵа
3,Mund::N,gojë,аҧышə
4,Zahn::N,dhëmb,ахаҧыц
5,Zunge::N,gjuhë,абз
6,Lippe::N,buzë,ақьышə
7,Wange::N,faqe,аӡамҩа
8,Wange::N,mollëz,аӡамҩа
9,Gesicht::N,fytyrë,аҿы
10,Stirn::N,ballë,алахь
11,Haar::N,flokë,ахəыц
12,Schnurrbart::N,mustaqe,аҧаҵа
13,Bart::N,mjekër,ажакьа
14,Kinn::N,mjekër,ацламкəыгə
15,Kiefer[Anatomie]::N,nofull,ацламҳəа
16,Kehle::N,fyt,ахəда
17,Kehle::N,grykë,ахəда
18,Hals::N,qafë,ахəда
19,Genick::N,arrëz,ахəдаџьал
20,Kopf::N,kokë,ахы
21,Rücken::N,kurriz,азқəа
22,Bauch::N,bark,амгəа
23,Nabel::N,kërthizë,аҷапан
24,Busen::N,gji,агəыҧҳəы
25,Brust::N,gjoks,агəышҧы
26,Brust::N,kraharor,агəышҧы
27,Schulter::N,sup,ажəҩахыр
28,Schulter::N,krah,ажəҩахыр
29,Arm::N,krah,амахəар
30,Ellenbogen::N,bërryl,амашьхəылҵ
31,Hand::N,dorë,анапы
32,Handfläche::N,pëllëmbë,анапсаргəыҵа
33,Finger::N,gisht,анацəа
34,Fingernagel::N,thua,анапхыц
35,Nagel[Anatomie]::N,thua,ашьапхыц
36,Zeh::N,gisht i këmbës,ашьацəа
37,Fuß::N,këmbë,ашьапсыргəыҵа
38,Ferse::N,thembër,ашьхəа
39,Knie::N,gju,ашьамхы
40,Oberschenkel::N,kofshë,ауаҭəа
41,Bein::N,këmbë,ашьапы
42,Körper::N,trup,ацəеижь
43,Haut::N,lëkurë,ацəа
44,Blut::N,gjak,ашьа
45,Ader::N,venë,ада
46,Sehne::N,dell,адаш
47,Knochen::N,asht,абаҩ
48,Knochen::N,kockë,абаҩ
49,Gehirn::N,tru,ахшлыбаҩ
50,Gehirn::N,tru,ахшыбаҩ
51,Herz::N,zemër,агəы
52,Magen::N,stomak,аца
53,Magen::N,stomak,ацар
54,Leber::N,mëlçi,агəаҵəа
55,Atem::N,frymë,аҧсыҧлагаҩгара
56,Hunger::N,uri,амла
57,Träne::N,lot,алабжыш
58,Geschmack::N,shije,агьама
59,Geruch::N,erë,афҩы
60,Schlaf::N,gjumë,ацəа
61,Traum::N,ëndërr,аҧхыӡ
62,Himmel::N,qiell,ажəҩан
63,Sonne::N,diell,амра
64,Mond::N,hënë,амза
65,Stern::N,yll,аеҵəа
66,Luft::N,ajër,аҳаир
67,Wind::N,erë,аҧша
68,Welle::N,valë,ацəқəырҧа
69,Welle::N,dallgë,ацəқəырҧа
70,Wasser::N,ujë,аӡы
71,Stein::N,gur,ахаҳə
72,Boden::N,tokë,адгьыл
73,Boden::N,truall,адгьыл
74,Erde::N,dhe,адгьыл
75,Erde::N,baltë,адгьыл
76,Staub::N,pluhur,асаба
77,Rauch::N,tym,алҩа
