,Concept_ID,cy,bn
0,Auge::N,llygad,চক্ষু
1,Ohr::N,clust,কর্ণ
2,Nase::N,trwyn,নাক
3,Mund::N,ceg,মুখ
4,Zahn::N,dant,দাঁত
5,Zunge::N,tafod,জিহবা
6,Lippe::N,gwefus,অধর
7,Wange::N,boch,গণ্ড
8,Gesicht::N,wyneb,মুখমণ্ডল
9,Stirn::N,talcen,কপাল
10,Haar::N,blew,চুল
11,Schnurrbart::N,mwstas,গোঁফ
12,Bart::N,barf,শ্মশ্রু
13,Kinn::N,gên,চিবুক
14,Kiefer[Anatomie]::N,gên,চোয়াল
15,Kehle::N,gwddf,কণ্ঠ
16,Hals::N,gwddf,গল
17,Genick::N,gwar,ঘাড়
18,Genick::N,gwegil,ঘাড়
19,Kopf::N,pen,মাথা
20,Rücken::N,cefn,পৃষ্ঠ
21,Bauch::N,bol,উদর
22,Nabel::N,bogail,নাভি
23,Busen::N,bron,স্তন
24,Brust::N,brest,বুক
25,Schulter::N,ysgwydd,স্কন্ধ
26,Arm::N,braich,বাহু
27,Ellenbogen::N,penelin,কনুই
28,Hand::N,llaw,হাত
29,Handfläche::N,palf,করতল
30,Finger::N,bys,আঙ্গুল
31,Fingernagel::N,ewin,হাতের নখ
32,Nagel[Anatomie]::N,ewin,নখ
33,Zeh::N,bys troed,আঙ্গুল
34,Fuß::N,troed,পা
35,Ferse::N,sawdl,গোড়ালি
36,Knie::N,glin,হাঁটু
37,Oberschenkel::N,clun,ঊরু
38,Bein::N,coes,পা
39,Körper::N,corff,দেহ
40,Haut::N,croen,ত্বক
41,Blut::N,gwaed,রক্ত
42,Ader::N,gwythïen,শিরা
43,Sehne::N,gewyn,কণ্ডরা
44,Knochen::N,asgwrn,অস্থি
45,Gehirn::N,ymennydd,মস্তিষ্ক
46,Herz::N,calon,হৃৎপিণ্ড
47,Magen::N,cylla,পাকস্থলী
48,Magen::N,stumog,পাকস্থলী
49,Leber::N,iau,যকৃৎ
50,Atem::N,anadl,শ্বাস
51,Hunger::N,newyn,ক্ষুধা
52,Träne::N,deigryn,অশ্রু
53,Geschmack::N,cyflas,স্বাদ
54,Geruch::N,aroglau,গন্ধ
55,Schlaf::N,cwsg,ঘুম
56,Traum::N,breuddwyd,স্বপ্ন
57,Himmel::N,awyr,আকাশ
58,Sonne::N,haul,সূর্য
59,Mond::N,lleuad,চন্দ্র
60,Stern::N,seren,নক্ষত্র
61,Luft::N,awyr,বায়ু
62,Wind::N,gwynt,বাতাস
63,Welle::N,ton,ঢেউ
64,Welle::N,ton,তরঙ্গ
65,Wasser::N,dŵr,জল
66,Stein::N,carreg,ঢিল
67,Stein::N,carreg,প্রস্তর
68,Boden::N,llawr,ভূতল
69,Erde::N,pridd,ভূমি
70,Staub::N,llwch,ধুলা
71,Rauch::N,mwg,ধোঁয়া
72,Funke::N,gwreichioni,স্ফুলিঙ্গ
73,Feuer::N,tân,অগ্নি
74,Licht::N,golau,আলো
75,Schatten::N,cysgod,ছায়া
76,Wetter::N,tywydd,আবহাওয়া
77,Nebel::N,niwl,কুহেলিকা
78,Wolke::N,cwmwl,মেঘ
79,Regen::N,glaw,বৃষ্টি
80,Schnee::N,ôd,তুষার
81,Schnee::N,eira,তুষার
82,Eis::N,iâ,বরফ
83,Frost::N,rhew,তুষার
84,Kälte::N,oerni,শৈত্য
85,Kälte::N,annwyd,শৈত্য
86,Hitze::N,gwres,তাপ
87,Raureif::N,barrug,তুহিন
88,Regenbogen::N,enfys,রামধনু
89,Donner::N,tyrfau,বজ্রধ্বনি
90,Strömung::N,cerrynt,স্রোত
91,Tropfen::N,dafn,ফোঁটা
92,Tropfen::N,diferyn,ফোঁটা
93,Schaum::N,ewyn,ফেনা
94,Schmutz::N,baw,ধুলা
95,Schmutz::N,budreddi,ধুলা
96,See::N,llyn,হ্রদ
97,Sumpf::N,cors,জলা
98,Moor::N,rhos,মাঠ
99,Wiese::N,dôl,তৃণভূমি
100,Wald::N,coedwig,বন
