,Concept_ID,lt,he
179,Schwan::N,gulbė,ברבור
180,Fisch::N,žuvis,דג
181,Barsch::N,ešerys,אוקונוס
182,Hecht::N,lydeka,זאב הים
183,Schlange[Tier]::N,gyvatė,נחש
184,Wurm::N,kirmėlė,תולעת
185,Spinne::N,voras,עכביש
186,Ameise::N,skruzdė,נמלה
187,Laus::N,utėlė,כנה
188,Mücke::N,uodas,יתוש
189,Fliege::N,musė,זבוב
190,Schmetterling::N,drugys,פרפר
191,Schmetterling::N,peteliškė,פרפר
192,Beere::N,uoga,ענבה
193,Apfel::N,obuolys,תפוח
194,Pilz::N,grybas,פטריה
195,Zwiebel::N,svogūnas,בצל
196,Saat::N,sėkla,זרעים
197,Korn::N,grūdai,גרעין
198,Heu::N,šienas,חציר
199,Schale::N,žievelė,קלפה
200,Grube::N,duobė,בור
201,Grube::N,duobė,שוחה
202,Falle::N,pinklės,מלכדת
203,Falle::N,žabangai,מלכדת
204,Schlinge::N,kilpa,לולאה
205,Spur::N,vėžė,עקבה
206,Spur::N,pėdos,עקבה
207,Spur::N,pėdsakas,עקבה
208,Asche::N,pelenai,אפר
209,Dreck::N,purvas,זהמה
210,Eisen::N,geležis,ברזל
211,Gold::N,auksas,זהב
212,Silber::N,sidabras,כסף
213,Kohle::N,anglis,פחם
214,Glas::N,stiklas,זכוכית
215,Lehm::N,molis,חרסית
216,Sand::N,smėlis,חול
217,Mensch::N,žmogus,אדם
218,Mann::N,vyras,איש
219,Mann::N,vyras,גבר
220,Mann::N,vyriškis,איש
221,Mann::N,vyriškis,גבר
222,Frau::N,moteris,אשה
223,Frau::N,moteris,גברת
224,Kind::N,vaikas,ילד
225,Junge::N,vaikinas,ילד
226,Junge::N,berniukas,ילד
227,Mädchen::N,mergytė,נערה
228,Mädchen::N,mergaitė,נערה
229,Familie::N,šeima,משפחה
230,Großvater::N,senelis,סבא
231,Großmutter::N,senelė,סבתא
232,Eltern::N,tėvai,הורים
233,Vater::N,tėvas,אב
234,Mutter::N,motina,אם
235,Sohn::N,sūnus,בן
236,Tochter::N,duktė,בת
237,Bruder::N,brolis,אח
238,Schwester::N,sesuo,אחות
239,Onkel::N,dėdė,דוד
240,Tante::N,teta,דודה
241,Ehemann::N,vyras,איש
242,Ehemann::N,vyras,בעל
243,Ehefrau::N,žmona,אשה
244,Freude::N,džiaugsmas,שמחה
245,Gelächter::N,juokas,צחוק
246,Glück::N,laimė,אשר
247,Kummer::N,vargas,יגון
248,Kummer::N,vargas,עגמה
249,Kummer::N,rūpestis,יגון
250,Kummer::N,rūpestis,עגמה
251,Wunsch::N,troškimas,אחול
252,Wunsch::N,troškimas,משאלה
253,Wunsch::N,pageidavimas,אחול
254,Wunsch::N,pageidavimas,משאלה
255,Lust::N,noras,חשק
256,Lust::N,noras,תשוקה
257,Lust::N,geidulys,חשק
258,Lust::N,geidulys,תשוקה
259,Geist::N,dvasia,רוח
260,Gedanke::N,mintis,מחשבה
261,Gedächtnis::N,atmintis,זכרון
262,Verstand::N,protas,שכל
263,Sinn::N,prasmė,מובן
264,Sinn::N,prasmė,משמעות
265,Grund::N,priežastis,סבה
266,Wahrheit::N,tiesa,אמת
267,Wahrheit::N,teisybė,אמת
268,Gespräch::N,pokalbis,דיון
269,Märchen::N,pasaka,אגדה
270,Erzählung::N,apsakymas,ספור
271,Erzählung::N,pasakojimas,ספור
272,Nachricht::N,žinia,ידיעה
273,Neuigkeit::N,naujiena,חדשה
274,Name::N,vardas,שם
275,Rätsel::N,mįslė,תעלומה
276,Rede::N,kalba,נאום
277,Sprache::N,kalba,לשון
278,Stimme::N,balsas,קול
279,Wort::N,žodis,מלה
280,Zeichen::N,žymė,סימן
281,Zeichen::N,ženklas,סימן
282,Ruf::N,šauksmas,קריאה
283,Lärm::N,triukšmas,רעש
284,Laut::N,garsas,הגה
285,Ton::N,tonas,צליל
286,Ton::N,garsas,צליל
287,Lied::N,daina,שיר
288,Lied::N,giesmė,שיר
289,Ruhe::N,ramybė,שלוה
290,Ruhe::N,ramumas,שלוה
291,Leute::N,žmonės,אנשים
292,Volk::N,tauta,עם
293,Arbeit::N,darbas,עבודה
294,Arbeit::N,triūsas,עבודה
295,Gast::N,svečias,אורח
296,Geschenk::N,dovana,מתנה
297,Spiel::N,žaismas,משחק
298,Spiel::N,žaidimas,משחק
299,Gesellschaft::N,draugija,חברה
300,Gesellschaft::N,kompanija,חברה
301,Hilfe::N,pagalba,עזרה
302,Freund::N,draugas,חבר
303,Freund::N,draugas,ידיד
304,Freund::N,bičiulis,חבר
305,Freund::N,bičiulis,ידיד
306,Kamerad::N,draugas,רע
307,Angelegenheit::N,dalykas,ענין
308,Angelegenheit::N,reikalas,ענין
309,Anzahl::N,kiekis,מספר
310,Anzahl::N,skaičius,מספר
311,Art::N,rūšis,סוג
312,Stück::N,gabalas,חתיכה
313,Teil::N,dalis,פרק
314,Hälfte::N,pusė,חצי
315,Kreis::N,ratas,מעגל
316,Kreis::N,apskritis,מעגל
317,Kreis::N,apskritimas,מעגל
318,Kreuz::N,kryžius,צלב
319,Linie::N,linija,קו
320,Strich::N,brėžis,קו קצר
321,Strich::N,brūkšnys,קו קצר
322,Abstand::N,atstumas,מרחק
323,Entfernung::N,atstumas,מרחק
324,Gegend::N,vietovė,נוף
325,Platz::N,vieta,שטח
326,Ort::N,vieta,אתר
327,Ort::N,vieta,מקום
328,Ort::N,vietovė,אתר
329,Ort::N,vietovė,מקום
330,Seite::N,pusė,צד
331,Seite::N,šonas,צד
332,Mitte::N,vidurys,אמצע
333,Gegenstand::N,dalykas,אוביקט
334,Sache::N,daiktas,דבר
335,Rand::N,kraštas,פרור
336,Rand::N,pakraštys,פרור
337,Kante::N,kraštas,קצה
338,Ecke::N,kertė,פנה
339,Ecke::N,kampas,פנה
340,Spitze::N,priekis,קצה
341,Spitze::N,priešakys,קצה
342,Ende::N,galas,סוף
343,Loch::N,skylė,חר
344,Winkel::N,kampas,פנה
345,Winkel::N,kampelis,פנה
346,Muster::N,raštas,תבנית
347,Größe::N,dydis,גדל
348,Größe::N,didumas,גדל
349,Länge::N,ilgis,ארך
350,Länge::N,ilgumas,ארך
351,Höhe::N,aukštis,קומה
352,Höhe::N,aukštis,גבה
353,Höhe::N,aukštuma,קומה
354,Höhe::N,aukštuma,גבה
355,Gewicht::N,svoris,משקל
356,Gewicht::N,svarstis,משקל
357,Menge::N,kiekis,כמות
358,Menge::N,daugybė,כמות
359,Haufen::N,krūva,ערמה
360,Haufen::N,šūsnis,ערמה
361,Reihe::N,greta,רצף
362,Boot::N,valtis,סירה
363,Boot::N,laivelis,סירה
364,Ruder::N,irklas,משוט
365,Schlitten::N,rogės,מזחלת
366,Schlitten::N,rogutės,מזחלת
367,Ski::N,slidė,מגלשים
368,Lagerfeuer::N,laužas,מדורה
369,Last::N,našta,משא
370,Last::N,nešulys,משא
371,Gang::N,eisena,הליכה
372,Schritt::N,žingsnis,צעד
373,Norden::N,šiaurė,צפון
374,Norden::N,žiemiai,צפון
375,Süden::N,pietūs,דרום
376,Westen::N,vakarai,מערב
377,Osten::N,rytai,מזרח
378,Holz::N,mediena,עץ
379,Brett::N,lenta,קרש
380,Platte::N,plokštė,לוח
