,Concept_ID,pl,ab
0,Auge::N,oko,ала
1,Ohr::N,ucho,алымҳа
2,Nase::N,nos,аҧынҵа
3,Mund::N,usta,аҧышə
4,Zahn::N,ząb,ахаҧыц
5,Zunge::N,język,абз
6,Lippe::N,warga,ақьышə
7,Wange::N,policzek,аӡамҩа
8,Gesicht::N,twarz,аҿы
9,Stirn::N,czoło,алахь
10,Haar::N,włos,ахəыц
11,Haar::N,włosy,ахəыц
12,Schnurrbart::N,wąsy,аҧаҵа
13,Bart::N,broda,ажакьа
14,Kinn::N,podbródek,ацламкəыгə
15,Kiefer[Anatomie]::N,czeluść,ацламҳəа
16,Kehle::N,gardło,ахəда
17,Hals::N,szyja,ахəда
18,Genick::N,kark,ахəдаџьал
19,Kopf::N,głowa,ахы
20,Rücken::N,plecy,азқəа
21,Rücken::N,grzbiet,азқəа
22,Bauch::N,brzuch,амгəа
23,Nabel::N,pępek,аҷапан
24,Busen::N,biust,агəыҧҳəы
25,Brust::N,pierś,агəышҧы
26,Schulter::N,bark,ажəҩахыр
27,Schulter::N,ramię,ажəҩахыр
28,Arm::N,ręka,амахəар
29,Arm::N,ramię,амахəар
30,Ellenbogen::N,łokieć,амашьхəылҵ
31,Hand::N,dłoń,анапы
32,Handfläche::N,dłoń,анапсаргəыҵа
33,Finger::N,palec,анацəа
34,Fingernagel::N,paznokieć,анапхыц
35,Nagel[Anatomie]::N,paznokieć,ашьапхыц
36,Zeh::N,palec,ашьацəа
37,Fuß::N,stopa,ашьапсыргəыҵа
38,Ferse::N,pięta,ашьхəа
39,Knie::N,kolano,ашьамхы
40,Oberschenkel::N,udo,ауаҭəа
41,Bein::N,noga,ашьапы
42,Körper::N,ciało,ацəеижь
43,Haut::N,skóra,ацəа
44,Blut::N,krew,ашьа
45,Ader::N,żyła,ада
46,Sehne::N,ścięgno,адаш
47,Knochen::N,kość,абаҩ
48,Gehirn::N,mózg,ахшлыбаҩ
49,Gehirn::N,mózg,ахшыбаҩ
50,Herz::N,serce,агəы
51,Magen::N,żołądek,аца
52,Magen::N,żołądek,ацар
53,Leber::N,wątroba,агəаҵəа
54,Atem::N,dech,аҧсыҧлагаҩгара
55,Atem::N,oddech,аҧсыҧлагаҩгара
56,Hunger::N,głód,амла
57,Träne::N,łza,алабжыш
58,Geschmack::N,smak,агьама
59,Geruch::N,woń,афҩы
60,Geruch::N,zapach,афҩы
61,Schlaf::N,sen,ацəа
62,Traum::N,sen,аҧхыӡ
63,Himmel::N,niebo,ажəҩан
64,Sonne::N,słońce,амра
65,Mond::N,księżyc,амза
66,Stern::N,gwiazda,аеҵəа
67,Luft::N,powietrze,аҳаир
68,Wind::N,wiatr,аҧша
69,Welle::N,fala,ацəқəырҧа
70,Wasser::N,woda,аӡы
71,Stein::N,kamień,ахаҳə
72,Boden::N,grunt,адгьыл
73,Erde::N,ziemia,адгьыл
74,Staub::N,pył,асаба
75,Staub::N,kurz,асаба
76,Rauch::N,dym,алҩа
77,Funke::N,iskra,акəиц
78,Funke::N,iskra,ацҧхь
79,Feuer::N,ogień,амца
80,Licht::N,światło,алашара
81,Schatten::N,cień,ашəшьыра
82,Wetter::N,pogoda,амш
83,Nebel::N,mgła,анаҟəа
84,Wolke::N,obłok,аҧсҭҳəа
85,Wolke::N,chmura,аҧсҭҳəа
86,Regen::N,deszcz,ақəа
87,Schnee::N,śnieg,асы
88,Eis::N,lód,аҵаа
89,Frost::N,mróz,аҵаа
90,Kälte::N,chłód,ахьҭа
91,Hitze::N,gorąco,ашоура
92,Raureif::N,szron,аҵааҧшқа
93,Regenbogen::N,tęcza,ацəаҟəа
94,Donner::N,grzmot,адыд
95,Strömung::N,nurt,аиасра
96,Strömung::N,nurt,амҩасра
97,Tropfen::N,kropla,ацəыкəбар
98,Schaum::N,piana,ашəах
99,Schmutz::N,brud,алымт
100,See::N,jezioro,аӡиа
101,Sumpf::N,bagno,аӡмах
102,Moor::N,bagno,
103,Wiese::N,łąka,адəы
104,Wald::N,las,абна
105,Hügel::N,pagórek,ахəы
106,Anhöhe::N,wzgórze,аҳаракыра
107,Berg::N,góra,ашьха
108,Gipfel::N,szczyt,ацəқəа
109,Gipfel::N,wierzchołek,ацəқəа
110,Höhle::N,pieczara,аҳаҧы
111,Abhang::N,stok,анаара
112,Abhang::N,zbocze,анаара
113,Quelle::N,zdrój,аҵҵырҭа
114,Quelle::N,źródło,аҵҵырҭа
115,Bach::N,potok,акəараҷҷа
116,Bach::N,strumień,акəараҷҷа
117,Fluss::N,rzeka,аӡиас
118,Ufer::N,brzeg,ахықə
119,Küste::N,wybrzeże,ахықə
120,Festland::N,ląd,абарра
121,Meer::N,morze,амшын
122,Bucht::N,zatoka,аӡбжьахала
123,Insel::N,wyspa,адгьылбжьаха
124,Blume::N,kwiat,ашəҭ
125,Gras::N,trawa,аҳасакьын
126,Wurzel::N,korzeń,адац
127,Baum::N,drzewo,аҵла
128,Stamm::N,pień,ашьапы
129,Rinde::N,kora,ацəа
130,Ast::N,gałąź,амахə
131,Ast::N,gałąź,амахəҭа
132,Zweig::N,gałąź,амахə
133,Zweig::N,gałąź,амахəҭа
134,Blatt::N,liść,абҕьы
135,Birke::N,brzoza,аҵааҵла
136,Kiefer[Baum]::N,sosna,амза
137,Weide[Baum]::N,wierzba,аҧслыш
138,Tanne::N,jodła,аҧсаӡ
139,Horn::N,róg,атəыҩа
140,Feder::N,pióro,ахӡы
141,Fell::N,futro,ацəа
142,Flügel::N,skrzydło,амҵəыжəа
143,Klaue::N,szpon,ашьапхыц
144,Kralle::N,pazur,
145,Schwanz::N,ogon,аҵыхəа
146,Ei::N,jajko,акəтаӷь
147,Nest::N,gniazdo,аҭра
148,Nest::N,gniazdo,аҵысҭра
149,Bau::N,nora,аҭыҩра
150,Tier::N,zwierzę,аҧстəы
151,Tier::N,zwierzę,агыгшəыг
152,Herde::N,stado,агəарҭа
153,Herde::N,trzoda,агəарҭа
154,Kuh::N,krowa,ажə
155,Bulle::N,byk,ацə
156,Pferd::N,koń,аҽы
157,Schaf::N,owca,ауаса
158,Schwein::N,świnia,аҳəа
159,Hund::N,pies,ала
160,Katze::N,kot,ацгəы
161,Katze::N,kotka,ацгəы
162,Bär::N,niedźwiedż,амшə
163,Eichhörnchen::N,wiewiórka,аеш
164,Elch::N,łóś,аҽаҩа
165,Fuchs::N,lis,абгахəыҷы
166,Hase::N,zając,ажьа
167,Maus::N,mysz,аҳəынаҧ
168,Wolf::N,wilk,абгаду
169,Vogel::N,ptak,аҧсаатə
170,Schwarm::N,stado,
171,Huhn::N,kura,акəты
172,Hahn::N,kogut,арбаҕь
173,Gans::N,gęś,аҟыз
174,Adler::N,orzeł,ауарба
175,Ente::N,kaczka,акəата
176,Eule::N,sowa,аты
177,Kranich::N,żuraw,апҟа
178,Krähe::N,wrona,аҟəараан
179,Kuckuck::N,kukułka,акəыкəу
180,Schwan::N,łabędż,агьад
181,Fisch::N,ryba,аҧсыӡ
182,Barsch::N,okoń,ацəыбла
183,Hecht::N,szczupak,ахиаала
184,Schlange[Tier]::N,wąż,амаҭ
185,Schlange[Tier]::N,żmija,амаҭ
186,Wurm::N,robak,ахəа
187,Wurm::N,robak,ахəац
188,Spinne::N,pająk,абызкаҭаҳа
189,Ameise::N,mrówka,ашышкамс
190,Laus::N,wesz,аҵа
191,Mücke::N,komar,акəыбры
192,Fliege::N,mucha,амҵ
193,Schmetterling::N,motyl,аҧарҧалыкь
194,Beere::N,jagoda,аргуц
195,Apfel::N,jabłko,аҵəа
196,Pilz::N,grzyb,акəкəбаа
197,Zwiebel::N,cebula,аџьымшьы
198,Zwiebel::N,cebula,аџьымшьхы
199,Saat::N,siew,ажəла
200,Korn::N,ziarno,арыц
201,Heu::N,siano,аҭəа
202,Schale::N,łupina,ацəа
203,Grube::N,dół,ажра
204,Grube::N,dół,атыша
205,Grube::N,jama,ажра
206,Grube::N,jama,атыша
207,Falle::N,pułapka,арыҧҟьа
208,Schlinge::N,sidła,аҟəараҟəантə
209,Spur::N,ślad,ашьҭа
210,Asche::N,popiół,ахəа
211,Dreck::N,brud,аҳəынҵəа
212,Dreck::N,brud,аҟьамсар
213,Eisen::N,żelazo,аиха
214,Gold::N,złoto,ахьы
215,Silber::N,srebro,аразны
216,Kohle::N,węgiel,арацəа
217,Glas::N,szkło,асаркьа
218,Lehm::N,glina,анышəаҧшь
219,Sand::N,piasek,аҧслымӡ
220,Mensch::N,człowiek,ауаҩы
221,Mann::N,mężczyzna,ахаҵа
222,Frau::N,kobieta,аҧҳəыс
223,Kind::N,dziecko,ахəыҷы
224,Junge::N,chłopak,аҷкəын
225,Junge::N,chłopak,ахаҵарҧыс
226,Junge::N,chłopiec,аҷкəын
227,Junge::N,chłopiec,ахаҵарҧыс
228,Mädchen::N,dziewczynka,аӡӷаб
229,Familie::N,rodzina,аҭаацəа
230,Großvater::N,dziadek,абду
231,Großmutter::N,babka,анду
232,Eltern::N,rodzice,ани аби
233,Vater::N,ojciec,аб
234,Mutter::N,matka,ан
235,Sohn::N,syn,аҧа
236,Tochter::N,córka,аҧҳа
237,Bruder::N,brat,аиашьа
238,Schwester::N,siostra,Аҳəшьа
239,Onkel::N,wuj,абиашьа
240,Onkel::N,wuj,аншьа
241,Onkel::N,stryj,абиашьа
242,Onkel::N,stryj,аншьа
243,Tante::N,ciotka,абиаҳəшьа
244,Ehemann::N,mąż,ахаҵа
245,Ehemann::N,mąż,аҧшəма
246,Ehefrau::N,żona,аҧҳəыс
247,Freude::N,radość,агəырӷьара
248,Gelächter::N,śmiech,ачча
249,Gelächter::N,śmiech,аччара
250,Glück::N,szczęście,аразҟы
251,Kummer::N,zmartwienie,агəырҩа
252,Wunsch::N,życzenie,агəхəтəы
253,Wunsch::N,życzenie,аҭахра
254,Lust::N,chęć,агəазыҳəара
255,Lust::N,ochota,агəазыҳəара
256,Geist::N,duch,аҧсы
257,Gedanke::N,myśl,ахəыцырҭа
258,Gedächtnis::N,pamięć,агəынкылара
259,Verstand::N,rozum,ахшыҩ
260,Sinn::N,zmysł,аҵакы
261,Grund::N,powód,амзыз
262,Wahrheit::N,prawda,аиаша
263,Gespräch::N,rozmowa,аиҿцәажәара
264,Märchen::N,bajka,алакə
265,Erzählung::N,opowiadanie,ажәабжь
266,Nachricht::N,wiadomość,адырраҭара
267,Neuigkeit::N,nowina,ажәабжь ҿыц
268,Name::N,imię,ахьӡ
269,Rätsel::N,zagadka,ацуфара
270,Rede::N,mowa,ажәа
271,Sprache::N,język,абызшəа
272,Stimme::N,głos,абжьы
273,Wort::N,słowo,ажәа
274,Zeichen::N,znak,адырга
275,Ruf::N,wołanie,аҿҭы
276,Lärm::N,hałas,ашьҭыбжь
277,Lärm::N,zgiełk,ашьҭыбжь
278,Laut::N,dźwięk,ашьҭыбжь
279,Ton::N,ton,атон
280,Ton::N,dźwięk,атон
281,Lied::N,pieśń,ашəа
282,Lied::N,piosenka,ашəа
283,Ruhe::N,spokój,аҭынчра
284,Leute::N,ludzie,ауаа
285,Volk::N,naród,ажəлар
286,Arbeit::N,praca,аусура
287,Arbeit::N,robota,аусура
288,Gast::N,gość,асас
289,Geschenk::N,prezent,аҳамҭа
290,Geschenk::N,prezent,аҿанҵа
291,Geschenk::N,podarunek,аҳамҭа
292,Geschenk::N,podarunek,аҿанҵа
293,Spiel::N,gra,ахəмарра
294,Spiel::N,zabawa,ахəмарра
295,Gesellschaft::N,towarzystwo,агəыҧ
296,Hilfe::N,pomoc,ацхыраара
297,Freund::N,przyjaciel,аҩыза
298,Kamerad::N,kolega,Аҧхнагьла
299,Angelegenheit::N,sprawa,аус
300,Anzahl::N,ilość,ахыҧхьаӡара
301,Art::N,rodzaj,ахкы
302,Stück::N,kawałek,аҽыҭ
303,Teil::N,część,ахəҭа
304,Hälfte::N,połowa,абжа
305,Kreis::N,krąg,агьагьа
306,Kreuz::N,krzyż,аџьар
307,Linie::N,linia,аицтәар
308,Strich::N,kreska,ацəаҳəа
309,Abstand::N,odstęp,абжьара
310,Entfernung::N,odległość,абжьара
311,Gegend::N,okolica,аҭыҧ
312,Platz::N,miejsce,аҭыҧ
313,Ort::N,miejsce,аҭыҧ
314,Seite::N,bok,аган
315,Seite::N,strona,аган
316,Mitte::N,środek,агəҭа
317,Gegenstand::N,przedmiot,амаҭəар
318,Sache::N,rzecz,
319,Rand::N,skraj,аҵкар
320,Rand::N,krawędź,аҵкар
321,Kante::N,kant,авардым
322,Kante::N,krawędź,авардым
323,Ecke::N,róg,акəакь
324,Spitze::N,ostrze,аҧынҵа
325,Ende::N,koniec,анаӡара
326,Loch::N,dziura,акылҵəара
327,Winkel::N,kąt,агҿаҩра
328,Winkel::N,kąt,акəындхə
329,Winkel::N,kąt,акəакь
330,Winkel::N,kącik,агҿаҩра
331,Winkel::N,kącik,акəындхə
332,Winkel::N,kącik,акəакь
333,Muster::N,wzór,аҟҟа
334,Größe::N,rozmiar,изаҟароу
335,Größe::N,wielkość,изаҟароу
336,Länge::N,długość,аура
337,Höhe::N,wysokość,агылара
338,Gewicht::N,ciężar,акапан
339,Menge::N,ilość,
340,Haufen::N,kupa,ачаҟəа
341,Reihe::N,rząd,ацəаҳəа
342,Reihe::N,szereg,ацəаҳəа
343,Boot::N,łódź,анышь
344,Boot::N,łódka,анышь
345,Ruder::N,wiosło,ажəҩа
346,Schlitten::N,sanki,ашəаҩауардын
347,Ski::N,narta,ашəаҩа
348,Ski::N,narta,ашьахаха
349,Lagerfeuer::N,ognisko,еиқуу амца
350,Last::N,ciężar,ахьанҭара
351,Last::N,brzemię,ахьанҭара
352,Gang::N,chód,аныҟəара
353,Schritt::N,krok,ашьаҿа
354,Norden::N,północ,аҩада
355,Süden::N,południe,алада
356,Westen::N,zachód,амраҭашəара
357,Osten::N,wschód,амрагылара
358,Holz::N,drzewo,амҿымаҭəахə
359,Brett::N,deska,аӷəы
360,Platte::N,płyta,ахаҳәцәы
361,Stütze::N,podpora,аҵаргəа
362,Stütze::N,podpora,агəышьаҟа
363,Stange::N,drąg,акьат
364,Stange::N,żerdź,акьат
365,Stock::N,kij,алаба
366,Stock::N,laska,алаба
