,Concept_ID,az,ta
0,Auge::N,göz,கண்
1,Ohr::N,qulaq,காது
2,Nase::N,burun,மூக்கு
3,Mund::N,ağız,வாய்
4,Zahn::N,diş,பல்
5,Zunge::N,dil,நாக்கு
6,Lippe::N,dodaq,உதடு
7,Wange::N,yanaq,கன்னம்
8,Gesicht::N,üz,முகம்
9,Stirn::N,alın,முன்னெற்றி
10,Haar::N,saç,முடி
11,Schnurrbart::N,bığ,மீசை
12,Bart::N,saqqal,தாடி
13,Kinn::N,çənə,கீழதாடை
14,Kiefer[Anatomie]::N,çənə,தாடை
15,Kehle::N,boğaz,தொண்டை
16,Hals::N,boyun,கழுத்து
17,Genick::N,ənsə,கழுத்து
18,Kopf::N,baş,தலை
19,Rücken::N,bel,முதுகு
20,Bauch::N,qarın,வயிறு
21,Nabel::N,göbək,தொப்புள்
22,Busen::N,məmə,மார்பகம்
23,Brust::N,döş, மார்பு
24,Schulter::N,çiyin,தோள்பட்டை
25,Arm::N,qol,கரம்
26,Ellenbogen::N,dirsək,முழங்கை
27,Hand::N,əl,கை
28,Handfläche::N,ovuc,உள்ளங்கை
29,Finger::N,barmaq,விரல்
30,Fingernagel::N,barmaq dırnağı,விரல் நகம்
31,Nagel[Anatomie]::N,dırnak,நகம்
32,Zeh::N,ayaq barmağı,கால்விரல்
33,Fuß::N,ayaq,கால்
34,Ferse::N,daban,குதிகால்
35,Knie::N,diz,முழங்கால்
36,Oberschenkel::N,bud,தொடை
37,Bein::N,qıç,கால்
38,Körper::N,əndam,உடல்
39,Haut::N,dəri,சருமம்
40,Blut::N,qan,இரத்தம்
41,Ader::N,damar,நாளம்
42,Sehne::N,vətər,தசைநார்
43,Knochen::N,sümük,எலுமபு
44,Gehirn::N,beyin,மூனை
45,Herz::N,ürək,இதயம
46,Magen::N,mədə,வயிறு
47,Leber::N,qara ciyər,கல்லீரல்
48,Atem::N,nəfəs,மூச்சு
49,Hunger::N,aclıq,பசி
50,Träne::N,göz yaşı,கண்ணீர்
51,Geschmack::N,tam,நறுமணம்
52,Geschmack::N,ləzzət,நறுமணம்
53,Geruch::N,qoxu,துர்நாற்றம்
54,Schlaf::N,yuxu,தூக்கம்
55,Traum::N,röya,கனவு
56,Himmel::N,göy,வானம்
57,Himmel::N,səma,வானம்
58,Sonne::N,günəş,சூரியன்
59,Mond::N,ay,சந்திரன்
60,Stern::N,ulduz,நட்சத்திரம்
61,Luft::N,hava,காறறு
62,Wind::N,yel,காற்று
63,Wind::N,külək,காற்று
64,Welle::N,dalğa,அலை
65,Wasser::N,su,நீர்
66,Stein::N,daş,கல்
67,Boden::N,yer,தரை
68,Boden::N,zəmin,தரை
69,Erde::N,yer torpaq,மண்
70,Staub::N,toz,தூசி
71,Rauch::N,tüstü,புகை
72,Funke::N,qığılcım,தீப்பொறி
73,Feuer::N,od,தீ
74,Licht::N,işıq,வெளிச்சம்
75,Schatten::N,kölgə,நிழல்
76,Wetter::N,hava,வானிலை
77,Nebel::N,duman,பனிமூட்டம்
78,Wolke::N,bulud,மேகம்
79,Regen::N,yağış,மழை
80,Regen::N,yağmur,மழை
81,Schnee::N,qar,உறைபனி
82,Eis::N,buz,பனிக்கட்டி
83,Frost::N,ayaz,உறைபனி
84,Kälte::N,soyuq,குளிர்ந்த
85,Hitze::N,coşğunluq,சூடு
86,Raureif::N,qırov,உறைபனி வெண்திரை
87,Regenbogen::N,göy qurşağı,வானவில்
88,Donner::N,göy gurultusu,இடி
89,Strömung::N,axın,நீரோட்டம்
90,Tropfen::N,damcı,துளி
91,Schaum::N,köpük,நுரை
92,Schmutz::N,çamır,அழுக்கு
93,See::N,göl,ஏரி
94,Sumpf::N,bataqlıq,சதுப்பு நிலம்
95,Moor::N,bataqlıq,முட்புதற்காடு
96,Wiese::N,çəmən,பசும் புல்தரை
97,Wald::N,meşə,காடு
98,Hügel::N,təpə,குன்று
99,Anhöhe::N,təpə,பதுக்கை
100,Berg::N,dağ,மலை
101,Gipfel::N,zirvə,உச்சி மாநாடு
102,Höhle::N,mağara,குகை
103,Abhang::N,yamac,சரிவு
104,Quelle::N,bulaq,மூலம்
105,Bach::N,kiçik çay,ஓடை
106,Fluss::N,çay,ஆறு
107,Ufer::N,kənar,நீர்க்கரை
108,Küste::N,sahil,கடற்கரை
109,Festland::N,materik,நிலம்
110,Meer::N,dəniz,கடல்
111,Bucht::N,körfəz,சிறுகுடா
112,Insel::N,ada,தீவு
113,Blume::N,çiçək,பூ
114,Gras::N,ot,புல்தரை
115,Wurzel::N,kök,வேர்
116,Baum::N,ağac,மரம்
117,Stamm::N,gövdə,அடிமரம்
118,Rinde::N,qabıq,பட்டை
119,Rinde::N,qabıq,மரப்பட்டை
120,Ast::N,şax,கினை
121,Zweig::N,budaq,குச்சி
122,Blatt::N,yarpaq,இலை
123,Birke::N,tozağacı,பிர்ச் மரம்
124,Kiefer[Baum]::N,şam,தேவதாரு மரம்
125,Weide[Baum]::N,söyüd,மர வகைகளுள் ஒன்று
126,Tanne::N,küknar,சாதிக்கய்
127,Horn::N,buynuz,கொம்பு
128,Feder::N,tük,இறகு
129,Feder::N,lələk,இறகு
130,Fell::N,xəz,மென்முடி
131,Flügel::N,qanad,இறக்கை
132,Klaue::N,pəncə,நகம்
133,Kralle::N,dırnaq,நகம்
134,Schwanz::N,quyruq,வால்
135,Ei::N,yumurta,முட்டை
136,Nest::N,yuva,கூடு
137,Bau::N,yuva,குகை
138,Tier::N,heyvan,விலங்கு
139,Herde::N,sürü,கூட்டம்
140,Kuh::N,inək,பசு
141,Bulle::N,öküz,காளை
142,Pferd::N,at,குதிரை
143,Schaf::N,qoyun,செம்மறிஆடு
144,Schwein::N,donuz,பன்றி
145,Hund::N,it,நாய்
146,Hund::N,köpək,நாய்
147,Katze::N,pişik,பூனை
148,Bär::N,ayı,கரடி
149,Eichhörnchen::N,dələ,அணில்
150,Elch::N,sığın,கடம்பை
151,Fuchs::N,tülkü,நரி
152,Hase::N,dovşan,முயல்
153,Maus::N,siçan,எலி
154,Wolf::N,qurd,ஓநாய்
155,Vogel::N,quş,பறவை
156,Schwarm::N,sürü,தொகுதி
157,Huhn::N,toyuq,கோழிக்குஞசு
158,Hahn::N,xoruz,சேவல்
159,Gans::N,qaz,பெண் வாத்து
160,Adler::N,qartal,பருநது
161,Adler::N,qaraquş,பருநது
162,Ente::N,ördək,வாத்து
163,Eule::N,bayquş,ஆந்தை
164,Kranich::N,durna,நாரை
165,Krähe::N,qarğa,காகம்
166,Kuckuck::N,ququ,குயில்
167,Schwan::N,qu quşu,அன்னம்
168,Fisch::N,balıq,மீன்
169,Barsch::N,tar,பேர்ச்
170,Hecht::N,durnabalığı,கோலாச்சி மீன்
171,Schlange[Tier]::N,ilan,பாம்பு
172,Wurm::N,qurd,புழு
173,Spinne::N,hörümçək,சிலந்தி
174,Ameise::N,qarışqa,எறும்பு
175,Laus::N,bit,பேன்
176,Mücke::N,ağcaqanad,கொசுவினப்பூச்சி
177,Fliege::N,milçək,ஈ
178,Schmetterling::N,kəpənək,வண்ணத்துப்பூச்சி
179,Beere::N,gilə,சதைப்பழம்
180,Apfel::N,alma,ஆப்பிள பழம்
181,Pilz::N,göbələk,காளான்
182,Zwiebel::N,soğan,வெங்காயம்
183,Saat::N,əkin,விதை
184,Korn::N,taxıl,தானியம்
185,Heu::N,quru ot,வைக்கோல்
186,Schale::N,qabıq,தோல்
187,Grube::N,çuxur,குழி
188,Falle::N,tələ,பொறி
189,Falle::N,duzaq,பொறி
190,Schlinge::N,ilmək,கண்ணி
191,Spur::N,iz,சுவடு
192,Asche::N,kül,சாம்பல்
193,Dreck::N,kir,அழுக்கு
194,Eisen::N,dəmir,இரும்பு
195,Gold::N,altun,தங்கம்
196,Silber::N,gümüş,வெள்ளி
197,Kohle::N,kömür,நிலக்கரி
198,Glas::N,şüşə,கண்ணாடி
199,Lehm::N,gil,களிமண்
200,Lehm::N,palçıq,களிமண்
201,Sand::N,qum,மணல்
202,Mensch::N,adam,மனிதர்கள்
203,Mensch::N,insan,மனிதர்கள்
204,Mann::N,kişi,மனிதன்
205,Frau::N,qadın,பெண்
206,Kind::N,uşaq,குழந்தை
207,Junge::N,oğlan,பையன்
208,Mädchen::N,qız,சிறுமி
209,Familie::N,ailə,குடும்பம்
210,Großvater::N,baba,தாத்தா
211,Großmutter::N,nənə,பாட்டி
212,Eltern::N,valideyn,பெற்றோர்
213,Vater::N,ata,தந்தை
214,Mutter::N,ana,தாய்
215,Sohn::N,oğul,மகன்
216,Tochter::N,qız,மகள்
217,Bruder::N,qardaş,சகோதரன்
218,Schwester::N,bacı,அக்கா
219,Onkel::N,əmi,தாய் மாமன்
220,Onkel::N,dayı,தாய் மாமன்
221,Tante::N,bibi,அத்தை
222,Ehemann::N,ər,கணவன்
223,Ehefrau::N,arvad,மனைவி
224,Freude::N,nəşə,கொண்டாட்டம்
225,Freude::N,sevinc,கொண்டாட்டம்
226,Gelächter::N,gülüş,சிரிப்பு
227,Gelächter::N,qəhqəhə,சிரிப்பு
228,Glück::N,səadət,மகிழ்ச்சி
229,Glück::N,xoşbəxtlik,மகிழ்ச்சி
230,Kummer::N,qəm,துயரம்
231,Kummer::N,kədər,துயரம்
232,Wunsch::N,arzu,விருப்பம்
233,Lust::N,həvəs,விருப்பம்
234,Geist::N,ruh,ஆன்மா
235,Gedanke::N,fikir,எண்ணம்
236,Gedanke::N,düşüncə,எண்ணம்
237,Gedächtnis::N,xatir,ஞாபகம்
238,Gedächtnis::N,hafizə,ஞாபகம்
239,Verstand::N,ağıl,மனம்
240,Sinn::N,məna,அர்த்தம்
241,Grund::N,səbəb,காரணம்
242,Wahrheit::N,haqq,உண்நை
243,Wahrheit::N,doğruluq,உண்நை
244,Gespräch::N,söhbət,பெசு
245,Gespräch::N,qonuşma,பெசு
246,Märchen::N,nağıl,நம்பத்தகாத கதை
247,Erzählung::N,hekayə,கதை
248,Nachricht::N,xəbər,செய்தி
249,Neuigkeit::N,xəbər,செய்தி
250,Neuigkeit::N,yenilik,செய்தி
251,Name::N,ad,பெயர்
252,Rätsel::N,tapmaca,புதிர்
253,Rede::N,nitq,பேச்சு
254,Sprache::N,dil,மொழி
255,Stimme::N,səs,குரல்
256,Wort::N,söz,வார்த்தை
257,Wort::N,kəlmə,வார்த்தை
258,Zeichen::N,nişan,குறி
259,Ruf::N,çığırtı,அழைப்பு
260,Lärm::N,gurultu,சத்தம்
261,Laut::N,səs,ஒலி
262,Ton::N,ton,குரல்
263,Lied::N,mahnı,பாட்டு
264,Ruhe::N,sakitlik,அமைதி
265,Leute::N,xalq,மக்கள்
266,Volk::N,millət,மக்கள்
267,Arbeit::N,iş,வேலை
268,Arbeit::N,əmək,வேலை
269,Gast::N,qonaq,விருந்தாளி
270,Gast::N,müsafir,விருந்தாளி
271,Geschenk::N,hədiyyə,பரிசுப் பொருள்
272,Spiel::N,oyun,விளையாட்டு
273,Spiel::N,tamaşa,விளையாட்டு
274,Gesellschaft::N,cəmiyyet,சமுதாயம்
275,Hilfe::N,kömək,உதவி
276,Hilfe::N,yardım,உதவி
277,Freund::N,dost,நண்பன்
278,Kamerad::N,yoldaş,உடனிருப்பவன்
279,Angelegenheit::N,iş,செய்தி
280,Anzahl::N,say,எண்ணிக்கை
281,Art::N,çeşid,வகை
282,Stück::N,dənə,துண்டம்
283,Stück::N,parça,துண்டம்
284,Teil::N,qisim,பகுதி
285,Hälfte::N,yarım,பாதி
286,Kreis::N,dairə,வட்டம்
287,Kreuz::N,xaç,சிலுவை
288,Linie::N,xətt,கோடு
289,Strich::N,cızıq,வாத நோய்
290,Abstand::N,məsafə,இடைவெளி
291,Entfernung::N,məsafə,தூரம்
292,Entfernung::N,uzaqlıq,தூரம்
293,Gegend::N,bölgə,வட்டாரம்
294,Platz::N,yer,வெற்றிடம்
295,Ort::N,yer,இடம்
296,Seite::N,yan,பக்கம்
297,Seite::N,tərəf,பக்கம்
298,Mitte::N,orta,இடைப்பகுதி
299,Gegenstand::N,şey,உருப்படி
300,Sache::N,şey,பொருள்
301,Rand::N,kənar,தொங்கு
302,Kante::N,tiyə,விளிம்பு
303,Kante::N,kənar,விளிம்பு
304,Ecke::N,bucaq,மூலை
305,Spitze::N,uc,முனை
306,Ende::N,son,முடிவு
307,Ende::N,axır,முடிவு
308,Loch::N,deşik,துளை
309,Winkel::N,guşə,கோணம்
310,Muster::N,ülgü,பாங்கு
311,Größe::N,böyüklük,அளவு
312,Länge::N,uzunluq,நீளம்
313,Höhe::N,yüksəklik,உயரம்
314,Gewicht::N,çəki,எடை
315,Gewicht::N,ağırlıq,எடை
316,Menge::N,miqdar,தொகை
317,Haufen::N,yığın,குவியல்
318,Reihe::N,səf,வரிசை
319,Reihe::N,sıra,வரிசை
320,Boot::N,qayıq,படகு
321,Ruder::N,kürək,துடுப்பு
322,Schlitten::N,kirşə,சகடையிலா வண்டி
323,Ski::N,xizək,பனிச் சறுக்கல்
324,Lagerfeuer::N,düşərgə tonqalı,மூட்டம்
325,Last::N,yük,பாரம்
326,Gang::N,yeriş,நடை
327,Schritt::N,addım,காலடி
328,Norden::N,şimal,வடக்கு
329,Süden::N,cənub,தெற்கு
330,Westen::N,qərb,மேற்கு திசை
331,Osten::N,şərq,கிழக்கு
332,Holz::N,ağac,மரக்கட்டை
333,Holz::N,taxta,மரக்கட்டை
334,Brett::N,taxta,பலகை
335,Platte::N,lövhə,பலகம்
336,Stütze::N,dayaq,அடைப்புகன்
337,Stütze::N,dəstək,அடைப்புகன்
338,Stange::N,şüvül,கம்பம்
339,Stock::N,dəyənək,குச்சி
340,Stab::N,əsa,கம்பு
341,Stab::N,şüvül,கம்பு
342,Rohr::N,boru,குழாய்
343,Rohr::N,truba,குழாய்
344,Haus::N,ev,வீடு
345,Heim::N,ev,வீடு
346,Ofen::N,peç,அடுப்பு
347,Ofen::N,soba,அடுப்பு
348,Fußboden::N,döşəmə,தரை
349,Tisch::N,masa,மேசை
350,Stuhl::N,stul,நாற்காலி
351,Wiege::N,beşik,தொட்டில்
352,Bett::N,yataq,படுக்கை
353,Regal::N,rəf,அலமாரி
354,Kiste::N,yeşik,பெட்டி
355,Kiste::N,sandıq,பெட்டி
356,Fenster::N,pəncərə,சாளரம்
357,Tür::N,qapı,கதவு
358,Tor::N,darvaza,வாசற்கதவு
359,Zaun::N,çəpər,வேலி
360,Dach::N,dam,கூரை
361,Leiter::N,nərdivan,ஏணி
362,Besen::N,süpürgə,விளக்குமாறு
363,Spaten::N,kürək,மண்வெட்டி
364,Schaufel::N,kürək,அடிதண்டா
365,Gabel::N,çəngəl,முட்கரண்டி
366,Löffel::N,qaşıq,கரண்டி
367,Messer::N,bıçaq,கத்தி
368,Nagel::N,mıx,ஆணி
369,Netz::N,tor,வலை
370,Haken::N,çəngəl,கொக்கி
371,Griff::N,qulp,கைப்பிடி
372,Griff::N,tutacaq,கைப்பிடி
373,Schloss::N,qıfıl,பூட்டு
374,Bild::N,rəsm,படம்
375,Figur::N,şəkil,எண்ணிக்கை
376,Figur::N,heykəl,எண்ணிக்கை
377,Puppe::N,kukla,பொம்மை
378,Puppe::N,gəlincik,பொம்மை
379,Beutel::N,kisə,பை
380,Beutel::N,torba,பை
381,Bündel::N,bağlama,பொதி
382,Tasche::N,çanta,பை
383,Eimer::N,vedrə,வாளி
384,Eimer::N,çəllək,வாளி
385,Deckel::N,qapaq,உறை
386,Geschirr::N,qab-qazan,பாத்திரம்
387,Sack::N,çuval,பை
388,Tasse::N,fincan,கிண்ணம்
389,Topf::N,qazan,பானை
