,Concept_ID,is,ku
0,Auge::N,auga,çav
1,Ohr::N,eyra,guh
2,Nase::N,nef,bêvil
3,Mund::N,munnur,dev
4,Zahn::N,tönn,didan
5,Zunge::N,tunga,ziman
6,Lippe::N,vör,lêv
7,Wange::N,kinn,dêm
8,Wange::N,kinn,hinarik
9,Wange::N,vangi,dêm
10,Wange::N,vangi,hinarik
11,Gesicht::N,andlit,rû
12,Stirn::N,enni,enî
13,Haar::N,hár,por
14,Schnurrbart::N,yfirskegg,simbêl
15,Bart::N,skegg,rih
16,Kinn::N,haka,zenî
17,Kiefer[Anatomie]::N,kjálki,arguşk
18,Kiefer[Anatomie]::N,skoltur,arguşk
19,Kehle::N,kverk,qirik
20,Hals::N,háls,stû
21,Hals::N,háls,qirik
22,Genick::N,hnakki,stû
23,Kopf::N,höfuð,serî
24,Rücken::N,hryggur,pişt
25,Bauch::N,kviður,ûr
26,Bauch::N,kviður,zik
27,Nabel::N,nafli,navik
28,Busen::N,barmur,sîng
29,Brust::N,brjóst,sîng
30,Schulter::N,öxl,mil
31,Arm::N,armur,çepil
32,Ellenbogen::N,olnbogi,enîşk
33,Hand::N,hönd,dest
34,Handfläche::N,lófi,kefadest
35,Finger::N,fingur,tilî
36,Fingernagel::N,fingurnögl,neynuk
37,Nagel[Anatomie]::N,nögl,bizmar
38,Zeh::N,tá,tilî linga
39,Fuß::N,fótur,ling
40,Ferse::N,hæll,pahnî
41,Knie::N,kné,kabok
42,Oberschenkel::N,læri,rahn
43,Bein::N,fótleggur,çip
44,Körper::N,búkur,laş
45,Körper::N,búkur,gowde
46,Körper::N,líkami,laş
47,Körper::N,líkami,gowde
48,Haut::N,húð,çerm
49,Haut::N,skinn,çerm
50,Blut::N,blóð,xwîn
51,Ader::N,æð,reh
52,Sehne::N,sin,reh
53,Knochen::N,bein,hestî
54,Gehirn::N,heili,mêjî
55,Herz::N,hjarta,dil
56,Magen::N,magi,navêş
57,Leber::N,lifur,kezeb
58,Atem::N,andi,hilm
59,Atem::N,andardráttur,hilm
60,Hunger::N,hungur,birçîtî
61,Träne::N,tár,hêstir
