,Concept_ID,kk,fa
0,Auge::N,көз,چشم
1,Ohr::N,құлақ,گوش
2,Nase::N,мұрын,بینی
3,Mund::N,ауыз,دهان
4,Zahn::N,тіс,دندان
5,Zunge::N,тіл,زبان
6,Lippe::N,ерін,لب
7,Wange::N,ұрт,لپ
8,Gesicht::N,бет-аузы,رو
9,Gesicht::N,бет-аузы,چهره
10,Stirn::N,маңдай,پیشانی
11,Haar::N,қыл,مو
12,Schnurrbart::N,мұрт,سبیل
13,Bart::N,сақал,ریش
14,Kinn::N,иек,چانه
15,Kiefer[Anatomie]::N,жақ,فک
16,Kiefer[Anatomie]::N,жақ,آرواره
17,Kehle::N,алқым,حلق
18,Hals::N,мойын,گردن
19,Genick::N,желке,پشت گردن
20,Kopf::N,кәллә,سر
21,Kopf::N,кәллә,کله
22,Rücken::N,арқа,پشت
23,Bauch::N,қарын,شکم
24,Nabel::N,кіндік,ناف
25,Busen::N,омырау,پستان
26,Brust::N,кеуде,سینه
27,Schulter::N,иық,دوش
28,Schulter::N,иық,شانه
29,Arm::N,қол,بازو
30,Ellenbogen::N,шынтақ,آرنج
31,Hand::N,қол,دست
32,Handfläche::N,алақан,کف دست
33,Finger::N,саусақ,انگشت
34,Fingernagel::N,тырнақ,ناخن دست
35,Nagel[Anatomie]::N,тырнақ,ناخن
36,Zeh::N,тырнақ,انگشت پا
37,Zeh::N,тұяқ,انگشت پا
38,Fuß::N,аяқ-басы,پا
39,Ferse::N,өкше,پاشنه
40,Ferse::N,өкшелік,پاشنه
41,Knie::N,тізе,زانو
42,Oberschenkel::N,жамбас,ران
43,Bein::N,аяқ,پا
44,Bein::N,аяқ,لنگ
45,Körper::N,дене,تن
46,Körper::N,дене,بدن
47,Haut::N,тері,پوست
48,Blut::N,қан,خون
49,Ader::N,көктамыр,رگ
50,Ader::N,күретамыр,رگ
51,Sehne::N,сіңір,زردپی
52,Knochen::N,жілік,استخوان
53,Gehirn::N,ми,مخ
54,Gehirn::N,ми,مغز
55,Herz::N,жүрек,دل
56,Herz::N,жүрек,قلب
57,Magen::N,асқазан,معده
58,Leber::N,бауыр,کبد
59,Atem::N,леп,نفس
60,Hunger::N,ашаршылық,گرسنگی
61,Träne::N,жас,اشک
62,Geschmack::N,дәм,مزه
63,Geschmack::N,татым,مزه
64,Geschmack::N,талғам,مزه
65,Geruch::N,иіс,بو
66,Schlaf::N,ұйқы,خواب
67,Schlaf::N,ұйықтау,خواب
68,Traum::N,түс,رؤیا
69,Himmel::N,аспан,فلک
70,Himmel::N,аспан,آسمان
71,Himmel::N,көқ,فلک
72,Himmel::N,көқ,آسمان
73,Himmel::N,таңдай,فلک
74,Himmel::N,таңдай,آسمان
75,Sonne::N,күн,آفتاب
76,Sonne::N,күн,خورشید
77,Mond::N,ай,ماه
78,Stern::N,жұлдыз,ستاره
79,Luft::N,әуе,هوا
80,Wind::N,жел,باد
81,Welle::N,толқын,موج
82,Wasser::N,су,آب
83,Stein::N,тас,سنگ
84,Boden::N,қыртыс,زمین
85,Erde::N,топырақ,خاک
86,Erde::N,топырақ,زمین
87,Staub::N,шаң,گرد
88,Staub::N,шаң,غبار
89,Rauch::N,түтін,دود
90,Funke::N,ұшқын,جرقه
91,Feuer::N,алау,آتش
92,Licht::N,шұғыла,نور
93,Licht::N,шұғыла,روشنی
94,Schatten::N,көлеңке,سایه
95,Wetter::N,ауа райы,هوا
96,Nebel::N,тұман,مه
97,Wolke::N,бұлт,ابر
98,Regen::N,жаңбыр,باران
99,Schnee::N,қар,برف
100,Eis::N,мұз,یخ
101,Frost::N,суық,یخبندان
102,Kälte::N,ызғар,سرما
103,Kälte::N,суықтық,سرما
104,Hitze::N,аптап,گرما
105,Hitze::N,аптап,حرارت
106,Raureif::N,қырау,برف ریزه
107,Regenbogen::N,кемпірқосақ,رنگین‌کمان
108,Donner::N,күн күркіреу,رعد
109,Strömung::N,ағын,جریان
110,Tropfen::N,тамшы,قطره
111,Schaum::N,көбік,کف
112,Schmutz::N,кір,گل
113,Schmutz::N,кір,کثافت
114,See::N,көл,دریاچه
115,Sumpf::N,саз,مرداب
116,Sumpf::N,саз,باتلاق
117,Moor::N,саз,باتلاق
118,Wiese::N,шалғын,چمن
119,Wald::N,орман,جنگل
120,Hügel::N,төбе,تل
121,Hügel::N,төбе,تپه
122,Hügel::N,белес,تل
123,Hügel::N,белес,تپه
124,Hügel::N,белес-белес,تل
125,Hügel::N,белес-белес,تپه
126,Anhöhe::N,дөң,بلندی
127,Anhöhe::N,адыр,بلندی
128,Anhöhe::N,қырат,بلندی
129,Berg::N,тау,کوه
130,Gipfel::N,төбе,قله
131,Höhle::N,үңгір,غار
132,Abhang::N,бауыр,سرازیری
133,Quelle::N,қайнар,چشمه
134,Bach::N,жылға,نهر
135,Fluss::N,өзен,رود
136,Ufer::N,жиек,ساحل
137,Ufer::N,жиек,کرانه
138,Küste::N,жиегі,ساحل
139,Küste::N,жағалау,ساحل
140,Festland::N,құрылық,خشکی
141,Meer::N,теңіз,دریا
142,Bucht::N,шығанақ,خلیج
143,Insel::N,арал,جزیره
144,Blume::N,гүл,گل
145,Gras::N,от,علف
146,Wurzel::N,түбір,ریشه
147,Baum::N,ағаш,درخت
148,Baum::N,дарақ,درخت
149,Stamm::N,сояу,تنه
150,Stamm::N,оқпан,تنه
151,Rinde::N,қабық,توژ
152,Rinde::N,қабық,پوست
153,Ast::N,бұтақ,شاخه
154,Zweig::N,шыбық,شاخه
155,Blatt::N,жапырақ,برگ
156,Birke::N,қайың,غان
157,Kiefer[Baum]::N,қарағай,کاج
158,Weide[Baum]::N,тал,بید
159,Tanne::N,шырша,صنوبر
160,Horn::N,мүйіз,شاخ
161,Feder::N,қаламұш,پر
162,Fell::N,тері,خز
163,Flügel::N,қанат,پر
164,Flügel::N,қанат,بال
165,Klaue::N,тырнақ,چنگ
166,Klaue::N,тырнақ,پنجه
167,Kralle::N,аяқ,پنجه
168,Schwanz::N,құйрық,دم
169,Ei::N,жұмыртқа,تخم
170,Nest::N,ұя,لانه
171,Bau::N,жатақ,بنا
172,Bau::N,жатақ,ساختمان
173,Tier::N,айуан,هیوان
174,Tier::N,жануар,هیوان
175,Herde::N,пада,رمه
176,Kuh::N,сиыр,گاو
177,Bulle::N,өгіз,گاو نر
178,Pferd::N,жылқы,اسب
179,Schaf::N,қой,گوسفند
180,Schwein::N,шошқа,خوک
181,Hund::N,ит,سگ
182,Katze::N,мысық,گربه
183,Bär::N,аю,خرس
184,Eichhörnchen::N,тиін,سنجاب
185,Elch::N,бұғы,گوزن شمالی
186,Fuchs::N,түлкі,روباه
187,Hase::N,қоян,خرگوش
188,Maus::N,қаптесер,موش
189,Wolf::N,бөрі,گرگ
190,Wolf::N,қасқыр,گرگ
191,Vogel::N,құс,پرنده
192,Schwarm::N,топ,دسته
193,Schwarm::N,үйір,دسته
194,Huhn::N,тауық,مرغ
195,Huhn::N,мекиен,مرغ
196,Hahn::N,әтеш,خروس
197,Hahn::N,қораз,خروس
198,Gans::N,қаз,غاز
199,Adler::N,бүркіт,عقاب
200,Ente::N,үйрек,اردک
201,Ente::N,үйрек,مرغابی
202,Eule::N,жапалақ,جغد
203,Kranich::N,тырна,درنا
204,Krähe::N,қарға,زاغ
205,Krähe::N,қарға,کلاغ
206,Kuckuck::N,көкек,فاخته
207,Schwan::N,аққу,قو
208,Fisch::N,балық,ماهی
209,Barsch::N,алабұға,ماهی خاردار
210,Hecht::N,шортан,اردک ماهی
211,Schlange[Tier]::N,жылан,مار
212,Wurm::N,шұбалшаң,کرم
213,Spinne::N,өрмекші,عنکبوت
214,Ameise::N,қүмырска,مورچه
215,Laus::N,бит,شپش
216,Mücke::N,маса,پشه
217,Fliege::N,шыбын,مگس
218,Schmetterling::N,көбелек,پروانه
219,Beere::N,жидек,گیله
220,Apfel::N,алма,سیب
221,Pilz::N,қозықұйрық,قارچ
222,Pilz::N,саңыраукулақ,قارچ
223,Zwiebel::N,жуа,پیاز
224,Saat::N,тұқым,بذر
225,Korn::N,дән,تخم
226,Korn::N,дән,دانه
227,Heu::N,шөп,علف خشک
228,Schale::N,қабық,پوست
229,Schale::N,қабығы,پوست
230,Grube::N,ор,گودال
231,Falle::N,дұзақ,دام
232,Falle::N,қақпан,دام
233,Schlinge::N,ілмек,حلقه
234,Spur::N,із,رد
235,Asche::N,күл,خاکستر
236,Dreck::N,былғаныш,کثافت
237,Eisen::N,темір,آهن
238,Gold::N,алтын,زر
239,Gold::N,алтын,طلا
240,Silber::N,күміс,نقره
241,Kohle::N,көмір,زغال
242,Glas::N,шыны,شیشه
243,Lehm::N,балшық,گل
244,Sand::N,құм,شن
245,Sand::N,құм,ماسه
246,Mensch::N,адам,آدم
247,Mensch::N,адам,انسان
248,Mann::N,еркек,مرد
249,Mann::N,ер адам,مرد
250,Frau::N,бике,زن
251,Frau::N,қатын,زن
252,Kind::N,бала,بچه
253,Kind::N,бала,کودک
254,Kind::N,перзент,بچه
255,Kind::N,перзент,کودک
256,Junge::N,бала,پسر
257,Junge::N,ер бала,پسر
258,Mädchen::N,қыз,دختر
259,Familie::N,жанұя,فامیل
260,Familie::N,жанұя,خانواده
261,Großvater::N,ата,پدربزرگ
262,Großmutter::N,әже,مادر‌بزرگ
263,Großmutter::N,әжей,مادر‌بزرگ
264,Eltern::N,ата-аналар,والدین
265,Eltern::N,ата-аналар,پدر‌و‌مادر
266,Vater::N,әке,پدر
267,Mutter::N,ана,مادر
268,Sohn::N,ұл,پسر
269,Tochter::N,қызым,دختر
270,Bruder::N,бауырым,برادر
271,Schwester::N,әпке,خواهر
272,Onkel::N,көке,عمو
273,Onkel::N,көке,دایی
274,Tante::N,тәте,عمه
275,Tante::N,тәте,خاله
276,Ehemann::N,ер,همسر
277,Ehefrau::N,зайып,همسر
278,Freude::N,қуаныш,شادی
279,Freude::N,сүйініш,شادی
280,Freude::N,шат-думан,شادی
281,Freude::N,қуаныштылық,شادی
282,Gelächter::N,күлу,خنده
283,Gelächter::N,күлу,قاه‌قاه
284,Glück::N,бақыт,اقبال
285,Glück::N,бақыттылық,اقبال
286,Kummer::N,аза,غم
287,Kummer::N,аза,غصه
288,Kummer::N,қайғы,غم
289,Kummer::N,қайғы,غصه
290,Kummer::N,қасырет,غم
291,Kummer::N,қасырет,غصه
292,Wunsch::N,мүдде,آرزو
293,Lust::N,тәбет,هوس
294,Lust::N,ынтызар,هوس
295,Lust::N,құштарлық,هوس
296,Geist::N,рух,روح
297,Gedanke::N,ой,فکر
