,Concept_ID,es,ga
0,Auge::N,ojo,súil
1,Ohr::N,oreja,cluas
2,Nase::N,nariz,soc
3,Mund::N,boca,béal
4,Zahn::N,diente,fiacail
5,Zunge::N,lengua,teanga
6,Lippe::N,labio,liopa
7,Wange::N,mejilla,grua
8,Wange::N,mejilla,leiceann
9,Gesicht::N,cara,éadan
10,Gesicht::N,cara,aghaidh
11,Stirn::N,frente,baithis
12,Stirn::N,frente,clár éadain
13,Haar::N,cabello,gruaig
14,Schnurrbart::N,bigote,croiméal
15,Bart::N,barba,féasóg
16,Kinn::N,barbilla,smig
17,Kiefer[Anatomie]::N,mandíbula,giall
18,Kehle::N,garganta,scornach
19,Hals::N,cuello,muinéal
20,Genick::N,nuca,baic
21,Genick::N,cerviz,baic
22,Kopf::N,cabeza,ceann
23,Rücken::N,espalda,droim
24,Bauch::N,vientre,bolg
25,Nabel::N,ombligo,imleacán
26,Busen::N,pecho,cíoch
27,Brust::N,pecho,brollach
28,Schulter::N,hombro,gualainn
29,Arm::N,brazo,lámh
30,Ellenbogen::N,codo,uillinn
31,Hand::N,mano,lámh
32,Handfläche::N,palma,bos
33,Finger::N,dedo,méar
34,Fingernagel::N,uña,ionga
35,Nagel[Anatomie]::N,uña,ionga
36,Zeh::N,dedo del pie,ladhar
37,Fuß::N,pie,cos
38,Fuß::N,pie,troigh
39,Ferse::N,talón,sáil
40,Knie::N,rodilla,glúin
41,Oberschenkel::N,muslo,ceathrú
42,Bein::N,pierna,cos
43,Körper::N,cuerpo,corp
44,Körper::N,cuerpo,colainn
45,Haut::N,piel,cneas
46,Haut::N,piel,craiceann
47,Blut::N,sangre,fuil
48,Ader::N,vena,
49,Sehne::N,tendón,teannán
50,Sehne::N,tendón,féitheog
51,Knochen::N,hueso,cnámh
52,Gehirn::N,cerebro,inchinn
53,Gehirn::N,encéfalo,inchinn
54,Herz::N,corazón,croí
55,Magen::N,estómago,bolg
56,Magen::N,estómago,goile
57,Leber::N,hígado,ae
58,Atem::N,aliento,anáil
59,Hunger::N,hambre,ocras
60,Träne::N,lágrima,deoir
61,Geschmack::N,gusto,blas
62,Geruch::N,olor,boladh
63,Schlaf::N,sueño,suan
64,Schlaf::N,sueño,codladh
65,Traum::N,sueño,taibhreamh
66,Traum::N,ensueño,taibhreamh
67,Himmel::N,cielo,spéir
68,Sonne::N,sol,grian
69,Mond::N,luna,ré
70,Mond::N,luna,gealach
71,Stern::N,estrella,rinn
72,Stern::N,estrella,réalta
73,Luft::N,aire,aer
74,Wind::N,viento,gaoth
75,Welle::N,ola,tonn
76,Welle::N,onda,tonn
77,Wasser::N,agua,uisce
78,Stein::N,piedra,cloch
79,Boden::N,suelo,talamh
80,Erde::N,tierra,cré
81,Erde::N,tierra,ithir
82,Staub::N,polvo,dusta
83,Staub::N,polvo,deannach
84,Rauch::N,humo,toit
85,Rauch::N,humo,deatach
86,Funke::N,chispa,drithle
87,Feuer::N,fuego,tine
88,Licht::N,luz,solas
89,Schatten::N,sombra,scáth
90,Wetter::N,tiempo,aimsir
91,Nebel::N,niebla,ceo
92,Wolke::N,nube,néal
93,Wolke::N,nube,scamall
94,Regen::N,lluvia,báisteach
95,Regen::N,lluvia,fearthainn
96,Schnee::N,nieve,sneachta
97,Eis::N,hielo,oighear
98,Frost::N,helada,sioc
99,Kälte::N,frío,fuacht
100,Hitze::N,calor,teas
101,Hitze::N,calor,teocht
102,Raureif::N,escarcha,sioc bán
103,Regenbogen::N,arco iris,stua ceatha
104,Regenbogen::N,arco iris,bogha báistí
105,Donner::N,trueno,toirneach
106,Strömung::N,corriente,sruth
107,Tropfen::N,gota,deoir
108,Schaum::N,espuma,cúr
109,Schmutz::N,suciedad,salachar
110,See::N,lago,loch
111,Sumpf::N,pantano,portach
112,Moor::N,turbera,caorán
113,Moor::N,turbera,móinteán
114,Wiese::N,prado,cluain
115,Wiese::N,prado,móinéar
116,Wiese::N,pradera,cluain
117,Wiese::N,pradera,móinéar
118,Wald::N,bosque,coill
119,Wald::N,bosque,foraois
120,Hügel::N,colina,ard
121,Anhöhe::N,cerro,ard
122,Anhöhe::N,cerro,ardán
123,Berg::N,monte,sliabh
124,Berg::N,montaña,sliabh
125,Gipfel::N,cima,barr
126,Gipfel::N,cima,mullach
127,Gipfel::N,cumbre,barr
128,Gipfel::N,cumbre,mullach
129,Höhle::N,cueva,uaimh
130,Höhle::N,cueva,pluais
131,Höhle::N,caverna,uaimh
132,Höhle::N,caverna,pluais
133,Abhang::N,cuesta,fána
134,Abhang::N,declive,fána
135,Quelle::N,fuente,foinse
136,Quelle::N,manantial,foinse
137,Bach::N,arroyo,sruthán
138,Fluss::N,río,abhainn
139,Ufer::N,orilla,bruach
140,Küste::N,costa,cósta
141,Küste::N,costa,cladach
142,Festland::N,tierra firme,míntír
143,Meer::N,mar,muir
144,Meer::N,mar,farraige
145,Bucht::N,cala,bá
146,Bucht::N,cala,cuan
147,Bucht::N,bahía,bá
148,Bucht::N,bahía,cuan
149,Insel::N,isla,inis
150,Insel::N,isla,oileán
151,Blume::N,flor,bláth
152,Gras::N,hierba,féar
153,Wurzel::N,raíz,rúta
154,Wurzel::N,raíz,fréamh
155,Baum::N,árbol,crann
156,Stamm::N,tronco,stoc
157,Stamm::N,tronco,tamhan
158,Rinde::N,corteza,coirt
159,Rinde::N,corteza,craiceann
160,Ast::N,rama,géag
161,Zweig::N,ramo,géag
162,Zweig::N,ramo,craobh
163,Blatt::N,hoja,duille
164,Blatt::N,hoja,duilleog
165,Birke::N,abedul,beith
166,Birke::N,abedul,crann beithe
167,Kiefer[Baum]::N,pino,péine
168,Weide[Baum]::N,sauce,saileach
169,Tanne::N,abeto,giúis
170,Horn::N,asta,adharc
171,Horn::N,cuerno,adharc
172,Feder::N,pluma,cleite
173,Fell::N,piel,clúmh
174,Flügel::N,ala,eite
175,Flügel::N,ala,sciathán
176,Klaue::N,garra,crúb
177,Klaue::N,garra,crobh
178,Kralle::N,uña,crobh
179,Kralle::N,garra,crobh
180,Schwanz::N,cola,eireaball
181,Ei::N,huevo,ubh
182,Nest::N,nido,nead
183,Bau::N,madriguera,brocais
184,Tier::N,animal,ainmhí
185,Tier::N,animal,beithíoch
186,Herde::N,rebaño,tréad
187,Kuh::N,vaca,bó
188,Bulle::N,toro,tarbh
189,Pferd::N,caballo,each
190,Pferd::N,caballo,capall
191,Schaf::N,oveja,caora
192,Schwein::N,cerdo,muc
193,Hund::N,perro,madra
194,Katze::N,gato,cat
195,Bär::N,oso,béar
196,Eichhörnchen::N,ardilla,iora
197,Elch::N,alce,eilc
198,Fuchs::N,zorro,sionnach
199,Fuchs::N,zorro,madra rua
200,Hase::N,liebre,giorria
201,Maus::N,ratón,luch
202,Wolf::N,lobo,mac tíre
203,Vogel::N,ave,éan
204,Vogel::N,pájaro,éan
205,Schwarm::N,bandada,saithe
206,Huhn::N,gallina,cearc
207,Hahn::N,gallo,coileach
208,Gans::N,oca,gé
209,Gans::N,ganso,gé
210,Adler::N,águila,iolar
211,Ente::N,pato,lacha
212,Eule::N,lechuza,ulchabhán
213,Kranich::N,grulla,grús
214,Krähe::N,corneja,caróg
215,Krähe::N,corneja,préachán
216,Kuckuck::N,cuco,cuach
217,Schwan::N,cisne,eala
218,Fisch::N,pez,iasc
219,Barsch::N,perca,péirse
220,Hecht::N,lucio,liús
221,Schlange[Tier]::N,serpiente,nathair
222,Wurm::N,gusano,péist
223,Spinne::N,araña,damhán alla
224,Ameise::N,hormiga,seangán
225,Laus::N,piojo,míol
