,Concept_ID,it,sah
0,Auge::N,occhio,харах
1,Ohr::N,orecchio,кулгаах
2,Nase::N,naso,мурун
3,Mund::N,bocca,айах
4,Zahn::N,dente,тиис
5,Zunge::N,lingua,тыл
6,Lippe::N,labbro,уос
7,Wange::N,guancia,иэдэс
8,Gesicht::N,viso,сирэй
9,Gesicht::N,faccia,сирэй
10,Stirn::N,fronte,сүүс
11,Haar::N,capello,баттах
12,Schnurrbart::N,baffi,уос бытыга
13,Schnurrbart::N,mustacchi,уос бытыга
14,Bart::N,barba,сэҥийэ бытыга
15,Kinn::N,mento,сэҥийэ
16,Kiefer[Anatomie]::N,mascella,сыҥаах
17,Kehle::N,gola,тамах
18,Kehle::N,gola,күөмэй
19,Hals::N,collo,моой
20,Genick::N,nuca,кэтэх
21,Kopf::N,capo,бас
22,Kopf::N,testa,бас
23,Rücken::N,dorso,көҕүс
24,Rücken::N,schiena,көҕүс
25,Bauch::N,ventre,ис
26,Nabel::N,ombelico,киин
27,Busen::N,seno,эмиий
28,Brust::N,petto,түөс
29,Schulter::N,spalla,сарын
30,Arm::N,braccio,илии
31,Ellenbogen::N,gomito,тоҕонох
32,Hand::N,mano,илии
33,Handfläche::N,palma,ытыс
34,Finger::N,dito,тарбах
35,Fingernagel::N,unghia,тыҥырах
36,Nagel[Anatomie]::N,unghia,тыҥырах
37,Zeh::N,dito del piede,тарбах
38,Fuß::N,piede,уллуҥах
39,Ferse::N,tallone,тилэх
40,Ferse::N,calcagno,тилэх
41,Knie::N,ginocchio,тобук
42,Knie::N,ginocchio,дьилбэк
43,Oberschenkel::N,fèmore,уллук
44,Oberschenkel::N,fèmore,өттүк
45,Bein::N,gamba,атах
46,Körper::N,corpo,бэйэ
47,Haut::N,pelle,тирии
48,Blut::N,sangue,хаан
49,Ader::N,vena,вена
50,Ader::N,vena,күөх_тымыр
51,Sehne::N,tèndine,иҥиир
52,Knochen::N,osso,уҥуох
53,Knochen::N,osso,уҥгуох
54,Gehirn::N,cervello,мэйии
55,Herz::N,cuore,сүрэх
56,Magen::N,stòmaco,куртах
57,Leber::N,fegato,быар
58,Atem::N,fiato,тыын
59,Atem::N,respiro,тыын
60,Hunger::N,fame,аас
61,Träne::N,làcrima,харах уута
62,Geschmack::N,gusto,амтан
63,Geschmack::N,sapore,амтан
64,Geruch::N,odore,сыт
65,Schlaf::N,sonno,утуйуу
66,Traum::N,sogno,түүл
67,Himmel::N,cielo,халлаан
68,Sonne::N,sole,күн
69,Mond::N,luna,ый
70,Stern::N,stella,сулус
71,Luft::N,aria,салгын
72,Wind::N,vento,тыал
73,Welle::N,onda,долгун
74,Welle::N,onda,балхаан
75,Wasser::N,acqua,уу
76,Stein::N,sasso,таас
77,Stein::N,pietra,таас
78,Boden::N,suolo,сир
79,Boden::N,terreno,сир
80,Erde::N,terra,буор
81,Staub::N,polvere,быыл
82,Rauch::N,fumo,буруо
83,Funke::N,scintilla,кыым
84,Feuer::N,fuoco,уот
85,Licht::N,luce,уот
86,Schatten::N,ombra,күлүк
87,Wetter::N,tempo,күн-дьыл
88,Nebel::N,nebbia,туман
89,Wolke::N,nube,былыт
90,Wolke::N,nùvola,былыт
