,Concept_ID,is,lbe
0,Auge::N,auga,я
1,Ohr::N,eyra,вичӏи
2,Nase::N,nef,май
3,Mund::N,munnur,кьацӏ
4,Zahn::N,tönn,ккарччи
5,Zunge::N,tunga,маз
6,Lippe::N,vör,мурччи
7,Wange::N,kinn,чӏав
8,Wange::N,vangi,чӏав
9,Gesicht::N,andlit,лажин
10,Stirn::N,enni,ненттабакӏ
11,Haar::N,hár,чӏара
12,Schnurrbart::N,yfirskegg,ссирссилтту
13,Bart::N,skegg,чӏири
14,Kinn::N,haka,лунттубакӏ
15,Kiefer[Anatomie]::N,kjálki,ххинчулул
16,Kiefer[Anatomie]::N,skoltur,ххинчулул
17,Kehle::N,kverk,кьакьари
18,Hals::N,háls,ссурссу
19,Genick::N,hnakki,махъабакӏ
20,Kopf::N,höfuð,бакӏ
21,Rücken::N,hryggur,ттиликӏ
22,Bauch::N,kviður,лякьа
23,Nabel::N,nafli,цӏумуккутӏ
24,Busen::N,barmur,ккукку
25,Brust::N,brjóst,хъазам
26,Schulter::N,öxl,хъачӏ
27,Arm::N,armur,ка
28,Ellenbogen::N,olnbogi,ссюрхъ
29,Hand::N,hönd,бартка
30,Handfläche::N,lófi,хъат
31,Handfläche::N,lófi,битӏянхъ
32,Finger::N,fingur,кӏисса
33,Fingernagel::N,fingurnögl,михь
34,Nagel[Anatomie]::N,nögl,михь
35,Zeh::N,tá,кӏисса
36,Fuß::N,fótur,чӏанччан
37,Ferse::N,hæll,никъа
38,Knie::N,kné,ник
39,Oberschenkel::N,læri,жира
40,Bein::N,fótleggur,ччан
41,Körper::N,búkur,чурх
42,Körper::N,líkami,чурх
43,Haut::N,húð,бурчу
44,Haut::N,skinn,бурчу
45,Blut::N,blóð,оь
46,Ader::N,æð,тунну
47,Sehne::N,sin,хьхьа
48,Knochen::N,bein,ттаркӏ
49,Gehirn::N,heili,ня
50,Herz::N,hjarta,дакӏ
51,Herz::N,hjarta,къюкӏ
52,Magen::N,magi,лякьа
53,Leber::N,lifur,
54,Atem::N,andi,ссихӏ ласаву
55,Atem::N,andi,ссихӏ бигьаву
56,Atem::N,andardráttur,ссихӏ ласаву
57,Atem::N,andardráttur,ссихӏ бигьаву
58,Hunger::N,hungur,ккаши
59,Träne::N,tár,макь
60,Geschmack::N,smekkur,тӏин
61,Geschmack::N,smekkur,тӏааьн
62,Geruch::N,lykt,кьанкь
63,Schlaf::N,svefn,шану
64,Traum::N,draumur,макӏру
65,Himmel::N,himinn,ссав
66,Sonne::N,sól,баргъ
67,Mond::N,tungl,барз
68,Stern::N,stjarna,цӏуку
69,Luft::N,loft,гьава
70,Wind::N,vindur,марч
71,Welle::N,alda,щатӏи
72,Welle::N,bylgja,щатӏи
73,Wasser::N,vatn,щин
74,Stein::N,steinn,чару
75,Boden::N,botn,аьрщи
76,Erde::N,jörð,аьрщи
77,Staub::N,ryk,ххит
78,Staub::N,duft,ххит
79,Rauch::N,reykur,пуркӏу
80,Funke::N,neisti,пиягь
81,Feuer::N,eldur,цӏу
82,Licht::N,ljós,чани
83,Schatten::N,skuggi,ххют
84,Wetter::N,veður,гьава
85,Nebel::N,þoka,шархь ттурлу
86,Wolke::N,ský,ттурлу
87,Regen::N,regn,гъарал
88,Schnee::N,snjór,марххала
89,Eis::N,ís,микӏ
90,Frost::N,frost,дяркъу
91,Frost::N,frost,замгьар
92,Kälte::N,kuldi,дяркъу
93,Hitze::N,hiti,кӏиришиву
94,Raureif::N,hrím,сил
95,Raureif::N,hrím,бурса
96,Regenbogen::N,regnbogi,ссурул ккуртта
97,Donner::N,þruma,къув
98,Strömung::N,straumur,экьинанаву
99,Tropfen::N,dropi,кӏунтӏ
100,Schaum::N,froða,хьама
101,Schmutz::N,óhreinindi,кьяркьи
102,See::N,stöðuvatn,бяр
103,Sumpf::N,fen,кунцӏа
104,Moor::N,mýri,
105,Wiese::N,engi,кьан
106,Wald::N,skógur,вацӏа
107,Hügel::N,hæð,бакӏу
108,Hügel::N,hóll,бакӏу
109,Anhöhe::N,hæð,
110,Anhöhe::N,hóll,
111,Berg::N,fell,зунтту
112,Berg::N,fjall,зунтту
113,Gipfel::N,tindur,мицӏ
114,Höhle::N,hellir,нух
115,Abhang::N,hlíð,сун
116,Abhang::N,brekka,сун
117,Quelle::N,lind,дайдихьу
118,Quelle::N,lind,бакӏ
119,Quelle::N,uppspretta,дайдихьу
120,Quelle::N,uppspretta,бакӏ
121,Bach::N,lækur,чӏрир нех
122,Fluss::N,á,нех
123,Fluss::N,fljót,нех
124,Ufer::N,árbakki,зума
125,Ufer::N,sjávarbakki,зума
126,Küste::N,strönd,зумаинхалу
127,Küste::N,strönd,зуманицӏалу
128,Festland::N,meginland,кьири
129,Meer::N,haf,хьхьири
130,Meer::N,sjór,хьхьири
131,Bucht::N,vík,
132,Insel::N,eyja,жазира
133,Blume::N,blóm,тӏутӏи
134,Gras::N,gras,уртту
135,Wurzel::N,rót,мархха
136,Baum::N,tré,мурхь
137,Stamm::N,stofn,ттарцӏ
138,Rinde::N,börkur,ккамара
139,Ast::N,grein,матӏи
140,Zweig::N,angi,къяртта
141,Zweig::N,kvistur,къяртта
142,Blatt::N,blað,чӏапӏи
143,Birke::N,birki,кӏялахӏи
144,Birke::N,birki,кӏялахӏилул мурхь
145,Kiefer[Baum]::N,fura,ттар
146,Kiefer[Baum]::N,fura,ттарлил мурхь
147,Weide[Baum]::N,víðir,щавщи
148,Tanne::N,greni,ттарлил мурхь
149,Horn::N,horn,хъи
150,Feder::N,fjöður,лелуххул тӏиму
151,Fell::N,skinn,бурчу
152,Flügel::N,vængur,хъа
153,Flügel::N,vængur,ххурупӏайрал тӏиму
154,Klaue::N,kló,михь
155,Kralle::N,kló,ххяппа
156,Schwanz::N,rófa,магъ
157,Schwanz::N,skott,магъ
158,Ei::N,egg,ккунук
159,Nest::N,hreiður,кюру
160,Bau::N,greni,цукъуккутӏ
161,Bau::N,bæli,цукъуккутӏ
162,Tier::N,dýr,хӏайван
163,Herde::N,hjörð,газу
164,Kuh::N,kýr,оьл
165,Bulle::N,boli,ниц
166,Pferd::N,hestur,чу
167,Schaf::N,kind,тта
168,Schwein::N,svín,дунгъуз
169,Hund::N,hundur,ккаччи
170,Katze::N,köttur,ччиту
171,Bär::N,björn,цуша
172,Eichhörnchen::N,íkorni,бюрхттукку
173,Elch::N,elgur,ниц-бюрин
174,Fuchs::N,refur,цулчӏа
175,Fuchs::N,refur,куча цулчӏа
176,Hase::N,héri,бюрх
177,Maus::N,mús,кӏулу
178,Wolf::N,úlfur,барцӏ
179,Vogel::N,fugl,лелуххи
180,Schwarm::N,sægur,гьухъала
181,Huhn::N,hæna,аьнакӏи
182,Hahn::N,hani,ажари
183,Gans::N,gæs,къаз
184,Adler::N,örn,барзу
185,Ente::N,önd,урдак
186,Eule::N,uggla,ису
187,Eule::N,uggla,ччиккумяв
188,Kranich::N,trana,кьурукь
189,Krähe::N,kráka,хъатӏу
190,Kuckuck::N,gaukur,ччикку
191,Schwan::N,svanur,урттил къаз
192,Fisch::N,fiskur,чавахъ
193,Barsch::N,aborri,
194,Hecht::N,gedda,
195,Schlange[Tier]::N,naðra,шатта
196,Wurm::N,ormur,кьюнукьай шатта
197,Spinne::N,kónguló,ххялцу
198,Ameise::N,maur,митӏикьукьу
199,Laus::N,lús,
200,Mücke::N,mý,мичӏак
201,Mücke::N,mýfluga,мичӏак
202,Fliege::N,fluga,зимиз
203,Schmetterling::N,fiðrildi,чӏимучӏали
204,Beere::N,ber,хӏаллил ахъулсса
205,Apfel::N,epli,гьивч
206,Pilz::N,sveppur,ттуккул иис
207,Zwiebel::N,laukur,лаччул чсмусул бакӏ
208,Saat::N,fræ,гьанна
209,Saat::N,útsæði,гьанна
210,Korn::N,korn,къама
211,Heu::N,hey,ххулув
212,Schale::N,hýði,ккиртту
213,Grube::N,gryfja,кӏаланг
214,Falle::N,gildra,къатӏа
215,Schlinge::N,snara,хӏатӏ
216,Spur::N,spor,ша
217,Asche::N,aska,лах
218,Dreck::N,óþverri,кьяркьи
219,Dreck::N,óþverri,венп
220,Eisen::N,járn,мах
221,Gold::N,gull,муси
222,Silber::N,silfur,арцу
223,Kohle::N,kol,кӏалаш
224,Kohle::N,kol,хъуручӏ
225,Glas::N,gler,пюрун
226,Lehm::N,leir,сина аьрщи
227,Sand::N,sandur,къун
228,Mensch::N,maður,инсан
229,Mensch::N,manneskja,инсан
230,Mann::N,maður,чув
231,Mann::N,maður,адимина
232,Mann::N,karlmaður,чув
233,Mann::N,karlmaður,адимина
234,Frau::N,kona,щарсса
235,Frau::N,kona,хъамитайпа
236,Kind::N,barn,чӏиви оьрчӏ
237,Kind::N,krakki,чӏиви оьрчӏ
238,Junge::N,drengur,оьрчӏ
239,Junge::N,drengur,бурхьин оьрчӏ
240,Mädchen::N,stelpa,душ
241,Familie::N,fjölskylda,кулпат
242,Großvater::N,afi,ттатта
243,Großvater::N,afi,ниттил ппу
244,Großmutter::N,amma,буттал нину
245,Eltern::N,foreldrar,нину-ппу
246,Vater::N,faðir,ппу
247,Mutter::N,móðir,нину
248,Sohn::N,sonur,арс
249,Tochter::N,dóttir,душ
250,Bruder::N,bróðir,уссу
251,Schwester::N,systir,ссу
252,Onkel::N,föðurbróðir,буттауссу
253,Tante::N,frænka,буттал ссу
254,Tante::N,móðursystir,буттал ссу
255,Ehemann::N,eiginmaður,лас
256,Ehefrau::N,eiginkona,щар
257,Ehefrau::N,eiginkona,щарсса
258,Freude::N,gleði,шадшиву
259,Freude::N,gleði,ххаришиву
260,Gelächter::N,hlátur,хъяхъаву
261,Glück::N,gæfa,талихӏ
262,Kummer::N,sorg,дард
263,Wunsch::N,ósk,мурад
264,Lust::N,fýsn,гьавас
265,Lust::N,fýsn,ччаву
266,Lust::N,löngun,гьавас
267,Lust::N,löngun,ччаву
268,Geist::N,andi,рухӏ
269,Gedanke::N,hugsun,пикри
270,Gedächtnis::N,minni,дакӏний личӏаву
271,Verstand::N,vit,аькьлу
272,Sinn::N,merking,мяъна
273,Grund::N,ástæða,багьана
274,Wahrheit::N,sannleikur,тӏайламур
275,Wahrheit::N,sannleikur,хӏакьмур
276,Gespräch::N,samtal,ихтилат
277,Märchen::N,ævintýri,магьа
278,Erzählung::N,saga,хавар
279,Nachricht::N,frétt,хавар
280,Neuigkeit::N,frétt,хавар
281,Name::N,nafn,цӏа
282,Rätsel::N,gáta,ссигьа
283,Rede::N,ræða,гъалгъа
284,Sprache::N,mál,маз
285,Sprache::N,tungumál,маз
286,Stimme::N,rödd,чӏу
287,Stimme::N,rödd,чӏукӏа
288,Wort::N,orð,махъ
289,Zeichen::N,tákn,лишан
290,Zeichen::N,merki,лишан
291,Ruf::N,kall,
292,Lärm::N,hávaði,чӏу
293,Laut::N,hljóð,чӏу
294,Ton::N,tónn,чӏу
295,Lied::N,ljóð,балай
296,Lied::N,söngur,балай
297,Ruhe::N,ró,дигьалагру
298,Ruhe::N,kyrrð,дигьалагру
299,Leute::N,fólk,инсантал
300,Volk::N,þjóð,ил
301,Volk::N,þjóð,халкь
302,Arbeit::N,vinna,заву
303,Gast::N,gestur,хъамаличу
304,Geschenk::N,gjöf,бухчакарши
305,Geschenk::N,gjöf,лажинккакку
306,Spiel::N,leikur,тӏуркӏу
307,Gesellschaft::N,selskapur,жямат
308,Gesellschaft::N,selskapur,ккуран
309,Hilfe::N,hjálp,кумаг
310,Freund::N,vinur,дус
311,Kamerad::N,félagi,хӏаласу
312,Angelegenheit::N,mál,иш
313,Angelegenheit::N,málefni,иш
314,Anzahl::N,tala,аьдад
315,Anzahl::N,fjöldi,аьдад
316,Art::N,tegund,жинс
317,Stück::N,biti,касак
318,Stück::N,stykki,касак
319,Teil::N,hluti,бутӏа
320,Teil::N,partur,бутӏа
321,Hälfte::N,helmingur,дачӏи
322,Kreis::N,hringur,кюрщан
323,Kreuz::N,kross,ххач
324,Kreuz::N,krossmark,ххач
325,Linie::N,lína,щва
326,Strich::N,strik,щва
327,Abstand::N,millibil,манзил
328,Entfernung::N,fjarlægð,манзил
329,Gegend::N,hérað,кӏану
330,Platz::N,pláss,
331,Ort::N,staður,кӏану
332,Seite::N,hlið,чул
333,Seite::N,hlið,чулухалу
334,Mitte::N,miðja,дя
335,Gegenstand::N,hlutur,зат
336,Sache::N,mál,зат
337,Rand::N,brún,зума
338,Kante::N,rönd,
339,Ecke::N,horn,мурцӏу
340,Spitze::N,oddur,мицӏ
341,Ende::N,endi,зума
342,Loch::N,gat,ккутӏ
343,Loch::N,hola,ккутӏ
344,Winkel::N,skot,мурцӏу
345,Winkel::N,krókur,мурцӏу
346,Muster::N,munstur,накьич
347,Größe::N,stærð,
348,Länge::N,lengd,лахъишиву
349,Höhe::N,hæð,лахъшиву
350,Gewicht::N,vigt,дуццин
351,Gewicht::N,vigt,кӏушиву
352,Gewicht::N,þyngd,дуццин
353,Gewicht::N,þyngd,кӏушиву
354,Menge::N,magn,
355,Haufen::N,hrúga,бакӏу
356,Haufen::N,haugur,бакӏу
357,Reihe::N,röð,кьюкьа
358,Boot::N,bátur,луткка
359,Ruder::N,ár,весло
360,Ruder::N,ár,чӏатӏа
361,Schlitten::N,sleði,чана
362,Schlitten::N,sleði,санкка
363,Ski::N,skíði,лижарду
364,Lagerfeuer::N,varðeldur,къавтӏн
365,Last::N,byrði,гьиву
366,Last::N,farmur,гьиву
367,Gang::N,ganga,нанаву
368,Schritt::N,skref,ша
369,Norden::N,norður,ухссав
370,Norden::N,norður,ухссавнил чулухалу
371,Süden::N,suður,кьилва
372,Westen::N,vestur,баргълагавал
373,Westen::N,vestur,баргълагавал чул
374,Osten::N,austur,баргъбуккай чулухалу
375,Holz::N,viður,тӏама
376,Brett::N,fjöl,тахта
377,Platte::N,flötur,гъуни
378,Stütze::N,stoð,гьалакӏу
379,Stange::N,stöng,къазихъ
380,Stock::N,prik,ттархь
381,Stock::N,stafur,ттархь
382,Stab::N,prik,ччантӏакъу
383,Stab::N,stafur,ччантӏакъу
384,Rohr::N,rör,бургъу
385,Rohr::N,pípa,бургъу
386,Haus::N,hús,къатта
387,Heim::N,heimili,къатта
388,Ofen::N,ofn,пач
389,Fußboden::N,gólf,чӏанкъатта
390,Tisch::N,borð,усттул
391,Stuhl::N,stóll,кӏану
392,Wiege::N,vagga,оьрчӏал кӏану
393,Bett::N,rúm,тах
394,Bett::N,hvíla,тах
395,Regal::N,hilla,чӏаму
396,Kiste::N,kassi,яшикӏ
397,Kiste::N,kassi,къурши
398,Fenster::N,gluggi,чӏавахьулу
399,Tür::N,dyr,нуз
400,Tür::N,dyr,нузкьун
401,Tür::N,hurð,нуз
402,Tür::N,hurð,нузкьун
403,Tor::N,hlið,къапу
404,Tor::N,hlið,дарваза
405,Zaun::N,girðing,дайгьузанну
406,Zaun::N,limgarður,дайгьузанну
407,Dach::N,þak,магъи
408,Dach::N,þak,цӏиялу
409,Leiter::N,stigi,чуртту
410,Besen::N,sópur,чӏатлу
411,Spaten::N,spaði,бил
412,Schaufel::N,skófla,чӏатӏа
413,Gabel::N,gaffall,гьиссилу
414,Löffel::N,skeið,къуса
415,Messer::N,hnífur,чӏила
416,Nagel::N,nögl,мяр
417,Netz::N,net,къери
418,Haken::N,krókur,къича
419,Griff::N,tak,куяму
420,Schloss::N,lás,кьункьула
421,Bild::N,mynd,сурат
422,Figur::N,stytta,
423,Puppe::N,brúða,ссихьу
424,Beutel::N,poki,чантай
425,Beutel::N,baggi,чантай
426,Bündel::N,böggull,гьи
427,Bündel::N,böggull,къар
428,Tasche::N,veski,
429,Eimer::N,fata,бадра
430,Deckel::N,lok,къапаза
431,Geschirr::N,leirtau,пюрунчӏул
432,Geschirr::N,leirtau,тӏахӏникӏичӏу
433,Sack::N,sekkur,къап
434,Sack::N,sekkur,дарваг
435,Tasse::N,bolli,пижан
436,Tasse::N,bolli,пинжан
437,Tasse::N,bolli,инкираччатӏи
438,Tasse::N,bolli,цинцилттал бушкъап
439,Topf::N,pottur,кӏункӏур
440,Kessel::N,ketill,чаг
441,Kessel::N,ketill,кӏункӏур
442,Essen::N,matur,дукия
443,Essen::N,matur,дукин
444,Nahrung::N,fæða,дукра
445,Speise::N,réttur,дукра
446,Speise::N,matarréttur,дукра
447,Fleisch::N,kjöt,дикӏ
448,Getreide::N,korn,къама
449,Brei::N,grautur,ккурч
450,Brot::N,brauð,ччатӏ
451,Scheibe::N,sneið,парча
452,Fett::N,fita,аьгъушиву
453,Butter::N,smjör,нагь
454,Butter::N,smjör,лагаву
455,Öl::N,olía,
456,Salz::N,salt,цӏву
457,Suppe::N,súpa,накь
