,Concept_ID,eu,os
0,Auge::N,begi,цӕст
1,Ohr::N,belarri,хъус
2,Nase::N,sudur,фындз
3,Mund::N,aho,дзых
4,Zahn::N,hortz,дӕндаг
5,Zunge::N,mihi,ӕвзаг
6,Lippe::N,ezpain,был
7,Wange::N,masail,рус
8,Wange::N,masail,уадул
9,Wange::N,masail,ӕхсӕрфарс
10,Gesicht::N,aurpegi,цӕсгом
11,Stirn::N,bekoki,ных
12,Haar::N,ile,хил
13,Haar::N,bilo,хил
14,Schnurrbart::N,bibote,рихи
15,Schnurrbart::N,sudurpeko,рихи
16,Bart::N,bizar,зачъе
17,Kinn::N,kokots,роцъо
18,Kiefer[Anatomie]::N,masailezur,ӕфсӕр
19,Kehle::N,eztarri,хъуыр
20,Hals::N,sama,къубал
21,Genick::N,garondo,къӕбут
22,Kopf::N,buru,сӕр
23,Rücken::N,bizkar,фӕсонтӕ
24,Bauch::N,sabel,гуыбын
25,Nabel::N,zilbor,бикъ
26,Busen::N,titi,дзидзи
27,Busen::N,ugatz,дзидзи
28,Brust::N,bular,риу
29,Schulter::N,besaburu,уӕхск
30,Arm::N,beso,цонг
31,Ellenbogen::N,ukondo,рæмбын
32,Hand::N,esku,къух
33,Handfläche::N,ahur,армытъӕпӕн
34,Finger::N,hatz,ӕнруылдз
35,Fingernagel::N,azazkal,ных
36,Nagel[Anatomie]::N,azazkal,ных
37,Zeh::N,behatz,къух
38,Fuß::N,oin,фад
39,Ferse::N,orpo,зӕвӕт
40,Ferse::N,oinburu,зӕвӕт
41,Knie::N,belaun,уӕраг
42,Oberschenkel::N,izter,агъд
43,Bein::N,zango,зӕнг
44,Körper::N,soin,буар
45,Haut::N,azal,царм
46,Blut::N,odol,туг
47,Ader::N,zain,дадзин
48,Ader::N,zain,тугдадзин
49,Sehne::N,gihar-zain,хъиутæ
50,Sehne::N,gihar-zain,нуар
51,Knochen::N,hezur,стӕг
52,Gehirn::N,garun,магъз
53,Gehirn::N,burmuin,магъз
54,Herz::N,bihotz,зӕрдӕ
55,Magen::N,urdail,ахсӕн
56,Leber::N,gibel,игæр
57,Atem::N,hats,улӕфт
58,Atem::N,arnasa,улӕфт
59,Hunger::N,gose,стонг
60,Träne::N,malko,цæссыг
61,Geschmack::N,dasta,ад
62,Geruch::N,usain,смаг
63,Schlaf::N,lo,хуыссӕг
64,Traum::N,amets,фын
65,Himmel::N,zeru,арв
66,Himmel::N,zeru,уӕларв
67,Sonne::N,eguzki,хур
68,Mond::N,ilargi,мӕй
69,Stern::N,izar,стъалы
70,Luft::N,aire,уӕлдӕф
71,Wind::N,haize,дымгӕ
72,Welle::N,uhin,уылӕн
73,Welle::N,olatu,уылӕн
74,Wasser::N,ur,дон
75,Stein::N,harri,дур
76,Boden::N,lur,зӕхх
77,Boden::N,zoru,зӕхх
78,Erde::N,lur,сыджыт
79,Staub::N,hauts,рыг
80,Rauch::N,ke,фӕздӕг
81,Funke::N,zirta,цӕхӕр
82,Funke::N,txinparta,цӕхӕр
83,Feuer::N,su,зынг
84,Licht::N,argi,рухс
85,Schatten::N,itzal,аууон
86,Schatten::N,geriza,аууон
87,Wetter::N,eguraldi,боныхъӕд
88,Nebel::N,laino,мигъ
89,Wolke::N,hodei,ӕврагъ
90,Regen::N,euri,уарын
91,Schnee::N,elur,мит
92,Eis::N,horma,их
93,Frost::N,izotzaldi,ихæн
94,Kälte::N,hotz,уазал
95,Hitze::N,bero,ӕнтӕф
96,Raureif::N,antzigar,халас
97,Regenbogen::N,ostadar,арвырон
98,Regenbogen::N,ostadar,арвырдын
99,Regenbogen::N,ortzadar,арвырон
100,Regenbogen::N,ortzadar,арвырдын
101,Donner::N,ostots,æрвнæрын
102,Donner::N,ihurtzuri,æрвнæрын
103,Strömung::N,laster,цыд
104,Tropfen::N,xorta,æртах
105,Schaum::N,bits,фынк
106,Schmutz::N,lohi,цъыф
107,Schmutz::N,zikin,цъыф
108,See::N,laku,цад
109,See::N,aintzira,цад
110,Sumpf::N,zingira,цъыфдзаст
111,Moor::N,zohikaztegi,цъыфдзаст
112,Wiese::N,larre,уыгӕрдӕн
113,Wiese::N,belardi,уыгӕрдӕн
114,Wald::N,baso,хъӕд
115,Wald::N,oihan,хъӕд
116,Hügel::N,muino,обау
117,Hügel::N,muino,къуыбыр
118,Hügel::N,pentoka,обау
119,Hügel::N,pentoka,къуыбыр
120,Anhöhe::N,garai,уæлвæз
121,Anhöhe::N,garai,уæлхох
122,Anhöhe::N,goragune,уæлвæз
123,Anhöhe::N,goragune,уæлхох
124,Berg::N,mendi,хох
125,Gipfel::N,gain,цъупп
126,Gipfel::N,tontor,цъупп
127,Höhle::N,kobazulo,лӕгӕт
128,Abhang::N,aldapa,къул
129,Quelle::N,iturri,суадон
130,Quelle::N,iturbegi,суадон
131,Bach::N,lats,мӕсчъыдон
132,Bach::N,erreka,мӕсчъыдон
133,Fluss::N,ibai,дон
134,Fluss::N,ibai,цӕугӕдон
135,Fluss::N,uhaitz,дон
136,Fluss::N,uhaitz,цӕугӕдон
137,Ufer::N,bazter,был
138,Küste::N,itsasalde,донбыл
139,Festland::N,lehor,сурзæхх
140,Meer::N,itsaso,денджыз
141,Bucht::N,golko,донбакæлæн
142,Insel::N,irla,сакъадах
143,Insel::N,uharte,сакъадах
144,Blume::N,lili,дидинӕг
145,Gras::N,belar,кӕрдӕг
146,Wurzel::N,zuztar,уидаг
147,Wurzel::N,sustrai,уидаг
148,Baum::N,zuhaitz,бӕлас
149,Stamm::N,enbor,хӕтӕл
150,Rinde::N,azal,цъар
151,Ast::N,adar,арх
152,Zweig::N,abar,къалиу
153,Blatt::N,hosto,сыф
154,Birke::N,urki,бæрз
155,Kiefer[Baum]::N,ler,нӕзы
156,Weide[Baum]::N,zume,хӕрис
157,Weide[Baum]::N,sahats,хӕрис
158,Tanne::N,izei,наз
159,Horn::N,adar,сыкъа
160,Feder::N,luma,сис
161,Feder::N,hegaki,сис
162,Fell::N,ile,царм
163,Fell::N,larru,царм
164,Flügel::N,hego,базыр
165,Klaue::N,atzapar,ных
166,Kralle::N,erpe,дзӕмбы
167,Kralle::N,atzapar,дзӕмбы
168,Schwanz::N,isats,къӕдзил
169,Schwanz::N,buztan,къӕдзил
170,Ei::N,arrautza,айк
171,Nest::N,habia,ахстон
172,Bau::N,ohantze,хуынкъ
173,Tier::N,abere,сырд
174,Tier::N,abere,цӕрӕгой
175,Tier::N,piztia,сырд
176,Tier::N,piztia,цӕрӕгой
177,Herde::N,saldo,дзуг
178,Herde::N,saldo,рӕгъау
179,Herde::N,abere talde,дзуг
180,Herde::N,abere talde,рӕгъау
181,Kuh::N,behi,хъуг
182,Bulle::N,zezen,гал
183,Pferd::N,zaldi,бӕх
184,Schaf::N,ardi,фыс
185,Schwein::N,urde,хуы
186,Schwein::N,txerri,хуы
187,Hund::N,txakur,куыдз
188,Katze::N,katu,гӕды
189,Bär::N,hartz,арс
190,Eichhörnchen::N,urtxintxa,æхсæрæг
191,Elch::N,altze,цæгатаг саг
192,Fuchs::N,azeri,рувас
193,Hase::N,erbi,тæрхъус
194,Maus::N,sagu,мыст
195,Wolf::N,otso,бирӕгъ
196,Vogel::N,txori,цъиу
197,Vogel::N,txori,маргъ
198,Vogel::N,hegazti,цъиу
199,Vogel::N,hegazti,маргъ
200,Schwarm::N,aldra,бал
201,Huhn::N,oilo,карк
202,Hahn::N,oilar,уасӕг
203,Gans::N,antzara,хъаз
204,Adler::N,arrano,цӕргӕс
205,Ente::N,ahate,ацц
206,Eule::N,hontza, уыг
207,Eule::N,hontza,сидахъ
208,Kranich::N,kurrilo,зырнæг
209,Kranich::N,kurrilo,хърихъупп
210,Krähe::N,bele,халон
211,Kuckuck::N,kuku,гаккук
212,Schwan::N,beltxarga,доныхъаз
213,Fisch::N,arrain,кӕсаг
214,Barsch::N,perka,окунь
215,Hecht::N,lutxo,хихор кӕсаг
216,Schlange[Tier]::N,suge,калм
217,Wurm::N,har,зулкъ
218,Wurm::N,har,къуыдыргалм
219,Spinne::N,armiarma,хӕлуарӕг
220,Ameise::N,inurri,мæлдзыг
221,Laus::N,zorri,сыст
222,Mücke::N,eltxo,къогъо
223,Fliege::N,euli,бындз
224,Schmetterling::N,pinpirin,гæлæбу
225,Schmetterling::N,tximeleta,гæлæбу
226,Beere::N,baia,гагадыргъ
227,Apfel::N,sagar,фӕткъуы
228,Pilz::N,onddo,зокъо
229,Pilz::N,onddo,къозо
230,Pilz::N,perretxiko,зокъо
231,Pilz::N,perretxiko,къозо
