,Concept_ID,cy,hi
0,Auge::N,llygad,आँख
1,Auge::N,llygad,चक्षु
2,Ohr::N,clust,कान
3,Ohr::N,clust,कर्ण
4,Nase::N,trwyn,नाक
5,Nase::N,trwyn,नासा
6,Mund::N,ceg,मुख
7,Mund::N,ceg,मुँह
8,Zahn::N,dant,दंत
9,Zahn::N,dant,दाँत
10,Zunge::N,tafod,जीभ
11,Zunge::N,tafod,ज़बान
12,Zunge::N,tafod,जिह्वा
13,Lippe::N,gwefus,ओंठ
14,Lippe::N,gwefus,होंठ
15,Wange::N,boch,गाल
16,Wange::N,boch,कपोल
17,Gesicht::N,wyneb,मुँह
18,Gesicht::N,wyneb,चेहरा
19,Stirn::N,talcen,माथा
20,Stirn::N,talcen,मस्तक
21,Haar::N,blew,बाल
22,Schnurrbart::N,mwstas,मूँछें
23,Bart::N,barf,दाढ़ी
24,Kinn::N,gên,चिबुक
25,Kiefer[Anatomie]::N,gên,जबड़ा
26,Kehle::N,gwddf,गला
27,Hals::N,gwddf,गला
28,Hals::N,gwddf,गरदन
29,Genick::N,gwar,गरदन
30,Genick::N,gwar,ग्रीवा
31,Genick::N,gwegil,गरदन
32,Genick::N,gwegil,ग्रीवा
33,Kopf::N,pen,सिर
34,Kopf::N,pen,शीर्ष
35,Rücken::N,cefn,पीठ
36,Bauch::N,bol,उदर
37,Nabel::N,bogail,नाभि
38,Nabel::N,bogail,ढोंढी
39,Busen::N,bron,कुच
40,Busen::N,bron,स्तन
41,Brust::N,brest,वक्ष
42,Schulter::N,ysgwydd,कंधा
43,Schulter::N,ysgwydd,स्कंध
44,Arm::N,braich,बाँह
45,Arm::N,braich,बाज़ू
46,Ellenbogen::N,penelin,कुहनी
47,Hand::N,llaw,हाथ
48,Hand::N,llaw,हस्त
49,Handfläche::N,palf,हथेली
50,Finger::N,bys,उँगली
51,Finger::N,bys,अँगुली
52,Fingernagel::N,ewin,नख
53,Fingernagel::N,ewin,नाख़ून
54,Nagel[Anatomie]::N,ewin,नख
55,Nagel[Anatomie]::N,ewin,नाख़ून
56,Zeh::N,bys troed,उँगली
