,Concept_ID,zh,ar
0,Auge::N,眼睛,عين
1,Ohr::N,耳朵,أذن
2,Nase::N,鼻子,أنف
3,Mund::N,嘴,فم
4,Zahn::N,牙齿,سن
5,Zunge::N,舌头,لسان
6,Lippe::N,嘴唇,شفة
7,Wange::N,面颊,خد
8,Wange::N,面颊,وجنة
9,Gesicht::N,脸,وجه
10,Stirn::N,额,جبين
11,Haar::N,头发,شعر
12,Schnurrbart::N,髭须,شارب
13,Bart::N,胡子,لحية
14,Kinn::N,下巴,ذقن
15,Kiefer[Anatomie]::N,颌,فك
16,Kehle::N,嗓子,حلق
17,Hals::N,颈,عنق
18,Hals::N,颈,رقبة
19,Genick::N,后颈,قفا
20,Kopf::N,头,رأس
21,Rücken::N,背,ظهر
22,Bauch::N,肚子,بطن
23,Nabel::N,肚脐,سرة
24,Busen::N,胸脯,ثدي
25,Brust::N,胸,صدر
26,Schulter::N,肩膀,كتف
27,Arm::N,臂膀,ذراع
28,Ellenbogen::N,肘,كوع
29,Hand::N,手,يد
30,Handfläche::N,手掌,كف
31,Finger::N,手指,إصبع
32,Fingernagel::N,指甲,ظفر
33,Nagel[Anatomie]::N,指甲,ظفر
34,Zeh::N,脚趾,إصبع القدم
35,Fuß::N,脚,قدم
36,Ferse::N,后跟,كعب
37,Knie::N,膝,ركبة
38,Oberschenkel::N,大腿,فخذ
39,Bein::N,腿,ساق
40,Körper::N,身体,جسم
41,Haut::N,皮肤,بشرة
42,Blut::N,血,دم
43,Ader::N,血管,عرق
44,Sehne::N,腱,طنب
45,Knochen::N,骨,عظم
46,Gehirn::N,脑,دماغ
47,Herz::N,心,قلب
48,Magen::N,胃,معدة
49,Leber::N,肝,كبد
50,Atem::N,呼吸,نفس
51,Hunger::N,饿,جوع
52,Träne::N,眼泪,دمعة
53,Geschmack::N,味道,طعم
54,Geschmack::N,味道,مذاق
55,Geruch::N,气味,رائحة
56,Schlaf::N,睡眠,نوم
57,Schlaf::N,睡眠,منام
58,Traum::N,梦,حلم
59,Himmel::N,天空,سماء
60,Sonne::N,太阳,شمس
