,Concept_ID,xal,sk
0,Auge::N,нүдн,oko
1,Ohr::N,чикн,ucho
2,Nase::N,хамр,nos
3,Mund::N,амн,ústa
4,Zahn::N,шүдн,zub
5,Zunge::N,келн,jazyk
6,Lippe::N,урл,pera
7,Wange::N,халх,líce
8,Gesicht::N,нүр,tvár
9,Gesicht::N,нүр,obličaj
10,Stirn::N,маңна,čelo
11,Haar::N,үсн,vlas
12,Schnurrbart::N,сахл,fúzy
13,Bart::N,сахл,brada
14,Bart::N,өргнә сахл,brada
15,Kinn::N,өргн,brada
16,Kiefer[Anatomie]::N,өргн,čeľusť
17,Kehle::N,хол,hrdlo
18,Hals::N,күзүн,krk
19,Genick::N,гиҗг,väzy
20,Kopf::N,толһа,hlava
21,Rücken::N,нурһн,chrbát
22,Bauch::N,гесн,brucho
23,Nabel::N,киисн,pupok
24,Busen::N,көкн,prsia
25,Brust::N,чееҗ,hruď
26,Schulter::N,ээм,plece
27,Arm::N,һар,rameno
28,Ellenbogen::N,тоха,lakeť
29,Hand::N,баһлцг,ruka
30,Handfläche::N,альхн,dlaň
31,Finger::N,хурһн,prst
32,Finger::N,һарин хурһн,prst
33,Fingernagel::N,хумсн,necht
34,Nagel[Anatomie]::N,хумсн,necht
35,Zeh::N,хурһн,prst na nohe
36,Zeh::N,көлин хурһн,prst na nohe
37,Fuß::N,тавг,noha
38,Ferse::N,өскә,päta
39,Knie::N,өвдг,koleno
40,Oberschenkel::N,һуй,stehno
41,Bein::N,көл,noha
42,Körper::N,махмуд,telo
43,Haut::N,арсн,koža
44,Blut::N,цусн,krv
45,Ader::N,судцн,žila
46,Sehne::N,шүрүсн,šľacha
47,Knochen::N,ясн,kosť
48,Gehirn::N,экн,mozog
49,Herz::N,зүркн,srdce
50,Magen::N,гесн,žalúdok
51,Leber::N,элкн,pečeň
52,Atem::N,әмсхл,dych
53,Hunger::N,харһнлһн,hlad
54,Träne::N,нульмсн,slza
55,Geschmack::N,амтн,chuť
56,Geruch::N,үнр,pach
57,Schlaf::N,нөр,spánok
58,Traum::N,зүүдн,sen
59,Himmel::N,теңгр,nebo
60,Sonne::N,нарн,slnko
61,Mond::N,сар,mesiac
62,Stern::N,одн,hviezda
63,Luft::N,аһар,vzduch
64,Wind::N,салькн,vietor
65,Welle::N,дольган,vlna
66,Wasser::N,усн,voda
67,Stein::N,чолун,kameň
68,Boden::N,Һазр,zem
69,Boden::N,Һазр,pôda
70,Erde::N,Һазр,zem
71,Staub::N,тоосн,prach
72,Rauch::N,утан,dym
73,Funke::N,очн,iskra
74,Feuer::N,һал,oheň
75,Licht::N,герл,svetlo
76,Schatten::N,сүүдр,tieň
77,Wetter::N,теңгр,počasie
78,Nebel::N,будн,hmla
79,Wolke::N,үүлн,oblak
80,Wolke::N,үүлн,mračno
81,Regen::N,хур,dážď
82,Schnee::N,цасн,sneh
83,Eis::N,мөсн,ľad
84,Frost::N,киитн,mráz
85,Kälte::N,киитн,zima
86,Kälte::N,киитн,chlad
87,Hitze::N,халун,horúčava
88,Raureif::N,цаң,srieň
89,Raureif::N,цаң,inovať
90,Raureif::N,кирү,srieň
91,Raureif::N,кирү,inovať
92,Regenbogen::N,солңһ,dúha
93,Donner::N,оһтрһун дун,hrom
94,Strömung::N,урсхл,prúdenie
95,Tropfen::N,дусал,kvapka
96,Schaum::N,көөсн,pena
97,Schmutz::N,кир,špina
98,Schmutz::N,кир,nečistota
99,See::N,нур,jazero
100,Sumpf::N,унул,bahno
101,Moor::N,улм,močiar
102,Wiese::N,хадлһн,lúka
103,Wald::N,ө-модн,les
104,Wald::N,ө-модн,hora
105,Hügel::N,толһа,vŕšok
106,Anhöhe::N,хамр,výšina
107,Anhöhe::N,хамр,vyvýšenina
108,Berg::N,уул,hora
109,Gipfel::N,ора,vrchol
110,Höhle::N,хадин көндә,jaskyňa
111,Abhang::N,ташу,úbočie
112,Quelle::N,булг,prameň
113,Bach::N,һооҗур,potok
114,Fluss::N,һол,rieka
115,Ufer::N,көвә,breh
116,Küste::N,көвә,pobrežie
117,Küste::N,теңгсин көвә,pobrežie
118,Festland::N,хүүрә һазр,pevnina
119,Meer::N,теңгс,more
120,Bucht::N,цекә,záliv
121,Bucht::N,цекә,zátoka
122,Bucht::N,теңгсин цекә,záliv
123,Bucht::N,теңгсин цекә,zátoka
124,Insel::N,арл,ostrov
125,Blume::N,цецг,kvet
126,Blume::N,цецг,kvetina
127,Gras::N,ноһан,tráva
128,Wurzel::N,уңг,koreň
129,Baum::N,модн,strom
130,Stamm::N,шилв,kmeň
131,Stamm::N,һол модн,kmeň
132,Rinde::N,көрсн,kôra
133,Ast::N,ац,konár
134,Zweig::N,ац,vetva
135,Blatt::N,хамтхасн,list
136,Birke::N,хусм модн,breza
137,Kiefer[Baum]::N,шар харһа,sosna
138,Kiefer[Baum]::N,шар харһа,borovica
139,Weide[Baum]::N,удн,vŕba
140,Tanne::N,җөөлн цаһан модн,jedľa
141,Horn::N,өвр,roh
142,Feder::N,өрвлг,pero
143,Fell::N,арсн,koža
144,Fell::N,арсн,kožušina
145,Flügel::N,җивр,krídlo
146,Klaue::N,хумсн,paznecht
147,Kralle::N,тавг,pazúr
148,Schwanz::N,сүл,chvost
149,Ei::N,өндгн,vajce
150,Ei::N,өндгн,vajíčko
151,Nest::N,үр,hniezdo
152,Bau::N,нүкн,nora
153,Tier::N,мал,zviera
154,Herde::N,сүрг мал,stádo
155,Kuh::N,үкр,krava
156,Bulle::N,бух,býk
157,Pferd::N,мөрн,kôň
158,Schaf::N,хөн,ovca
159,Schwein::N,һаха,sviňa
160,Hund::N,ноха,pes
161,Katze::N,мис,mačka
162,Bär::N,аю,medveď
163,Eichhörnchen::N,кермн,veverička
164,Elch::N,хандһа,los
165,Fuchs::N,арат,líška
166,Hase::N,туула,zajac
167,Maus::N,хулһн,myš
168,Wolf::N,чон,vlk
169,Vogel::N,шовун,vták
170,Schwarm::N,зел,roj
171,Huhn::N,така,kurča
172,Huhn::N,така,sliepka
173,Hahn::N,эр така,kohút
174,Gans::N,һалун,hus
175,Adler::N,һәрд,orol
176,Ente::N,нуһсн,kačka
177,Ente::N,нуһсн,kačica
178,Eule::N,һурвлһ,sova
179,Kranich::N,тоһрун,žeriav
180,Krähe::N,шаазһа,vrana
181,Kuckuck::N,эргин хуцдг,kukučka
182,Schwan::N,хун,labuť
183,Fisch::N,заһсн,ryba
184,Barsch::N,шүрг,ostriež
185,Hecht::N,цурх,šťuka
186,Schlange[Tier]::N,моһа,had
187,Wurm::N,өтн,červ
188,Spinne::N,аралҗн,pavúk
189,Ameise::N,шорһлҗн,mravec
190,Laus::N,бөөсн,voš
191,Mücke::N,бөкүн,komár
192,Fliege::N,батхн,mucha
193,Schmetterling::N,эрвәкә,motýľ
194,Beere::N,бөөлҗрһн,bobuľa
195,Apfel::N,альмн,jablko
196,Pilz::N,теңгрин ки,hríb
197,Zwiebel::N,мәңгрснә толһа,cibuľa
198,Saat::N,буудян экн,osivo
199,Korn::N,экн,zrno
200,Heu::N,өвсн,seno
201,Schale::N,хальсн,šupa
202,Schale::N,хальсн,škrupina
203,Grube::N,нүкн,jama
204,Falle::N,урх,pasca
205,Falle::N,урх,klepec
206,Falle::N,хавх,pasca
207,Falle::N,хавх,klepec
208,Schlinge::N,бүтү,slučka
209,Spur::N,мөр,stopa
210,Asche::N,үмсн,popol
211,Dreck::N,бальчг,kal
212,Dreck::N,бальчг,blato
213,Eisen::N,төмр,železo
214,Gold::N,алтн,zlato
215,Silber::N,мөңгн,striebro
216,Silber::N,цаһан мөңгн,striebro
217,Kohle::N,нүүрсн,uhlie
218,Glas::N,шил,sklo
219,Lehm::N,шавр,íl
220,Lehm::N,шавр,hlina
221,Sand::N,элсн,piesok
222,Mensch::N,күн,človek
223,Mensch::N,күмн,človek
224,Mann::N,эр,muž
225,Mann::N,эр,chlap
226,Frau::N,күүкд күн,žena
227,Kind::N,үрн,dieťa
228,Junge::N,көвүн,chlapec
229,Mädchen::N,бичкн күүкн,dievka
230,Familie::N,бүл,rodina
231,Großvater::N,өвк эцк,dedo
232,Großvater::N,өвк эцк,starý otec
233,Großvater::N,наһц эцк,dedo
234,Großvater::N,наһц эцк,starý otec
235,Großmutter::N,эмг эк,babička
236,Großmutter::N,эмг эк,stará mať
237,Großmutter::N,наһц эк,babička
238,Großmutter::N,наһц эк,stará mať
239,Eltern::N,эк эцк хойр,rodičia
240,Vater::N,эцк,otec
241,Mutter::N,эк,mať
242,Mutter::N,эк,matka
243,Sohn::N,көвүн,syn
244,Tochter::N,күүкн,dcéra
245,Bruder::N,дү көвүн,brat
246,Schwester::N,эгч,sestra
247,Schwester::N,дү күүкн,sestra
248,Onkel::N,авһ,ujo
249,Onkel::N,авһ,strýko
250,Onkel::N,наһцх,ujo
251,Onkel::N,наһцх,strýko
252,Tante::N,наһц эгч,teta
253,Tante::N,наһц эгч,tetka
254,Ehemann::N,залу,muž
255,Ehemann::N,залу,manžel
256,Ehefrau::N,гергн,žena
257,Ehefrau::N,гергн,manželka
258,Freude::N,байр,radosť
259,Gelächter::N,инәдн,smiech
260,Glück::N,җирһл,šťastie
261,Glück::N,сәәхн җирһл,šťastie
262,Kummer::N,зовлң,žiaľ
263,Kummer::N,зовлң,zármutok
264,Wunsch::N,дурн,prianie
265,Lust::N,җилвтлһн,chuť
266,Geist::N,зөрг,duch
267,Gedanke::N,ухан,myšlienka
268,Gedächtnis::N,чееҗин тодлвр,pamäť
269,Verstand::N,ухан,rozum
270,Sinn::N,учр-утх,zmysel
271,Grund::N,учр,dôvod
272,Grund::N,учр,príčina
273,Grund::N,шалтан,dôvod
274,Grund::N,шалтан,príčina
275,Wahrheit::N,үнн,pravda
276,Gespräch::N,күүндвүр,reč
277,Gespräch::N,күүндвүр,rozhovor
278,Märchen::N,тууль,rozprávka
279,Erzählung::N,келвр,poviedka
280,Nachricht::N,медүллһн,správa
281,Neuigkeit::N,зәңг,novinka
282,Name::N,нерн,meno
283,Rätsel::N,тәәлвртә тууль,záhada
284,Rätsel::N,тәәлвртә тууль,hádanka
285,Rede::N,келлһн,reč
286,Sprache::N,келн,reč
287,Sprache::N,келн,jazyk
288,Stimme::N,дун,hlas
289,Wort::N,үг,slovo
290,Zeichen::N,темдг,znak
291,Ruf::N,дуудлһн,volanie
292,Ruf::N,дуудлһн,zavolanie
293,Lärm::N,шууган,hluk
294,Lärm::N,шууган,hurhaj
295,Laut::N,ә,zvuk
296,Ton::N,дун,tón
297,Ton::N,дун,zvuk
298,Lied::N,дун,pieseň
299,Ruhe::N,амулң,pokoj
300,Leute::N,әмтн,ľudia
301,Volk::N,улс,ľud
302,Volk::N,улс,národ
303,Arbeit::N,көдлмш,práca
304,Arbeit::N,көдлмш,robota
305,Gast::N,гиич,hosť
306,Geschenk::N,белг,dar
307,Spiel::N,наадн,hra
308,Gesellschaft::N,олн,spoločnosť
309,Hilfe::N,нөкд,pomoc
310,Freund::N,иньг,priateľ
311,Kamerad::N,үр,kamarát
312,Angelegenheit::N,керг,vec
313,Angelegenheit::N,керг,záležitosť
314,Anzahl::N,то,počet
315,Anzahl::N,то,množstvo
316,Art::N,зүүл,druh
317,Stück::N,хусг,kus
318,Stück::N,хусг,kúsok
319,Teil::N,хүв,časť
320,Hälfte::N,өрәл,polka
321,Hälfte::N,өрәл,polovica
322,Kreis::N,төгрг,kruh
323,Kreuz::N,кирс,kríž
324,Linie::N,зурасн,línia
325,Strich::N,татасн,čiara
326,Abstand::N,зә,vzdialenosť
327,Entfernung::N,һазр,vzdialenosť
328,Gegend::N,һазр,kraj
329,Gegend::N,һазр,krajina
330,Platz::N,зә,miesto
331,Ort::N,бәәрн,miesto
332,Seite::N,тал,bok
333,Seite::N,тал,strana
334,Seite::N,хаҗу,bok
335,Seite::N,хаҗу,strana
336,Seite::N,хәврһ,bok
337,Seite::N,хәврһ,strana
338,Mitte::N,дунд,stred
339,Gegenstand::N,юмн,predmet
340,Sache::N,юмн,vec
341,Rand::N,зах,kraj
342,Rand::N,зах,okraj
343,Kante::N,ирмәг,hrana
344,Ecke::N,өнцг,roh
345,Spitze::N,үзүр,hrot
346,Spitze::N,үзүр,špička
347,Ende::N,үзүр,koniec
348,Loch::N,хаһрха,diera
349,Winkel::N,булң,kút
350,Muster::N,намч,vzor
351,Muster::N,намч,vzorka
352,Größe::N,кемҗән,veľkosť
353,Länge::N,ут,dĺžka
354,Höhe::N,өндр,výška
355,Gewicht::N,күнд,váha
356,Gewicht::N,чиңнүр,váha
357,Menge::N,ик,množstvo
358,Haufen::N,ова,hŕba
359,Reihe::N,зерг,rad
360,Reihe::N,зерглән,rad
361,Boot::N,оңһц,čln
362,Ruder::N,хәәв,veslo
363,Schlitten::N,цан,sane
364,Ski::N,лыҗ,lyža
365,Lagerfeuer::N,костёр,táborák
366,Last::N,күнд,ťarcha
367,Last::N,күнд,bremeno
368,Gang::N,йовлһн,chôdza
369,Schritt::N,ишкм,krok
370,Norden::N,ар үзг,sever
371,Süden::N,өмн,juh
372,Süden::N,өмн үзг,juh
373,Westen::N,барун,západ
374,Westen::N,барун үзг,západ
375,Osten::N,зүн,východ
376,Osten::N,зүн үзг,východ
377,Holz::N,модн,drevo
378,Brett::N,харһа,doska
379,Platte::N,хавтха чолун,doska
380,Platte::N,хавтха чолун,platňa
381,Stütze::N,тулг,opora
382,Stange::N,уньн,tyč
383,Stock::N,модн,palica
384,Stab::N,шуург,palica
385,Rohr::N,турва,rúra
386,Haus::N,гер,dom
387,Heim::N,гер-бул,domov
388,Ofen::N,беш,pec
389,Ofen::N,беш,kachle
390,Fußboden::N,девскр,dlážka
391,Fußboden::N,девскр,podlaha
392,Tisch::N,ширә,stôl
393,Stuhl::N,стул,stolička
394,Wiege::N,өлгә,kolíska
395,Wiege::N,дүүҗң,kolíska
396,Bett::N,орн,lôžko
397,Bett::N,орн,posteľ
398,Bett::N,орндг,lôžko
399,Bett::N,орндг,posteľ
400,Regal::N,таг,regál
401,Regal::N,таг,polica
402,Regal::N,тәвц,regál
403,Regal::N,тәвц,polica
404,Kiste::N,яршг,debna
405,Fenster::N,терз,okno
406,Fenster::N,терз,oblok
407,Tür::N,үүдн,dvere
408,Tor::N,үүдн,vráta
409,Tor::N,өргн үүдн,vráta
410,Tor::N,хашан үүдн,vráta
411,Zaun::N,хаша,plot
412,Zaun::N,хаша,ohrada
413,Dach::N,деевр,krov
414,Dach::N,деевр,strecha
415,Leiter::N,шат,rebrík
416,Leiter::N,шат,rebrina
417,Leiter::N,давшур,rebrík
418,Leiter::N,давшур,rebrina
419,Besen::N,сәвүр,metla
420,Spaten::N,күрз,rýľ
421,Schaufel::N,совг,lopata
422,Gabel::N,серә,vidlička
423,Löffel::N,ухр,lyžica
424,Messer::N,утх,nôž
425,Nagel::N,хадасн,klinec
426,Netz::N,гөлм,sieť
427,Haken::N,дегә,hák
428,Haken::N,дегә,háčik
429,Griff::N,иш,rukoväť
430,Griff::N,бәрүл,rukoväť
431,Schloss::N,оньс,zámka
432,Bild::N,зург,obraz
433,Figur::N,фигур,figúra
434,Puppe::N,наадһа,bábka
435,Puppe::N,наадһа,bábika
436,Beutel::N,мишг,vrece
437,Beutel::N,мишг,vrecko
438,Bündel::N,багла,uzlík
439,Bündel::N,багла,zväzok
440,Bündel::N,боодһа,uzlík
441,Bündel::N,боодһа,zväzok
442,Tasche::N,сумк,taška
443,Tasche::N,сумк,kabelka
444,Eimer::N,суулһ,vedro
445,Deckel::N,бүркәсн,vrchnák
446,Deckel::N,бүркәсн,pokrývka
447,Geschirr::N,сав,nádoba
448,Geschirr::N,сав-сарх,nádoba
449,Sack::N,мишг,mech
450,Sack::N,мишг,vrece
451,Tasse::N,ааһ,šálka
452,Topf::N,кастрюль,hrniec
453,Kessel::N,хәәсн,kotol
454,Essen::N,зоогллһн,jedlo
455,Nahrung::N,теҗәл,strava
456,Nahrung::N,теҗәл,potrava
457,Speise::N,хот,jedlo
458,Fleisch::N,махн,mäso
459,Getreide::N,хот болҗ эдлгддг цецгүдтә урһмл,obilie
460,Brei::N,хаш,kaša
461,Brot::N,өдмг,chlieb
462,Scheibe::N,зүсм,kotúč
463,Scheibe::N,зүсм,krajec
464,Fett::N,өөкн,tuk
465,Fett::N,өөкн,masť
466,Butter::N,тосн,maslo
467,Öl::N,тосн,olej
468,Salz::N,давсн,soľ
469,Suppe::N,шөлн,polievka
470,Honig::N,бал,med
471,Milch::N,үсн,mlieko
472,Tee::N,цә,čaj
473,Leder::N,арсн,koža
474,Wolle::N,утцн,vlna
475,Wolle::N,эд,vlna
476,Stoff::N,эд,súkno
477,Nadel::N,зүн,ihla
478,Faden::N,утцн,niť
479,Faden::N,утцн,vlákno
480,Knopf::N,товч,gombík
481,Knoten::N,зәңгдә,uzol
482,Farbe::N,будг,farba
483,Kleidung::N,хувцн,šaty
484,Kleidung::N,хувцн,šatstvo
485,Kleidung::N,хувц-хунр,šaty
486,Kleidung::N,хувц-хунр,šatstvo
487,Hemd::N,киилг,košeľa
488,Kragen::N,зах,golier
489,Ärmel::N,ханцн,rukáv
490,Hose::N,шалвур,nohavice
491,Gürtel::N,бүс,pás
492,Gürtel::N,бүс,opasok
493,Mütze::N,махла,čiapka
494,Schuh::N,башмгуд,obuv
495,Schuh::N,башмгуд,topánka
496,Stiefel::N,һосн,čižma
497,Ring::N,билцг,prsteň
498,Band::N,лент,stuha
499,Kamm::N,сам,hrebeň
500,Spiegel::N,толь,zrkadlo
501,Riemen::N,бүс,remeň
502,Schnur::N,деесн,šnúra
503,Leine::N,бурнтг,vodidlo
504,Leine::N,нохан көтлвр,vodidlo
505,Decke::N,көнҗл,deka
506,Decke::N,көнҗл,prikrývka
507,Kissen::N,дер,poduška
508,Tuch::N,альчур,šatka
509,Handtuch::N,полотенц,uterák
510,Handtuch::N,һар-нүүрин альчур,uterák
511,Kraft::N,күчн,moc
512,Stärke::N,чидл,sila
513,Gesundheit::N,эрүл-менд,zdravie
514,Krankheit::N,өвчн,nemoc
515,Krankheit::N,өвчн,choroba
516,Schmerz::N,өвдлһн,bolesť
517,Wunde::N,шав,rana
518,Fieber::N,безг,horúčka
519,Arznei::N,эм,liek
520,Brücke::N,тагт,most
