,Concept_ID,mdf,ka
0,Auge::N,сельме,თვალი
1,Ohr::N,пиле,ყური
2,Nase::N,шалхка,ცხვირი
3,Mund::N,курга,პირი
4,Zahn::N,пей,კბილი
5,Zunge::N,кяль,ენა
6,Lippe::N,търва́,ბაგე
7,Wange::N,щёка,ლოყა
8,Gesicht::N,шама,სახე
9,Stirn::N,коня,შუბლი
10,Haar::N,шя́ярь,თმა
11,Schnurrbart::N,уса́,ულვაში
12,Bart::N,сакал,წვერი
13,Kinn::N,ула,ნიკაპი
14,Kiefer[Anatomie]::N,саласка,ყბა
15,Kehle::N,кълдома,ყელი
16,Kehle::N,кърга́парь,ყელი
17,Hals::N,сялдаз,ყელი
18,Hals::N,сялдаз,კისერი
19,Genick::N,шовонь,კეფა
20,Kopf::N,пря,თავი
21,Rücken::N,копорь,ზურგი
22,Bauch::N,пеке,მუცელი
23,Nabel::N,по́кон,ჭიპი
24,Busen::N,потя,ძუძუ
25,Brust::N,мяште,მკერდი
26,Schulter::N,лафту,მხარი
27,Schulter::N,лафту,მკლავი
28,Arm::N,кядь,ხელი
29,Ellenbogen::N,кенерьба́карь,იდაყვი
30,Hand::N,кядь,ხელი
31,Handfläche::N,кядьлапш,ნები
32,Handfläche::N,кядьлапш,ხელისგული
33,Finger::N,сур,თითი
34,Fingernagel::N,кенже,ფრჩხილი
35,Nagel[Anatomie]::N,кенже,ფრჩხილი
36,Zeh::N,пильгосу́р,ფეხის თითი
37,Fuß::N,пильге,ტერფი
38,Fuß::N,пильге,ფეხისგული
39,Fuß::N,пильгелапа,ტერფი
40,Fuß::N,пильгелапа,ფეხისგული
41,Ferse::N,кочкяря,ქუსლი
42,Knie::N,эль,მუხლი
43,Knie::N,пълма́нжа,მუხლი
44,Oberschenkel::N,пильгепукша,ბარძაყი
45,Bein::N,пильге,ფეხი
46,Körper::N,ро́нга,ტანი
47,Körper::N,ро́нга,სხეული
48,Körper::N,по́нда,ტანი
49,Körper::N,по́нда,სხეული
50,Haut::N,киське,კანი
51,Blut::N,вер,სისხლი
52,Ader::N,сан,ძარღვი
53,Ader::N,верза́н,ძარღვი
54,Sehne::N,коське сан,მყესი
55,Knochen::N,пакарь,ძვალი
56,Gehirn::N,уй,ტვინი
57,Herz::N,седи,გული
58,Magen::N,коткърдазь,კუჭი
59,Leber::N,макса,ღვიძლი
60,Atem::N,лекома,სუნთქვა
61,Atem::N,ваймонь тарксема,სუნთქვა
62,Hunger::N,вачеши,შიმშილი
63,Träne::N,сельмове́дь,ცრემლი
64,Geschmack::N,таньф,გემო
65,Geruch::N,шине,სუნი
66,Schlaf::N,удома́,ძილი
67,Traum::N,он,სიზმარი
68,Himmel::N,менель,ცა
69,Sonne::N,ши,მზე
70,Mond::N,ков,მთვარე
71,Stern::N,тяште,ვარსკვლავი
72,Luft::N,кожф,ჰაერი
73,Wind::N,варма,ქარი
74,Welle::N,тавла,ტალღა
75,Wasser::N,ведь,წყალი
76,Stein::N,кев,ქვა
77,Boden::N,мода,მიწა
78,Boden::N,потмакс,მიწა
79,Erde::N,мода,ნიადაგი
80,Erde::N,мастор,ნიადაგი
81,Staub::N,пуль,მტვერი
82,Rauch::N,качам,ბოლი
83,Rauch::N,качам,კვამლი
84,Funke::N,ця́тка,ნაკვესი
85,Feuer::N,тол,ცეცხლი
86,Licht::N,ва́лда,შუქი
87,Licht::N,ва́лда,სინათლე
88,Schatten::N,цильф,ლანდი
89,Schatten::N,цильф,ჩრდილი
90,Wetter::N,уша,ამინდი
91,Nebel::N,тума́н,ნისლი
92,Wolke::N,ковол,ღრუბელი
93,Regen::N,пизем,წვიმა
94,Schnee::N,лов,თოვლი
95,Eis::N,эй,თოში
96,Eis::N,эй,ყინული
97,Frost::N,ке́льме,ყინვა
98,Kälte::N,якшама,სიცივე
99,Hitze::N,пси,სიცხე
100,Raureif::N,леш,ჭირხლი
101,Raureif::N,леш,თრთვილი
102,Regenbogen::N,а́тямъёнга,ცისარტყელა
103,Donner::N,атям,ქუხილი
104,Strömung::N,шудема́,დინება
105,Tropfen::N,путькс,წვეთი
106,Tropfen::N,пътняфкс,წვეთი
107,Schaum::N,шов,ქაფი
108,Schaum::N,шов,დორბლი
109,Schmutz::N,ърда́з,ჭუჭყი
110,Schmutz::N,ърда́з,ტალახი
111,See::N,эрьхке,ტბა
112,Sumpf::N,шяй,ჭაობი
113,Moor::N,шяй,ტორფნარი
114,Wiese::N,луга,ველი
115,Wiese::N,луга,მდელო
116,Wald::N,вирь,ტყე
117,Hügel::N,губо́р,ბორცვი
118,Hügel::N,пандоня,ბორცვი
119,Anhöhe::N,губо́р,მაღლობი
120,Berg::N,панда,მთა
121,Gipfel::N,пря,მწვერვალი
122,Höhle::N,у́нда,მღვიმე
123,Höhle::N,у́нда,გამოქვებული
124,Abhang::N,па́нда ша́ма,ფერდობი
125,Quelle::N,эшиня,წყარო
126,Quelle::N,эшиня,სათავე
127,Bach::N,шудерькс,რუ
128,Bach::N,шудерькс,ნაკადული
129,Fluss::N,ляй,მდინარე
130,Ufer::N,търва́,კიდე
131,Ufer::N,търва́,ნაპირი
132,Küste::N,ляйтърва́,ნაპირი
133,Festland::N,мода,ხმელეთი
134,Meer::N,моря,ზღვა
135,Bucht::N,ведьуське,ყურე
136,Insel::N,цёнга,კუნძული
137,Blume::N,панчф,ყვავილი
138,Gras::N,тише,ბალახი
139,Wurzel::N,юр,ძირი
140,Wurzel::N,юр,ფესვი
141,Wurzel::N,ункс,ძირი
142,Wurzel::N,ункс,ფესვი
143,Baum::N,шуфта,ხე
144,Stamm::N,ро́нга,ტანი
145,Rinde::N,кер,ქერქი
146,Ast::N,морга,ტოტი
147,Zweig::N,тарад,შტო
148,Blatt::N,лопа,ფოთოლი
149,Birke::N,ке́лу,არყი
150,Kiefer[Baum]::N,пиче,ფიჭვი
151,Weide[Baum]::N,каль,ტირიფი
152,Tanne::N,куз,ნაძვი
153,Horn::N,сюра,რქა
154,Feder::N,толга,ფრთა
155,Fell::N,кедь,ტყავი
156,Flügel::N,паця,ფრთა
157,Klaue::N,кенже,კლანჭი
158,Kralle::N,кенже,ტორი
159,Schwanz::N,пула,კუდი
160,Ei::N,ал,კვერცხი
161,Nest::N,пиза,ბუდე
162,Bau::N,пиза,სორო
163,Tier::N,жува́та,ნადირი
164,Tier::N,жува́та,ცხოველი
165,Herde::N,нал,ფარა
166,Herde::N,стада,ფარა
167,Kuh::N,скал,ფური
168,Kuh::N,скал,ძროხა
169,Kuh::N,тракс,ფური
170,Kuh::N,тракс,ძროხა
171,Bulle::N,бука,ხარი
172,Pferd::N,лишме,რაში
173,Pferd::N,лишме,ცხენი
174,Schaf::N,уча́,ცხვარი
175,Schwein::N,тува,ღორი
176,Hund::N,пине,ძაღლი
177,Katze::N,катоня,კატა
178,Katze::N,аваката,კატა
179,Bär::N,офта,დათვი
180,Eichhörnchen::N,ур,ციყვი
181,Elch::N,ся́рда,ცხენ-ირემი
182,Fuchs::N,келазь,მელა
183,Hase::N,ну́мол,კურდღელი
184,Maus::N,шеер,თაგვი
185,Wolf::N,върьгаз,მგელი
186,Vogel::N,нармонь,ჩიტი
187,Vogel::N,нармонь,ფრინველი
188,Schwarm::N,ко́вол,გუნდი
189,Schwarm::N,ме́швеле,გუნდი
190,Huhn::N,сараз,დედალი
191,Hahn::N,а́тякш,მამალი
192,Gans::N,маци,ბატი
193,Adler::N,куцькан,არწივი
194,Ente::N,яксярга,იხვი
195,Eule::N,ко́рож,ბუ
196,Kranich::N,ка́рга,წერო
197,Krähe::N,ва́рси,ყვავი
198,Kuckuck::N,ку́ку,გუგული
199,Schwan::N,ло́ксти,გედი
200,Fisch::N,кал,თევზი
201,Barsch::N,о́кунь,ქორჭილა
202,Hecht::N,щу́ка,ქარიყლაპია
203,Schlange[Tier]::N,куй,გველი
204,Wurm::N,сукс,ჭია
205,Spinne::N,унжа́,ობობა
206,Ameise::N,панжам,ჭიანჭველა
207,Laus::N,си,ტილი
208,Laus::N,си,მკბენარი
209,Mücke::N,ся́ське,კოღო
210,Fliege::N,кару,ბუზი
211,Schmetterling::N,ме́лав,პეპელა
212,Beere::N,и́мож,კენკრა
213,Apfel::N,марь,ვაშლი
214,Pilz::N,панга,სოკო
215,Zwiebel::N,шурьхкя́,ხახვი
216,Saat::N,видьмот,თესლი
217,Korn::N,сёра,მარცვალი
218,Heu::N,тише,თივა
219,Schale::N,кедь,ჩენჩო
220,Grube::N,лотка,ორმო
221,Falle::N,туфкс,ხაფანგი
222,Falle::N,кунда́ма,ხაფანგი
223,Schlinge::N,килькш,მახე
224,Spur::N,пильгоки́,კვალი
225,Asche::N,кулу,ფერფლი
226,Dreck::N,ърда́з,ტალახი
227,Dreck::N,ърда́з,სიბინძურე
228,Eisen::N,кшни,რკინა
229,Gold::N,ока,ოქრო
230,Gold::N,золота,ოქრო
231,Silber::N,сия́,ვერცხლი
232,Kohle::N,седь,ნახშირი
233,Kohle::N,седьвальмя,ნახშირი
234,Glas::N,кля́нцек,მინა
235,Lehm::N,сёвонь,თიხა
236,Sand::N,шува́р,ქვიშა
237,Mensch::N,ломань,ადამიანი
238,Mann::N,аля,კაცი
239,Mann::N,цёраломань,კაცი
240,Frau::N,ава,ქალი
241,Kind::N,идь,ბავშვი
242,Kind::N,шаба,ბავშვი
243,Junge::N,цёраня,ვაჟი
244,Mädchen::N,стирня́,გოგო
245,Familie::N,тнал,ოჯახი
246,Familie::N,семья,ოჯახი
247,Großvater::N,атя,პაპა
248,Großvater::N,атя,ბაბუა
249,Großvater::N,щя́тя,პაპა
250,Großvater::N,щя́тя,ბაბუა
251,Großmutter::N,баба,ბებია
252,Großmutter::N,баба,დიდედა
253,Eltern::N,тя́дят-а́лят,მშობლები
254,Vater::N,аля,მამა
255,Mutter::N,ава,დედა
256,Mutter::N,тядя,დედა
257,Sohn::N,цёра,ვაჟიშვილი
258,Tochter::N,стирь,ქალიშვილი
259,Bruder::N,дуган,ძმა
260,Bruder::N,пяльне,ძმა
261,Schwester::N,ака,და
262,Schwester::N,сазор,და
263,Onkel::N,оця,ბიძა
264,Onkel::N,патя,ბიძა
265,Onkel::N,щеня́,ბიძა
266,Tante::N,ака,დეიდა
267,Tante::N,ака,მამიდა
268,Tante::N,щака,დეიდა
269,Tante::N,щака,მამიდა
270,Ehemann::N,мирде,ქმარი
271,Ehefrau::N,ърьвя́,ცოლი
272,Freude::N,ке́нярдема,სიხარული
273,Gelächter::N,рахсема,სიცილი
274,Glück::N,паваз,ბედნიერება
275,Kummer::N,ризф,მწუხარება
276,Kummer::N,пичефкс,მწუხარება
277,Wunsch::N,мяль,წადილი
278,Wunsch::N,мяль,სურვილი
279,Wunsch::N,таколдома,წადილი
280,Wunsch::N,таколдома,სურვილი
281,Lust::N,таколдома,წადილი
282,Geist::N,вайме,სული
283,Gedanke::N,мяль,ფიქრი
284,Gedächtnis::N,прявий,მეხსიერება
285,Verstand::N,прявий,ჭკუა
286,Verstand::N,прявий,გონება
287,Sinn::N,ён,მნიშვნელობა
288,Grund::N,туфта́л,მიზეზი
289,Wahrheit::N,ви́де,სიმართლე
290,Wahrheit::N,ви́де,ჭეშმარიტება
291,Wahrheit::N,видеши́,სიმართლე
292,Wahrheit::N,видеши́,ჭეშმარიტება
293,Gespräch::N,корхтама,ბაასი
294,Gespräch::N,корхтама,საუბარი
295,Märchen::N,ёфкс,არაკი
296,Märchen::N,ёфкс,ზღაპარი
297,Erzählung::N,азкс,თქმულება
298,Nachricht::N,куля́,ცნობა
299,Nachricht::N,куля́,ამბავი
300,Neuigkeit::N,куля́,სიახლე
301,Name::N,лем,სახელი
302,Rätsel::N,со́дама ёфкс,გამოცანა
303,Rede::N,вал,სიტყვა
304,Rede::N,корхтама,სიტყვა
305,Sprache::N,кяль,ენა
306,Stimme::N,вайгяль,ხმა
307,Wort::N,вал,სიტყვა
308,Zeichen::N,тя́ште,ნიშანი
309,Zeichen::N,тя́штькс,ნიშანი
310,Ruf::N,тердема,ძახილი
311,Lärm::N,гайф,ხმაური
312,Lärm::N,жалакодома,ხმაური
313,Laut::N,вайгяль,ხმა
314,Laut::N,вайгяль,ბგერა
315,Ton::N,вайгяль,ტონი
316,Lied::N,мора,სიმღერა
317,Ruhe::N,сетьме,სიწყნარე
318,Leute::N,ломатть,ადამიანები
319,Volk::N,наро́д,ერი
320,Volk::N,наро́д,ხალხი
321,Arbeit::N,тев,მუშაობა
322,Gast::N,и́нжи,სტუმარი
323,Gast::N,ко́нак,სტუმარი
324,Geschenk::N,казне,საჩუქარი
325,Spiel::N,налхкома,თამაში
326,Spiel::N,налхксема,თამაში
327,Gesellschaft::N,кружок,საზოგადოება
328,Hilfe::N,лездома,შველა
329,Hilfe::N,лездома,დახმარება
330,Freund::N,я́лга,მეგობარი
331,Kamerad::N,я́лга,ამხანაგი
332,Angelegenheit::N,тев,საქმე
333,Anzahl::N,лувкс,ოდენობა
334,Art::N,вид,სახეობა
335,Stück::N,пакш,ნატეხი
336,Teil::N,часть,წილი
337,Teil::N,пялькс,წილი
338,Hälfte::N,пяле,ნახევარი
339,Kreis::N,шаркс,წრე
340,Kreuz::N,крёз,ჯვარი
341,Linie::N,межа,ხაზი
342,Linie::N,китькс,ხაზი
343,Strich::N,межа,შტრიხი
344,Abstand::N,ётка,მანძილი
345,Entfernung::N,ётка,სიშორე
346,Gegend::N,ва́ста,არე
347,Gegend::N,ва́ста,მხარე
348,Gegend::N,перьфпя́ль,არე
349,Gegend::N,перьфпя́ль,მხარე
350,Platz::N,ва́ста,ფართობი
351,Ort::N,ва́ста,ადგილი
352,Seite::N,пяле,მხარე
353,Mitte::N,кучка́,შუა
354,Gegenstand::N,веща,საგანი
355,Sache::N,тев,ნივთი
356,Sache::N,веща,ნივთი
357,Rand::N,пе,კიდე
358,Kante::N,и́рдез,ნაწიბული
359,Ecke::N,ужа,კუთხე
360,Spitze::N,пря,წვეტი
361,Ende::N,пе,ბოლო
362,Loch::N,варя,ხვრელი
363,Winkel::N,ужа,კუთხე
364,Muster::N,сёрма,მოხატულობა
365,Größe::N,серь,ზომა
366,Größe::N,серь,სიდიდე
367,Länge::N,кува́лма,სიგრძე
368,Höhe::N,серь,სიმაღლე
369,Gewicht::N,сталма,წონა
370,Menge::N,лувкс,რაოდენობა
371,Haufen::N,мар,გროვა
372,Reihe::N,ряд,რიგი
373,Reihe::N,ряд,წყება
374,Boot::N,венеж,გემი
375,Ruder::N,миле,ხოფი
376,Ruder::N,миле,ნიჩაბი
377,Schlitten::N,ну́рда,მარხილი
378,Ski::N,сокс,თხილამური
379,Lagerfeuer::N,то́лмар,კოცონი
380,Last::N,канкс,ტვირთი
381,Last::N,сталма,ტვირთი
382,Gang::N,молема,სვლა
383,Schritt::N,аськолкс,ბიჯი
384,Norden::N,якшама шире,ჩრდილოეთი
385,Süden::N,ля́мбе ши́ре,სამხრეთი
386,Westen::N,ши валгома шире,დასავლეთი
387,Osten::N,шинь стяма шире,აღმოსავლეთი
388,Holz::N,вирь,ხე
389,Holz::N,шуфта,ხე
390,Brett::N,лавця,დაფა
391,Brett::N,лавця,ფიცარი
392,Platte::N,плита́,თლილი ქვა
393,Stütze::N,неже,საყრდენი
394,Stange::N,олга,ჭოკი
395,Stock::N,байдек,კეტი
396,Stab::N,олгоня,ლატანი
397,Rohr::N,турама,მილაკი
398,Haus::N,куд,სახლი
399,Heim::N,куд,ოჯახის კერა
400,Ofen::N,пянакуд,ღუმელი
401,Fußboden::N,кия́кс,იატაკი
402,Tisch::N,шра,სუფრა
403,Tisch::N,шра,მაგიდა
404,Tisch::N,моркш,სუფრა
405,Tisch::N,моркш,მაგიდა
406,Stuhl::N,стул,სკამი
407,Wiege::N,нюря́м,აკვანი
408,Bett::N,ацам,საწოლი
409,Bett::N,ацам,სარეცელი
410,Regal::N,лавцяланга,თაროები
411,Kiste::N,парга,ყუთი
412,Kiste::N,парга,სკივრი
413,Fenster::N,валмья,ფანჯარა
414,Fenster::N,валмья,სარკმელი
415,Tür::N,кенкш,ბჭე
416,Tür::N,кенкш,კარი
417,Tor::N,ортат,ჭიშკარი
418,Zaun::N,перяфкс,ღობე
419,Zaun::N,перяфкс,გალავანი
420,Dach::N,кудпря,სახურავი
421,Leiter::N,куцема,კიბე
422,Besen::N,тяльме,ცოცხი
423,Spaten::N,ка́йме,ნიჩაბი
424,Schaufel::N,ко́поня,ბარი
425,Schaufel::N,ця́рдом,ბარი
426,Gabel::N,ця́нгоня,ჩანგალი
427,Löffel::N,куцю,კოვზი
428,Messer::N,пеель,დანა
429,Nagel::N,эска,ლურსმანი
430,Haken::N,кя́чказ,კავი
431,Haken::N,кя́чказ,კაუჭი
432,Griff::N,недь,ტარი
433,Griff::N,кунда́мка,ტარი
434,Schloss::N,замо́к,კლიტე
435,Schloss::N,замо́к,საკეტი
436,Bild::N,карти́на,სურათი
437,Figur::N,ронга-понда,ფიგურა
438,Puppe::N,ня́ка,თოჯინა
439,Beutel::N,кяскав,პარკი
440,Bündel::N,кярьме,გალა
441,Bündel::N,кярьме,ასხმა
442,Tasche::N,кошяльня,ჩანთა
443,Eimer::N,ве́дарка,ჩამჩა
444,Deckel::N,тавадкс,ხუფი
445,Deckel::N,тавадкс,სარქველი
446,Deckel::N,вельхкс,ხუფი
447,Deckel::N,вельхкс,სარქველი
448,Geschirr::N,кядьге,ჭურჭელი
449,Sack::N,кяскав,ტომარა
450,Tasse::N,ша́ваня,ფინჯანი
451,Topf::N,кавозь,ქოთანი
452,Kessel::N,сргавозь,ქვაბი
453,Essen::N,ярхцама,ჭამა
454,Nahrung::N,ярхцампяль,საზრდო
455,Nahrung::N,ярхцампяль,საკვები
456,Speise::N,ярхцама,საჭმელი
457,Fleisch::N,пал,ხორცი
458,Fleisch::N,сиволь,ხორცი
459,Getreide::N,сёра,მარცვლოვანი
460,Brei::N,ям,ფაფა
461,Brot::N,кши,პური
462,Scheibe::N,кочам,ნაჭერი
463,Fett::N,куя́,ქონი
464,Fett::N,куя́,ცხიმი
465,Butter::N,вай,კარაქი
466,Öl::N,вай,ზეთი
467,Salz::N,сал,მარილი
468,Suppe::N,шонгарям,სუფი
469,Suppe::N,коршампяль,სუფი
470,Honig::N,медь,თაფლი
471,Milch::N,лофца,რძე
